128 4666
47 78 14
34 63 34
90 126 26
46 71 7
11 82 11
21 72 8
12 67 3
26 101 26
83 115 19
61 88 24
47 49 47
68 73 4
47 98 34
29 51 29
19 82 18
20 87 20
11 29 11
88 125 24
100 114 36
1 110 1
62 106 42
10 115 10
53 102 38
24 55 24
13 29 13
53 54 53
27 67 3
23 24 23
58 101 37
81 112 17
54 65 1
14 126 14
4 118 4
2 72 2
15 72 8
114 126 50
50 72 8
9 106 9
11 86 11
3 59 3
40 91 27
101 121 37
65 83 1
32 76 12
63 80 16
46 78 14
109 122 45
38 110 38
60 63 60
30 124 30
50 66 2
61 73 9
9 99 9
106 108 42
55 113 49
6 65 1
21 33 21
55 127 55
60 80 16
95 107 31
84 124 20
25 125 25
61 71 7
39 88 24
53 66 2
8 13 8
29 71 7
56 66 2
19 88 19
112 113 48
11 102 11
63 120 56
106 125 42
8 82 8
1 127 1
11 126 11
21 126 21
89 121 25
4 70 4
31 41 31
18 37 18
64 71 7
113 123 49
23 43 23
6 107 6
102 124 38
18 59 18
49 119 49
74 115 10
55 80 16
33 94 30
11 119 11
14 86 14
57 125 57
24 113 24
14 65 1
42 61 42
24 35 24
7 69 5
31 47 31
33 125 33
73 115 9
63 105 41
87 106 23
25 86 22
53 103 39
9 122 9
40 118 40
5 75 5
57 108 44
113 127 49
36 106 36
8 44 8
13 85 13
26 113 26
99 123 35
30 73 9
69 124 5
59 104 40
15 56 15
7 119 7
42 119 42
19 89 19
100 107 36
76 103 12
25 40 25
28 54 28
54 64 54
15 119 15
19 21 19
1 128 1
54 105 41
59 76 12
22 76 12
64 75 11
11 74 10
81 120 17
31 70 6
11 26 11
61 111 47
7 74 7
43 91 27
24 32 24
7 49 7
57 120 56
18 50 18
19 70 6
42 116 42
93 115 29
15 55 15
29 57 29
80 85 16
30 92 28
89 114 25
72 112 8
92 114 28
74 128 10
28 71 7
64 66 2
51 80 16
19 125 19
90 123 26
96 109 32
21 88 21
32 66 2
36 42 36
8 33 8
53 108 44
78 111 14
46 97 33
68 77 4
75 90 11
79 92 15
6 119 6
8 99 8
1 67 1
62 67 3
108 114 44
48 117 48
17 97 17
14 39 14
61 122 58
58 79 15
107 116 43
54 104 40
120 126 56
7 19 7
107 123 43
101 126 37
35 107 35
7 81 7
32 93 29
15 61 15
38 99 35
73 97 9
31 123 31
18 105 18
14 122 14
89 120 25
33 86 22
64 76 12
25 85 21
2 13 2
88 98 24
24 101 24
54 90 26
81 94 17
1 27 1
24 59 24
4 68 4
