128 63
28 59 120
44 65 67
19 75 87
49 63 68
57 84 56
90 109 49
13 39 73
41 108 58
32 37 77
16 85 75
26 33 71
7 96 105
48 128 44
9 67 28
94 101 16
83 89 3
15 97 12
31 71 18
76 112 93
20 116 26
34 82 32
91 117 95
69 81 46
5 92 128
60 113 90
55 77 70
3 14 34
105 114 60
42 121 4
10 104 17
8 35 54
22 24 118
51 74 124
17 127 24
12 21 39
95 111 7
103 115 92
54 125 27
66 106 101
56 107 86
61 118 112
27 110 38
25 62 43
120 123 35
79 126 6
68 80 51
88 122 66
18 98 69
73 119 103
30 53 52
45 86 20
38 78 89
11 58 62
50 52 10
2 102 53
43 64 126
4 47 108
6 40 102
93 99 88
46 72 121
70 100 57
36 124 15
29 87 1
