mode,n,seed,shuffle_labels,shuffle_queries,solver_rc,timed_out,val_ok,sec,rss_kb,case_dir
comb_core,128,1,0,0,0,0,1,0.097121,1888,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/_verify_cross/hunt_smoke/runs/comb_core/n128/seed1_L0_Q0
comb_core,128,1,0,1,0,0,1,0.012578,1888,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/_verify_cross/hunt_smoke/runs/comb_core/n128/seed1_L0_Q1
comb_core,128,1,1,0,0,0,1,0.012546,1888,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/_verify_cross/hunt_smoke/runs/comb_core/n128/seed1_L1_Q0
comb_core,128,1,1,1,0,0,1,0.012362,1904,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/_verify_cross/hunt_smoke/runs/comb_core/n128/seed1_L1_Q1
comb_core,256,1,0,0,0,0,1,0.012556,1920,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/_verify_cross/hunt_smoke/runs/comb_core/n256/seed1_L0_Q0
comb_core,256,1,0,1,0,0,1,0.010890,1920,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/_verify_cross/hunt_smoke/runs/comb_core/n256/seed1_L0_Q1
comb_core,256,1,1,0,0,0,1,0.012550,1920,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/_verify_cross/hunt_smoke/runs/comb_core/n256/seed1_L1_Q0
comb_core,256,1,1,1,0,0,1,0.011053,1920,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/_verify_cross/hunt_smoke/runs/comb_core/n256/seed1_L1_Q1
comb_plus_unary,128,1,0,0,0,0,1,0.012578,1936,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/_verify_cross/hunt_smoke/runs/comb_plus_unary/n128/seed1_L0_Q0
comb_plus_unary,128,1,0,1,0,0,1,0.012562,1936,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/_verify_cross/hunt_smoke/runs/comb_plus_unary/n128/seed1_L0_Q1
comb_plus_unary,128,1,1,0,0,0,1,0.010933,1936,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/_verify_cross/hunt_smoke/runs/comb_plus_unary/n128/seed1_L1_Q0
comb_plus_unary,128,1,1,1,0,0,1,0.012582,1936,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/_verify_cross/hunt_smoke/runs/comb_plus_unary/n128/seed1_L1_Q1
comb_plus_unary,256,1,0,0,0,0,1,0.011494,1952,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/_verify_cross/hunt_smoke/runs/comb_plus_unary/n256/seed1_L0_Q0
