128 4647
56 62 56
36 88 24
31 83 19
6 80 6
97 118 33
61 94 30
56 113 49
111 120 47
86 128 22
111 126 47
45 104 40
24 57 24
18 64 18
11 88 11
79 103 15
11 72 8
57 94 30
62 120 56
44 117 44
59 104 40
60 95 31
48 88 24
115 116 51
11 40 11
100 103 36
28 54 28
77 91 13
12 109 12
97 113 33
31 77 13
15 119 15
7 26 7
75 120 11
14 19 14
35 52 35
36 90 26
73 123 9
46 97 33
8 26 8
12 99 12
94 95 30
9 121 9
37 90 26
37 81 17
71 89 7
5 105 5
82 97 18
97 121 33
38 119 38
52 65 1
14 16 14
29 93 29
13 86 13
40 75 11
61 113 49
40 72 8
3 11 3
49 86 22
58 125 58
55 80 16
21 43 21
33 99 33
48 67 3
24 75 11
4 87 4
97 125 33
23 30 23
18 127 18
60 98 34
69 75 5
47 65 1
102 113 38
94 107 30
51 126 51
58 120 56
26 78 14
44 81 17
42 95 31
33 88 24
27 66 2
61 109 45
72 102 8
40 88 24
87 97 23
79 105 15
10 117 10
64 77 13
57 75 11
42 115 42
47 84 20
4 15 4
31 37 31
101 128 37
47 63 47
56 122 56
30 98 30
65 73 1
12 26 12
54 127 54
95 125 31
31 86 22
73 95 9
7 70 6
99 114 35
62 85 21
108 119 44
51 58 51
36 49 36
11 75 11
29 108 29
76 80 12
75 82 11
48 117 48
29 52 29
3 99 3
1 17 1
68 116 4
8 120 8
76 79 12
12 18 12
23 82 18
56 95 31
12 104 12
60 94 30
64 118 54
23 63 23
42 81 17
30 40 30
4 94 4
63 82 18
41 71 7
6 110 6
78 102 14
92 115 28
8 55 8
8 28 8
107 117 43
62 92 28
54 60 54
89 126 25
38 62 38
44 52 44
11 39 11
72 119 8
14 88 14
56 71 7
67 99 3
16 95 16
38 75 11
44 125 44
9 67 3
10 93 10
92 120 28
27 82 18
100 119 36
57 117 53
102 125 38
84 95 20
77 125 13
37 97 33
23 88 23
4 95 4
25 127 25
113 128 49
24 50 24
59 105 41
31 63 31
6 82 6
27 36 27
57 66 2
10 103 10
47 61 47
85 118 21
52 95 31
80 91 16
45 107 43
58 116 52
72 84 8
66 120 2
108 123 44
20 125 20
82 103 18
72 111 8
93 97 29
72 96 8
17 81 17
18 57 18
23 89 23
101 107 37
11 74 10
23 68 4
70 77 6
44 68 4
45 92 28
30 83 19
41 105 41
76 86 12
12 123 12
11 89 11
112 126 48
43 76 12
88 94 24
31 79 15
18 46 18
80 123 16
58 109 45
37 67 3
46 94 30
46 101 37
48 54 48
118 123 54
55 66 2
95 106 31
56 87 23
62 78 14
34 47 34
52 112 48
127 128 63
35 69 5
19 46 19
55 101 37
34 69 5
9 74 9
89 120 25
15 44 15
25 111 25
34 87 23
100 104 36
54 107 43
66 122 2
31 54 31
77 114 13
43 86 22
72 120 8
47 50 47
34 68 4
46 104 40
28 84 20
105 106 41
10 79 10
76 98 12
82 101 18
8 21 8
73 121 9
14 35 14
63 90 26
21 89 21
79 101 15
38 89 25
40 79 15
59 67 3
52 99 35
103 105 39
105 118 41
26 93 26
41 46 41
56 120 56
79 94 15
104 118 40
83 85 19
125 128 61
16 69 5
6 83 6
25 107 25
5 12 5
10 69 5
100 117 36
15 64 15
24 31 24
62 100 36
72 101 8
40 69 5
9 77 9
56 66 2
2 46 2
95 97 31
6 41 6
68 115 4
7 96 7
23 55 23
35 75 11
113 123 49
70 71 6
62 75 11
16 108 16
25 50 25
5 60 5
44 79 15
27 77 13
14 64 14
20 123 20
69 98 5
45 50 45
26 59 26
50 78 14
54 116 52
13 43 13
16 47 16
112 127 48
12 29 12
43 84 20
41 94 30
38 66 2
23 60 23
29 32 29
11 100 11
111 122 47
41 81 17
37 112 37
31 84 20
17 25 17
51 80 16
17 63 17
63 102 38
112 119 48
105 124 41
35 45 35
18 56 18
51 98 34
10 75 10
6 23 6
67 111 3
30 106 30
5 17 5
51 87 23
25 100 25
86 100 22
71 74 7
101 121 37
28 108 28
63 105 41
37 102 37
87 94 23
27 52 27
105 112 41
19 101 19
66 114 2
46 126 46
100 127 36
64 72 8
10 54 10
34 76 12
118 119 54
56 73 9
5 44 5
70 109 6
47 108 44
63 116 52
72 107 8
14 57 14
16 22 16
65 104 1
45 128 45
105 122 41
11 69 5
66 125 2
85 92 21
64 121 57
18 85 18
73 109 9
16 101 16
22 94 22
7 75 7
41 114 41
37 121 37
22 108 22
28 117 28
109 120 45
28 119 28
7 74 7
20 55 20
45 93 29
65 87 1
63 117 53
76 102 12
71 93 7
72 100 8
55 96 32
91 107 27
54 103 39
55 116 52
86 111 22
27 78 14
39 80 16
51 121 51
124 125 60
9 90 9
55 94 30
59 80 16
44 110 44
70 92 6
35 93 29
87 107 23
3 109 3
6 63 6
16 105 16
11 104 11
60 127 60
49 83 19
77 85 13
104 124 40
41 62 41
14 119 14
21 127 21
52 77 13
22 104 22
18 32 18
73 107 9
51 123 51
43 89 25
79 113 15
53 91 27
38 104 38
98 100 34
14 108 14
102 109 38
39 95 31
38 92 28
116 128 52
16 64 16
25 124 25
44 65 1
54 98 34
74 89 10
63 121 57
37 56 37
49 79 15
11 42 11
47 49 47
1 66 1
42 127 42
86 109 22
20 23 20
45 66 2
54 113 49
39 70 6
