128 63
46 66 25
30 86 42
50 121 127
38 123 27
72 89 106
17 20 45
64 90 112
51 124 30
13 108 82
18 118 94
48 126 89
43 117 65
15 112 53
5 102 123
33 41 58
116 127 107
83 98 66
122 125 126
69 114 22
40 44 16
4 9 118
55 76 11
2 52 61
22 110 76
91 100 14
42 128 28
37 111 20
14 34 108
26 103 41
12 105 111
80 96 49
82 101 23
8 35 80
7 58 113
60 107 88
29 32 1
56 84 43
63 119 56
19 49 4
28 71 78
39 62 102
36 97 10
16 54 31
21 23 105
79 109 64
11 77 2
61 120 81
53 115 98
57 74 122
65 93 91
6 73 74
78 104 121
47 81 124
88 99 29
25 59 69
87 113 75
75 85 6
45 70 8
10 68 63
3 31 97
24 106 79
67 94 103
27 92 44
