128 4748
2 3 1
4 5 2
6 7 4
8 9 6
10 11 8
12 13 10
14 15 12
16 17 14
18 19 16
20 21 18
22 23 20
24 25 22
26 27 24
28 29 26
30 31 28
32 33 30
34 35 32
36 37 34
38 39 36
40 41 38
42 43 40
44 45 42
46 47 44
48 49 46
50 51 48
52 53 50
54 55 52
56 57 54
58 59 56
60 61 58
62 63 60
64 65 62
66 67 64
68 69 66
70 71 68
72 73 70
74 75 72
76 77 74
78 79 76
80 81 78
82 83 80
84 85 82
86 87 84
88 89 86
90 91 88
92 93 90
94 95 92
96 97 94
98 99 96
100 101 98
102 103 100
104 105 102
106 107 104
108 109 106
110 111 108
112 113 110
114 115 112
116 117 114
118 119 116
120 121 118
122 123 120
124 125 122
126 127 124
1 128 1
2 128 2
4 128 4
6 128 6
8 128 8
10 128 10
12 128 12
14 128 14
16 128 16
18 128 18
20 128 20
22 128 22
24 128 24
26 128 26
28 128 28
30 128 30
32 128 32
34 128 34
36 128 36
38 128 38
40 128 40
42 128 42
44 128 44
46 128 46
48 128 48
50 128 50
52 128 52
54 128 54
56 128 56
58 128 58
60 128 60
62 128 62
64 128 64
66 128 66
68 128 68
70 128 70
72 128 72
74 128 74
76 128 76
78 128 78
80 128 80
82 128 82
84 128 84
86 128 86
88 128 88
90 128 90
92 128 92
94 128 94
96 128 96
98 128 98
100 128 100
102 128 102
104 128 104
106 128 106
108 128 108
110 128 110
112 128 112
114 128 114
116 128 116
118 128 118
120 128 120
122 128 122
124 128 124
126 128 126
3 128 1
5 128 2
7 128 4
9 128 6
11 128 8
13 128 10
15 128 12
17 128 14
19 128 16
21 128 18
23 128 20
25 128 22
27 128 24
29 128 26
31 128 28
33 128 30
35 128 32
37 128 34
39 128 36
41 128 38
43 128 40
45 128 42
47 128 44
49 128 46
51 128 48
53 128 50
55 128 52
57 128 54
59 128 56
61 128 58
63 128 60
65 128 62
67 128 64
69 128 66
71 128 68
73 128 70
75 128 72
77 128 74
79 128 76
81 128 78
83 128 80
85 128 82
87 128 84
89 128 86
91 128 88
93 128 90
95 128 92
97 128 94
99 128 96
101 128 98
103 128 100
105 128 102
107 128 104
109 128 106
111 128 108
113 128 110
115 128 112
117 128 114
119 128 116
121 128 118
123 128 120
125 128 122
127 128 124
111 116 108
20 62 20
29 34 26
99 114 96
8 15 8
5 79 2
8 57 8
58 122 58
30 46 30
38 99 38
6 107 6
58 73 58
95 99 92
49 109 46
77 121 74
105 126 102
2 91 2
4 13 4
1 15 1
41 89 38
3 104 1
91 118 88
2 99 2
10 107 10
1 18 1
14 28 14
94 124 94
8 27 8
1 81 1
79 99 76
20 25 20
70 104 70
99 104 96
12 25 12
23 101 20
46 84 46
43 48 40
45 70 42
95 96 92
21 123 18
8 30 8
10 68 10
85 87 82
52 56 52
10 18 10
19 79 16
77 80 74
16 55 16
3 9 1
113 124 110
75 86 72
76 100 76
1 4 1
32 53 32
27 123 24
89 99 86
61 125 58
7 48 4
55 69 52
12 78 12
26 49 26
39 72 36
55 90 52
81 105 78
37 105 34
12 28 12
1 3 1
17 76 14
59 98 56
125 127 122
29 30 26
82 120 82
12 42 12
53 125 50
29 74 26
26 41 26
13 34 10
40 84 40
79 100 76
25 108 22
81 108 78
46 53 46
103 110 100
101 110 98
22 42 22
67 84 64
88 94 88
26 107 26
46 118 46
6 97 6
41 47 38
101 107 98
12 71 12
3 117 1
45 89 42
66 121 66
5 16 2
58 76 58
8 19 8
71 102 68
4 24 4
65 113 62
58 62 58
89 127 86
24 118 24
57 71 54
11 88 8
41 65 38
17 80 14
123 125 120
20 46 20
4 23 4
1 7 1
26 66 26
119 121 116
121 125 118
43 96 40
79 112 76
97 105 94
71 108 68
6 59 6
44 92 44
111 123 108
15 99 12
36 125 36
42 126 42
67 127 64
30 99 30
17 94 14
1 45 1
2 16 2
73 105 70
105 119 102
44 79 44
87 105 84
20 76 20
18 87 18
97 98 94
6 21 6
86 110 86
6 106 6
28 46 28
10 54 10
4 21 4
42 64 42
7 22 4
87 107 84
18 22 18
91 101 88
115 116 112
50 118 50
26 61 26
4 8 4
97 111 94
8 24 8
32 112 32
31 69 28
121 126 118
95 112 92
23 53 20
99 115 96
89 116 86
65 74 62
2 4 2
6 65 6
