128 2987
14 48 3
56 116 14
59 89 1
68 73 4
49 101 12
13 54 13
51 69 1
27 114 3
8 41 2
74 87 2
33 64 16
49 103 12
6 75 1
28 118 14
73 83 2
1 123 1
90 94 11
43 51 1
2 38 2
60 62 15
29 120 7
113 117 14
17 83 2
1 14 1
50 119 3
67 71 8
52 116 3
80 115 1
78 102 1
59 88 1
5 42 5
79 119 1
22 25 1
110 115 3
2 68 2
15 35 1
26 120 3
56 102 3
117 120 7
66 113 1
13 15 3
20 120 1
57 116 14
11 74 2
27 33 1
29 126 7
54 57 3
39 64 4
28 124 7
57 119 14
8 113 1
48 98 24
122 126 15
75 116 1
19 66 4
37 110 1
99 102 12
49 99 49
79 128 4
52 54 13
62 116 7
56 120 7
47 88 11
15 31 15
1 113 1
29 81 1
105 121 3
10 93 5
39 75 9
61 125 15
10 98 1
9 68 4
42 79 2
3 54 3
49 120 3
26 48 6
7 30 7
46 77 2
77 115 1
97 115 3
38 63 1
56 69 1
1 19 1
70 84 2
15 38 1
88 92 11
51 103 51
59 91 1
14 104 3
57 122 7
58 59 29
21 67 2
8 93 2
2 71 2
89 95 11
1 32 1
24 90 1
35 72 4
35 86 2
4 66 4
6 114 3
26 46 1
61 63 15
19 33 4
39 76 19
63 122 15
12 125 3
4 20 2
25 104 6
23 101 1
64 75 4
6 22 1
10 99 1
73 90 2
1 45 1
83 98 1
100 115 3
19 36 9
19 125 1
10 45 5
13 112 3
13 88 1
1 3 1
65 68 8
14 114 14
118 119 59
20 100 1
101 103 25
13 71 1
55 100 6
109 120 3
20 35 2
27 54 27
3 55 3
2 58 1
78 105 1
8 72 4
7 49 3
88 90 22
99 100 12
62 75 1
11 89 11
110 113 3
46 123 1
61 111 3
2 86 2
18 72 18
119 121 7
84 90 5
67 103 1
67 68 8
66 71 8
42 96 1
41 95 5
2 17 2
63 108 3
48 52 6
56 124 7
82 92 5
77 119 1
58 112 14
36 74 18
5 7 1
47 113 1
19 63 1
35 105 1
10 75 2
24 94 1
31 60 15
102 108 6
8 96 1
19 38 19
93 121 1
7 126 7
9 70 4
24 96 24
112 118 14
19 89 2
44 46 11
30 60 30
36 92 2
24 62 3
35 65 8
7 120 7
55 104 13
27 79 1
18 97 1
9 81 2
17 65 8
21 41 10
1 34 1
29 101 3
4 77 4
25 119 3
96 124 3
1 89 1
97 105 6
53 82 1
87 93 5
23 89 11
46 108 1
87 92 5
33 127 1
16 38 4
35 68 17
38 117 1
6 119 3
27 71 1
34 69 34
21 42 21
28 60 7
26 113 3
6 25 6
92 95 23
102 111 6
36 40 2
3 31 3
53 111 13
50 55 6
63 120 15
7 40 1
115 116 14
67 76 4
40 46 5
55 107 13
34 68 34
29 59 29
31 112 7
24 95 1
3 12 3
56 66 1
54 101 6
24 75 1
34 42 2
13 119 3
53 73 1
33 76 4
8 69 8
3 36 1
7 115 7
5 17 2
29 115 14
5 10 5
41 93 5
64 107 1
73 125 1
49 98 49
3 66 1
39 77 19
81 112 1
47 95 47
44 54 1
90 105 1
14 113 14
4 16 4
85 92 5
3 97 3
67 111 1
80 87 10
60 112 7
34 71 17
17 53 1
12 52 6
19 76 19
41 58 1
35 69 17
116 126 7
57 73 1
26 52 26
49 77 1
2 41 2
48 99 24
28 38 1
26 65 1
49 100 12
52 90 1
23 32 2
59 82 1
12 72 1
21 118 1
114 128 1
2 89 2
71 110 1
63 91 1
2 124 1
9 37 9
7 127 7
28 83 1
14 116 14
102 113 3
19 73 9
124 127 31
40 94 5
28 63 7
9 77 9
103 126 3
12 24 12
49 92 1
19 96 1
6 80 1
4 70 4
60 127 15
28 66 1
31 122 15
9 84 2
50 84 1
38 95 2
22 38 2
99 111 6
80 83 20
88 94 11
5 66 2
32 69 8
1 55 1
24 29 3
5 105 1
5 97 1
38 108 1
53 60 3
2 87 2
62 63 31
21 76 2
54 72 1
6 116 3
16 49 1
42 92 5
59 99 3
48 54 6
46 67 2
74 105 1
97 98 24
3 52 3
71 79 4
69 125 1
92 104 1
28 58 14
6 50 6
7 41 1
45 95 11
41 85 10
60 61 30
52 120 3
37 40 2
105 109 13
23 112 1
23 91 11
3 5 1
17 87 2
3 14 3
22 87 5
96 102 12
54 111 27
38 77 38
15 37 1
54 88 1
68 120 1
33 95 2
16 89 2
2 75 2
53 110 13
100 101 50
7 56 7
8 58 1
54 105 13
1 7 1
15 49 3
56 115 28
69 124 1
105 119 3
2 12 1
10 107 1
68 81 2
18 57 1
59 73 1
12 38 1
6 111 6
114 118 14
43 108 1
31 128 1
3 15 3
