128 2986
28 82 1
46 54 1
99 124 99
42 86 88
64 66 29
52 126 52
47 81 50
25 128 88
40 65 32
18 81 29
39 99 1
60 92 60
59 87 88
80 82 99
20 99 99
89 99 1
35 128 29
84 93 107
54 102 60
11 90 1
118 127 88
49 67 116
79 112 1
32 100 32
44 120 32
53 90 99
91 127 1
9 118 116
60 71 60
49 95 88
77 96 1
35 81 99
59 66 116
36 77 28
70 111 99
34 38 32
34 121 1
27 122 60
31 67 1
100 114 1
20 126 1
53 122 1
55 92 71
26 113 127
43 80 1
36 47 1
118 121 29
96 112 99
90 111 50
15 112 81
65 99 1
3 93 32
96 124 124
27 62 71
21 101 47
23 106 1
24 100 120
35 115 121
47 117 1
32 106 32
16 92 60
84 126 104
50 81 50
10 113 1
57 97 28
21 70 99
86 87 88
1 80 1
4 54 1
8 96 124
12 128 29
31 125 125
8 23 99
4 17 29
64 118 29
16 41 1
9 18 116
22 46 88
89 106 107
9 52 1
9 45 29
2 122 32
6 32 32
35 124 124
59 98 29
23 111 50
27 87 1
55 61 32
3 125 125
18 45 29
46 59 116
60 103 1
3 126 32
40 122 28
28 39 60
13 126 107
80 124 124
90 112 50
66 116 116
55 125 60
39 110 1
59 127 88
33 88 88
75 104 32
39 76 71
59 90 29
15 28 1
12 17 99
9 68 1
79 107 107
55 68 32
29 118 29
31 126 32
37 58 29
27 89 32
48 61 107
16 72 32
30 46 116
10 29 1
2 68 104
8 60 1
42 70 29
46 116 116
29 37 29
104 124 1
40 44 57
42 53 29
50 90 50
88 124 29
14 89 107
66 99 29
13 99 1
35 96 124
59 122 1
11 21 1
1 86 1
38 55 71
57 60 60
105 111 81
52 89 104
99 101 99
64 112 50
2 119 104
66 102 1
49 112 29
41 128 128
83 127 29
73 123 73
6 111 1
8 29 29
21 98 99
69 122 1
1 36 1
86 93 1
42 113 42
18 121 29
1 68 1
51 80 121
21 121 99
18 117 1
11 52 32
41 88 88
12 52 1
117 126 104
62 73 71
107 123 32
15 87 29
31 66 1
67 122 1
7 101 29
50 78 1
14 100 78
37 64 50
12 90 50
4 19 86
10 86 1
67 88 88
69 115 29
95 116 88
20 101 99
26 107 1
98 106 1
18 68 1
23 53 99
66 114 88
31 44 28
34 65 78
15 43 1
64 99 99
52 85 32
105 108 1
23 124 99
22 127 127
53 74 1
44 90 1
44 114 1
61 109 61
10 32 32
7 54 1
29 90 29
60 102 60
11 108 32
113 127 127
49 110 88
113 114 127
116 118 116
1 23 1
114 128 128
2 91 107
53 124 121
57 125 28
109 125 32
9 48 1
80 115 121
17 111 99
5 76 71
5 52 32
56 72 72
28 63 32
75 92 71
86 107 1
11 36 11
56 115 1
15 121 99
41 55 1
111 126 1
34 78 78
32 48 32
2 5 32
18 75 1
53 61 1
23 41 29
93 96 1
71 102 71
96 99 99
44 51 1
55 85 55
57 77 77
55 95 1
33 105 29
20 83 121
19 26 88
23 83 99
107 115 1
99 119 1
52 102 32
96 123 1
10 48 48
14 93 78
94 109 1
39 101 1
33 60 1
100 107 107
24 37 1
87 110 42
37 74 1
34 112 1
32 88 1
59 71 1
60 83 1
44 83 1
71 76 71
22 104 1
7 115 29
58 94 88
9 103 88
2 7 1
54 106 32
56 75 32
101 110 29
28 94 1
56 62 32
68 91 107
34 84 107
86 109 1
50 51 99
52 109 107
7 89 1
14 96 1
94 125 1
100 126 107
120 123 32
79 100 78
5 55 55
14 18 1
46 49 46
73 78 32
32 108 32
66 88 88
46 119 1
10 101 1
68 119 52
1 112 1
114 122 1
49 127 88
81 116 29
33 113 127
72 87 1
84 107 107
22 107 1
44 77 77
49 120 1
77 118 1
4 124 29
28 81 1
23 119 1
11 110 1
69 128 128
21 102 1
22 33 127
23 116 29
55 123 71
15 109 1
95 127 127
11 60 60
17 79 1
117 122 32
43 69 1
40 53 1
72 84 72
77 93 32
29 49 29
39 113 1
15 82 50
11 55 60
66 77 1
26 104 1
1 21 1
10 89 104
17 118 29
10 42 1
92 108 32
88 101 29
64 117 1
48 74 32
36 120 32
39 57 60
69 104 1
7 41 127
68 93 107
18 105 29
3 80 1
104 108 107
20 90 99
73 101 1
1 76 1
56 109 107
106 127 1
61 72 107
61 97 32
21 88 29
60 120 32
8 115 121
39 123 71
23 34 1
107 108 107
28 43 32
27 49 1
34 93 78
38 64 1
91 100 106
14 35 1
3 69 1
11 54 28
4 110 88
41 44 1
38 92 76
35 92 1
46 88 88
115 122 1
38 79 32
41 116 88
104 120 107
105 112 81
14 109 109
55 90 1
58 98 29
27 38 76
30 90 29
2 64 1
65 111 1
42 87 42
17 115 115
79 120 78
81 107 1
8 77 1
8 66 29
20 29 29
1 31 1
26 88 88
12 24 1
8 99 99
68 88 1
8 43 1
9 62 1
29 112 29
32 57 32
37 49 29
12 37 81
39 94 1
119 120 107
18 33 88
82 105 50
9 11 1
49 79 1
22 25 88
111 114 29
48 119 52
24 62 32
1 111 1
41 96 29
33 42 127
9 25 116
35 66 29
1 94 1
19 32 1
70 90 99
73 99 1
64 120 1
76 100 32
46 89 1
34 46 1
11 70 1
94 95 88
66 118 116
38 73 73
70 99 99
4 30 116
37 82 50
5 100 32
95 105 29
18 83 29
23 113 29
95 103 127
71 92 71
17 45 51
10 24 107
89 123 32
35 80 124
9 56 1
15 25 29
49 59 116
109 119 107
5 114 1
48 56 104
76 88 1
14 95 1
57 76 60
50 72 1
36 41 1
53 119 1
54 77 77
42 94 88
11 100 32
6 112 1
21 99 99
1 79 1
68 83 1
94 114 88
114 121 29
44 62 60
63 100 107
26 43 1
5 98 1
48 95 1
46 111 29
2 107 107
24 91 120
17 124 121
31 79 32
61 91 78
78 88 1
97 122 122
78 119 107
102 122 60
28 122 28
1 11 1
29 66 29
27 41 1
36 39 60
33 86 88
38 123 73
34 66 1
72 124 1
61 62 32
55 73 71
41 113 127
110 118 88
42 110 42
32 62 32
95 125 1
61 126 107
6 33 1
33 63 1
66 86 86
48 121 1
83 115 121
16 77 77
14 72 107
2 104 104
28 79 32
85 122 60
28 66 1
28 60 60
49 113 88
53 72 1
24 71 32
33 47 29
53 115 51
30 94 30
60 73 60
3 107 32
13 68 107
20 35 121
3 42 1
13 83 1
62 87 1
56 104 104
116 117 1
51 68 1
77 125 28
43 119 104
10 119 52
17 120 1
23 93 1
5 110 1
16 100 32
27 84 32
70 87 29
64 77 1
43 63 104
3 47 1
2 126 104
11 51 1
50 56 1
86 118 116
6 65 32
37 50 50
87 118 88
68 89 104
88 128 88
96 116 29
99 105 99
32 71 32
4 15 29
54 87 1
7 95 42
21 29 29
48 111 1
13 14 61
91 93 120
57 111 1
24 115 1
