256 11776
101 128 195
68 215 215
154 228 50
82 188 82
3 197 197
160 179 83
73 126 227
84 108 108
10 72 10
81 241 68
49 109 156
73 162 227
88 109 109
186 249 253
96 170 170
84 172 153
80 120 120
42 72 92
213 231 213
189 242 91
6 155 155
89 109 89
88 235 235
47 68 173
120 153 120
80 140 252
179 251 178
71 135 119
85 237 165
34 124 34
26 111 85
192 242 242
171 228 171
37 99 27
18 78 239
196 244 182
83 111 83
124 228 22
140 243 252
138 145 34
89 209 89
153 193 193
136 157 136
19 117 5
62 82 82
39 89 89
38 240 38
18 147 147
20 231 54
211 218 38
98 99 27
138 210 34
12 174 62
157 192 104
136 225 136
37 151 151
66 114 114
32 87 10
188 218 218
239 253 253
97 251 178
140 157 252
129 200 200
178 224 178
7 52 120
65 109 65
1 248 1
180 211 38
94 204 110
158 233 112
49 213 156
57 121 89
47 95 173
81 142 142
49 184 156
135 175 170
102 187 127
6 171 171
73 161 227
13 226 208
103 170 170
112 182 112
43 160 83
128 134 195
22 245 122
34 189 91
133 244 182
142 252 142
83 197 197
112 151 151
137 226 142
105 225 151
179 198 141
18 107 239
109 226 142
159 203 44
119 255 255
64 122 108
9 23 117
33 161 168
226 229 142
181 210 158
14 136 136
115 240 169
47 173 173
126 166 126
33 61 168
37 123 59
7 169 120
1 81 1
71 164 114
66 228 8
171 225 171
26 72 92
106 144 194
14 27 27
161 190 190
9 198 71
45 133 17
6 165 165
23 111 117
66 234 63
138 204 57
113 173 173
57 189 91
100 159 199
70 157 104
203 243 44
19 115 5
130 137 246
32 240 10
21 27 27
176 233 112
128 158 195
35 69 101
113 210 113
145 210 158
15 218 250
70 119 119
95 152 95
91 92 91
110 233 112
46 76 255
58 128 195
47 252 173
41 192 209
68 151 151
200 252 252
200 236 200
134 171 171
70 204 57
20 194 54
55 214 213
134 245 122
8 177 190
50 71 50
201 237 165
86 234 63
164 188 114
50 218 50
12 55 155
110 189 91
45 55 155
106 244 182
62 220 254
50 253 253
2 225 197
83 154 83
32 106 10
47 107 173
123 183 131
90 109 82
2 239 197
177 223 190
88 237 165
71 86 243
130 139 246
54 70 54
15 102 127
88 212 109
33 50 50
112 196 112
99 222 27
116 241 162
30 107 174
62 241 62
121 242 89
112 222 112
187 228 98
86 203 44
144 209 194
181 220 254
138 155 155
15 106 250
26 42 85
18 138 34
38 129 38
64 229 229
47 198 173
198 229 229
146 164 147
77 143 143
218 252 252
55 167 1
189 237 91
25 35 101
111 207 240
174 254 254
92 246 246
61 144 194
104 255 255
42 251 178
29 115 150
30 183 131
205 246 247
1 98 1
26 233 112
79 116 100
83 230 83
36 249 253
101 214 213
75 135 119
32 89 89
156 160 156
74 240 240
207 232 232
43 223 215
132 211 38
31 251 178
32 43 215
149 189 91
100 111 240
7 108 120
161 166 118
148 251 178
186 194 194
124 209 22
95 109 95
133 203 44
44 90 82
71 209 71
14 247 247
66 144 194
45 201 232
177 199 190
174 184 42
13 57 208
28 139 171
80 206 200
62 100 62
106 125 21
198 224 71
11 124 22
44 85 44
142 226 142
104 234 104
46 210 255
36 206 3
164 187 114
64 236 108
117 137 117
21 243 243
109 144 194
41 187 98
38 84 38
186 204 57
128 170 195
209 216 230
51 160 83
64 149 126
8 203 44
53 248 136
176 199 97
173 178 173
105 138 151
97 245 97
207 225 93
70 124 22
51 158 221
52 133 17
18 256 80
46 48 255
71 222 95
4 105 151
103 208 208
116 135 119
124 210 158
130 141 246
5 131 5
205 216 247
38 47 173
103 185 185
35 53 101
152 243 243
43 63 215
31 88 109
177 192 190
4 191 116
222 236 95
78 254 254
144 187 98
29 167 1
134 161 242
202 236 58
34 102 127
157 208 208
23 174 117
49 153 156
28 159 171
23 182 182
16 252 252
201 211 38
69 219 67
56 132 56
2 50 197
64 212 108
168 256 80
154 183 50
9 148 148
15 173 173
49 141 156
34 163 34
48 136 136
115 157 104
35 253 253
31 213 213
161 237 165
16 119 152
64 65 65
37 83 83
174 204 57
19 190 5
40 122 185
53 216 53
20 233 54
75 133 17
105 114 151
130 223 246
90 202 82
148 219 67
90 167 1
67 206 200
23 129 117
103 188 103
126 153 126
64 107 108
106 166 21
54 64 54
96 255 255
79 219 67
178 231 178
63 100 63
56 76 56
159 194 194
167 179 1
112 172 112
214 231 213
176 186 97
106 127 127
49 146 156
84 136 136
43 224 215
30 236 58
137 163 196
69 185 77
50 215 215
87 222 95
40 247 247
140 184 252
36 203 3
45 222 95
194 244 182
44 171 171
29 231 150
73 84 227
203 207 44
14 147 147
84 230 53
12 99 27
92 165 165
88 162 109
241 245 162
110 206 110
153 251 178
56 219 67
104 206 200
135 216 119
219 238 67
46 144 255
132 182 182
9 91 91
41 96 143
69 234 63
124 182 182
52 78 161
164 213 213
197 229 197
94 249 253
12 124 62
188 244 182
155 199 155
46 147 147
140 219 252
85 99 27
13 28 208
1 4 1
8 150 150
54 236 54
12 236 62
13 81 208
100 133 17
160 240 83
81 145 68
40 180 185
134 170 170
97 210 97
104 246 246
22 37 59
16 191 152
33 133 168
230 233 112
221 243 221
165 248 136
120 221 120
51 159 221
160 175 83
188 252 252
32 203 44
8 143 143
57 115 57
234 249 253
52 217 137
135 138 34
133 173 173
147 208 208
37 170 170
38 117 38
8 172 153
132 222 95
142 225 142
60 106 21
15 32 250
14 236 229
66 231 231
95 98 95
9 12 62
28 57 171
31 162 162
177 218 190
78 123 161
113 128 195
100 156 156
