256 32640
23 95 95
13 185 185
35 113 113
47 229 229
10 50 50
19 158 158
17 95 95
223 247 247
119 191 119
29 110 110
93 143 93
7 167 167
31 187 187
232 233 232
111 117 117
90 176 176
136 238 136
45 239 239
70 227 227
73 256 73
74 125 125
209 235 235
93 250 93
141 180 141
124 256 256
11 140 11
69 162 162
58 240 240
91 151 151
121 166 121
69 116 116
53 79 53
35 245 35
101 199 101
188 230 230
25 80 80
28 131 131
27 129 27
63 125 63
145 193 193
125 189 189
56 121 56
82 193 193
192 207 207
99 195 195
121 131 131
170 175 170
162 209 162
75 192 192
209 256 209
213 231 213
119 181 119
19 172 172
6 235 235
63 85 63
135 164 164
92 246 246
28 156 156
101 177 101
23 229 229
121 139 121
56 111 56
126 150 150
31 136 136
192 206 206
41 128 41
75 190 190
49 148 148
84 254 254
52 77 77
162 214 162
112 183 112
36 199 199
191 210 191
39 98 98
101 111 101
63 95 95
215 233 215
164 211 164
113 185 113
64 174 174
194 223 194
113 246 246
51 203 51
1 61 1
16 40 16
34 232 34
238 241 238
44 171 171
102 242 242
17 120 120
49 234 49
24 120 120
72 136 136
8 219 8
31 67 67
106 177 177
163 177 177
14 205 205
33 95 95
174 186 186
12 27 27
91 212 91
60 160 60
119 172 119
122 171 171
137 203 137
224 256 224
113 236 113
160 185 185
79 146 146
93 174 93
146 220 146
24 108 108
9 199 199
48 118 118
173 227 227
220 248 248
64 133 64
24 243 243
198 200 200
118 229 229
226 239 239
25 199 199
114 176 114
44 97 97
20 238 238
18 136 136
179 191 191
61 162 162
69 173 173
58 63 63
56 186 186
46 90 46
221 235 235
66 173 173
18 59 59
118 254 254
215 236 215
160 170 170
5 177 5
88 139 139
104 106 104
184 248 248
17 28 17
135 170 170
107 135 135
52 80 80
30 64 30
242 255 255
230 249 230
80 250 80
91 201 91
15 82 82
23 164 164
153 199 153
2 50 50
98 115 98
26 199 199
141 246 246
92 192 92
74 84 84
93 111 93
82 210 82
186 254 254
106 140 140
41 110 110
43 179 43
162 228 162
38 211 38
31 73 73
193 214 193
134 235 235
83 141 83
57 151 151
14 239 239
84 133 133
86 192 86
117 133 117
11 236 11
43 113 113
12 209 209
116 170 170
27 112 27
73 171 171
117 137 117
31 64 64
164 209 209
101 174 101
98 244 98
129 238 238
18 226 226
102 182 182
95 105 95
143 231 143
98 228 98
237 245 237
36 253 253
171 227 227
139 247 247
18 52 18
80 183 80
187 191 191
217 247 247
98 208 208
41 60 60
100 163 100
15 23 15
73 243 243
55 238 238
180 241 241
22 225 22
80 194 194
161 173 173
139 143 143
71 185 185
182 199 182
48 207 207
131 204 131
22 101 101
106 232 232
40 82 82
13 42 42
164 254 254
50 216 50
73 208 208
112 152 112
37 40 37
42 211 42
89 216 89
79 99 99
48 148 148
9 244 244
127 255 127
13 57 57
3 50 3
161 252 252
93 160 93
37 95 95
111 128 128
17 55 17
105 240 240
16 220 220
226 251 251
179 255 255
5 213 213
65 105 65
62 85 62
57 122 57
47 199 199
211 222 222
47 150 150
53 180 53
88 213 213
65 163 65
1 55 1
3 122 3
106 189 189
107 111 111
67 245 67
63 114 114
27 213 27
158 232 232
129 137 137
98 200 200
71 90 71
171 204 171
110 187 110
88 248 248
136 173 173
37 103 103
83 170 83
114 240 114
163 233 233
60 168 168
178 200 178
62 143 62
106 176 176
165 195 195
97 177 97
91 160 91
145 234 145
109 126 126
145 151 151
114 169 114
76 128 128
142 154 142
59 130 59
30 231 231
60 176 60
26 80 80
208 219 208
55 165 165
58 168 168
60 164 60
77 141 77
87 203 203
184 245 184
100 231 231
34 203 34
109 256 109
79 223 223
38 110 110
157 210 157
121 138 121
48 136 136
252 255 255
31 200 200
209 219 209
62 215 215
200 255 255
4 230 230
172 176 176
12 233 233
195 207 195
151 199 151
157 190 190
129 155 155
128 145 145
26 215 215
180 242 242
95 218 95
65 253 253
54 134 54
153 215 215
24 225 24
121 205 205
75 84 84
169 222 169
79 94 94
117 159 117
60 147 147
27 116 27
43 186 186
145 245 145
22 226 22
204 250 250
83 189 83
45 240 240
125 231 231
165 200 165
114 147 147
92 101 101
111 195 195
75 195 195
91 103 91
55 137 137
15 61 15
41 77 77
66 123 66
46 177 46
48 109 109
56 149 56
76 89 89
16 38 38
44 53 44
26 33 33
210 220 220
25 66 25
107 222 222
42 130 42
205 242 242
179 220 220
67 202 67
99 136 136
22 130 22
13 250 250
60 94 60
61 158 158
120 211 120
52 246 246
35 174 174
48 56 56
33 153 153
147 210 147
37 239 239
98 166 98
120 235 120
192 246 246
25 42 42
110 200 110
99 113 113
90 233 233
98 164 98
217 249 217
7 93 93
121 252 252
5 183 5
66 215 215
144 234 144
107 239 239
34 159 34
11 215 215
169 212 169
175 235 235
80 216 80
39 100 100
12 179 12
242 254 254
87 180 180
32 133 133
103 141 141
147 189 147
41 157 41
134 163 163
11 160 11
35 231 231
64 110 110
40 135 135
20 100 100
37 175 175
10 114 114
189 227 227
93 251 93
159 213 213
163 166 163
201 231 231
108 162 108
202 241 241
15 120 120
61 191 191
20 143 143
184 233 233
150 182 182
75 87 87
24 103 103
4 153 153
104 164 104
109 115 109
22 124 22
26 182 182
94 220 94
22 123 22
28 39 28
177 237 237
6 28 28
12 126 126
13 16 13
41 67 67
12 169 169
44 127 127
28 226 226
57 229 229
234 253 253
149 162 162
14 40 14
104 194 104
48 179 48
18 158 158
212 218 212
67 209 67
21 64 21
187 219 187
105 225 105
11 47 11
67 102 67
102 208 208
144 195 195
52 256 256
131 167 131
33 147 147
72 86 86
96 143 143
71 230 71
170 244 170
176 188 176
100 235 235
186 242 186
34 111 34
30 115 30
12 73 73
131 243 243
173 195 173
65 69 65
72 125 72
7 150 150
50 63 50
154 167 167
195 233 195
7 217 217
127 235 127
168 205 168
195 212 195
48 63 63
173 213 213
72 152 152
82 202 82
7 100 100
31 91 91
171 216 171
34 82 82
144 170 170
110 142 110
39 119 119
232 240 232
1 197 1
53 123 53
46 104 104
38 237 38
152 159 152
74 204 204
176 219 176
104 254 104
29 244 244
120 230 120
135 159 159
15 94 94
67 219 67
205 238 238
90 196 196
50 126 50
143 172 143
132 238 238
40 56 56
92 112 112
27 237 27
108 155 155
147 203 147
15 37 37
216 239 239
63 91 91
78 81 81
107 197 197
55 236 55
22 58 22
55 132 132
29 228 29
149 171 171
27 135 27
49 54 54
77 187 77
67 137 67
52 143 143
22 249 22
1 8 1
2 106 2
197 235 197
6 30 30
8 185 185
30 198 30
116 213 213
198 205 205
161 248 161
54 75 54
29 187 29
169 172 169
66 239 239
31 112 112
129 173 173
22 95 95
83 95 83
20 77 77
146 173 173
128 140 128
183 230 230
122 158 158
160 180 160
66 217 217
91 197 197
143 247 247
140 201 140
118 212 212
185 220 185
162 173 173
158 189 158
11 82 82
16 122 122
146 224 224
112 198 112
3 193 193
16 181 16
38 201 38
25 141 141
231 244 231
104 187 104
116 173 173
109 195 195
99 191 191
118 233 118
49 138 49
124 196 196
215 229 215
96 247 247
71 201 71
60 247 247
205 250 250
16 237 237
41 66 41
142 216 142
5 139 5
19 46 46
77 221 221
56 72 56
167 210 167
78 169 169
68 251 68
39 170 170
116 191 116
18 205 205
77 230 77
142 221 142
84 117 117
109 239 109
106 219 219
38 249 38
197 230 197
57 155 155
86 124 86
26 174 174
154 172 154
3 24 3
115 203 115
57 119 57
169 193 193
55 106 55
186 198 186
134 177 177
109 169 169
56 174 56
107 214 214
24 64 24
26 150 150
141 197 197
119 159 119
184 211 211
36 98 98
5 89 89
66 165 165
202 221 221
53 223 223
31 231 231
30 149 30
11 28 11
94 239 239
27 188 27
90 162 162
91 137 91
157 165 165
127 153 127
196 238 196
70 208 208
82 237 82
56 63 63
93 175 93
176 217 217
107 144 144
116 152 152
114 215 215
105 163 105
40 96 96
82 218 82
118 175 118
5 72 5
144 239 239
6 195 195
137 204 137
72 81 81
136 155 136
8 171 171
131 183 131
28 62 62
125 216 125
19 249 249
61 216 216
16 76 16
58 236 58
59 71 59
73 184 73
14 166 14
43 166 43
37 245 37
82 245 82
8 121 8
63 208 208
102 197 197
185 213 213
50 58 50
93 204 93
36 156 156
48 141 141
214 223 223
76 160 160
231 234 231
145 149 145
198 250 250
183 252 252
47 225 47
192 251 251
67 100 67
135 190 190
164 238 238
10 179 10
5 54 54
185 240 185
36 72 36
12 104 104
24 187 24
170 199 170
27 196 27
26 89 89
65 106 65
85 107 85
1 243 1
175 216 175
38 228 38
64 245 64
37 244 244
42 144 42
112 122 112
120 155 120
72 100 100
131 213 213
64 232 232
167 230 230
179 187 187
125 157 157
55 204 55
7 210 7
8 200 200
22 246 246
94 226 94
168 176 168
73 173 173
71 91 91
10 87 10
86 164 164
42 46 42
29 82 82
90 222 222
122 168 168
74 166 166
103 163 103
139 204 204
25 43 43
35 185 185
76 163 163
104 128 104
36 209 209
42 104 104
126 208 208
60 232 232
111 236 111
53 112 112
17 76 17
69 186 186
202 251 251
145 155 155
154 176 154
122 225 122
8 118 8
42 154 42
234 251 251
14 179 14
165 228 165
156 204 156
29 121 121
13 89 89
102 202 102
149 165 165
202 223 223
31 50 50
24 253 253
65 144 65
73 91 91
88 91 91
167 229 229
30 233 30
87 114 114
65 226 65
7 203 7
236 256 256
66 72 72
71 165 165
34 97 97
131 141 141
151 185 151
202 215 215
111 204 204
16 247 247
141 193 193
47 200 200
51 195 195
68 178 178
186 189 186
3 256 3
46 114 114
15 40 15
1 172 1
29 158 158
114 168 114
120 246 246
173 223 173
126 128 126
18 211 211
31 242 242
21 105 21
100 161 100
6 64 64
141 223 141
123 222 222
67 103 67
101 160 101
110 176 110
31 196 196
84 225 225
176 180 176
127 218 127
144 255 255
85 132 85
119 169 169
67 74 67
26 133 133
116 241 116
181 213 213
233 240 240
128 203 128
50 202 50
66 177 177
88 181 88
98 170 98
143 221 221
66 234 234
156 210 156
70 91 91
36 50 50
42 126 126
127 138 127
38 142 142
13 159 13
32 123 32
141 156 156
69 178 178
12 141 141
13 80 80
80 162 80
167 215 215
100 180 100
18 110 110
225 256 225
66 151 151
123 137 137
11 62 62
112 135 112
232 242 232
41 53 53
10 254 254
187 217 217
87 133 133
95 124 95
54 97 54
32 214 214
108 223 108
128 139 128
62 163 62
80 201 80
14 187 187
147 206 147
61 105 105
133 159 133
209 242 242
148 216 148
20 190 190
5 240 5
116 242 242
170 191 170
50 165 50
40 134 40
6 109 109
131 205 131
130 217 217
73 93 93
96 106 96
232 246 246
30 93 93
169 188 169
191 227 227
29 217 217
38 70 38
103 127 127
54 82 54
48 236 48
3 180 3
29 67 67
133 197 197
92 156 156
13 247 247
26 90 90
68 221 68
22 77 77
159 206 206
184 202 184
45 47 47
116 127 127
97 205 97
57 225 57
166 210 210
214 221 221
169 201 169
154 247 247
102 116 116
125 226 226
13 252 252
90 100 100
197 248 197
227 241 227
72 242 242
6 192 6
97 182 182
145 206 145
180 220 220
88 224 224
