128 4748
29 32 1
88 99 29
60 107 88
116 127 107
50 121 127
78 104 121
28 71 78
42 128 28
30 86 42
51 124 30
47 81 124
61 120 81
2 52 61
11 77 2
55 76 11
22 110 76
69 114 22
25 59 69
46 66 25
83 98 66
53 115 98
15 112 53
64 90 112
79 109 64
24 106 79
72 89 106
48 126 89
122 125 126
57 74 122
6 73 74
75 85 6
87 113 75
7 58 113
33 41 58
26 103 41
67 94 103
18 118 94
4 9 118
19 49 4
80 96 49
8 35 80
45 70 8
17 20 45
37 111 20
12 105 111
21 23 105
82 101 23
13 108 82
14 34 108
91 100 14
65 93 91
43 117 65
56 84 43
63 119 56
10 68 63
36 97 10
3 31 97
16 54 31
40 44 16
27 92 44
38 123 27
5 102 123
39 62 102
1 95 1
29 95 29
88 95 88
95 107 107
95 127 127
95 121 121
78 95 78
28 95 28
42 95 42
30 95 30
95 124 124
81 95 81
61 95 61
2 95 2
11 95 11
76 95 76
22 95 22
69 95 69
25 95 25
66 95 66
95 98 98
53 95 53
95 112 112
64 95 64
79 95 79
95 106 106
89 95 89
95 126 126
95 122 122
74 95 74
6 95 6
75 95 75
95 113 113
58 95 58
41 95 41
95 103 103
94 95 94
95 118 118
4 95 4
49 95 49
80 95 80
8 95 8
45 95 45
20 95 20
95 111 111
95 105 105
23 95 23
82 95 82
95 108 108
14 95 14
91 95 91
65 95 65
43 95 43
56 95 56
63 95 63
10 95 10
95 97 97
31 95 31
16 95 16
44 95 44
27 95 27
95 123 123
95 102 102
62 95 62
32 95 1
95 99 29
60 95 88
95 116 107
50 95 127
95 104 121
71 95 78
95 128 28
86 95 42
51 95 30
47 95 124
95 120 81
52 95 61
77 95 2
55 95 11
95 110 76
95 114 22
59 95 69
46 95 25
83 95 66
95 115 98
15 95 53
90 95 112
95 109 64
24 95 79
72 95 106
48 95 89
95 125 126
57 95 122
73 95 74
85 95 6
87 95 75
7 95 113
33 95 58
26 95 41
67 95 103
18 95 94
9 95 118
19 95 4
95 96 49
35 95 80
70 95 8
17 95 45
37 95 20
12 95 111
21 95 105
95 101 23
13 95 82
34 95 108
95 100 14
93 95 91
95 117 65
84 95 43
95 119 56
68 95 63
36 95 10
3 95 97
54 95 31
40 95 16
92 95 44
38 95 27
5 95 123
39 95 102
16 68 63
75 124 124
69 77 2
31 34 108
71 127 127
19 99 29
125 127 127
74 123 74
64 76 76
34 66 66
84 107 107
67 74 74
34 101 23
109 119 64
9 92 118
62 117 65
12 29 29
88 104 88
1 71 1
37 83 66
32 43 1
12 44 111
29 34 29
84 121 121
1 30 1
11 28 28
82 102 82
52 127 127
1 96 1
19 34 4
120 124 124
43 103 103
34 43 108
78 120 78
47 100 124
45 64 64
79 115 98
15 103 53
101 108 23
38 51 30
76 127 127
41 121 121
17 70 8
89 122 89
30 121 121
19 86 42
9 80 118
42 48 42
32 116 1
36 102 10
18 20 94
4 91 4
1 88 1
22 72 22
38 52 61
34 37 20
5 73 74
60 79 88
33 48 89
49 78 78
2 109 2
46 94 25
48 105 89
96 117 49
59 117 69
11 78 78
1 32 1
4 128 28
14 57 122
5 39 123
76 77 2
8 27 8
53 78 78
5 72 106
77 118 2
2 83 2
69 104 121
45 98 98
19 91 4
63 120 81
63 96 49
64 72 64
10 93 91
10 100 14
53 81 81
7 45 113
82 111 111
2 84 2
44 64 64
13 107 107
83 90 66
84 100 14
26 78 78
32 54 1
15 37 53
58 92 58
42 99 29
4 74 74
86 127 127
26 65 41
61 88 88
36 87 75
74 75 74
37 39 20
44 61 61
26 125 126
50 111 127
83 87 66
80 128 28
5 38 27
64 124 124
47 88 88
1 60 1
2 58 2
40 92 16
5 92 44
108 115 98
19 97 4
13 117 82
26 63 41
57 107 107
23 112 112
38 68 63
34 71 78
5 25 25
53 62 53
7 39 113
34 76 76
82 128 28
1 15 1
29 42 29
67 117 103
40 117 65
19 112 112
17 117 45
4 124 124
17 30 30
13 14 82
51 107 107
10 20 20
56 107 107
11 64 11
121 126 121
51 88 88
53 113 53
60 81 88
17 84 45
30 81 30
12 100 111
3 16 97
44 106 106
2 73 2
88 127 88
13 68 82
61 127 127
22 97 22
33 55 11
62 92 44
97 101 23
47 72 124
3 34 108
16 37 20
87 118 75
29 88 29
87 107 107
31 119 56
55 114 11
55 119 11
21 56 105
51 78 78
32 46 1
23 40 23
17 44 45
70 117 8
102 119 56
33 52 61
37 75 75
11 24 11
23 62 23
42 110 42
56 89 89
28 103 28
30 33 30
45 82 45
28 78 78
44 78 78
30 58 30
19 115 98
24 86 42
104 107 107
78 107 107
24 39 79
24 118 79
58 66 66
4 15 53
57 61 61
18 127 127
28 52 28
39 115 98
29 60 29
28 70 28
83 123 66
29 41 29
48 128 28
18 113 113
5 59 69
27 63 63
71 114 78
87 100 75
43 101 23
19 108 4
4 55 11
2 104 121
11 33 11
15 50 127
61 107 107
101 107 107
5 67 103
52 54 61
26 112 112
7 121 121
8 45 8
58 84 58
13 126 126
56 67 103
56 66 66
14 35 80
9 74 74
1 39 1
12 35 80
72 118 106
22 24 22
62 93 91
123 128 28
35 120 81
38 41 41
7 27 113
39 40 16
104 121 121
63 85 6
96 119 49
64 94 64
36 93 91
3 22 22
3 7 113
11 46 11
5 54 31
3 40 97
15 78 78
5 34 108
22 98 22
59 94 69
39 52 61
16 85 6
1 120 1
16 46 25
115 123 98
85 128 28
35 37 80
2 76 2
28 59 28
92 101 23
43 128 28
38 101 23
53 116 107
75 108 75
15 94 53
78 96 78
39 48 89
107 127 107
23 77 2
123 126 126
69 86 42
26 81 81
10 107 107
37 78 78
74 83 66
59 122 69
31 117 65
63 93 91
66 103 66
37 43 20
123 127 127
71 99 29
70 72 106
23 63 23
29 33 29
25 94 25
11 118 11
42 56 42
50 76 127
37 87 75
16 42 42
84 97 43
46 125 25
30 124 30
65 128 28
38 107 107
15 34 53
31 55 11
28 65 28
70 85 6
26 43 41
24 41 79
13 44 82
43 58 58
11 98 11
40 99 29
64 83 66
4 110 76
7 66 66
68 93 91
100 102 14
15 71 78
34 86 42
72 123 106
46 51 30
1 78 1
41 59 69
24 74 79
9 12 118
78 94 78
52 113 61
48 72 106
30 111 30
27 111 111
101 123 23
51 53 30
2 98 2
88 96 88
6 109 64
53 76 76
88 102 88
71 78 78
85 126 126
89 112 112
34 48 89
41 106 106
4 53 53
4 21 4
26 98 98
35 38 80
11 48 11
71 100 78
60 83 88
75 84 75
2 124 124
2 127 127
54 109 64
51 116 107
3 72 106
13 43 82
21 84 105
33 94 58
15 24 53
50 82 127
69 117 69
47 74 124
11 66 11
1 107 1
5 35 80
41 96 41
47 126 124
56 101 23
31 85 6
15 61 61
114 121 121
3 53 53
9 43 118
38 86 42
30 79 30
115 116 107
67 91 103
61 81 81
89 126 89
5 110 76
86 106 42
2 88 88
30 80 30
35 87 75
13 70 8
94 107 107
16 92 16
59 91 69
19 92 4
3 57 122
68 125 126
26 44 41
6 83 66
84 102 43
11 55 11
82 90 112
24 91 79
7 55 11
31 58 58
21 97 105
1 99 1
15 87 53
22 117 22
122 126 126
14 20 20
42 127 127
41 97 41
18 55 11
122 127 127
60 101 88
65 77 2
41 69 69
90 126 112
42 116 107
36 128 28
77 124 124
54 62 31
41 57 122
47 71 78
13 102 82
33 78 78
87 116 107
30 115 30
34 102 108
62 111 111
75 76 76
102 117 65
109 124 124
90 96 112
86 101 42
39 67 103
96 104 121
36 59 69
62 90 112
109 120 81
23 82 23
36 58 58
108 111 111
120 121 121
14 59 69
72 113 106
24 29 29
68 86 42
55 96 11
36 123 10
16 36 10
8 55 11
6 111 6
43 70 8
3 54 97
67 80 103
17 78 78
1 83 1
93 123 91
41 128 28
35 99 29
45 74 74
38 119 56
39 92 44
22 115 22
12 72 106
85 102 6
78 118 78
40 106 106
118 121 121
24 75 79
61 109 61
12 38 111
38 117 65
1 3 1
42 74 42
63 77 2
47 77 124
6 19 6
2 122 2
67 68 103
11 30 30
20 37 20
15 25 25
21 119 105
15 77 2
24 84 79
3 33 58
45 46 25
1 121 1
13 93 82
71 117 78
38 46 25
65 90 112
52 98 61
106 109 64
21 54 105
51 100 30
54 84 43
66 73 66
72 97 106
28 85 28
25 54 25
42 112 42
21 37 20
19 56 4
12 40 111
1 5 1
56 93 91
64 77 2
107 124 107
26 105 41
26 45 41
30 88 88
15 38 53
76 81 81
9 78 78
78 124 78
16 86 42
33 82 58
43 65 65
25 98 25
17 33 58
45 91 45
52 70 61
54 90 112
24 72 79
23 110 76
65 96 49
16 125 126
20 66 66
104 111 121
17 116 107
64 125 64
66 79 66
99 124 29
58 89 89
3 68 63
97 119 56
96 102 49
38 125 126
18 30 30
89 121 121
19 100 4
59 70 69
7 102 113
20 69 69
17 22 22
38 65 65
76 124 124
20 51 30
83 88 88
11 25 11
29 86 29
3 92 97
4 44 4
30 42 42
91 113 113
29 121 29
14 70 8
96 115 98
14 117 14
33 92 58
36 38 10
51 86 42
107 116 107
107 121 107
37 54 20
64 66 66
55 88 88
30 82 30
35 122 122
51 85 30
30 92 30
53 75 53
20 80 80
106 124 124
29 99 29
28 121 121
18 92 94
112 123 112
61 96 61
10 19 4
20 91 20
80 101 80
6 53 53
126 127 127
38 127 127
6 62 6
64 106 64
71 104 121
45 96 49
11 60 88
69 96 69
12 112 112
45 113 113
12 75 75
83 109 66
36 62 10
72 82 106
84 93 91
46 88 88
3 17 45
36 50 127
67 78 78
10 110 76
89 90 112
43 115 98
35 40 80
63 64 64
20 26 41
58 86 42
26 40 41
14 72 106
81 118 81
68 96 49
60 90 88
14 24 79
2 108 2
47 57 124
47 82 124
38 71 78
27 122 122
56 92 56
43 74 74
15 93 53
4 112 112
74 98 98
23 34 23
13 57 122
11 90 11
22 49 22
8 48 89
34 41 41
7 117 113
9 39 118
21 69 69
28 113 28
7 14 113
20 104 121
47 107 107
35 93 80
42 104 121
57 83 66
2 40 2
57 108 122
5 84 43
1 69 1
36 109 64
11 19 11
7 63 113
31 101 23
1 7 1
96 122 122
17 48 89
13 118 118
26 94 41
29 69 29
31 84 43
22 116 107
61 70 61
29 116 29
35 85 6
75 115 98
101 119 23
66 101 66
30 120 30
12 70 8
8 30 30
62 65 65
93 101 23
33 56 58
86 88 88
77 92 2
51 71 78
40 127 127
1 75 1
32 79 1
34 73 74
40 65 65
3 101 23
28 46 28
63 97 63
25 74 25
11 34 11
70 103 103
64 69 69
40 60 88
29 47 29
46 96 25
13 73 74
43 87 75
77 128 28
93 111 111
51 76 30
71 101 78
41 44 41
19 36 4
3 32 1
64 96 64
9 128 28
3 30 30
3 82 82
45 125 126
36 84 43
53 123 53
21 36 105
42 122 42
83 114 22
77 102 2
32 73 1
33 80 58
51 52 30
30 51 30
15 89 53
69 109 69
32 96 1
15 107 107
69 127 127
59 78 78
27 42 42
74 97 74
31 41 41
21 111 111
33 68 58
78 103 78
76 122 76
9 13 118
48 63 89
9 121 121
86 89 42
40 62 16
5 114 22
31 39 31
16 29 29
61 104 121
15 106 53
94 126 126
10 18 94
60 88 88
36 39 10
57 104 121
9 44 118
72 121 121
30 77 30
66 69 69
72 104 121
22 83 22
116 119 107
82 105 105
26 72 106
43 88 88
1 127 1
43 96 49
39 46 25
29 59 29
91 118 118
33 47 124
19 79 79
39 114 22
23 97 23
58 123 58
68 123 63
59 67 69
16 24 79
33 50 127
10 32 1
53 92 53
34 94 94
6 97 6
71 85 78
10 14 14
55 72 11
27 96 49
97 105 105
38 39 27
65 110 76
21 62 105
52 80 61
98 113 98
43 98 98
50 128 127
12 103 103
5 31 31
51 108 30
59 68 69
55 97 11
22 109 22
49 67 103
29 127 29
40 53 53
73 81 81
77 91 2
1 104 1
18 125 126
27 35 80
34 97 108
9 24 79
10 101 23
70 84 8
78 89 78
53 66 66
36 114 22
89 114 22
24 30 30
60 122 88
52 114 61
66 117 66
44 54 31
66 96 66
14 86 42
32 82 1
9 111 118
62 119 56
66 123 66
15 122 53
40 90 112
21 34 105
88 113 88
34 119 108
70 83 66
98 118 98
117 119 65
105 124 124
25 93 25
101 106 106
83 86 42
25 78 78
51 110 30
65 68 65
46 86 42
46 98 25
12 108 111
23 73 74
42 108 42
77 97 2
23 80 80
72 90 112
38 120 81
50 110 127
68 115 98
49 55 11
7 70 113
12 17 45
16 113 113
28 68 28
63 117 65
10 87 75
2 61 61
29 124 29
97 109 64
23 56 23
37 62 20
53 85 53
4 118 118
106 122 106
3 35 80
48 111 89
27 118 118
27 67 103
50 88 88
81 96 81
69 101 69
54 123 31
24 25 25
43 82 82
78 83 78
29 77 29
16 81 81
92 102 44
57 84 122
72 103 106
18 78 78
39 66 66
66 124 124
3 118 118
4 84 4
11 47 124
25 89 25
12 104 121
27 105 105
72 105 106
73 125 126
13 16 82
28 42 28
100 115 98
46 63 25
17 47 124
110 121 121
34 35 80
22 114 22
80 107 107
8 26 41
18 45 94
12 116 107
75 107 107
37 85 6
18 33 58
98 105 98
3 107 107
54 81 81
9 117 118
29 46 29
56 98 98
114 120 81
40 74 74
78 88 88
24 61 61
13 98 98
30 45 30
61 125 61
2 86 42
17 58 58
86 100 42
31 68 63
88 116 88
17 68 45
20 98 98
14 37 20
57 94 122
43 100 14
8 65 8
21 60 88
23 70 8
27 54 31
29 70 29
97 117 65
92 123 44
4 29 29
66 75 66
85 108 6
13 103 103
69 113 69
13 15 53
3 108 108
69 115 69
36 42 42
29 52 29
4 63 4
11 83 11
12 118 118
14 79 79
6 121 121
16 91 91
42 105 42
47 122 124
26 90 112
22 84 22
76 91 76
56 59 69
44 119 56
69 72 69
5 52 61
54 110 76
36 83 66
27 40 16
101 122 122
92 116 107
10 26 41
13 34 82
10 128 28
87 126 126
93 117 91
80 109 64
42 69 42
18 54 94
28 64 28
43 51 30
37 42 42
25 79 25
8 11 11
27 55 11
78 113 78
54 60 88
51 106 30
16 118 118
35 91 80
93 109 64
13 91 82
39 77 2
62 84 43
6 13 6
91 109 64
6 101 6
59 106 69
103 110 76
26 47 124
17 74 74
1 116 1
2 17 2
43 109 64
68 116 107
87 124 124
52 117 61
39 73 74
20 117 20
61 66 61
14 120 81
2 51 30
88 128 88
2 125 2
26 68 41
71 80 78
1 47 1
3 44 97
84 96 49
27 36 10
15 86 42
41 82 41
48 62 89
6 127 127
35 97 80
63 94 94
44 123 44
41 68 41
27 101 23
44 128 28
38 40 16
69 116 107
50 98 127
54 92 31
2 54 2
6 79 79
31 70 8
85 97 6
85 114 22
120 127 127
61 65 61
54 93 91
34 46 25
8 114 22
32 59 1
33 36 58
64 127 127
47 92 124
1 90 1
64 86 42
8 57 122
19 46 25
71 79 78
60 94 88
33 46 25
6 120 81
91 97 91
71 125 78
78 121 121
49 76 76
121 128 121
77 78 78
24 51 30
24 62 79
82 124 124
34 55 11
17 92 45
20 46 25
1 115 1
8 113 113
75 109 64
115 128 28
19 90 112
53 61 61
10 36 10
33 69 69
54 128 28
38 62 27
20 53 53
21 107 107
20 27 20
48 100 89
18 108 94
63 126 126
7 84 113
40 111 111
93 100 14
29 50 29
61 74 61
24 28 28
17 36 45
71 123 78
4 93 4
5 61 61
12 43 111
88 118 88
9 60 88
5 93 91
40 121 121
88 107 88
46 107 107
14 50 127
17 102 45
27 125 126
1 29 1
9 45 118
3 80 80
56 96 49
3 93 91
73 115 98
65 101 23
81 107 107
54 55 11
31 100 14
6 94 6
9 22 22
105 119 105
6 77 2
16 120 81
52 85 61
24 57 79
11 61 61
17 51 30
42 47 42
3 47 124
21 44 105
3 13 82
3 106 106
44 89 89
2 33 2
6 55 11
92 113 113
30 49 30
49 52 61
5 119 56
106 111 106
38 118 118
53 120 81
58 81 81
58 108 58
114 123 22
72 84 106
40 123 16
20 42 42
4 16 4
14 83 66
86 121 121
51 81 30
93 126 126
64 73 64
92 117 65
27 85 6
26 74 74
25 32 1
2 107 107
12 52 61
13 27 82
72 83 66
3 48 89
8 12 8
6 24 79
104 127 127
37 90 112
56 90 112
29 73 29
60 119 88
46 83 25
54 70 8
5 62 123
85 103 6
38 44 44
91 112 112
108 120 81
67 71 78
19 94 94
54 73 74
2 26 2
46 52 61
60 91 88
56 120 81
56 112 112
49 125 126
28 62 28
62 97 97
20 108 20
12 82 111
49 56 49
62 89 89
40 58 58
11 94 11
41 118 41
55 115 11
10 94 94
29 107 29
41 61 61
67 105 103
8 102 8
23 58 58
98 100 98
5 91 91
89 104 121
24 105 79
103 125 126
9 109 64
75 113 75
101 104 121
28 126 28
80 104 121
60 98 88
61 86 42
78 101 78
5 13 82
50 117 127
70 108 8
60 74 88
29 89 29
28 108 28
24 124 124
58 99 29
2 66 2
75 122 122
25 53 25
7 49 113
42 96 42
26 100 41
44 124 124
48 50 127
65 123 65
35 90 112
9 120 81
38 92 44
16 34 108
17 65 45
37 55 11
86 115 42
104 112 121
45 87 75
73 122 122
72 119 106
28 99 29
1 37 1
25 57 25
79 126 79
89 96 89
40 41 41
38 102 27
34 104 121
13 45 45
41 126 126
2 55 2
89 93 89
45 51 30
12 90 112
1 45 1
43 60 88
21 91 105
71 96 78
30 78 78
42 58 42
31 65 65
46 69 69
14 65 14
46 111 25
53 86 42
13 87 75
27 33 58
67 102 103
69 122 69
73 90 112
41 75 75
62 68 63
1 81 1
31 36 10
63 90 112
82 120 81
12 85 6
79 88 88
20 64 64
18 34 94
27 32 1
50 122 127
28 88 88
38 90 112
51 66 30
55 67 11
76 80 76
17 106 106
57 75 122
3 27 97
21 75 75
36 40 10
5 57 122
34 109 64
34 38 108
60 85 88
43 89 89
45 67 103
61 63 61
72 114 22
59 81 81
67 89 89
24 113 79
55 70 11
27 100 14
10 113 113
108 118 118
26 33 58
25 36 25
19 105 4
3 36 10
69 123 69
19 63 4
38 114 22
28 48 28
20 68 20
47 96 124
42 52 42
93 108 108
19 89 89
17 37 45
9 70 118
2 21 2
114 117 22
23 85 6
83 105 66
12 34 111
53 125 53
26 93 41
11 110 11
1 68 1
10 17 45
68 76 76
41 58 58
87 122 122
22 42 42
56 113 113
60 78 88
34 111 111
4 85 6
33 61 61
64 116 107
40 84 43
40 96 49
74 93 74
12 71 78
4 97 4
42 81 42
7 79 79
105 111 111
58 102 58
33 125 126
79 100 79
74 85 74
2 24 2
59 119 69
6 122 122
26 117 41
81 125 81
23 119 23
9 126 126
1 87 1
23 28 28
34 112 112
8 9 118
34 98 98
15 126 53
26 35 41
16 104 121
31 67 103
13 29 29
10 35 80
93 119 91
66 82 66
34 105 105
18 104 121
22 59 22
61 62 61
27 84 43
7 31 113
13 96 49
83 84 66
15 97 53
6 63 6
1 24 1
106 120 81
2 116 107
87 90 112
62 118 118
19 117 4
57 125 126
19 111 4
17 23 45
20 62 20
66 78 78
76 115 76
71 87 78
73 92 74
29 120 29
110 125 76
17 94 94
42 117 42
5 128 28
18 97 94
6 112 112
5 11 11
21 63 105
37 105 20
50 60 88
23 91 23
33 108 58
34 61 61
60 112 88
9 119 118
79 103 79
26 84 41
80 85 6
44 84 43
19 29 29
9 76 76
10 117 65
113 120 81
48 127 127
51 90 30
47 60 88
40 81 81
16 22 22
77 94 2
107 113 107
53 79 53
29 44 29
33 109 64
22 31 22
15 63 53
56 71 78
65 75 75
5 117 65
18 90 112
82 119 82
62 80 80
79 116 107
24 50 127
9 84 118
6 108 6
18 32 1
34 93 108
37 108 20
12 73 74
1 70 1
99 111 29
15 29 29
106 113 106
92 93 91
53 88 88
3 116 107
45 127 127
22 88 88
42 113 42
23 83 66
16 124 124
58 100 58
59 113 69
8 111 8
32 117 1
7 35 113
58 121 121
12 50 127
23 94 94
64 128 28
28 39 28
74 128 28
58 126 126
22 87 22
15 74 53
19 70 4
2 38 2
24 90 112
1 61 1
68 102 63
12 96 49
8 67 103
117 123 65
59 99 29
33 84 58
40 102 16
64 89 64
3 18 94
6 118 6
32 105 1
45 115 98
24 79 79
1 31 1
59 100 69
51 70 30
22 107 107
72 109 64
57 73 122
92 121 121
65 120 81
68 73 74
28 69 28
15 102 53
41 113 113
71 111 78
4 12 4
5 17 45
7 115 98
19 93 4
45 73 74
93 97 91
34 62 108
21 68 105
92 100 14
33 126 126
56 72 106
15 127 127
71 121 121
45 124 124
63 83 66
25 126 25
115 125 98
63 123 63
2 69 2
34 58 58
40 48 89
66 112 66
68 92 63
81 92 81
74 102 74
1 36 1
20 119 20
39 89 89
73 86 42
