128 3553
2 3 1
2 4 1
2 5 1
2 6 1
2 7 1
8 9 2
8 10 2
8 11 2
8 12 2
8 13 2
14 15 8
14 16 8
14 17 8
14 18 8
14 19 8
20 21 14
20 22 14
20 23 14
20 24 14
20 25 14
26 27 20
26 28 20
26 29 20
26 30 20
26 31 20
32 33 26
32 34 26
32 35 26
32 36 26
32 37 26
38 39 32
38 40 32
38 41 32
38 42 32
38 43 32
44 45 38
44 46 38
44 47 38
44 48 38
44 49 38
50 51 44
50 52 44
50 53 44
50 54 44
50 55 44
56 57 50
56 58 50
56 59 50
56 60 50
56 61 50
62 63 56
62 64 56
62 65 56
62 66 56
62 67 56
68 69 62
68 70 62
68 71 62
68 72 62
68 73 62
74 75 68
74 76 68
74 77 68
74 78 68
74 79 68
80 81 74
80 82 74
80 83 74
80 84 74
80 85 74
86 87 80
86 88 80
86 89 80
86 90 80
86 91 80
92 93 86
92 94 86
92 95 86
92 96 86
92 97 86
98 99 92
98 100 92
98 101 92
98 102 92
98 103 92
104 105 98
104 106 98
104 107 98
104 108 98
104 109 98
110 111 104
110 112 104
110 113 104
110 114 104
110 115 104
116 117 110
116 118 110
116 119 110
116 120 110
116 121 110
122 123 116
122 124 116
122 125 116
122 126 116
122 127 116
3 128 1
4 128 1
5 128 1
6 128 1
7 128 1
9 128 2
10 128 2
11 128 2
12 128 2
13 128 2
15 128 8
16 128 8
17 128 8
18 128 8
19 128 8
21 128 14
22 128 14
23 128 14
24 128 14
25 128 14
27 128 20
28 128 20
29 128 20
30 128 20
31 128 20
33 128 26
34 128 26
35 128 26
36 128 26
37 128 26
39 128 32
40 128 32
41 128 32
42 128 32
43 128 32
45 128 38
46 128 38
47 128 38
48 128 38
49 128 38
51 128 44
52 128 44
53 128 44
54 128 44
55 128 44
57 128 50
58 128 50
59 128 50
60 128 50
61 128 50
63 128 56
64 128 56
65 128 56
66 128 56
67 128 56
69 128 62
70 128 62
71 128 62
72 128 62
73 128 62
75 128 68
76 128 68
77 128 68
78 128 68
79 128 68
81 128 74
82 128 74
83 128 74
84 128 74
85 128 74
87 128 80
88 128 80
89 128 80
90 128 80
91 128 80
93 128 86
94 128 86
95 128 86
96 128 86
97 128 86
99 128 92
100 128 92
101 128 92
102 128 92
103 128 92
105 128 98
106 128 98
107 128 98
108 128 98
109 128 98
111 128 104
112 128 104
113 128 104
114 128 104
115 128 104
117 128 110
118 128 110
119 128 110
120 128 110
121 128 110
123 128 116
124 128 116
125 128 116
126 128 116
127 128 116
1 128 1
2 128 2
8 128 8
14 128 14
20 128 20
26 128 26
32 128 32
38 128 38
44 128 44
50 128 50
56 128 56
62 128 62
68 128 68
74 128 74
80 128 80
86 128 86
92 128 92
98 128 98
104 128 104
110 128 110
116 128 116
122 128 122
16 35 8
123 125 116
77 78 68
48 62 38
8 57 8
26 122 26
69 73 62
26 107 26
58 64 50
40 43 32
9 11 2
8 48 8
99 111 92
5 48 1
44 101 44
45 67 38
70 72 62
2 79 2
99 102 92
94 124 86
41 42 32
6 7 1
45 49 38
50 104 50
19 83 8
20 37 20
117 118 110
51 54 44
65 67 56
63 65 56
75 108 68
44 88 44
48 49 38
5 6 1
57 61 50
16 19 8
30 50 20
44 118 44
10 97 2
21 24 14
76 78 68
76 125 68
35 87 26
55 58 44
107 108 98
2 12 2
105 106 98
64 126 56
106 110 98
27 28 20
105 108 98
60 61 50
12 28 2
21 112 14
87 91 80
79 111 68
42 43 32
53 116 44
79 100 68
34 36 26
108 109 98
47 57 38
6 20 1
1 39 1
14 65 14
26 40 26
66 72 56
44 108 44
39 42 32
46 53 38
105 126 98
38 89 38
65 113 56
3 117 1
63 64 56
32 121 32
5 16 1
56 76 56
28 31 20
15 17 8
101 103 92
93 95 86
13 57 2
41 95 32
90 103 80
33 34 26
14 127 14
20 93 20
36 105 26
1 36 1
21 36 14
47 49 38
33 113 26
38 64 38
119 120 110
78 79 68
115 118 104
45 53 38
44 115 44
95 107 86
25 66 14
88 91 80
26 89 26
125 127 116
51 119 44
26 68 26
44 79 44
99 100 92
64 75 56
32 54 32
38 121 38
74 110 74
98 106 98
53 55 44
51 53 44
24 25 14
87 103 80
20 53 20
1 28 1
64 89 56
95 120 86
9 10 2
2 31 2
34 35 26
117 121 110
81 82 74
1 23 1
28 30 20
29 31 20
26 32 26
32 93 32
46 47 38
12 15 2
6 56 1
8 65 8
88 114 80
26 37 26
14 24 14
61 73 50
111 113 104
111 116 104
4 5 1
41 103 32
8 39 8
30 31 20
16 17 8
99 108 92
15 52 8
51 55 44
51 52 44
111 112 104
52 106 44
26 70 26
18 69 8
74 94 74
21 81 14
95 121 86
63 101 56
64 74 56
25 78 14
101 124 92
125 126 116
8 27 8
65 111 56
10 12 2
70 73 62
64 66 56
117 123 110
21 98 14
15 35 8
94 96 86
124 125 116
66 67 56
45 48 38
2 122 2
22 24 14
126 127 116
14 29 14
84 115 74
26 38 26
61 127 50
69 72 62
66 105 56
102 103 92
87 112 80
58 60 50
101 102 92
61 122 50
69 99 62
71 73 62
22 23 14
34 37 26
67 106 56
74 108 74
20 57 20
20 64 20
2 13 2
27 115 20
21 23 14
9 12 2
46 72 38
9 98 2
2 39 2
78 99 68
106 107 98
3 27 1
20 95 20
15 69 8
88 103 80
45 47 38
58 59 50
93 94 86
2 76 2
30 102 20
62 105 62
94 95 86
58 66 50
109 122 98
4 6 1
1 37 1
44 112 44
101 127 92
21 22 14
22 25 14
73 116 62
123 127 116
100 109 92
62 94 62
56 113 56
114 115 104
75 76 68
99 124 92
6 71 1
52 54 44
27 48 20
56 124 56
86 94 86
40 41 32
98 113 98
3 7 1
83 84 74
119 127 110
8 84 8
92 105 92
36 92 26
112 115 104
28 62 20
69 91 62
70 105 62
1 17 1
39 41 32
23 24 14
77 88 68
35 37 26
2 11 2
90 104 80
23 25 14
1 4 1
81 84 74
32 83 32
43 107 32
44 91 44
72 127 62
68 81 68
26 45 26
52 53 44
51 110 44
2 32 2
87 89 80
11 95 2
14 77 14
108 119 98
41 43 32
28 29 20
57 59 50
27 96 20
2 34 2
63 67 56
54 63 44
75 115 68
1 66 1
97 124 86
46 57 38
82 83 74
27 30 20
1 7 1
102 118 92
78 101 68
71 74 62
118 119 110
24 72 14
64 67 56
97 115 86
105 117 98
111 114 104
100 101 92
1 6 1
14 33 14
1 52 1
20 81 20
57 60 50
42 107 32
11 109 2
39 61 32
109 125 98
36 120 26
47 48 38
8 40 8
94 98 86
88 111 80
113 114 104
78 102 68
14 35 14
85 114 74
109 119 98
32 44 32
86 107 86
59 60 50
48 114 38
75 77 68
38 114 38
59 61 50
71 72 62
120 124 110
59 124 50
68 112 68
49 52 38
7 8 1
75 93 68
65 103 56
22 42 14
15 23 8
21 107 14
49 121 38
82 84 74
2 49 2
70 71 62
57 58 50
94 125 86
87 113 80
8 63 8
9 13 2
76 97 68
16 18 8
93 96 86
15 16 8
39 70 32
3 4 1
29 47 20
8 74 8
23 82 14
82 104 74
65 79 56
4 107 1
39 124 32
10 63 2
26 33 26
63 66 56
70 76 62
12 94 2
35 36 26
32 120 32
60 79 50
83 85 74
100 102 92
80 89 80
31 88 20
123 126 116
94 114 86
14 22 14
1 14 1
8 16 8
2 10 2
64 65 56
88 89 80
87 88 80
77 79 68
14 51 14
45 75 38
33 35 26
106 109 98
8 42 8
1 117 1
2 44 2
89 93 80
119 121 110
81 102 74
45 99 38
124 126 116
4 13 1
105 109 98
33 36 26
99 101 92
26 95 26
26 77 26
98 104 98
32 40 32
99 109 92
2 16 2
90 91 80
3 5 1
13 88 2
49 127 38
34 94 26
5 50 1
8 127 8
96 97 86
98 123 98
82 113 74
46 71 38
83 123 74
14 87 14
29 77 20
50 118 50
31 106 20
1 10 1
32 69 32
31 79 20
14 27 14
45 59 38
15 68 8
6 111 1
1 38 1
81 127 74
107 110 98
10 99 2
57 66 50
101 105 92
1 121 1
58 61 50
44 50 44
2 50 2
52 112 44
21 25 14
72 73 62
53 54 44
17 19 8
29 30 20
77 96 68
11 59 2
13 31 2
70 96 62
62 91 62
1 34 1
8 20 8
22 67 14
39 112 32
48 79 38
11 113 2
8 59 8
3 45 1
15 100 8
107 109 98
95 96 86
100 122 92
11 12 2
49 69 38
11 13 2
24 82 14
56 120 56
28 104 20
17 33 8
64 114 56
76 77 68
28 47 20
8 78 8
7 20 1
113 116 104
50 99 50
100 105 92
82 85 74
78 118 68
6 60 1
75 111 68
117 120 110
54 55 44
97 106 86
81 83 74
102 117 92
65 126 56
93 125 86
37 77 26
1 9 1
93 97 86
88 90 80
8 95 8
33 96 26
18 82 8
33 79 26
60 92 50
80 118 80
36 103 26
73 74 62
27 29 20
8 119 8
86 123 86
15 105 8
1 53 1
25 109 14
24 27 14
32 62 32
118 126 110
44 83 44
97 126 86
69 100 62
62 120 62
25 50 14
