128 4102
29 32 1
29 88 1
29 99 1
60 107 29
107 127 29
107 116 29
50 121 107
78 121 107
104 121 107
28 71 121
28 42 121
28 128 121
30 86 28
30 124 28
30 51 28
47 81 30
61 81 30
81 120 30
2 52 81
2 11 81
2 77 81
55 76 2
22 76 2
76 110 2
69 114 76
25 69 76
59 69 76
46 66 69
66 98 69
66 83 69
53 115 66
53 112 66
15 53 66
64 90 53
64 79 53
64 109 53
24 106 64
89 106 64
72 106 64
48 126 106
122 126 106
125 126 106
57 74 126
6 74 126
73 74 126
75 85 74
75 113 74
75 87 74
7 58 75
41 58 75
33 58 75
26 103 58
94 103 58
67 103 58
18 118 103
4 118 103
9 118 103
19 49 118
49 80 118
49 96 118
8 35 49
8 45 49
8 70 49
17 20 8
20 111 8
20 37 8
12 105 20
23 105 20
21 105 20
82 101 105
82 108 105
13 82 105
14 34 82
14 91 82
14 100 82
65 93 14
43 65 14
65 117 14
56 84 65
56 63 65
56 119 65
10 68 56
10 97 56
10 36 56
3 31 10
16 31 10
31 54 10
40 44 31
27 44 31
44 92 31
38 123 44
102 123 44
5 123 44
39 62 123
62 95 123
32 62 1
62 88 1
62 99 1
60 62 29
62 127 29
62 116 29
50 62 107
62 78 107
62 104 107
62 71 121
42 62 121
62 128 121
62 86 28
62 124 28
51 62 28
47 62 30
61 62 30
62 120 30
52 62 81
11 62 81
62 77 81
55 62 2
22 62 2
62 110 2
62 114 76
25 62 76
59 62 76
46 62 69
62 98 69
62 83 69
62 115 66
62 112 66
15 62 66
62 90 53
62 79 53
62 109 53
24 62 64
62 89 64
62 72 64
48 62 106
62 122 106
62 125 106
57 62 126
6 62 126
62 73 126
62 85 74
62 113 74
62 87 74
7 62 75
41 62 75
33 62 75
26 62 58
62 94 58
62 67 58
18 62 103
4 62 103
9 62 103
19 62 118
62 80 118
62 96 118
35 62 49
45 62 49
62 70 49
17 62 8
62 111 8
37 62 8
12 62 20
23 62 20
21 62 20
62 101 105
62 108 105
13 62 105
34 62 82
62 91 82
62 100 82
62 93 14
43 62 14
62 117 14
62 84 65
62 63 65
62 119 65
62 68 56
62 97 56
36 62 56
3 62 10
16 62 10
54 62 10
40 62 31
27 62 31
62 92 31
38 62 44
62 102 44
5 62 44
1 62 1
62 107 107
28 62 28
62 81 81
62 76 76
62 66 66
62 64 64
62 126 126
62 75 75
62 103 103
49 62 49
20 62 20
62 82 82
62 65 65
10 62 10
44 62 44
25 124 28
68 91 82
82 91 82
25 30 30
29 71 29
24 60 29
125 127 29
6 39 126
57 73 126
2 79 2
82 126 126
37 111 8
39 95 123
43 117 14
12 29 29
29 104 29
71 107 107
2 89 2
90 116 29
100 112 66
68 73 126
38 121 121
1 6 1
88 99 1
71 128 121
12 21 20
60 127 29
58 116 29
81 86 28
16 88 1
94 113 74
79 90 53
15 112 66
1 87 1
19 96 118
7 41 75
92 93 14
76 111 76
1 76 1
116 127 29
19 27 118
86 124 28
28 30 28
10 65 65
77 107 107
74 104 107
36 68 56
72 89 64
26 34 58
5 73 126
82 104 107
33 48 106
58 101 58
14 22 2
8 91 8
84 123 65
16 91 82
20 38 20
18 102 103
4 88 1
1 32 1
50 105 107
45 115 66
4 13 103
2 21 2
74 122 106
4 8 103
3 70 49
54 77 81
38 102 44
56 113 74
3 61 30
45 66 66
19 91 118
79 109 53
47 77 30
51 124 28
32 88 1
2 98 2
74 93 74
90 117 53
18 34 103
96 116 29
64 72 64
16 112 66
3 68 56
26 121 121
32 54 1
17 37 8
84 99 1
12 23 20
67 94 58
1 55 1
45 70 49
