128 3044
19 70 87
6 82 75
18 88 16
37 127 87
22 125 66
15 98 98
65 71 1
25 103 1
9 46 1
3 123 87
8 80 1
25 34 94
51 108 1
16 69 16
1 20 1
18 73 16
71 111 29
96 105 102
1 27 1
16 89 1
22 38 87
50 74 50
52 108 1
6 28 87
1 61 1
52 121 1
93 105 85
15 37 1
93 106 1
80 85 85
47 70 87
58 91 1
20 26 93
45 83 1
110 123 66
48 123 19
69 100 1
15 126 1
40 70 40
70 77 101
44 95 1
75 108 87
42 59 106
27 67 19
69 116 29
20 70 1
2 63 85
33 36 29
38 76 75
85 90 85
16 52 16
25 59 87
5 81 88
78 89 61
90 104 29
69 119 69
80 90 93
8 79 87
51 73 16
13 123 1
66 125 66
61 118 94
75 128 87
15 74 122
28 128 106
90 114 85
45 117 99
14 118 118
57 77 101
11 35 66
48 51 1
33 40 1
23 122 1
34 94 94
8 58 66
42 63 1
65 121 121
37 125 87
35 62 87
56 123 1
33 116 93
18 36 122
24 67 19
11 45 1
95 102 99
22 71 1
108 120 22
53 90 93
17 45 1
19 58 19
1 70 1
18 53 29
61 123 87
28 46 1
97 98 98
23 51 1
53 73 29
33 74 29
60 80 93
74 109 29
98 120 1
13 88 88
27 47 19
66 118 87
82 121 87
45 55 1
32 100 101
27 66 66
1 88 1
38 91 1
1 79 1
46 118 1
37 62 75
8 121 19
109 118 1
16 122 16
29 42 1
17 76 87
14 60 1
32 120 87
19 120 19
76 112 101
115 128 1
84 114 1
9 102 1
48 65 127
42 93 1
63 107 85
78 82 94
22 24 66
21 108 1
47 48 106
37 104 1
19 88 1
75 78 75
26 77 1
19 121 19
58 97 1
19 22 19
26 57 1
35 128 19
42 121 127
83 112 75
1 6 1
32 46 1
8 104 1
28 48 106
12 76 1
43 94 94
19 42 19
15 32 1
70 96 1
38 94 94
2 40 1
2 35 1
52 97 52
5 36 16
61 70 75
23 68 1
57 78 75
93 110 1
6 50 1
35 42 19
122 124 122
78 80 1
80 115 29
21 50 122
22 80 1
46 74 16
12 18 18
42 123 19
41 110 66
2 107 2
55 112 101
13 36 16
10 13 88
58 104 1
48 99 1
4 30 1
38 79 75
23 59 87
24 73 1
15 21 52
43 47 87
45 71 29
11 83 87
64 82 118
7 90 85
12 29 29
17 66 19
47 52 1
11 13 1
68 118 1
23 87 87
71 124 71
24 25 87
26 87 1
60 102 85
15 47 1
26 127 1
91 118 1
8 111 1
1 12 1
73 97 16
1 34 1
99 127 1
84 100 112
3 91 1
79 114 1
80 83 1
48 49 1
61 87 87
30 114 85
27 44 19
11 26 1
3 38 94
37 106 87
10 126 1
29 66 1
63 113 93
10 16 16
106 108 19
26 48 1
34 78 94
124 128 1
13 58 1
18 46 16
62 101 75
13 44 1
5 67 1
34 121 87
23 80 1
32 126 76
37 64 75
15 26 29
85 116 85
73 74 16
15 23 1
54 121 19
51 74 31
38 112 75
51 96 29
31 69 16
111 114 99
33 91 85
45 61 1
8 65 19
17 88 1
4 78 87
13 96 29
59 66 19
52 88 16
57 126 101
13 100 1
20 121 1
18 83 1
34 79 75
4 35 19
18 114 29
83 99 1
62 82 94
18 91 29
68 82 1
49 53 53
28 57 87
29 126 1
20 81 29
1 109 1
20 105 85
56 83 1
52 74 122
100 109 1
43 79 75
108 125 66
38 88 1
70 82 75
16 29 29
22 54 66
36 126 1
49 63 33
56 110 1
28 114 1
12 56 29
82 117 1
10 21 16
81 84 1
48 66 19
86 93 85
6 12 1
51 97 122
30 115 29
50 120 1
8 21 1
12 120 1
26 65 1
46 80 29
6 19 87
68 113 93
87 101 87
65 79 87
15 36 122
49 105 85
27 64 87
74 90 29
47 84 87
48 67 106
34 83 94
1 74 1
41 42 19
66 108 66
21 48 1
81 104 104
16 51 16
28 35 19
29 99 29
19 128 19
71 74 50
68 92 29
60 111 85
64 119 1
56 114 99
93 122 29
53 121 1
26 93 93
75 115 1
