128 63
29 87 1
19 75 87
16 85 75
94 101 16
66 106 101
88 122 66
93 99 88
76 112 93
61 118 112
22 24 118
17 127 24
10 104 17
50 52 10
30 53 52
2 102 53
6 40 102
79 126 6
43 64 126
25 62 43
11 58 62
41 108 58
4 47 108
42 121 4
46 72 121
69 81 46
18 98 69
31 71 18
26 33 71
20 116 26
45 86 20
56 107 86
57 84 56
70 100 57
55 77 70
32 37 77
34 82 32
3 14 34
83 89 3
38 78 89
27 110 38
54 125 27
8 35 54
120 123 35
28 59 120
9 67 28
44 65 67
48 128 44
5 92 128
103 115 92
73 119 103
13 39 73
12 21 39
15 97 12
36 124 15
51 74 124
68 80 51
49 63 68
90 109 49
60 113 90
105 114 60
7 96 105
95 111 7
91 117 95
