256 6352
128 248 1
62 177 127
65 227 227
147 216 227
22 59 227
98 150 227
172 235 147
149 172 127
1 33 1
180 197 1
108 111 1
169 198 127
54 68 227
1 188 1
32 204 204
62 107 62
142 183 1
14 87 227
173 256 1
57 244 127
6 70 93
1 102 1
51 167 165
36 113 1
157 215 215
66 166 127
230 245 5
45 50 127
1 10 1
155 193 1
35 217 1
17 256 114
16 55 197
134 138 1
73 242 147
17 131 190
1 75 1
17 25 127
93 212 93
87 184 227
45 54 127
28 71 127
127 222 127
88 97 127
38 51 215
64 140 1
45 110 147
17 33 227
21 76 17
1 215 1
112 171 147
227 254 227
56 69 142
63 75 112
35 65 1
105 168 227
180 253 1
83 243 1
178 226 114
44 136 136
58 236 114
147 196 147
91 228 91
37 72 127
193 247 247
85 215 215
187 189 196
123 236 114
7 111 1
227 244 227
36 104 1
117 144 114
168 173 1
89 178 178
81 237 5
100 229 1
66 149 91
207 227 227
151 236 127
40 91 127
36 222 1
71 79 127
161 166 227
6 93 93
102 235 215
31 127 127
61 107 127
156 164 127
226 233 1
29 44 44
123 150 227
69 244 1
89 187 89
114 147 147
42 227 227
188 195 1
118 213 1
8 52 227
245 255 1
93 247 227
209 225 1
103 155 142
109 154 227
176 241 1
101 127 127
102 162 147
154 227 227
89 229 147
131 222 127
155 255 142
116 202 147
16 125 197
108 190 114
36 83 1
248 254 127
14 116 63
129 134 1
166 238 127
4 60 147
172 204 127
102 192 1
198 220 170
114 205 114
213 218 213
64 245 5
33 54 227
23 194 1
163 253 1
157 246 127
29 231 227
119 235 127
119 142 1
44 239 44
23 162 147
197 226 197
97 153 227
155 242 1
114 178 114
37 108 127
21 255 1
111 200 1
110 244 127
147 245 147
83 132 1
74 190 190
69 233 1
167 173 1
150 215 227
91 122 91
46 50 91
61 213 213
1 78 1
1 224 1
123 169 114
83 195 1
141 203 1
13 245 1
6 55 227
42 106 1
37 76 127
71 227 227
8 185 227
198 211 91
69 208 1
214 219 1
220 227 227
18 104 227
11 45 5
45 137 147
1 18 1
73 181 147
20 153 1
25 228 25
85 133 147
54 214 127
5 11 5
130 252 1
28 181 147
1 232 1
107 131 127
151 221 227
81 126 147
16 189 197
22 87 227
103 213 1
3 187 1
84 149 211
30 150 227
167 202 165
56 133 1
150 220 227
109 144 227
135 176 215
20 229 1
121 229 147
89 193 227
130 232 1
147 157 147
46 71 91
25 241 1
66 250 91
1 70 1
118 209 255
207 241 1
72 214 214
93 207 227
12 176 147
5 147 147
65 190 65
1 197 1
98 202 165
184 189 126
3 77 1
48 61 1
79 141 147
31 109 227
127 187 127
15 127 127
110 147 147
75 135 147
80 239 227
73 206 147
10 117 178
60 197 147
222 227 227
