256 6806
188 203 1
154 188 227
66 203 208
130 188 127
149 154 27
179 203 156
66 236 147
188 214 213
130 249 197
154 187 151
33 149 247
37 203 54
40 179 83
66 166 112
52 236 215
102 188 246
20 214 173
130 222 182
94 249 114
7 154 95
90 187 178
149 220 91
33 81 193
35 203 253
37 69 3
106 179 195
25 40 89
66 184 110
18 166 142
31 236 255
52 202 252
73 188 50
49 102 136
105 214 165
20 233 150
130 244 120
189 222 235
128 249 155
46 94 200
154 237 98
7 55 38
157 187 104
28 90 97
149 172 82
220 256 194
12 33 171
81 234 93
133 203 126
16 35 229
37 219 153
69 138 5
135 179 254
23 106 57
40 180 80
25 26 65
66 198 168
184 245 169
166 216 62
18 192 170
61 236 68
31 87 108
52 75 63
123 202 221
167 188 44
13 73 190
99 102 17
49 146 243
2 214 101
105 205 113
20 160 152
43 233 143
47 130 59
164 244 199
222 251 67
24 189 250
36 249 77
121 128 109
94 226 34
46 140 231
154 248 141
29 237 10
7 48 119
55 206 92
187 211 21
157 176 162
90 144 117
28 225 232
14 149 185
19 172 196
204 220 212
139 256 223
33 115 186
12 175 158
64 81 85
51 234 238
177 203 8
86 133 145
6 35 71
16 96 60
37 159 42
15 219 53
69 88 122
39 138 240
32 179 118
72 135 22
106 241 230
23 45 100
40 163 239
125 180 242
25 210 209
26 201 218
66 181 58
129 198 56
84 184 224
111 245 116
124 166 41
79 216 174
18 134 207
70 192 161
228 236 137
4 61 131
31 107 217
78 87 148
52 183 191
74 75 30
9 202 132
76 123 103
61 86 208
75 229 208
2 165 165
123 137 215
111 208 208
71 163 156
219 234 1
150 235 127
1 194 1
77 247 227
184 188 1
158 223 247
13 173 213
97 235 227
166 213 1
11 130 127
99 146 136
37 53 153
36 46 114
201 209 65
1 240 1
1 21 1
173 227 227
111 168 110
95 133 1
40 230 83
162 187 104
45 201 83
131 183 215
32 177 156
105 209 1
13 64 227
123 217 215
74 152 1
60 96 60
100 230 57
175 249 227
161 192 161
130 199 120
27 227 227
41 79 62
133 201 156
24 73 127
38 119 38
55 119 38
27 92 27
72 179 254
62 167 1
10 154 98
171 245 1
71 203 253
138 155 1
7 199 227
84 210 208
99 185 227
36 155 155
108 208 208
208 216 208
56 160 1
92 97 151
22 154 1
140 226 200
109 128 109
133 223 1
25 201 65
6 159 54
59 104 227
176 187 104
63 210 208
57 230 57
182 199 182
84 232 1
9 103 221
22 244 1
83 108 208
1 27 1
152 200 127
84 245 169
76 158 1
49 213 213
185 226 227
75 215 215
1 230 1
1 7 1
186 205 227
19 156 1
72 94 1
152 233 150
84 111 169
126 138 54
59 227 227
171 227 227
211 224 1
11 105 213
144 157 178
98 141 98
122 240 5
135 208 208
129 149 1
59 120 120
171 193 193
4 107 255
148 228 255
168 208 208
27 117 27
62 216 62
213 253 1
7 87 1
53 222 1
150 205 173
122 219 3
1 14 1
37 245 208
143 152 150
15 156 156
26 210 65
110 193 1
1 79 1
48 238 27
83 84 208
143 150 150
21 157 104
94 229 1
13 188 50
78 80 208
189 231 197
27 119 27
115 175 171
81 244 227
3 219 3
112 174 112
