256 11056
90 176 157
144 176 157
28 176 157
176 225 157
149 176 157
14 176 157
172 176 157
19 176 157
176 220 157
176 204 157
176 256 157
139 176 157
33 176 157
115 176 157
12 176 157
175 176 157
81 176 157
64 176 157
176 234 157
51 176 157
176 203 157
176 177 157
133 176 157
86 176 157
35 176 157
6 176 157
16 176 157
96 176 157
37 176 157
159 176 157
176 219 157
15 176 157
69 176 157
88 176 157
138 176 157
39 176 157
176 179 157
32 176 157
135 176 157
72 176 157
106 176 157
176 241 157
23 176 157
45 176 157
40 176 157
163 176 157
176 180 157
125 176 157
25 176 157
176 210 157
26 176 157
176 201 157
66 176 157
176 181 157
176 198 157
129 176 157
176 184 157
84 176 157
176 245 157
111 176 157
166 176 157
124 176 157
176 216 157
79 176 157
18 176 157
134 176 157
176 192 157
70 176 157
176 236 157
176 228 157
61 176 157
4 176 157
31 176 157
107 176 157
87 176 157
78 176 157
52 176 157
176 183 157
75 176 157
74 176 157
176 202 157
9 176 157
123 176 157
76 176 157
176 188 157
90 144 157
28 90 157
90 225 157
90 149 157
14 90 157
90 172 157
19 90 157
90 220 157
90 204 157
90 256 157
90 139 157
33 90 157
90 115 157
12 90 157
90 175 157
81 90 157
64 90 157
90 234 157
51 90 157
90 203 157
90 177 157
90 133 157
86 90 157
35 90 157
6 90 157
16 90 157
90 96 157
37 90 157
90 159 157
90 219 157
15 90 157
69 90 157
88 90 157
90 138 157
39 90 157
90 179 157
32 90 157
90 135 157
72 90 157
90 106 157
90 241 157
23 90 157
45 90 157
40 90 157
90 163 157
90 180 157
90 125 157
25 90 157
90 210 157
26 90 157
90 201 157
66 90 157
90 181 157
90 198 157
90 129 157
90 184 157
84 90 157
90 245 157
90 111 157
90 166 157
90 124 157
90 216 157
79 90 157
18 90 157
90 134 157
90 192 157
70 90 157
90 236 157
90 228 157
61 90 157
4 90 157
31 90 157
90 107 157
87 90 157
78 90 157
52 90 157
90 183 157
75 90 157
74 90 157
90 202 157
9 90 157
90 123 157
76 90 157
90 188 157
28 144 157
144 225 157
144 149 157
14 144 157
144 172 157
19 144 157
144 220 157
144 204 157
144 256 157
139 144 157
33 144 157
115 144 157
12 144 157
144 175 157
81 144 157
64 144 157
144 234 157
51 144 157
144 203 157
144 177 157
133 144 157
