64 1595
21 46 5
28 43 1
38 61 1
8 9 4
10 43 10
24 58 3
4 25 1
20 48 1
24 61 3
17 35 17
26 42 1
35 36 4
60 61 30
30 46 1
8 38 4
9 32 4
44 60 1
22 49 1
6 32 1
5 64 2
21 44 5
15 60 15
2 53 1
34 43 2
53 63 3
2 37 2
14 53 3
14 23 1
26 53 26
41 55 1
22 24 1
33 35 8
19 42 2
43 56 1
29 58 29
36 40 2
29 51 3
1 41 1
18 39 9
2 29 1
12 49 12
3 62 3
3 23 1
28 38 1
6 41 1
40 50 1
6 28 3
54 58 3
22 42 5
28 44 1
31 38 1
51 59 3
28 63 7
12 17 1
23 40 5
2 44 2
17 22 2
35 38 4
2 50 1
29 41 1
1 2 1
28 56 28
56 60 7
3 25 3
5 10 5
35 54 1
21 53 1
32 43 2
1 38 1
14 16 1
11 34 2
2 17 2
1 10 1
33 60 1
2 48 1
53 62 3
24 50 12
4 12 1
8 32 8
10 27 1
18 44 2
57 58 14
11 44 11
16 25 1
19 28 1
6 26 6
2 18 2
1 28 1
11 33 2
3 52 3
19 41 2
17 51 1
1 50 1
39 40 2
39 43 2
13 19 1
1 15 1
27 42 1
49 63 3
23 37 2
4 41 2
1 30 1
27 44 1
9 50 1
41 45 5
30 63 15
6 47 1
7 60 7
14 40 1
2 40 2
16 34 8
41 58 1
2 10 2
17 44 2
15 63 15
38 58 1
5 62 1
34 61 1
6 11 1
16 32 16
15 56 7
18 30 1
23 62 1
59 60 7
33 57 1
48 51 12
4 22 2
24 33 1
25 36 1
12 54 6
1 64 1
31 57 7
16 45 2
32 56 1
36 39 9
13 62 3
10 47 5
7 55 3
2 28 1
17 21 2
4 59 1
40 47 5
11 19 2
25 38 1
24 54 6
11 24 1
7 48 3
42 64 2
11 38 2
22 36 2
36 62 1
36 54 1
48 54 6
47 53 1
11 59 1
8 46 2
29 47 1
9 28 1
53 57 3
15 22 1
14 35 1
44 64 2
26 57 3
8 62 1
7 10 1
16 18 4
30 41 1
4 32 4
35 62 1
11 49 1
49 56 3
2 56 1
24 52 6
4 15 1
10 51 1
15 17 1
24 47 1
39 56 1
39 51 1
5 39 2
36 60 1
10 12 1
27 29 3
26 56 3
21 59 1
38 45 2
15 64 1
10 28 1
5 44 5
25 56 3
47 51 1
10 48 1
8 43 2
34 60 1
21 55 1
55 63 3
3 49 3
14 24 3
13 16 1
50 61 3
43 63 1
1 33 1
4 64 4
43 59 1
3 16 1
13 41 1
10 22 5
10 57 1
39 45 2
18 47 2
10 26 1
59 63 7
15 57 7
7 62 7
48 61 3
3 35 1
1 39 1
45 51 1
41 44 5
10 59 1
45 47 11
4 7 1
1 63 1
20 34 2
41 59 1
26 45 1
44 45 22
43 64 2
12 31 3
22 37 2
34 58 1
5 56 1
43 51 1
34 46 2
28 31 7
42 46 5
27 33 1
19 45 2
11 41 5
7 30 7
22 64 2
7 61 7
18 37 18
15 40 1
3 14 3
7 11 1
28 30 7
5 35 2
6 61 3
23 48 1
21 22 5
13 55 13
22 53 1
1 36 1
43 58 1
50 64 1
2 32 2
1 42 1
22 33 2
3 30 3
44 62 1
15 49 3
2 21 2
7 26 3
5 38 2
3 58 3
1 17 1
11 54 1
6 17 1
28 62 7
16 35 8
19 44 2
5 7 1
5 43 5
22 56 1
43 55 1
20 21 10
30 36 1
23 47 23
1 23 1
6 20 1
3 12 3
47 49 1
7 52 3
19 43 2
39 53 1
5 37 2
1 37 1
61 64 1
3 33 1
49 50 12
48 63 3
25 35 1
29 63 7
20 23 5
32 37 4
12 15 3
37 53 1
28 50 3
14 50 3
14 62 7
8 13 1
4 42 2
3 28 3
10 20 10
9 46 2
2 31 1
25 61 3
2 22 2
17 40 2
42 60 1
3 44 1
32 48 1
29 37 1
2 3 1
51 56 3
48 56 3
9 12 1
38 57 1
29 54 3
4 24 1
36 46 2
8 29 1
14 59 14
10 31 1
34 52 1
5 36 2
16 63 1
50 57 3
5 18 2
29 31 7
36 45 2
6 45 1
23 51 1
7 15 7
8 47 2
30 37 1
4 26 1
1 44 1
28 34 1
36 50 1
10 25 1
12 26 6
36 44 2
52 56 3
18 34 4
7 63 7
9 27 1
22 58 1
25 42 1
46 60 1
48 52 6
4 8 4
7 56 7
8 56 1
17 48 1
56 57 28
32 35 8
36 49 1
3 18 1
4 51 1
6 15 3
36 52 1
10 34 2
33 51 1
22 35 2
8 33 8
31 37 1
19 33 4
20 61 1
21 63 1
11 56 1
29 56 14
21 30 1
7 51 3
24 28 3
23 34 2
2 11 2
16 40 2
8 11 2
28 32 1
37 38 9
1 4 1
33 43 2
44 57 1
12 21 1
37 64 4
6 24 6
9 33 4
35 41 2
35 55 1
30 33 1
21 31 1
8 18 4
10 62 1
20 38 2
10 60 1
9 39 9
6 50 6
44 51 1
56 64 1
9 58 1
42 57 1
14 46 1
4 52 1
33 49 1
17 47 2
45 55 1
38 51 1
55 57 3
31 32 1
5 23 5
12 24 12
12 53 6
21 38 2
12 39 1
52 55 13
8 64 8
1 48 1
58 59 29
25 55 6
12 47 1
7 46 1
31 53 3
55 61 3
8 39 4
22 47 11
33 61 1
37 57 1
24 55 6
16 20 2
33 59 1
39 54 1
1 24 1
18 38 9
27 63 3
4 35 4
6 49 6
8 58 1
32 45 2
22 55 1
49 60 3
56 62 7
12 58 3
26 30 3
11 16 2
2 16 2
14 36 1
24 59 3
17 50 1
25 29 3
13 33 1
46 57 1
24 27 6
2 64 2
12 51 12
46 51 1
5 41 5
9 62 1
59 62 7
16 36 4
53 59 3
4 23 2
44 53 1
35 44 2
24 39 1
24 53 6
27 55 27
15 52 3
55 60 3
46 52 1
15 36 1
5 42 5
4 61 1
30 47 1
35 40 2
10 55 1
29 53 3
29 39 1
33 40 2
2 36 2
35 51 1
13 57 3
39 46 2
44 55 1
8 10 2
14 39 1
16 44 2
7 37 1
19 26 1
20 22 5
5 29 1
3 13 3
14 33 1
4 53 1
2 46 2
19 61 1
20 40 20
30 59 7
30 58 7
8 36 4
2 30 1
16 38 4
13 39 1
8 42 2
43 44 5
4 54 1
1 43 1
40 55 1
1 7 1
54 63 3
12 28 3
6 37 1
27 53 13
3 60 3
15 59 7
34 39 4
23 26 1
11 21 5
30 44 1
13 37 1
38 39 19
23 43 5
12 25 12
51 58 3
30 64 1
20 57 1
41 52 1
22 48 1
12 59 3
2 49 1
47 59 1
2 19 2
25 41 1
31 63 31
9 63 1
40 56 1
5 8 2
21 49 1
29 62 7
26 38 1
13 15 3
61 62 15
4 43 2
11 61 1
26 27 13
38 52 1
39 64 4
27 56 3
2 41 2
22 28 1
1 12 1
9 20 2
28 58 14
27 37 1
15 42 1
5 40 5
22 52 1
2 5 2
17 32 8
14 21 1
11 39 2
39 59 1
17 33 8
10 50 1
3 46 1
14 27 3
27 61 3
30 53 3
40 57 1
38 59 1
15 27 3
12 64 1
6 29 3
6 21 1
46 47 23
27 62 3
38 56 1
11 29 1
15 23 1
28 49 3
5 28 1
10 35 2
18 63 1
20 50 1
16 19 4
11 14 1
18 50 1
24 44 1
26 51 6
14 32 1
9 59 1
42 51 1
3 19 1
21 47 5
18 46 2
28 42 1
47 63 1
6 64 1
2 45 2
2 42 2
36 42 2
26 29 3
17 20 2
4 60 1
25 48 12
7 31 7
11 63 1
33 56 1
18 57 1
9 22 2
31 39 1
19 40 2
6 63 3
29 45 1
5 55 1
38 48 1
42 43 21
29 32 1
19 51 1
21 43 21
7 59 7
26 48 6
36 57 1
13 50 6
17 19 4
17 18 4
18 19 9
34 37 4
22 44 22
15 44 1
7 27 3
17 38 4
1 56 1
31 61 15
20 51 1
15 48 3
20 45 5
3 31 3
9 31 1
4 34 4
15 29 7
29 52 3
15 38 1
24 51 12
5 19 2
35 46 2
21 41 10
19 64 4
47 57 1
4 49 1
38 42 2
9 15 1
40 42 10
33 36 4
13 22 1
3 48 3
11 23 11
9 34 4
29 36 1
23 49 1
46 55 1
19 54 1
27 39 1
3 22 1
11 48 1
11 17 2
46 54 1
5 21 5
39 63 1
30 62 15
52 57 3
18 35 4
1 40 1
34 48 1
37 50 1
39 47 2
58 60 7
12 27 6
13 59 3
48 64 1
33 39 4
30 50 3
22 45 22
21 28 1
23 52 1
15 50 3
23 50 1
55 59 3
34 40 2
38 47 2
30 39 1
25 27 6
9 25 1
1 55 1
40 62 1
13 23 1
10 18 2
26 32 1
18 59 1
4 27 1
4 46 2
20 44 5
8 61 1
1 13 1
14 60 7
40 41 20
21 60 1
23 42 5
26 36 1
19 32 4
20 64 2
5 9 2
36 41 2
37 63 1
10 44 5
29 46 1
58 63 7
43 46 5
25 53 6
4 29 1
18 45 2
14 31 7
5 12 1
14 20 1
49 54 6
39 58 1
42 63 1
1 31 1
41 64 2
30 35 1
4 17 4
7 16 1
12 44 1
29 34 1
9 41 2
41 60 1
41 48 1
45 61 1
27 51 6
45 58 1
29 44 1
26 63 3
56 63 7
58 61 7
21 45 5
2 57 1
15 62 15
23 46 23
45 49 1
25 62 3
51 55 6
52 63 3
36 37 18
48 59 3
22 34 2
7 34 1
13 35 1
2 38 2
1 53 1
26 33 1
18 22 2
57 63 7
22 23 11
37 58 1
49 61 3
34 38 4
44 50 1
53 56 3
14 29 14
12 38 1
34 42 2
36 64 4
31 35 1
3 56 3
31 54 3
3 50 3
21 48 1
57 61 7
4 45 2
50 63 3
21 29 1
7 47 1
9 38 9
50 56 3
20 43 10
1 62 1
20 39 2
20 56 1
3 6 3
3 27 3
8 21 2
18 36 18
16 33 16
11 18 2
18 33 4
8 40 2
32 60 1
8 14 1
15 35 1
13 29 3
20 59 1
42 44 5
24 34 1
4 63 1
32 51 1
37 56 1
24 62 3
11 51 1
38 43 2
45 46 11
5 34 2
49 62 3
9 42 2
38 44 2
19 39 19
24 48 24
18 31 1
29 55 3
20 29 1
20 25 1
26 50 6
16 43 2
33 47 2
35 64 8
57 62 7
38 55 1
42 54 1
19 47 2
21 32 2
62 64 1
14 18 1
20 32 2
44 46 11
6 57 3
23 54 1
16 24 1
25 49 12
