64 1799
9 61 9
36 50 36
10 53 10
47 53 42
6 38 6
22 42 22
1 11 1
1 3 1
1 62 1
33 59 33
21 62 21
13 38 13
10 36 10
30 60 30
6 47 6
33 56 33
15 36 15
16 22 16
58 62 42
4 14 4
21 29 21
4 54 4
55 56 42
2 45 2
28 55 28
9 27 9
27 46 27
15 20 15
29 46 29
5 12 5
7 28 7
20 61 20
9 25 9
34 59 34
14 44 14
11 30 11
40 63 40
15 32 15
58 63 42
3 43 3
22 31 22
16 18 16
18 61 18
31 58 31
10 38 10
28 59 28
11 64 11
22 24 22
22 43 22
2 14 2
27 51 27
2 50 2
24 40 24
37 44 37
33 51 33
15 53 15
48 55 42
24 59 24
30 49 30
10 12 10
1 25 1
17 39 17
9 58 9
32 47 32
4 10 4
9 47 9
25 40 25
22 55 22
12 16 12
48 60 42
1 51 1
13 32 13
4 53 4
42 46 42
34 53 34
17 36 17
23 54 23
40 44 40
22 49 22
14 63 14
45 63 42
25 45 25
2 24 2
5 7 5
28 47 28
26 35 26
23 46 23
18 28 18
6 36 6
18 25 18
17 45 17
4 9 4
49 64 42
2 8 2
38 60 38
11 16 11
3 25 3
17 57 17
7 8 7
18 44 18
18 37 18
37 49 37
29 30 29
3 9 3
11 35 11
36 59 36
1 28 1
53 63 42
19 56 19
18 19 18
3 37 3
9 40 9
28 39 28
32 42 32
8 30 8
32 38 32
22 23 22
42 63 42
44 52 42
15 64 15
27 54 27
55 57 42
37 53 37
44 51 42
48 49 42
34 42 34
12 23 12
18 64 18
10 22 10
35 61 35
29 57 29
22 39 22
35 38 35
44 61 42
8 58 8
15 57 15
31 60 31
2 18 2
28 52 28
18 34 18
19 59 19
25 56 25
13 42 13
4 11 4
56 61 42
3 26 3
8 31 8
13 45 13
7 26 7
15 31 15
28 58 28
9 28 9
2 30 2
28 40 28
59 64 42
14 38 14
27 52 27
30 51 30
2 33 2
10 19 10
17 24 17
25 58 25
17 43 17
10 18 10
9 35 9
20 49 20
23 39 23
22 32 22
16 60 16
9 49 9
20 60 20
34 62 34
23 28 23
32 41 32
38 56 38
7 15 7
14 45 14
43 50 42
8 46 8
37 62 37
63 64 42
22 33 22
31 36 31
7 42 7
6 50 6
23 35 23
13 55 13
31 39 31
6 15 6
23 41 23
23 55 23
7 22 7
6 23 6
55 59 42
16 48 16
20 25 20
44 64 42
20 52 20
41 43 41
39 43 39
3 62 3
57 60 42
36 39 36
26 31 26
3 33 3
4 51 4
5 15 5
1 41 1
1 24 1
1 58 1
19 64 19
15 48 15
41 60 41
16 47 16
1 57 1
20 64 20
14 17 14
12 28 12
7 59 7
12 22 12
33 58 33
15 43 15
18 49 18
12 32 12
9 60 9
20 57 20
31 56 31
31 49 31
24 38 24
26 37 26
8 33 8
30 55 30
16 37 16
5 61 5
42 62 42
51 62 42
21 54 21
11 24 11
55 61 42
12 24 12
4 17 4
21 37 21
7 50 7
50 62 42
51 55 42
32 60 32
15 35 15
11 55 11
16 31 16
1 30 1
22 26 22
5 30 5
59 61 42
3 38 3
3 21 3
5 33 5
13 17 13
25 60 25
31 42 31
11 33 11
5 10 5
5 26 5
2 19 2
47 55 42
53 55 42
19 20 19
60 62 42
13 39 13
57 58 42
50 60 42
5 53 5
33 41 33
15 45 15
46 59 42
5 51 5
47 61 42
11 40 11
12 30 12
19 53 19
48 61 42
25 55 25
14 25 14
11 56 11
5 24 5
13 54 13
29 39 29
7 46 7
20 45 20
22 37 22
14 42 14
31 63 31
7 11 7
30 38 30
31 38 31
13 15 13
14 60 14
39 52 39
22 36 22
4 33 4
28 63 28
6 52 6
5 56 5
14 27 14
9 63 9
40 49 40
15 49 15
21 25 21
35 60 35
9 38 9
33 61 33
50 54 42
7 56 7
22 48 22
20 56 20
21 32 21
7 43 7
11 44 11
3 55 3
2 20 2
4 25 4
31 43 31
23 53 23
30 39 30
22 41 22
32 33 32
38 47 38
29 41 29
1 59 1
5 39 5
24 64 24
14 54 14
15 21 15
17 20 17
18 57 18
13 25 13
19 55 19
19 30 19
39 53 39
52 62 42
2 15 2
2 4 2
26 46 26
35 36 35
18 36 18
46 50 42
19 27 19
3 34 3
5 44 5
18 42 18
18 58 18
25 59 25
25 36 25
3 29 3
37 60 37
19 36 19
12 37 12
5 9 5
54 61 42
3 42 3
4 32 4
16 21 16
8 62 8
52 53 42
7 61 7
23 26 23
4 46 4
1 15 1
17 22 17
15 22 15
43 49 42
26 52 26
11 34 11
27 33 27
42 59 42
49 58 42
19 63 19
21 42 21
24 26 24
5 40 5
5 64 5
8 27 8
22 61 22
3 20 3
8 25 8
25 47 25
12 51 12
21 50 21
13 29 13
16 49 16
