64 1909
33 64 1
34 64 2
35 64 3
36 64 4
37 64 5
38 64 6
39 64 7
40 64 8
41 64 9
42 64 10
43 64 11
44 64 12
45 64 13
46 64 14
47 64 15
48 64 16
49 64 17
50 64 18
51 64 19
52 64 20
53 64 21
54 64 22
55 64 23
56 64 24
57 64 25
58 64 26
59 64 27
60 64 28
61 64 29
62 64 30
63 64 31
1 64 1
3 64 3
5 64 5
7 64 7
9 64 9
11 64 11
13 64 13
15 64 15
17 64 17
19 64 19
21 64 21
23 64 23
25 64 25
27 64 27
29 64 29
31 64 31
30 60 28
49 61 17
13 63 13
59 62 27
32 58 26
53 54 21
4 29 4
30 64 30
32 54 22
4 59 4
25 55 23
51 62 19
2 46 2
22 25 22
49 63 17
26 56 24
3 12 3
27 33 1
46 59 14
1 50 1
17 27 17
34 62 2
28 59 27
4 41 4
33 60 1
5 33 1
10 11 10
2 58 2
32 36 4
31 58 26
41 46 9
13 43 11
18 43 11
25 56 24
37 63 5
5 16 5
29 58 26
1 3 1
11 53 11
27 29 27
6 10 6
10 40 8
39 40 7
9 28 9
33 34 1
32 60 28
23 51 19
38 50 6
39 62 7
54 57 22
31 63 31
13 34 2
28 35 3
33 48 1
13 36 4
16 51 16
24 46 14
52 58 20
41 58 9
6 14 6
20 36 4
26 47 15
8 39 7
38 41 6
32 43 11
15 59 15
14 21 14
9 35 3
6 43 6
40 50 8
28 38 6
28 52 20
10 52 10
29 60 28
28 57 25
19 41 9
28 55 23
15 48 15
23 27 23
50 56 18
35 59 3
50 52 18
41 51 9
30 59 27
8 16 8
25 49 17
5 60 5
29 36 4
23 35 3
42 48 10
21 36 4
16 19 16
11 18 11
62 63 30
25 43 11
29 52 20
56 58 24
27 52 20
28 50 18
22 58 22
1 33 1
27 50 18
28 58 26
10 63 10
10 18 10
4 38 4
26 54 22
47 60 15
13 26 13
33 57 1
40 53 8
10 30 10
8 14 8
7 45 7
52 53 20
7 43 7
4 28 4
4 42 4
10 23 10
2 45 2
39 53 7
2 19 2
22 51 19
2 3 2
25 62 25
6 27 6
4 40 4
25 39 7
56 60 24
5 13 5
29 43 11
52 57 20
27 46 14
2 12 2
37 43 5
9 36 4
14 43 11
52 55 20
21 49 17
11 13 11
19 40 8
31 37 5
51 55 19
22 48 16
33 41 1
22 60 22
30 61 29
31 54 22
53 58 21
32 59 27
39 49 7
10 45 10
15 26 15
16 64 16
9 17 9
26 53 21
1 36 1
14 48 14
18 36 4
7 12 7
48 61 16
43 51 11
37 44 5
4 7 4
11 39 7
45 63 13
20 45 13
27 43 11
27 53 21
45 61 13
35 41 3
43 52 11
3 35 3
11 49 11
8 18 8
48 57 16
48 52 16
25 52 20
20 40 8
7 13 7
14 35 3
35 43 3
4 13 4
3 48 3
39 61 7
3 36 3
10 33 1
1 34 1
11 43 11
13 54 13
7 49 7
37 53 5
6 54 6
6 39 6
22 64 22
28 33 1
31 62 30
25 33 1
6 20 6
31 49 17
6 7 6
32 63 31
28 48 16
52 59 20
7 28 7
3 7 3
23 47 15
28 32 28
52 60 20
61 63 29
48 58 16
29 53 21
11 19 11
37 56 5
26 59 26
6 40 6
35 36 3
42 55 10
2 39 2
37 58 5
15 53 15
25 48 16
29 33 1
50 57 18
29 40 8
25 26 25
29 44 12
2 4 2
56 62 24
11 34 2
31 48 16
19 43 11
1 41 1
46 63 14
4 5 4
24 39 7
14 62 14
10 37 5
2 36 2
1 56 1
7 39 7
8 30 8
35 63 3
42 62 10
30 52 20
1 2 1
19 50 18
20 29 20
34 41 2
1 35 1
35 46 3
31 32 31
41 55 9
33 45 1
3 59 3
54 56 22
42 46 10
26 36 4
3 62 3
23 50 18
30 40 8
6 52 6
9 25 9
1 44 1
56 57 24
14 36 4
19 46 14
45 50 13
3 33 1
27 58 26
21 23 21
2 34 2
58 59 26
32 57 25
36 43 4
31 45 13
37 42 5
1 7 1
18 41 9
26 29 26
2 37 2
17 39 7
45 46 13
5 45 5
22 61 22
18 37 5
32 56 24
11 37 5
8 33 1
58 60 26
15 56 15
10 17 10
49 62 17
11 16 11
24 38 6
34 42 2
12 54 12
10 13 10
23 25 23
5 14 5
44 61 12
34 37 2
12 51 12
39 51 7
14 44 12
47 54 15
19 49 17
43 45 11
25 35 3
4 53 4
16 38 6
14 19 14
1 4 1
53 63 21
8 41 8
15 38 6
28 56 24
30 48 16
13 23 13
5 18 5
9 58 9
27 51 19
37 62 5
47 59 15
5 22 5
26 50 18
12 13 12
26 27 26
40 63 8
10 25 10
3 14 3
2 63 2
2 41 2
48 53 16
53 56 21
1 37 1
58 61 26
26 41 9
52 62 20
46 60 14
31 50 18
16 42 10
15 16 15
24 47 15
26 45 13
40 48 8
15 58 15
29 55 23
43 48 11
28 29 28
12 63 12
23 40 8
6 34 2
50 59 18
26 39 7
2 35 2
24 27 24
5 34 2
36 60 4
32 61 29
18 47 15
8 12 8
42 45 10
44 63 12
15 31 15
44 52 12
37 55 5
35 52 3
41 60 9
38 44 6
46 47 14
14 57 14
44 48 12
6 13 6
25 41 9
17 45 13
1 26 1
37 59 5
40 52 8
57 61 25
22 40 8
12 57 12
4 14 4
30 51 19
35 37 3
12 62 12
23 38 6
33 40 1
2 54 2
53 62 21
32 52 20
17 22 17
45 55 13
32 48 16
3 38 3
12 60 12
20 50 18
46 48 14
55 62 23
58 63 26
7 58 7
31 41 9
50 60 18
27 37 5
13 45 13
16 44 12
55 59 23
39 43 7
45 58 13
22 42 10
4 8 4
9 30 9
43 61 11
5 12 5
9 29 9
15 32 15
20 37 5
9 11 9
13 44 12
55 61 23
37 57 5
59 61 27
20 31 20
29 45 13
7 32 7
8 43 8
6 44 6
24 53 21
41 50 9
12 53 12
15 23 15
24 50 18
22 50 18
3 10 3
43 63 11
29 31 29
4 39 4
7 11 7
30 37 5
24 49 17
21 53 21
19 21 19
49 54 17
15 52 15
24 40 8
26 52 20
1 6 1
30 58 26
7 44 7
1 10 1
34 54 2
24 29 24
17 47 15
6 33 1
12 56 12
32 49 17
30 39 7
21 60 21
3 44 3
32 34 2
51 61 19
51 53 19
22 53 21
34 40 2
18 39 7
37 61 5
18 60 18
9 10 9
11 51 11
2 6 2
25 53 21
31 60 28
20 53 20
60 63 28
31 59 27
54 55 22
27 44 12
8 47 8
32 47 15
61 62 29
4 61 4
22 32 22
12 44 12
49 59 17
6 8 6
11 62 11
3 41 3
23 42 10
12 32 12
34 59 2
49 53 17
24 26 24
22 52 20
8 34 2
22 46 14
32 42 10
42 44 10
24 45 13
11 35 3
28 40 8
6 57 6
5 9 5
53 61 21
8 55 8
50 61 18
25 45 13
18 51 18
4 27 4
14 56 14
22 49 17
11 15 11
12 49 12
39 47 7
36 62 4
28 60 28
14 52 14
34 57 2
46 50 14
30 49 17
14 24 14
3 40 3
11 50 11
49 58 17
26 49 17
22 35 3
4 12 4
53 57 21
5 35 3
42 47 10
6 60 6
25 47 15
59 63 27
47 51 15
21 54 21
46 53 14
37 49 5
9 33 1
18 45 13
17 43 11
56 59 24
43 46 11
9 41 9
27 49 17
18 52 18
7 23 7
8 11 8
23 61 23
21 35 3
10 19 10
22 57 22
23 31 23
8 20 8
