64 1918
38 44 1
58 60 38
25 31 58
56 64 25
42 50 56
27 46 50
40 54 46
4 51 54
13 41 4
17 26 41
30 61 26
34 49 61
36 57 34
5 39 57
10 15 5
24 37 10
11 12 24
7 45 12
8 18 45
22 33 8
29 53 33
43 62 53
6 55 43
19 35 55
2 16 35
9 28 16
21 23 9
14 47 23
59 63 14
3 52 59
20 32 52
1 48 1
38 48 38
48 58 58
25 48 25
48 56 56
48 50 50
46 48 46
48 54 54
4 48 4
41 48 41
26 48 26
48 61 61
34 48 34
48 57 57
5 48 5
10 48 10
24 48 24
12 48 12
45 48 45
8 48 8
33 48 33
48 53 53
43 48 43
48 55 55
35 48 35
16 48 16
9 48 9
23 48 23
14 48 14
48 59 59
48 52 52
32 48 32
44 48 1
48 60 38
31 48 58
48 64 25
42 48 56
27 48 50
40 48 46
48 51 54
13 48 4
17 48 41
30 48 26
48 49 61
36 48 34
39 48 57
15 48 5
37 48 10
11 48 24
7 48 12
18 48 45
22 48 8
29 48 33
48 62 53
6 48 43
19 48 55
2 48 35
28 48 16
21 48 9
47 48 23
48 63 14
3 48 59
20 48 52
47 59 23
24 25 25
1 56 1
3 21 9
28 32 16
29 62 33
39 58 58
10 32 10
4 34 4
16 26 26
23 44 1
5 7 5
19 21 55
4 52 4
17 19 41
38 55 38
31 38 38
56 58 58
36 54 54
7 44 1
22 38 38
10 29 10
51 62 54
11 49 61
35 55 55
3 47 23
29 49 61
44 49 1
27 40 50
2 9 35
25 27 25
2 27 50
29 61 61
30 34 26
12 30 26
20 42 56
1 4 1
39 57 57
25 50 25
33 50 50
18 33 45
5 56 56
44 60 1
32 47 23
18 43 45
8 16 8
1 44 1
4 36 4
3 40 46
2 62 53
15 20 5
34 60 38
5 11 5
25 33 25
46 49 46
17 45 41
39 55 57
22 28 8
13 28 4
25 54 25
1 38 1
8 64 25
15 16 5
3 33 33
25 61 25
20 36 34
40 45 46
17 46 46
4 31 58
26 29 26
16 33 33
23 27 50
22 23 8
36 61 61
14 28 16
2 23 35
42 58 58
6 23 43
35 43 43
23 54 54
34 52 34
19 38 38
17 49 41
2 21 35
25 45 25
38 63 38
30 62 26
3 24 24
44 56 1
5 18 5
50 58 58
2 45 45
27 38 38
37 47 10
15 39 57
46 52 46
39 45 57
31 43 58
17 37 41
33 64 25
13 54 54
41 42 56
3 20 59
30 35 26
14 22 8
19 28 55
9 22 8
7 23 12
10 58 58
55 61 61
19 64 25
20 41 41
18 49 61
55 64 25
1 30 1
1 64 1
7 28 12
28 52 16
33 61 61
28 62 53
18 50 50
43 64 25
38 42 38
14 43 43
23 58 58
34 54 54
1 5 1
17 54 54
6 13 4
8 11 24
11 15 5
36 58 58
26 33 26
35 40 46
21 59 9
19 47 55
27 58 58
4 47 4
11 51 54
3 32 59
14 19 55
27 36 50
2 47 35
59 62 53
37 45 10
37 38 38
14 21 9
45 51 54
7 15 5
6 18 45
37 53 10
13 44 1
52 55 55
52 62 53
28 29 33
21 32 9
11 40 46
10 62 10
54 57 54
51 56 56
28 57 57
45 56 56
11 64 25
35 53 53
12 64 25
31 46 58
3 35 35
18 30 26
42 49 56
8 36 34
12 26 26
8 30 26
10 46 46
8 58 58
54 56 56
20 30 26
1 58 1
25 29 25
17 52 41
1 11 1
39 64 25
8 24 24
13 20 4
3 23 23
41 56 56
2 37 10
9 35 35
22 35 8
8 51 54
27 31 58
11 54 54
30 31 58
35 44 1
7 20 12
40 63 46
45 61 61
9 44 1
12 25 25
29 33 33
12 23 12
19 57 57
23 26 26
16 29 33
15 47 5
25 26 25
11 52 24
31 58 58
23 37 10
21 22 8
6 53 53
38 62 38
32 36 34
32 40 46
7 36 34
20 63 14
28 37 10
14 29 33
13 50 50
19 42 56
23 63 23
20 39 57
40 43 46
30 32 26
37 64 25
4 46 46
13 25 25
3 19 55
9 64 25
26 60 38
15 35 5
30 45 26
22 25 25
38 60 38
40 55 46
5 32 5
45 46 46
14 58 58
25 62 25
5 17 41
5 13 4
23 28 16
11 13 4
9 62 53
32 58 58
44 64 1
29 36 34
21 55 55
7 41 41
8 54 54
23 56 56
3 28 16
25 40 25
37 62 10
56 63 56
14 23 23
17 39 41
42 56 56
16 64 25
32 44 1
16 30 26
51 59 54
9 56 56
29 37 10
7 9 12
12 36 34
19 63 55
24 28 24
26 54 54
44 52 1
17 30 41
21 28 16
2 32 35
30 64 25
36 52 34
17 42 56
1 31 1
12 13 4
7 25 25
24 40 46
36 39 34
56 62 56
3 43 43
19 32 55
26 42 56
10 49 61
4 61 4
20 38 38
25 56 25
24 36 34
5 16 5
11 34 34
18 26 26
6 8 8
16 46 46
5 14 5
9 23 9
2 64 25
17 60 38
23 24 24
27 50 50
50 54 50
1 54 1
11 50 50
22 59 8
4 21 4
3 31 58
52 58 58
45 64 25
11 45 24
30 36 26
31 35 58
4 28 4
10 27 50
38 58 38
25 51 25
36 56 56
11 28 24
17 24 41
37 59 10
30 46 46
41 60 38
59 61 61
9 18 45
3 42 56
49 56 56
60 61 38
7 16 12
20 51 54
49 50 50
38 54 38
22 56 56
19 29 33
7 38 38
3 59 59
13 16 4
3 22 8
39 47 57
7 52 12
10 17 41
4 54 54
6 34 34
16 36 34
37 51 54
12 59 12
6 14 43
30 37 26
16 43 43
58 64 58
12 14 12
7 51 54
6 60 38
16 40 46
4 11 4
34 36 34
56 60 38
47 64 25
40 50 50
32 63 14
12 15 5
46 56 56
11 25 25
37 60 38
50 61 50
20 43 43
15 40 46
22 49 61
6 42 56
22 31 58
13 47 4
27 49 50
24 47 24
13 35 4
1 57 1
21 42 56
22 51 54
51 53 54
49 63 61
9 29 33
24 49 61
3 61 61
1 17 1
44 53 1
39 53 57
20 21 9
8 17 41
6 36 34
32 37 10
34 55 34
3 6 43
20 28 16
1 59 1
10 56 56
23 40 46
10 33 10
39 46 46
7 47 12
40 56 56
53 62 53
30 41 41
6 21 43
30 40 46
28 36 34
11 63 24
17 53 41
1 25 1
28 64 25
26 32 26
9 49 61
6 63 43
2 42 56
21 63 9
15 41 41
14 36 34
24 31 58
41 63 41
30 56 56
6 62 53
1 20 1
7 55 12
7 53 12
38 50 38
4 56 56
18 25 25
25 42 25
42 59 56
11 55 24
16 28 16
17 41 41
11 62 24
2 53 53
29 54 54
51 55 54
16 22 8
39 59 57
26 43 26
1 50 1
60 62 38
39 61 61
41 49 41
44 50 1
7 63 12
11 32 24
40 59 46
43 52 43
37 63 10
43 58 58
32 53 53
32 60 38
18 63 45
4 43 4
4 25 25
42 53 56
17 38 38
41 54 54
8 52 8
50 56 56
2 24 24
25 38 38
29 35 33
22 30 26
47 52 23
28 35 35
3 11 24
20 47 23
29 42 56
21 52 9
1 60 1
15 32 5
3 63 14
3 56 56
24 46 46
33 43 33
50 57 50
3 18 45
32 61 61
22 46 46
17 43 41
24 58 58
15 26 26
5 58 58
10 20 10
6 22 8
8 42 56
34 61 61
24 53 24
36 55 34
28 59 16
9 50 50
13 31 58
15 22 5
22 32 8
26 31 58
54 59 54
47 58 58
21 61 61
7 43 12
12 42 56
35 36 34
8 46 46
22 47 8
30 60 38
19 46 46
27 35 50
3 64 25
5 52 5
3 9 9
9 39 57
28 30 26
18 61 61
10 26 26
16 55 55
10 19 10
4 33 4
12 16 12
4 6 4
25 37 25
11 16 24
31 53 58
46 58 58
2 29 33
31 56 58
15 17 41
52 54 54
1 41 1
47 49 61
33 54 54
11 23 24
19 59 55
1 12 1
5 22 5
29 39 57
7 19 12
4 44 1
22 37 10
24 30 26
1 35 1
13 34 4
9 10 10
2 19 55
9 11 24
49 57 61
25 30 25
24 26 26
31 33 58
36 38 38
13 56 56
35 47 35
15 61 61
26 56 56
23 47 23
10 41 41
16 54 54
34 41 41
60 63 38
38 46 38
17 22 41
15 19 5
9 37 10
40 64 25
9 43 43
42 54 56
6 64 25
12 52 12
26 37 26
4 17 4
44 47 1
22 61 61
18 64 25
50 59 50
6 59 43
21 47 9
6 47 43
39 56 56
13 17 4
15 44 1
11 33 24
