64 63
38 39 36
18 19 16
10 11 8
58 64 58
52 53 50
22 64 22
46 47 44
20 21 18
32 64 32
10 64 10
54 55 52
40 64 40
44 45 42
60 64 60
4 64 4
8 9 6
40 41 38
56 57 54
34 35 32
54 64 54
12 64 12
30 31 28
26 27 24
32 33 30
36 64 36
16 17 14
24 64 24
34 64 34
6 64 6
26 64 26
16 64 16
30 64 30
18 64 18
2 64 2
6 7 4
2 3 1
42 64 42
44 64 44
14 64 14
14 15 12
62 64 62
48 64 48
52 64 52
28 64 28
48 49 46
28 29 26
24 25 22
42 43 40
58 59 56
38 64 38
60 61 58
12 13 10
22 23 20
4 5 2
36 37 34
1 64 1
62 63 60
20 64 20
46 64 46
50 64 50
50 51 48
8 64 8
56 64 56
