64 1884
1 33 1
52 63 14
7 56 56
8 41 41
28 40 46
37 61 61
26 38 38
27 51 50
14 17 41
44 64 1
42 62 56
34 37 34
6 59 43
8 33 8
7 62 12
17 48 41
30 37 26
29 64 25
2 50 50
9 49 61
30 41 41
31 35 58
17 29 41
54 62 54
3 4 4
38 63 38
57 59 57
1 55 1
49 58 58
35 57 57
6 44 1
1 14 1
22 62 8
11 13 4
59 63 14
16 20 16
27 49 50
46 54 46
10 38 38
12 62 12
12 44 1
12 49 61
24 55 24
4 30 4
31 58 58
11 28 24
6 26 26
11 36 34
18 54 54
3 36 34
37 54 54
17 56 56
21 28 16
23 42 56
10 64 25
19 43 43
28 57 57
38 40 38
45 53 45
1 36 1
26 43 26
54 63 54
44 45 1
32 62 53
6 40 46
33 41 41
26 42 56
17 22 41
21 60 38
2 57 57
12 53 12
16 60 38
22 60 38
27 50 50
5 62 5
2 12 12
25 55 25
33 44 1
24 63 24
8 51 54
6 13 4
18 62 45
13 15 4
16 41 41
4 7 4
34 52 34
40 63 46
3 19 55
8 42 56
8 27 50
55 60 38
7 54 54
3 28 16
42 44 1
6 36 34
28 59 16
1 19 1
15 54 54
24 51 54
13 18 4
13 47 4
46 58 58
51 59 54
4 14 4
29 39 57
35 53 53
27 62 50
23 48 23
48 53 53
20 27 50
7 39 57
13 59 4
23 36 34
5 52 5
14 39 57
50 56 56
34 36 34
27 32 50
39 49 61
33 52 33
12 38 38
9 42 56
7 14 12
16 35 35
11 47 24
21 51 54
12 23 12
52 58 58
29 45 45
25 39 25
26 63 26
27 52 50
44 57 1
1 60 1
2 20 35
30 56 56
30 51 54
47 48 23
39 57 57
43 58 58
2 58 58
8 26 26
59 64 25
13 26 4
30 33 26
38 64 38
3 35 35
4 19 4
1 51 1
35 45 45
35 39 57
15 46 46
16 51 54
33 62 33
10 50 50
1 11 1
13 42 56
2 18 45
44 62 1
40 43 46
5 34 34
25 27 25
25 42 25
45 46 46
8 35 8
25 45 25
9 46 46
7 10 10
9 21 9
41 42 56
42 53 56
15 58 58
29 52 33
8 59 8
20 37 10
4 24 4
8 24 24
20 64 25
51 56 56
19 26 26
4 57 4
35 42 56
33 45 45
36 53 34
2 22 8
2 29 33
12 13 4
57 58 58
19 25 25
33 59 33
30 58 58
3 50 50
32 43 43
33 37 10
22 43 8
24 37 10
35 62 53
37 53 10
4 40 46
20 24 24
40 48 46
4 5 4
7 36 34
28 55 55
23 54 54
16 25 25
14 54 54
20 29 33
36 46 46
38 43 38
15 19 5
42 51 56
1 31 1
22 58 58
35 50 50
23 52 23
32 61 61
25 35 25
2 15 5
6 42 56
38 47 38
17 34 41
44 61 1
46 57 46
50 60 38
11 57 57
25 57 25
45 57 57
34 41 41
22 28 8
29 50 50
4 39 4
33 54 54
21 55 55
3 55 55
1 2 1
57 61 61
18 57 57
29 49 61
5 19 5
12 15 5
36 58 58
42 64 25
20 31 58
50 57 50
38 45 38
37 52 10
11 15 5
21 64 25
26 61 26
8 34 34
9 32 9
27 29 50
6 63 43
17 63 41
30 45 26
17 49 41
44 47 1
20 52 52
12 41 41
5 37 5
42 55 56
8 50 50
18 55 45
36 51 54
9 50 50
28 35 35
10 13 4
37 58 58
2 44 1
22 40 46
14 47 23
21 22 8
7 52 12
21 25 25
36 40 46
1 17 1
29 48 33
45 47 45
56 63 56
52 62 53
11 25 25
32 34 34
11 16 24
36 45 34
13 46 46
13 33 4
18 46 46
30 38 38
17 60 38
2 42 56
5 24 5
31 64 58
34 53 34
45 51 54
2 21 35
24 60 38
23 57 57
62 64 25
4 61 4
20 60 38
15 39 57
18 19 45
32 40 46
9 61 61
1 30 1
7 40 46
3 11 24
21 54 54
46 56 56
42 57 56
15 36 34
6 31 58
43 55 43
41 64 25
15 53 5
20 49 61
3 15 5
58 64 58
48 55 55
1 4 1
43 45 45
16 55 55
52 59 59
28 41 41
27 58 58
3 29 33
3 47 23
4 41 4
1 24 1
42 54 56
26 48 26
20 25 25
48 59 59
1 46 1
17 55 41
19 44 1
34 47 34
3 57 57
34 60 38
11 17 41
7 46 46
35 64 25
25 56 25
51 58 58
26 30 26
25 38 38
4 59 4
31 54 58
3 22 8
22 63 8
17 43 41
24 46 46
53 55 53
15 59 5
6 58 58
41 50 50
36 38 38
8 47 8
30 55 26
22 44 1
1 9 1
60 62 38
2 35 35
24 49 61
26 41 41
34 56 56
40 50 50
24 57 57
2 59 35
11 46 46
7 27 50
25 41 25
2 55 55
22 47 8
18 51 54
5 8 5
15 23 5
17 31 58
19 32 55
6 17 41
31 60 38
8 36 34
9 24 24
13 43 4
22 56 56
7 53 12
43 48 43
12 47 12
25 53 25
16 30 26
1 59 1
47 62 53
40 62 46
6 32 43
20 55 55
23 62 53
7 45 12
4 42 56
37 59 10
21 56 56
20 30 26
31 56 58
36 52 34
24 43 24
39 60 38
26 35 26
13 28 4
33 35 33
1 5 1
39 45 57
23 56 56
15 49 61
15 51 54
21 31 58
30 52 26
10 32 10
6 38 38
2 40 46
3 46 46
29 41 41
20 28 16
17 59 41
34 38 38
30 34 26
11 32 24
38 60 38
16 23 16
16 29 33
19 55 55
13 14 4
9 26 26
10 14 10
19 21 55
1 23 1
22 29 8
19 37 10
43 52 43
35 38 38
9 64 25
29 58 58
46 59 46
4 17 4
45 59 45
43 44 1
11 30 26
8 46 46
26 62 26
28 30 26
27 46 50
11 50 50
13 17 4
46 50 50
19 60 38
13 39 4
1 62 1
2 11 24
23 31 58
4 62 4
15 42 56
55 59 55
10 57 57
41 61 41
44 63 1
6 35 43
37 51 54
31 55 58
23 47 23
14 41 41
25 46 25
1 34 1
3 52 59
18 34 34
14 46 46
23 29 33
19 22 8
14 40 46
11 38 38
2 60 38
24 30 26
40 42 56
29 35 33
2 49 61
9 41 41
2 64 25
23 44 1
45 48 45
52 61 61
16 37 10
26 59 26
4 6 4
21 44 1
31 41 58
34 49 61
63 64 25
18 58 58
31 57 58
19 39 57
23 59 23
10 39 57
17 25 25
3 9 9
30 32 26
9 17 41
12 42 56
47 63 23
24 45 24
10 20 10
40 61 46
4 50 50
2 51 54
16 56 56
14 26 26
12 25 25
5 56 56
9 31 58
12 52 12
18 29 45
28 60 38
6 52 43
10 31 58
24 27 50
31 52 58
61 62 61
7 9 12
54 55 54
19 42 56
21 32 9
18 35 45
37 47 10
25 43 25
16 32 16
7 48 12
13 50 50
40 57 46
7 43 12
21 24 24
15 35 5
7 55 12
16 33 33
37 63 10
7 51 54
6 61 61
42 46 56
3 60 38
31 45 58
56 62 56
10 53 10
5 13 4
9 16 16
24 64 25
6 64 25
2 24 24
6 9 43
27 41 50
56 64 25
41 48 41
8 40 46
26 60 38
13 64 25
8 54 54
24 26 26
2 62 53
22 57 57
27 48 50
27 63 50
27 30 50
30 43 26
3 16 16
26 55 26
22 50 50
17 45 41
16 48 16
6 57 57
31 32 58
54 57 54
32 58 58
35 61 61
13 58 58
8 49 61
13 34 4
15 30 26
19 47 55
40 46 46
3 40 46
30 61 26
7 28 12
40 55 46
2 48 35
29 36 34
26 56 56
14 23 23
11 60 38
16 54 54
8 23 8
4 48 4
23 24 24
3 59 59
1 3 1
11 37 10
6 10 10
28 38 38
19 51 54
53 54 54
17 58 58
39 56 56
24 41 41
14 42 56
44 58 1
3 23 23
20 62 53
7 20 12
53 64 25
36 47 34
38 59 38
7 23 12
33 53 33
41 54 54
1 39 1
25 31 58
4 15 4
17 37 41
1 21 1
8 31 58
38 42 38
25 37 25
17 38 38
11 63 24
2 7 12
36 62 34
21 52 9
11 59 24
5 28 5
1 44 1
42 56 56
5 16 5
49 62 61
33 47 33
57 64 25
26 27 50
15 32 5
8 39 57
28 48 16
7 30 26
41 51 54
9 51 54
14 38 38
16 19 55
3 38 38
28 31 58
18 44 1
42 58 58
8 14 8
24 44 1
27 55 50
16 52 16
11 39 57
22 31 58
33 49 61
25 49 25
21 30 26
9 36 34
7 19 12
35 54 54
31 34 58
51 53 54
32 36 34
5 42 56
8 10 10
48 52 52
8 57 57
22 24 24
32 59 59
6 53 53
3 30 26
49 57 61
5 36 34
55 56 56
10 25 25
18 43 45
18 38 38
18 22 45
27 57 50
27 28 50
1 40 1
5 63 5
49 50 50
25 60 38
23 37 10
16 27 50
20 38 38
10 48 10
29 63 33
9 55 55
6 49 61
42 63 56
33 61 61
26 34 26
24 48 24
4 37 4
7 22 12
10 61 61
45 61 61
33 43 33
13 44 1
15 22 5
6 48 43
34 45 34
11 26 26
8 30 26
28 29 33
32 44 1
19 27 50
1 27 1
11 27 50
36 41 41
28 47 16
20 47 23
4 64 25
24 56 56
4 28 4
20 43 43
8 25 25
13 62 4
35 41 41
18 49 61
8 18 45
6 15 5
11 54 54
10 36 34
9 12 12
41 46 46
9 19 55
17 40 46
8 16 8
14 48 14
56 61 56
5 15 5
14 37 10
9 35 35
38 39 38
6 28 43
53 60 38
37 60 38
2 19 55
30 49 26
3 61 61
11 22 24
44 53 1
3 42 56
8 53 8
25 64 25
6 29 33
15 57 57
11 43 24
25 44 1
27 40 50
8 45 45
19 63 55
20 42 56
2 47 35
5 11 5
4 27 50
17 23 41
11 55 24
9 62 53
50 54 50
13 48 4
52 53 53
30 36 26
16 57 57
12 31 58
18 20 45
14 49 61
8 62 8
1 25 1
4 54 54
21 63 9
5 45 5
11 56 56
35 37 10
43 59 43
21 50 50
27 37 50
52 57 57
36 39 34
15 44 1
2 38 38
1 22 1
34 40 46
52 60 38
42 50 56
28 54 54
16 64 25
21 36 34
27 64 25
13 20 4
14 30 26
4 58 58
6 55 43
14 18 45
9 63 9
3 14 14
15 24 5
20 39 57
34 35 34
41 57 41
25 30 25
5 60 38
11 53 24
48 58 58
23 60 38
6 54 54
12 46 46
30 63 26
43 49 61
61 64 25
3 44 1
21 47 9
3 56 56
5 17 41
7 61 61
17 35 41
19 38 38
5 23 5
38 62 38
39 44 1
42 49 56
4 45 4
31 38 38
28 45 45
1 16 1
7 32 12
29 44 1
25 32 25
8 32 8
37 39 57
21 34 34
29 60 38
28 63 16
12 14 12
36 64 25
12 59 12
13 24 4
33 56 56
28 36 34
46 64 25
16 59 16
10 54 54
10 55 10
47 60 38
9 30 26
2 34 34
7 35 12
13 36 4
5 46 46
29 53 33
32 41 41
40 44 1
2 16 35
26 33 26
8 48 8
13 30 4
9 38 38
52 64 25
26 54 54
14 28 16
11 18 24
7 25 25
37 57 57
23 41 41
25 40 25
1 18 1
14 31 58
5 18 5
8 60 38
16 40 46
12 33 12
25 54 25
21 29 33
7 60 38
6 21 43
20 48 52
8 52 8
12 63 12
16 22 8
18 21 45
38 61 38
3 8 8
12 56 56
27 53 50
18 52 45
17 54 54
55 58 58
24 40 46
24 35 24
3 17 41
31 47 58
44 50 1
20 57 57
35 59 35
46 49 46
17 26 41
59 62 53
15 61 61
5 26 26
23 43 43
6 27 50
2 36 34
19 50 50
20 21 9
1 47 1
2 31 58
11 52 24
32 48 32
41 62 41
33 58 58
2 26 26
27 60 38
11 51 54
6 33 33
31 51 58
10 34 34
15 60 38
32 45 45
17 52 41
4 34 4
32 39 57
13 49 4
36 50 50
31 43 58
1 43 1
10 12 10
2 52 35
22 30 26
27 54 50
13 61 4
14 50 50
25 28 25
13 56 56
23 64 25
21 40 46
58 61 58
38 44 1
26 32 26
53 57 57
23 26 26
22 64 25
9 59 9
15 37 5
26 64 25
53 62 53
15 38 38
20 46 46
29 51 54
22 53 8
46 51 46
6 62 53
41 55 41
37 55 10
10 49 61
8 29 8
17 30 41
2 13 4
28 39 57
7 57 57
42 61 56
23 53 53
41 63 41
14 64 25
29 46 46
7 42 56
16 42 56
29 43 33
30 48 26
28 53 53
47 50 50
60 63 38
15 63 5
26 44 1
24 47 24
3 7 12
36 59 34
3 20 59
49 54 54
7 12 12
39 59 57
5 44 1
20 34 34
22 33 8
4 60 38
4 43 4
4 26 4
6 51 54
53 61 61
46 61 46
18 31 58
34 55 34
17 53 41
38 41 38
23 27 50
29 37 10
3 18 45
30 64 25
13 16 4
27 31 58
48 62 53
28 44 1
4 12 4
27 42 56
34 44 1
2 37 10
18 37 10
45 49 61
7 38 38
33 57 57
20 22 8
36 42 56
28 46 46
51 61 54
33 55 33
19 49 61
19 30 26
20 61 61
39 53 57
55 62 53
9 27 50
29 40 46
33 42 56
29 59 33
4 20 4
5 25 25
33 38 38
10 11 10
56 60 38
7 58 58
39 64 25
10 24 10
15 28 5
29 56 56
48 64 25
19 46 46
38 48 38
1 38 1
13 19 4
10 58 58
24 54 54
2 30 26
38 55 38
12 26 26
15 25 25
12 39 57
51 62 54
40 54 46
30 59 26
1 58 1
19 28 55
2 17 41
40 58 58
15 20 5
36 60 38
30 53 26
34 54 54
3 63 14
39 40 46
1 29 1
20 35 35
21 49 61
6 20 43
11 44 1
3 64 25
10 42 56
35 52 35
29 47 33
33 39 57
46 55 46
15 45 5
41 58 58
21 59 9
11 62 24
15 43 5
1 32 1
37 46 46
3 49 61
1 57 1
37 64 25
14 62 53
27 47 50
14 59 14
20 53 53
37 41 41
43 62 53
6 41 41
22 37 10
4 35 4
3 37 10
35 49 61
18 27 50
44 52 1
19 40 46
36 44 1
8 44 1
1 61 1
4 32 4
49 63 61
13 60 38
16 38 38
13 55 4
45 60 38
17 19 41
46 60 38
27 38 38
29 30 26
16 31 58
2 61 61
38 51 38
2 5 5
33 40 46
10 16 10
3 26 26
10 37 10
48 50 50
7 15 5
43 47 43
10 18 10
31 44 1
35 51 54
5 54 54
5 20 5
15 55 5
19 54 54
23 39 57
14 60 38
10 21 10
36 63 34
21 62 53
15 41 41
39 42 56
39 50 50
15 21 5
18 50 50
42 43 56
24 36 34
26 31 58
19 20 55
18 56 56
17 50 50
8 38 38
25 63 25
44 48 1
11 20 24
28 64 25
44 49 1
53 56 56
27 39 50
24 28 24
1 8 1
58 59 58
5 31 58
34 58 58
1 50 1
8 19 8
10 26 26
39 43 57
11 61 61
5 64 25
9 37 10
27 61 50
37 40 46
55 64 25
7 33 12
14 58 58
46 62 46
22 36 34
32 49 61
40 45 46
29 55 33
14 27 50
12 24 24
15 27 50
28 51 54
18 23 45
33 63 33
26 52 26
8 9 8
18 64 25
42 60 38
2 10 10
49 51 54
9 45 45
18 40 46
50 52 50
31 33 58
8 55 8
30 42 56
43 51 54
15 16 5
29 33 33
9 43 43
2 46 46
12 18 12
56 58 58
29 57 57
27 33 50
9 60 38
4 18 4
18 24 24
22 54 54
16 62 53
50 59 50
5 30 26
29 62 33
12 48 12
5 9 5
52 55 55
35 36 34
10 23 10
40 47 46
48 61 61
45 56 56
57 63 57
30 54 54
31 39 58
45 62 45
23 50 50
26 36 26
39 62 57
17 24 41
16 43 43
10 63 10
34 50 50
41 44 1
6 56 56
25 47 25
34 57 34
46 47 46
41 56 56
30 39 26
12 19 12
12 58 58
4 52 4
1 49 1
2 6 43
20 45 45
1 35 1
47 53 53
1 48 1
47 52 23
19 29 33
5 22 5
21 48 9
48 54 54
16 50 50
4 25 25
46 53 46
26 37 26
13 38 38
51 63 54
49 61 61
8 58 58
49 64 25
13 57 4
13 45 4
12 36 34
6 14 43
26 57 26
39 52 57
47 56 56
8 37 10
2 14 35
53 58 58
10 60 38
14 24 24
24 34 34
30 50 50
12 27 50
14 57 57
18 63 45
43 63 43
14 34 34
39 54 54
8 21 8
9 15 5
43 53 53
36 54 54
27 59 50
45 50 50
42 59 56
18 45 45
22 61 61
51 64 25
10 51 54
32 37 10
24 38 38
5 58 58
40 49 46
11 33 24
30 60 38
7 49 61
25 34 25
12 64 25
4 44 1
17 20 41
28 62 53
32 53 53
28 32 16
1 56 1
41 60 38
3 31 58
5 43 5
7 17 41
7 41 41
20 44 1
10 29 10
22 38 38
34 39 34
40 51 46
39 41 41
31 61 58
11 23 24
11 48 24
24 39 57
45 55 45
38 56 38
2 32 35
21 35 35
7 24 24
9 10 10
22 49 61
12 16 12
2 39 57
51 52 54
15 31 58
6 30 26
3 53 53
24 31 58
23 33 33
22 48 8
18 25 25
22 23 8
55 63 55
3 51 54
22 46 46
45 64 25
52 54 54
11 49 61
21 45 45
11 42 56
26 40 46
44 59 1
18 32 45
26 39 26
5 29 5
15 64 25
19 57 57
47 58 58
52 56 56
54 64 25
17 36 41
7 29 12
40 53 46
22 59 8
19 31 58
1 64 1
18 59 45
38 54 38
24 33 24
12 34 34
9 28 16
19 24 24
16 24 24
16 18 45
14 33 33
51 57 54
48 56 56
23 51 54
9 44 1
43 57 57
4 13 4
4 49 4
18 53 45
21 37 10
30 46 46
36 55 34
5 33 5
5 32 5
27 56 56
16 21 16
13 51 54
2 28 35
16 36 34
46 63 46
4 10 4
17 21 41
2 63 35
1 54 1
32 46 46
5 61 61
36 49 61
49 56 56
7 13 4
3 33 33
13 52 4
24 42 56
5 51 54
19 58 58
17 46 46
37 38 38
12 17 41
14 63 14
4 31 58
33 60 38
14 44 1
33 51 54
5 39 57
23 30 26
50 61 50
23 58 58
5 59 5
10 40 46
16 49 61
49 52 61
26 46 46
26 58 58
1 45 1
12 51 54
1 6 1
6 18 45
2 8 8
17 51 54
37 62 10
20 59 59
25 59 25
20 63 14
14 45 45
31 46 58
28 52 16
30 62 26
16 63 16
45 54 54
38 57 38
6 34 34
21 42 56
9 40 46
18 61 61
18 36 34
12 57 57
5 14 5
6 60 38
8 11 24
3 5 5
50 64 25
10 33 10
9 48 9
22 32 8
17 64 25
14 51 54
44 60 1
2 41 41
29 31 58
19 41 41
6 24 24
3 48 59
14 15 5
32 64 25
10 22 10
11 64 25
6 45 45
6 37 10
14 25 25
24 58 58
21 33 33
22 25 25
17 47 41
7 11 24
34 62 34
19 34 34
60 61 38
1 28 1
56 57 56
13 29 4
16 28 16
59 60 38
37 43 10
15 50 50
15 40 46
11 19 24
16 58 58
35 44 1
3 62 53
17 61 41
17 41 41
8 22 8
10 62 10
25 29 25
34 46 46
24 59 24
31 62 58
28 37 10
19 36 34
42 48 56
58 60 38
5 35 5
8 28 8
10 44 1
20 40 46
3 12 12
39 51 54
13 35 4
11 24 24
3 32 59
41 49 41
