64 1690
28 47 20
18 32 8
12 45 2
1 2 1
44 47 38
50 63 50
41 45 32
37 48 26
15 26 8
1 5 1
11 33 2
12 39 2
32 45 32
8 19 8
29 31 20
14 33 14
24 64 14
58 60 50
8 41 8
12 52 2
35 37 26
29 52 20
7 30 1
54 58 44
12 54 2
57 63 50
13 20 2
30 40 20
27 63 20
24 50 14
2 62 2
10 11 2
19 29 8
33 49 26
42 46 32
6 56 1
12 37 2
1 27 1
16 36 8
8 35 8
45 57 38
31 44 20
4 50 1
14 56 14
30 45 20
15 49 8
10 18 2
18 36 8
49 58 38
11 21 2
26 28 20
13 17 2
5 12 1
19 26 8
55 63 44
18 38 8
32 40 32
41 64 32
28 46 20
45 63 38
33 40 26
21 45 14
35 47 26
14 31 14
10 20 2
4 24 1
26 33 26
7 52 1
1 15 1
1 30 1
16 30 8
10 56 2
26 46 26
26 53 26
37 46 26
26 47 26
19 47 8
30 54 20
25 43 14
35 43 26
19 43 8
23 58 14
5 16 1
50 60 50
7 25 1
21 59 14
55 58 44
26 50 26
12 25 2
34 45 26
40 60 32
27 62 20
4 41 1
30 52 20
27 43 20
6 48 1
21 61 14
11 64 2
6 28 1
46 64 38
4 7 1
36 61 26
13 53 2
40 50 32
5 60 1
15 30 8
36 42 26
11 25 2
5 45 1
34 39 26
9 16 2
20 51 20
1 7 1
35 60 26
35 61 26
32 47 32
13 60 2
18 41 8
20 62 20
7 37 1
1 31 1
57 64 50
10 57 2
35 46 26
20 43 20
21 50 14
8 29 8
2 43 2
9 28 2
51 58 44
44 50 44
14 27 14
38 46 38
13 38 2
23 46 14
33 58 26
22 35 14
19 50 8
7 48 1
34 58 26
18 33 8
8 48 8
1 50 1
22 27 14
12 50 2
19 27 8
6 22 1
19 24 8
4 13 1
10 33 2
58 59 50
54 56 44
14 60 14
14 37 14
34 35 26
33 55 26
18 19 8
1 29 1
5 11 1
54 59 44
30 59 20
30 43 20
12 59 2
8 22 8
7 34 1
32 39 32
11 12 2
14 46 14
31 39 20
8 10 2
8 63 8
10 58 2
1 12 1
25 55 14
42 63 32
22 53 14
49 51 38
14 50 14
18 27 8
40 62 32
15 22 8
9 29 2
49 55 38
12 47 2
50 51 44
29 42 20
45 62 38
6 30 1
14 42 14
27 39 20
22 49 14
18 48 8
18 37 8
36 37 26
42 60 32
53 58 44
30 60 20
25 28 14
47 59 38
1 64 1
30 57 20
13 47 2
2 9 2
25 47 14
11 15 2
16 24 8
23 32 14
25 29 14
5 24 1
7 45 1
4 25 1
23 35 14
30 41 20
28 63 20
30 48 20
20 49 20
22 48 14
8 43 8
2 20 2
5 39 1
20 50 20
40 46 32
3 58 1
49 62 38
37 59 26
17 39 8
1 63 1
30 34 20
24 34 14
2 30 2
18 51 8
9 37 2
53 61 44
33 42 26
17 28 8
50 56 50
54 62 44
19 60 8
47 49 38
2 51 2
45 46 38
15 59 8
10 29 2
56 63 56
20 36 20
8 58 8
21 22 14
58 64 50
25 64 14
44 46 38
53 55 44
19 52 8
21 30 14
26 57 26
16 41 8
33 35 26
10 39 2
2 57 2
25 58 14
17 54 8
7 23 1
31 32 20
22 25 14
34 41 26
32 50 32
8 49 8
16 62 8
38 60 38
46 56 38
26 55 26
3 47 1
35 48 26
