case_mode	case_n	case_seed	call_idx	candidate_idx	cand_kind	cand_is_same_side_reject	cand_is_accepted	cand_is_other_reject	candidate_elapsed_ms	cand_same_side_probe_ms	cand_same_side_probe_queue_ms	cand_same_side_probe_neighbor_iter_ms	cand_same_side_probe_found_t	cand_same_side_probe_visited_vertices	cand_third_comp_scan_ms	cand_bfs_total_ms	cand_bfs_neighbor_iter_ms	cand_partition_ms	cand_connectivity_check_ms	cand_accept	cand_reject_reason
comb_dense	256	1	1	1	separator_candidate	1	0	0	1.726	0.056	0.026	0.015	1	254	0.000	0.056	0.015	0.000	0.000	0	same_side_reject
comb_dense	256	1	1	2	separator_candidate	1	0	0	2.838	0.032	0.017	0.007	1	254	0.000	0.032	0.007	0.000	0.000	0	same_side_reject
comb_dense	256	1	1	3	separator_candidate	1	0	0	1.527	0.038	0.023	0.007	1	254	0.000	0.038	0.007	0.000	0.000	0	same_side_reject
comb_dense	256	1	1	4	separator_candidate	1	0	0	2.118	0.037	0.022	0.008	1	254	0.000	0.037	0.008	0.000	0.000	0	same_side_reject
comb_dense	256	1	1	5	separator_candidate	1	0	0	2.423	0.038	0.023	0.007	1	254	0.000	0.038	0.007	0.000	0.000	0	same_side_reject
comb_dense	256	1	1	6	separator_candidate	1	0	0	2.484	0.064	0.033	0.015	1	254	0.000	0.064	0.015	0.000	0.000	0	same_side_reject
comb_dense	256	1	1	7	separator_candidate	1	0	0	2.422	0.063	0.032	0.015	1	254	0.000	0.063	0.015	0.000	0.000	0	same_side_reject
comb_dense	256	1	1	8	separator_candidate	1	0	0	2.344	0.062	0.032	0.015	1	254	0.000	0.062	0.015	0.000	0.000	0	same_side_reject
comb_dense	256	1	1	9	separator_candidate	1	0	0	2.440	0.062	0.031	0.015	1	254	0.000	0.062	0.015	0.000	0.000	0	same_side_reject
comb_dense	256	1	1	10	separator_candidate	1	0	0	1.851	0.058	0.028	0.015	1	254	0.000	0.058	0.015	0.000	0.000	0	same_side_reject
comb_dense	256	1	1	11	separator_candidate	1	0	0	2.789	0.359	0.169	0.176	1	254	0.000	0.359	0.176	0.000	0.000	0	same_side_reject
comb_dense	256	1	1	12	separator_candidate	1	0	0	2.390	0.063	0.031	0.016	1	254	0.000	0.063	0.016	0.000	0.000	0	same_side_reject
comb_dense	256	1	1	13	separator_candidate	1	0	0	2.268	0.066	0.036	0.015	1	254	0.000	0.066	0.015	0.000	0.000	0	same_side_reject
comb_dense	256	1	1	14	separator_candidate	1	0	0	1.122	0.031	0.016	0.007	1	254	0.000	0.031	0.007	0.000	0.000	0	same_side_reject
comb_dense	256	1	1	15	separator_candidate	1	0	0	1.120	0.030	0.015	0.007	1	254	0.000	0.030	0.007	0.000	0.000	0	same_side_reject
comb_dense	256	1	1	16	separator_candidate	1	0	0	1.124	0.031	0.016	0.007	1	254	0.000	0.031	0.007	0.000	0.000	0	same_side_reject
comb_dense	256	1	1	17	separator_candidate	1	0	0	1.115	0.031	0.016	0.007	1	254	0.000	0.031	0.007	0.000	0.000	0	same_side_reject
comb_dense	256	1	1	18	separator_candidate	1	0	0	1.117	0.031	0.016	0.008	1	254	0.000	0.031	0.008	0.000	0.000	0	same_side_reject
comb_dense	256	1	1	19	separator_candidate	1	0	0	2.823	0.038	0.023	0.008	1	254	0.000	0.038	0.008	0.000	0.000	0	same_side_reject
comb_dense	256	1	1	20	separator_candidate	1	0	0	2.368	0.080	0.049	0.015	1	254	0.000	0.080	0.015	0.000	0.000	0	same_side_reject
comb_dense	256	1	1	21	separator_candidate	1	0	0	2.331	0.062	0.032	0.015	1	254	0.000	0.062	0.015	0.000	0.000	0	same_side_reject
comb_dense	256	1	1	22	separator_candidate	1	0	0	2.446	0.062	0.031	0.015	1	254	0.000	0.062	0.015	0.000	0.000	0	same_side_reject
comb_dense	256	1	1	23	separator_candidate	1	0	0	2.193	0.060	0.030	0.015	1	254	0.000	0.060	0.015	0.000	0.000	0	same_side_reject
comb_dense	256	1	1	24	separator_candidate	1	0	0	2.054	0.037	0.022	0.007	1	254	0.000	0.037	0.007	0.000	0.000	0	same_side_reject
comb_dense	256	1	1	25	separator_candidate	1	0	0	2.003	0.039	0.019	0.009	1	254	0.000	0.039	0.009	0.000	0.000	0	same_side_reject
comb_dense	256	1	1	26	separator_candidate	1	0	0	2.702	0.214	0.024	0.183	1	254	0.000	0.214	0.183	0.000	0.000	0	same_side_reject
comb_dense	256	1	1	27	separator_candidate	1	0	0	2.354	0.062	0.032	0.015	1	254	0.000	0.062	0.015	0.000	0.000	0	same_side_reject
comb_dense	256	1	1	28	separator_candidate	1	0	0	2.298	0.062	0.031	0.015	1	254	0.000	0.062	0.015	0.000	0.000	0	same_side_reject
comb_dense	256	1	1	29	separator_candidate	1	0	0	1.123	0.031	0.017	0.007	1	254	0.000	0.031	0.007	0.000	0.000	0	same_side_reject
comb_dense	256	1	1	30	separator_candidate	1	0	0	1.506	0.034	0.019	0.008	1	254	0.000	0.034	0.008	0.000	0.000	0	same_side_reject
comb_dense	256	1	1	31	separator_candidate	1	0	0	2.392	0.062	0.032	0.015	1	254	0.000	0.062	0.015	0.000	0.000	0	same_side_reject
comb_dense	256	1	1	32	separator_candidate	1	0	0	2.754	0.060	0.030	0.015	1	254	0.000	0.060	0.015	0.000	0.000	0	same_side_reject
comb_dense	256	1	1	33	separator_candidate	1	0	0	2.360	0.062	0.032	0.015	1	254	0.000	0.062	0.015	0.000	0.000	0	same_side_reject
comb_dense	256	1	1	34	separator_candidate	1	0	0	2.326	0.063	0.032	0.016	1	254	0.000	0.063	0.016	0.000	0.000	0	same_side_reject
comb_dense	256	1	1	35	separator_candidate	1	0	0	1.330	0.055	0.024	0.015	1	254	0.000	0.055	0.015	0.000	0.000	0	same_side_reject
comb_dense	256	1	1	36	separator_candidate	1	0	0	1.340	0.032	0.018	0.007	1	254	0.000	0.032	0.007	0.000	0.000	0	same_side_reject
comb_dense	256	1	1	37	separator_candidate	1	0	0	1.153	0.061	0.018	0.007	1	254	0.000	0.061	0.007	0.000	0.000	0	same_side_reject
comb_dense	256	1	1	38	separator_candidate	1	0	0	1.180	0.031	0.016	0.007	1	254	0.000	0.031	0.007	0.000	0.000	0	same_side_reject
