case_mode	case_n	case_seed	call_idx	total_candidates	same_side_reject_candidates	accepted_candidates	other_reject_candidates	st_separator_candidates	st_separator_ratio	prefilter_compute_ms	prefilter_kind
comb_dense	256	1	1	253	253	0	0	0	0.000000	650.775	round45_shadow_prefilter
comb_dense	256	1	2	0	0	0	0	0	0.000000	0.000	round45_shadow_prefilter
comb_dense	256	1	3	251	251	0	0	0	0.000000	520.668	round45_shadow_prefilter
comb_dense	256	1	4	0	0	0	0	0	0.000000	0.000	round45_shadow_prefilter
comb_dense	256	1	5	249	249	0	0	0	0.000000	490.963	round45_shadow_prefilter
comb_dense	256	1	6	0	0	0	0	0	0.000000	0.000	round45_shadow_prefilter
comb_dense	256	1	7	247	247	0	0	0	0.000000	476.611	round45_shadow_prefilter
comb_dense	256	1	8	0	0	0	0	0	0.000000	0.000	round45_shadow_prefilter
comb_dense	256	1	9	245	245	0	0	0	0.000000	494.163	round45_shadow_prefilter
comb_dense	256	1	17	237	237	0	0	0	0.000000	474.631	round45_shadow_prefilter
comb_dense	256	1	25	228	228	0	0	0	0.000000	422.603	round45_shadow_prefilter
comb_dense	256	1	33	221	220	0	1	0	0.000000	393.284	round45_shadow_prefilter
comb_dense	256	1	41	213	213	0	0	0	0.000000	329.002	round45_shadow_prefilter
comb_dense	256	1	49	205	205	0	0	0	0.000000	313.213	round45_shadow_prefilter
comb_dense	256	1	57	197	196	0	1	0	0.000000	286.546	round45_shadow_prefilter
comb_dense	256	1	65	189	189	0	0	0	0.000000	246.987	round45_shadow_prefilter
comb_dense	256	1	73	180	180	0	0	0	0.000000	199.129	round45_shadow_prefilter
comb_dense	256	1	81	171	171	0	0	0	0.000000	172.832	round45_shadow_prefilter
comb_dense	256	1	89	164	164	0	0	0	0.000000	178.940	round45_shadow_prefilter
comb_dense	256	1	97	157	157	0	0	0	0.000000	154.157	round45_shadow_prefilter
comb_dense	256	1	105	148	147	0	1	0	0.000000	141.278	round45_shadow_prefilter
comb_dense	256	1	113	141	141	0	0	0	0.000000	124.714	round45_shadow_prefilter
comb_dense	256	1	121	132	132	0	0	0	0.000000	107.585	round45_shadow_prefilter
comb_dense	256	1	129	125	125	0	0	0	0.000000	88.903	round45_shadow_prefilter
comb_dense	256	1	137	117	117	0	0	0	0.000000	78.511	round45_shadow_prefilter
comb_dense	256	1	145	109	109	0	0	0	0.000000	68.642	round45_shadow_prefilter
comb_dense	256	1	153	101	101	0	0	0	0.000000	48.954	round45_shadow_prefilter
comb_dense	256	1	161	93	93	0	0	0	0.000000	39.200	round45_shadow_prefilter
comb_dense	256	1	169	84	84	0	0	0	0.000000	31.363	round45_shadow_prefilter
comb_dense	256	1	177	77	77	0	0	0	0.000000	27.406	round45_shadow_prefilter
comb_dense	256	1	185	69	69	0	0	0	0.000000	21.473	round45_shadow_prefilter
comb_dense	256	1	193	61	61	0	0	0	0.000000	14.978	round45_shadow_prefilter
comb_dense	256	1	201	53	53	0	0	0	0.000000	9.575	round45_shadow_prefilter
comb_dense	256	1	209	45	45	0	0	0	0.000000	6.183	round45_shadow_prefilter
comb_dense	256	1	217	37	36	0	1	0	0.000000	4.097	round45_shadow_prefilter
comb_dense	256	1	225	29	28	0	1	0	0.000000	2.124	round45_shadow_prefilter
comb_dense	256	1	233	21	20	0	1	0	0.000000	0.716	round45_shadow_prefilter
comb_dense	256	1	241	13	12	0	1	0	0.000000	0.095	round45_shadow_prefilter
comb_dense	256	1	249	5	4	0	1	0	0.000000	0.011	round45_shadow_prefilter
