case_mode	case_n	case_seed	call_idx	candidate_idx	cand_kind	cand_is_same_side_reject	cand_is_accepted	cand_is_other_reject	candidate_elapsed_ms	cand_same_side_probe_ms	cand_same_side_probe_queue_ms	cand_same_side_probe_neighbor_iter_ms	cand_same_side_probe_found_t	cand_same_side_probe_visited_vertices	cand_third_comp_scan_ms	cand_bfs_total_ms	cand_bfs_neighbor_iter_ms	cand_partition_ms	cand_connectivity_check_ms	cand_accept	cand_reject_reason
comb_dense	256	1	1	1	separator_candidate	1	0	0	4.524	1.809	0.027	1.759	1	254	0.000	1.809	1.759	0.000	0.000	0	same_side_reject
comb_dense	256	1	1	2	separator_candidate	1	0	0	2.562	1.209	0.018	1.177	1	254	0.000	1.209	1.177	0.000	0.000	0	same_side_reject
comb_dense	256	1	1	3	separator_candidate	1	0	0	2.272	1.096	0.017	1.064	1	254	0.000	1.096	1.064	0.000	0.000	0	same_side_reject
comb_dense	256	1	1	4	separator_candidate	1	0	0	2.514	1.219	0.018	1.186	1	254	0.000	1.219	1.186	0.000	0.000	0	same_side_reject
comb_dense	256	1	1	5	separator_candidate	1	0	0	6.478	2.527	0.024	2.477	1	254	0.000	2.527	2.477	0.000	0.000	0	same_side_reject
comb_dense	256	1	1	6	separator_candidate	1	0	0	4.952	2.555	0.023	2.517	1	254	0.000	2.555	2.517	0.000	0.000	0	same_side_reject
comb_dense	256	1	1	7	separator_candidate	1	0	0	4.141	1.976	0.030	1.920	1	254	0.000	1.976	1.920	0.000	0.000	0	same_side_reject
comb_dense	256	1	1	8	separator_candidate	1	0	0	6.622	2.529	0.031	2.466	1	254	0.000	2.529	2.466	0.000	0.000	0	same_side_reject
comb_dense	256	1	1	9	separator_candidate	1	0	0	3.884	1.797	0.029	1.721	1	254	0.000	1.797	1.721	0.000	0.000	0	same_side_reject
comb_dense	256	1	1	10	separator_candidate	1	0	0	2.939	1.692	0.017	1.660	1	254	0.000	1.692	1.660	0.000	0.000	0	same_side_reject
comb_dense	256	1	1	11	separator_candidate	1	0	0	6.374	3.064	0.023	3.026	1	254	0.000	3.064	3.026	0.000	0.000	0	same_side_reject
comb_dense	256	1	1	12	separator_candidate	1	0	0	5.021	2.426	0.024	2.379	1	254	0.000	2.426	2.379	0.000	0.000	0	same_side_reject
comb_dense	256	1	1	13	separator_candidate	1	0	0	2.626	1.246	0.018	1.207	1	254	0.000	1.246	1.207	0.000	0.000	0	same_side_reject
comb_dense	256	1	1	14	separator_candidate	1	0	0	4.895	2.646	0.030	2.571	1	254	0.000	2.646	2.571	0.000	0.000	0	same_side_reject
comb_dense	256	1	1	15	separator_candidate	1	0	0	5.444	2.522	0.030	2.465	1	254	0.000	2.522	2.465	0.000	0.000	0	same_side_reject
comb_dense	256	1	1	16	separator_candidate	1	0	0	2.631	1.223	0.026	1.173	1	254	0.000	1.223	1.173	0.000	0.000	0	same_side_reject
comb_dense	256	1	1	17	separator_candidate	1	0	0	5.301	2.583	0.032	2.523	1	254	0.000	2.583	2.523	0.000	0.000	0	same_side_reject
comb_dense	256	1	1	18	separator_candidate	1	0	0	3.977	1.721	0.019	1.684	1	254	0.000	1.721	1.684	0.000	0.000	0	same_side_reject
comb_dense	256	1	1	19	separator_candidate	1	0	0	4.911	2.341	0.031	2.279	1	254	0.000	2.341	2.279	0.000	0.000	0	same_side_reject
comb_dense	256	1	1	20	separator_candidate	1	0	0	4.925	2.338	0.025	2.288	1	254	0.000	2.338	2.288	0.000	0.000	0	same_side_reject
comb_dense	256	1	1	21	separator_candidate	1	0	0	4.295	2.213	0.028	2.153	1	254	0.000	2.213	2.153	0.000	0.000	0	same_side_reject
comb_dense	256	1	1	22	separator_candidate	1	0	0	3.901	1.881	0.023	1.833	1	254	0.000	1.881	1.833	0.000	0.000	0	same_side_reject
comb_dense	256	1	1	23	separator_candidate	1	0	0	3.248	1.469	0.027	1.419	1	254	0.000	1.469	1.419	0.000	0.000	0	same_side_reject
comb_dense	256	1	1	24	separator_candidate	1	0	0	2.982	1.673	0.017	1.633	1	254	0.000	1.673	1.633	0.000	0.000	0	same_side_reject
comb_dense	256	1	1	25	separator_candidate	1	0	0	5.490	2.657	0.034	2.591	1	254	0.000	2.657	2.591	0.000	0.000	0	same_side_reject
comb_dense	256	1	1	26	separator_candidate	1	0	0	4.938	2.299	0.032	2.236	1	254	0.000	2.299	2.236	0.000	0.000	0	same_side_reject
comb_dense	256	1	1	27	separator_candidate	1	0	0	3.901	1.969	0.023	1.886	1	254	0.000	1.969	1.886	0.000	0.000	0	same_side_reject
comb_dense	256	1	1	28	separator_candidate	1	0	0	4.434	2.093	0.030	2.031	1	254	0.000	2.093	2.031	0.000	0.000	0	same_side_reject
comb_dense	256	1	1	29	separator_candidate	1	0	0	2.476	1.279	0.016	1.248	1	254	0.000	1.279	1.248	0.000	0.000	0	same_side_reject
comb_dense	256	1	1	30	separator_candidate	1	0	0	3.335	1.724	0.018	1.690	1	254	0.000	1.724	1.690	0.000	0.000	0	same_side_reject
comb_dense	256	1	1	31	separator_candidate	1	0	0	2.559	1.194	0.017	1.154	1	254	0.000	1.194	1.154	0.000	0.000	0	same_side_reject
comb_dense	256	1	1	32	separator_candidate	1	0	0	4.559	2.484	0.029	2.313	1	254	0.000	2.484	2.313	0.000	0.000	0	same_side_reject
comb_dense	256	1	1	33	separator_candidate	1	0	0	5.449	2.654	0.026	2.597	1	254	0.000	2.654	2.597	0.000	0.000	0	same_side_reject
comb_dense	256	1	1	34	separator_candidate	1	0	0	3.189	1.718	0.018	1.675	1	254	0.000	1.718	1.675	0.000	0.000	0	same_side_reject
comb_dense	256	1	1	35	separator_candidate	1	0	0	5.066	2.356	0.029	2.298	1	254	0.000	2.356	2.298	0.000	0.000	0	same_side_reject
comb_dense	256	1	1	36	separator_candidate	1	0	0	3.819	1.674	0.021	1.542	1	254	0.000	1.674	1.542	0.000	0.000	0	same_side_reject
comb_dense	256	1	1	37	separator_candidate	1	0	0	4.746	2.024	0.030	1.969	1	254	0.000	2.024	1.969	0.000	0.000	0	same_side_reject
comb_dense	256	1	1	38	separator_candidate	1	0	0	4.710	2.064	0.025	2.016	1	254	0.000	2.064	2.016	0.000	0.000	0	same_side_reject
comb_dense	256	1	1	39	separator_candidate	1	0	0	5.089	2.160	0.030	2.098	1	254	0.000	2.160	2.098	0.000	0.000	0	same_side_reject
comb_dense	256	1	1	40	separator_candidate	1	0	0	5.090	2.464	0.032	2.401	1	254	0.000	2.464	2.401	0.000	0.000	0	same_side_reject
comb_dense	256	1	1	41	separator_candidate	1	0	0	4.470	2.121	0.031	2.060	1	254	0.000	2.121	2.060	0.000	0.000	0	same_side_reject
comb_dense	256	1	1	42	separator_candidate	1	0	0	3.910	2.015	0.027	1.932	1	254	0.000	2.015	1.932	0.000	0.000	0	same_side_reject
comb_dense	256	1	1	43	separator_candidate	1	0	0	4.215	2.014	0.030	1.935	1	254	0.000	2.014	1.935	0.000	0.000	0	same_side_reject
comb_dense	256	1	1	44	separator_candidate	1	0	0	2.633	1.262	0.018	1.230	1	254	0.000	1.262	1.230	0.000	0.000	0	same_side_reject
comb_dense	256	1	1	45	separator_candidate	1	0	0	2.459	1.153	0.017	1.114	1	254	0.000	1.153	1.114	0.000	0.000	0	same_side_reject
comb_dense	256	1	1	46	separator_candidate	1	0	0	4.214	2.294	0.028	2.139	1	254	0.000	2.294	2.139	0.000	0.000	0	same_side_reject
comb_dense	256	1	1	47	separator_candidate	1	0	0	3.904	1.844	0.043	1.777	1	254	0.000	1.844	1.777	0.000	0.000	0	same_side_reject
comb_dense	256	1	1	48	separator_candidate	1	0	0	3.801	1.835	0.030	1.692	1	254	0.000	1.835	1.692	0.000	0.000	0	same_side_reject
comb_dense	256	1	1	49	separator_candidate	1	0	0	4.981	2.558	0.027	2.502	1	254	0.000	2.558	2.502	0.000	0.000	0	same_side_reject
comb_dense	256	1	1	50	separator_candidate	1	0	0	3.613	1.786	0.022	1.741	1	254	0.000	1.786	1.741	0.000	0.000	0	same_side_reject
comb_dense	256	1	1	51	separator_candidate	1	0	0	3.311	1.573	0.027	1.524	1	254	0.000	1.573	1.524	0.000	0.000	0	same_side_reject
comb_dense	256	1	1	52	separator_candidate	1	0	0	2.253	1.076	0.017	1.045	1	254	0.000	1.076	1.045	0.000	0.000	0	same_side_reject
comb_dense	256	1	1	53	separator_candidate	1	0	0	2.257	1.077	0.016	1.046	1	254	0.000	1.077	1.046	0.000	0.000	0	same_side_reject
comb_dense	256	1	1	54	separator_candidate	1	0	0	4.704	1.978	0.023	1.941	1	254	0.000	1.978	1.941	0.000	0.000	0	same_side_reject
comb_dense	256	1	1	55	separator_candidate	1	0	0	4.768	2.491	0.028	2.042	1	254	0.000	2.491	2.042	0.000	0.000	0	same_side_reject
comb_dense	256	1	1	56	separator_candidate	1	0	0	3.190	1.571	0.021	1.532	1	254	0.000	1.571	1.532	0.000	0.000	0	same_side_reject
comb_dense	256	1	1	57	separator_candidate	1	0	0	2.782	1.377	0.025	1.329	1	254	0.000	1.377	1.329	0.000	0.000	0	same_side_reject
comb_dense	256	1	1	58	separator_candidate	1	0	0	4.832	1.866	0.030	1.802	1	254	0.000	1.866	1.802	0.000	0.000	0	same_side_reject
comb_dense	256	1	1	59	separator_candidate	1	0	0	4.968	2.352	0.033	2.288	1	254	0.000	2.352	2.288	0.000	0.000	0	same_side_reject
comb_dense	256	1	1	60	separator_candidate	1	0	0	2.262	1.081	0.017	1.049	1	254	0.000	1.081	1.049	0.000	0.000	0	same_side_reject
comb_dense	256	1	1	61	separator_candidate	1	0	0	2.298	1.098	0.016	1.067	1	254	0.000	1.098	1.067	0.000	0.000	0	same_side_reject
comb_dense	256	1	1	62	separator_candidate	1	0	0	5.737	2.946	0.033	2.883	1	254	0.000	2.946	2.883	0.000	0.000	0	same_side_reject
comb_dense	256	1	1	63	separator_candidate	1	0	0	3.519	1.609	0.028	1.557	1	254	0.000	1.609	1.557	0.000	0.000	0	same_side_reject
comb_dense	256	1	1	64	separator_candidate	1	0	0	2.238	1.070	0.016	1.038	1	254	0.000	1.070	1.038	0.000	0.000	0	same_side_reject
comb_dense	256	1	1	65	separator_candidate	1	0	0	2.394	1.132	0.017	1.092	1	254	0.000	1.132	1.092	0.000	0.000	0	same_side_reject
comb_dense	256	1	1	66	separator_candidate	1	0	0	5.579	2.918	0.032	2.854	1	254	0.000	2.918	2.854	0.000	0.000	0	same_side_reject
