case_mode	case_n	case_seed	call_idx	candidate_idx	cand_kind	cand_is_same_side_reject	cand_is_accepted	cand_is_other_reject	candidate_elapsed_ms	cand_same_side_probe_ms	cand_same_side_probe_queue_ms	cand_same_side_probe_neighbor_iter_ms	cand_same_side_probe_found_t	cand_same_side_probe_visited_vertices	cand_third_comp_scan_ms	cand_bfs_total_ms	cand_bfs_neighbor_iter_ms	cand_partition_ms	cand_connectivity_check_ms	cand_accept	cand_reject_reason
comb_dense	256	1	1	1	separator_candidate	1	0	0	4.857	2.308	0.033	2.244	1	254	0.000	2.308	2.244	0.000	0.000	0	same_side_reject
comb_dense	256	1	1	2	separator_candidate	1	0	0	3.820	1.765	0.022	1.720	1	254	0.000	1.765	1.720	0.000	0.000	0	same_side_reject
comb_dense	256	1	1	3	separator_candidate	1	0	0	3.755	2.328	0.018	2.295	1	254	0.000	2.328	2.295	0.000	0.000	0	same_side_reject
comb_dense	256	1	1	4	separator_candidate	1	0	0	4.615	2.188	0.031	2.125	1	254	0.000	2.188	2.125	0.000	0.000	0	same_side_reject
comb_dense	256	1	1	5	separator_candidate	1	0	0	2.435	1.103	0.016	1.071	1	254	0.000	1.103	1.071	0.000	0.000	0	same_side_reject
comb_dense	256	1	1	6	separator_candidate	1	0	0	2.440	1.169	0.016	1.138	1	254	0.000	1.169	1.138	0.000	0.000	0	same_side_reject
comb_dense	256	1	1	7	separator_candidate	1	0	0	5.649	3.630	1.250	2.352	1	254	0.000	3.630	2.352	0.000	0.000	0	same_side_reject
comb_dense	256	1	1	8	separator_candidate	1	0	0	5.508	2.562	0.075	2.465	1	254	0.000	2.562	2.465	0.000	0.000	0	same_side_reject
comb_dense	256	1	1	9	separator_candidate	1	0	0	2.252	1.078	0.016	1.048	1	254	0.000	1.078	1.048	0.000	0.000	0	same_side_reject
comb_dense	256	1	1	10	separator_candidate	1	0	0	2.389	1.221	0.016	1.190	1	254	0.000	1.221	1.190	0.000	0.000	0	same_side_reject
comb_dense	256	1	1	11	separator_candidate	1	0	0	4.744	1.903	0.019	1.847	1	254	0.000	1.903	1.847	0.000	0.000	0	same_side_reject
comb_dense	256	1	1	12	separator_candidate	1	0	0	4.715	2.238	0.027	2.183	1	254	0.000	2.238	2.183	0.000	0.000	0	same_side_reject
comb_dense	256	1	1	13	separator_candidate	1	0	0	4.906	2.233	0.032	2.171	1	254	0.000	2.233	2.171	0.000	0.000	0	same_side_reject
comb_dense	256	1	1	14	separator_candidate	1	0	0	5.489	2.238	0.030	2.186	1	254	0.000	2.238	2.186	0.000	0.000	0	same_side_reject
comb_dense	256	1	1	15	separator_candidate	1	0	0	4.590	2.107	0.021	2.071	1	254	0.000	2.107	2.071	0.000	0.000	0	same_side_reject
comb_dense	256	1	1	16	separator_candidate	1	0	0	3.607	1.709	0.027	1.659	1	254	0.000	1.709	1.659	0.000	0.000	0	same_side_reject
comb_dense	256	1	1	17	separator_candidate	1	0	0	2.239	1.075	0.016	1.045	1	254	0.000	1.075	1.045	0.000	0.000	0	same_side_reject
comb_dense	256	1	1	18	separator_candidate	1	0	0	3.223	1.620	0.019	1.586	1	254	0.000	1.620	1.586	0.000	0.000	0	same_side_reject
comb_dense	256	1	1	19	separator_candidate	1	0	0	4.370	2.460	0.020	2.365	1	254	0.000	2.460	2.365	0.000	0.000	0	same_side_reject
comb_dense	256	1	1	20	separator_candidate	1	0	0	5.064	2.395	0.031	2.333	1	254	0.000	2.395	2.333	0.000	0.000	0	same_side_reject
comb_dense	256	1	1	21	separator_candidate	1	0	0	4.017	1.804	0.028	1.753	1	254	0.000	1.804	1.753	0.000	0.000	0	same_side_reject
comb_dense	256	1	1	22	separator_candidate	1	0	0	4.128	2.125	0.022	2.086	1	254	0.000	2.125	2.086	0.000	0.000	0	same_side_reject
comb_dense	256	1	1	23	separator_candidate	1	0	0	4.654	2.197	0.028	2.146	1	254	0.000	2.197	2.146	0.000	0.000	0	same_side_reject
comb_dense	256	1	1	24	separator_candidate	1	0	0	4.797	2.310	0.031	2.247	1	254	0.000	2.310	2.247	0.000	0.000	0	same_side_reject
comb_dense	256	1	1	25	separator_candidate	1	0	0	5.503	2.913	0.031	2.850	1	254	0.000	2.913	2.850	0.000	0.000	0	same_side_reject
comb_dense	256	1	1	26	separator_candidate	1	0	0	5.350	2.009	0.021	1.965	1	254	0.000	2.009	1.965	0.000	0.000	0	same_side_reject
comb_dense	256	1	1	27	separator_candidate	1	0	0	4.296	2.090	0.029	2.030	1	254	0.000	2.090	2.030	0.000	0.000	0	same_side_reject
