24000 11999
4598 17636 8543
18665 19054 17810
4129 7064 20061
9349 17503 695
13394 23938 11296
4807 20842 6073
13626 22092 18858
13281 20649 20077
8552 17346 19366
11755 12032 23474
7378 16370 21474
716 17216 6644
15643 21863 3791
6685 13445 6234
6976 20807 20231
6205 16746 239
7330 12543 2871
2805 17684 4389
13352 16303 5684
1970 7264 16734
2548 9084 95
371 1695 9420
3382 10028 10696
11107 19358 21341
3194 10209 20388
22354 22357 21824
2941 10200 13054
21493 22977 19867
17690 19165 4485
11319 18288 19956
7639 20982 1865
8573 15415 12486
89 11098 15235
7473 22228 9021
12316 15437 9518
9330 14882 17505
4542 15904 22401
7338 13847 20764
7632 23696 6361
14510 14845 5823
16681 17452 7780
991 15258 2491
3843 7111 1670
2202 13746 10548
9445 18012 22667
3863 22401 19201
16815 21511 7935
4730 16502 10067
4323 18191 18678
269 4173 17244
4263 9730 17166
17806 19648 9318
2011 3442 3662
13049 13192 4157
7036 22389 11593
18486 19134 21859
3975 12779 4493
13908 22533 1091
7181 8847 17027
6659 11469 5825
13443 18074 420
16824 19743 223
6392 15486 20375
10322 19396 5924
1626 15852 12770
10566 17983 12720
20362 21954 1703
3392 16148 17519
6940 12235 9717
1915 4722 4379
6308 11200 14523
11948 23528 19488
10024 23683 22129
8445 11900 18531
13321 23964 3013
15179 20183 20525
12709 17672 12401
151 9177 21267
3484 21531 6944
5348 6447 7375
1790 3164 6370
14155 17856 7033
4719 13196 17028
778 23218 9890
3431 6259 19482
1888 5475 20924
8908 23972 571
4948 15697 18241
3893 9070 23903
520 21425 1596
2789 19380 8018
14866 15148 19234
11256 16902 10980
6527 7148 23438
3726 18435 6409
247 9051 4568
238 15683 10692
6963 6989 6997
4145 11679 7392
10933 21782 10582
3423 11528 20793
276 2315 6633
15866 23945 9896
6994 15620 5032
13974 22669 15509
8210 23028 2992
1271 6652 20516
10020 13452 8486
3330 10400 19155
5498 17893 15438
682 9318 20094
13863 16141 15961
8702 23327 13962
3369 10109 7484
3712 13503 18424
8986 22893 22688
9901 15287 23752
15329 21085 10192
6967 12015 16380
11211 14011 11339
5067 19953 10048
1232 2273 9902
16627 20900 9987
13597 22931 1060
16174 16819 17207
12041 21437 5652
13298 19504 17138
4222 22156 5586
7454 10214 601
5127 8047 12182
19299 20423 20797
416 7439 10989
10553 23304 23183
3684 10969 10604
13272 21777 20229
13416 21577 15443
13363 17816 18139
17093 18095 8871
10371 23090 3929
1322 21242 138
7861 23828 590
11704 13737 22789
4158 8494 16235
1808 22546 18572
17448 17923 9755
4680 19739 10396
7486 17466 23153
15327 22179 19664
1120 15380 8476
10401 18049 15268
9345 18145 20884
11452 17969 19272
13073 18124 15309
7760 13770 2621
13105 14720 22940
8625 19415 18359
19259 21521 5875
2988 8144 369
233 21957 23157
8576 10773 8771
14446 20914 20897
16337 21915 17197
19904 20492 5600
1647 14986 13008
20670 22715 11459
5992 13012 3495
17486 23623 12248
16330 16497 10407
1564 8055 9846
4824 12536 3920
10092 20277 17130
2555 9062 22006
4384 8179 1194
5891 16127 5917
16339 21319 2623
10680 19318 10852
7083 21593 17796
644 5681 17775
10809 14831 3210
3018 16310 97
6889 23229 426
4635 11555 5017
5936 19186 12412
17435 22477 3152
1772 12447 8004
7939 22545 23842
602 14177 7082
11677 23816 1165
10256 23325 6526
6056 7211 11398
9704 17780 6047
9149 20329 13818
4849 18447 19847
5864 16880 12434
10669 12908 9434
12777 16009 13472
5747 14675 20653
14807 15340 2052
2642 19746 12491
11092 21141 1659
6100 18261 2401
16875 22547 16084
7516 12737 7819
13627 19191 12623
2122 13500 10783
224 23723 15990
18177 21979 1834
19991 20184 14186
1737 19545 7192
8130 10860 11814
16194 23523 22712
5388 6398 6463
9658 16661 12620
6536 10727 6031
1111 21535 15471
4500 13121 10046
2593 17404 1451
9275 19625 7606
3472 19142 19920
3575 17364 18934
1453 13848 3816
3791 13615 23307
16376 19069 21208
9019 17752 15528
1292 14404 2330
12094 17956 3979
11746 13784 13499
11523 21390 17506
11492 15549 2770
3004 4624 14377
6707 14728 21083
2060 18948 10073
15512 18911 18872
84 863 11235
8474 17242 19372
5468 16137 3264
1442 11458 20140
17529 17978 9625
6230 22314 15033
6441 12229 6802
20089 22181 23234
11891 20590 7931
2420 12651 18298
11786 18333 22904
8093 19327 13958
23510 23664 14763
7575 7828 7143
15084 22074 6974
8292 21714 13242
4334 22644 3931
1707 5878 6535
16105 22758 6675
22229 23053 5231
11518 13377 10963
2702 19691 2426
20708 22701 16940
1985 19133 23280
4446 11220 10173
7718 16274 3030
6032 14207 8000
5572 5799 6560
5105 17035 17488
7068 13713 23584
7262 19244 22116
801 3515 17815
18878 20285 18628
2429 7694 20889
14995 21731 11974
16336 20218 19127
524 11090 2761
21034 21786 15904
398 16995 14707
6133 11115 13103
5110 12615 17924
2947 3152 14789
7149 21566 2240
4694 18313 8439
9933 20065 968
10808 23156 23828
14704 22519 17240
4271 18505 13227
14533 20552 1728
5940 16103 17608
7831 22823 11297
6929 10681 10153
10851 12600 12202
1862 23337 15086
6908 23340 8497
5688 17506 5308
5093 18951 15876
741 23592 18489
2791 11559 21411
7758 19011 19844
1452 14353 3213
14431 20004 11917
876 18466 20840
1007 22714 7015
7843 13902 13807
21250 21496 22132
8504 17754 350
457 9103 1621
1798 14053 5334
20018 22837 12763
1816 11330 19353
4187 23341 22801
12479 21081 13780
6412 19581 14566
2181 22849 15599
12219 17961 20384
14148 16901 16342
9854 10797 10618
1146 22169 3431
14253 21366 5162
4136 9524 7407
328 2185 20450
1221 14679 20207
1596 19072 15916
12272 16029 20114
10072 15671 20057
3914 7310 11923
6087 13641 8181
12423 18441 8325
20302 21037 7574
9751 16010 15882
9770 17767 22909
6694 18470 17720
11771 22432 16726
10104 20510 977
11860 16015 96
1240 11631 10527
7235 15198 9375
639 16827 11007
11728 12757 14109
14850 23764 8074
347 6888 401
11977 23837 23928
8341 13287 3193
5883 12398 9107
5844 21178 10774
5099 13939 10078
687 8526 3607
3043 5612 10213
11035 13210 786
10662 18346 22541
9438 18934 2433
8080 8096 4620
11263 22926 1715
8049 16587 18550
5526 7180 1799
7098 22490 9323
9924 12155 5639
13728 16680 1163
110 12299 1147
2627 13984 733
7653 18565 8270
12621 17913 20583
244 21142 15091
378 3476 6137
9634 21436 6542
5721 16022 2549
7693 18371 17682
15964 20556 14271
10196 19424 18797
11542 18196 11825
2556 8601 22543
1501 1617 1528
1918 6045 11310
16612 18119 21867
17172 20306 6471
16107 16953 8196
7470 16638 9763
591 16422 12823
7995 17525 5451
169 3729 671
11776 12224 18191
1264 11399 21418
4810 14829 19218
4269 8728 13123
2278 20981 6700
1595 18385 4213
2073 3396 20499
2269 19412 4189
1012 12034 9762
8891 10262 10018
8248 21626 8454
4301 7863 20187
7865 15991 21685
924 23274 18029
3967 12579 12441
12508 14030 12465
1835 10212 7236
4836 4942 22101
493 4044 19483
119 15627 7314
1063 11787 12738
19064 20711 18041
5588 17278 8792
2794 18316 7868
2643 19794 17768
4521 5266 16410
10784 20826 13079
2542 3690 4223
18834 22321 10117
12206 21888 22076
9727 18127 15382
8301 20452 20386
20609 21205 11093
11214 11289 13850
8813 16937 3732
8762 14238 13781
5122 5528 5444
11869 12531 2324
14542 16493 13041
3037 21056 4292
11749 13526 801
3424 10836 15765
10289 19147 5468
4144 18243 12102
15087 22266 11913
8987 11055 15629
469 8516 457
8771 11692 4474
10473 19887 4244
8349 20379 41
4988 15682 20514
187 22455 964
9233 14406 17428
888 20130 15951
16423 20621 11960
16862 17981 13689
10964 11478 17095
4555 6026 7269
5230 9858 13966
5497 6496 17697
802 1694 1443
6010 19137 5407
14604 19954 909
2962 9246 15808
9753 11731 4278
10079 21399 21105
18149 20837 5999
915 9478 2363
16950 21886 23848
17393 21154 19085
6292 16191 18511
77 2786 5719
9495 18047 21784
5219 18636 12216
108 580 2689
5174 16667 21019
8752 17903 14151
9018 22212 2479
2608 14488 3541
1931 22938 14650
13085 14012 21466
18493 23018 5223
14135 17968 7658
16477 21193 17353
18535 22826 13074
4918 16653 18454
