24000 100000
12399 15593 233
4756 10182 4756
1631 11754 8216
13311 15907 13311
6125 21841 21841
4576 7934 7934
13615 19993 23307
5733 22619 22619
8878 23904 8878
12166 21160 21160
4772 23342 4772
10289 19147 5468
6617 23904 22960
2620 12709 2620
3393 6479 6479
11068 17861 11068
10723 18052 10723
13418 23904 13418
18566 23904 18566
19210 22088 4169
10088 21678 21678
4084 23399 19456
16149 23904 16149
1652 10633 18098
6683 11490 6622
12172 20817 14090
677 14039 14039
1 23113 1
10555 11043 10555
5726 9038 12597
15627 20665 20665
5105 11094 11094
11323 23904 11323
10874 23904 10874
19833 23904 19833
17112 22177 17112
14042 14999 16352
57 13789 57
3127 16078 14439
4589 8259 15254
8975 19692 8975
1638 2396 2396
15145 22109 12068
7467 17930 17930
8679 23904 4779
7507 23059 7507
6914 13855 7956
3749 23904 22205
13050 23904 13050
3924 4366 4906
13865 23329 4619
10360 23728 6742
11589 14102 7415
1437 10742 16331
20618 23199 20618
5881 23904 21328
8776 23904 8776
6130 10683 12929
124 21815 855
4061 8458 3666
6368 21969 18330
3863 15980 19201
786 9273 786
6754 23904 16578
15981 18673 1776
20122 23904 17455
4428 23904 17960
22094 23904 7786
2612 3373 2612
2281 11076 22921
15972 22545 15972
4848 23079 11856
18052 23904 18052
3339 7182 3339
1351 6902 4403
11570 23904 5701
1987 14968 13547
16719 23355 16719
4253 7135 155
5141 22793 4778
3916 23904 11305
9750 12747 19463
18715 23904 18715
12963 23904 2470
15706 23904 15706
7408 16093 16093
8183 21465 21465
19666 21362 832
2749 23904 2749
7852 20247 22049
773 23904 10250
8677 14301 4723
5660 13106 15158
915 4706 4706
23682 23904 23682
1548 13369 17872
3533 6477 22343
10013 13427 10013
10241 16877 10241
8702 15866 15866
8470 22910 8470
3972 13750 3972
15504 22219 14161
20430 23904 12630
3242 9255 3242
3040 23904 3531
10021 16690 19427
12419 23904 3347
11650 19186 20518
7868 17955 7868
7952 21396 21396
14048 23904 14048
7442 11341 19210
8308 23904 8308
11454 14371 17595
11000 21322 17331
15999 23904 21029
6859 9411 6859
13869 14419 10214
14423 23904 14710
13937 18831 13937
9717 11545 9717
1690 3184 16812
16912 22887 2230
2217 7903 12976
9425 9963 9490
1062 7909 1062
10714 23904 10714
7692 17010 2211
3733 5728 20987
17388 20208 14626
5147 19507 9701
10577 13042 13042
11390 20563 4226
2448 7646 21440
2508 2642 2508
3743 19493 10867
5451 11065 11065
5303 20717 7770
5812 14176 5812
18166 23904 20070
6571 16399 12949
9409 9888 16034
10535 12258 12258
9321 13688 9321
10087 22007 22007
13053 13765 13765
7453 15791 22978
8737 23904 8737
3443 4269 3443
10666 13667 11227
4295 23904 7899
2151 8752 2151
7092 8626 6090
21485 23904 21485
2933 6842 2872
6797 18181 7582
3057 9373 5932
5390 19679 13174
10269 21119 13291
354 20058 20058
3034 16751 11169
3640 4796 3640
20878 23904 8305
2644 23904 1062
2707 12557 10171
5277 16491 6258
6999 18123 18123
1430 17487 4005
15180 15266 13215
14996 21199 16046
9876 20550 13456
12202 17207 17207
17634 21788 2497
12486 23904 12486
11478 12354 12354
10285 23424 11687
7723 11896 4510
9375 23904 9375
18458 23904 15998
246 20793 23197
2417 23904 168
20724 23904 7443
9568 12886 12886
11036 20322 2030
22674 23904 22674
4183 21894 4183
8062 18208 18208
12494 21966 5957
20367 23904 16132
9899 23904 7923
17637 23904 10947
21512 23922 12459
15996 19586 19586
3145 23904 3145
12300 18747 19958
13566 18287 7410
10040 15973 3071
13198 16985 16985
3665 6735 22150
4448 14928 7189
14277 23904 14277
15675 20317 378
5126 7438 5698
18152 23904 18152
15519 17347 20480
9473 11439 22207
8651 23904 8651
16832 18123 19811
7271 23904 6846
13605 19925 13605
13052 21264 10802
6400 10040 21152
8356 13363 6658
2556 12957 12957
5048 18861 9746
15874 21792 11536
10750 14014 14014
5940 8969 8969
8491 19460 19460
10143 23904 11290
1651 18416 1651
16298 23904 16298
269 23246 269
18596 20965 4070
14472 23904 20759
6783 16662 16662
14105 23904 14105
9983 14898 14817
8698 8883 12141
9256 23904 7700
16990 23904 16990
2943 9052 22991
20769 23904 21592
10883 23904 12974
770 23904 1541
2879 16800 22785
11199 23904 11199
671 6443 13495
20683 21774 20683
9808 17649 21340
7744 10143 11290
5248 9979 23633
5702 15525 15525
1032 17904 1032
7596 8791 7596
7691 22396 16675
8059 17740 18947
1219 19742 16715
15844 20730 20730
112 11758 112
17854 20476 578
7225 20276 18910
1174 19412 4189
9369 15422 15422
3346 7294 3346
71 22734 2842
9715 21683 19715
10013 10759 10013
12763 20972 12763
19604 23318 19604
10139 10444 6494
8174 20087 8174
9339 23904 1966
5760 10284 14411
9767 19916 9244
11800 12306 2900
12109 12389 9792
3028 22300 17693
3271 11756 3271
2697 23904 2697
3929 6254 6254
584 17734 22330
16067 21513 5668
4972 21915 17197
14738 23904 19241
3925 9196 12994
14136 16283 16283
9716 19955 20886
10043 15042 14210
21965 23857 23857
17077 23904 17077
23088 23904 3955
5398 23298 23298
10089 22284 18592
10225 14122 14122
1033 12674 2042
14756 23726 12509
5922 13868 7677
5303 20406 12210
13047 17478 23283
9596 23434 14455
19250 23811 19250
6744 20268 20268
692 16583 692
1094 3928 2171
16773 23904 16773
23121 23904 23121
4342 4379 4379
1929 10531 15523
23760 23904 14934
21731 23904 11974
712 7058 4705
2029 14681 2029
14438 14546 14438
11736 23904 11736
7170 18490 3308
1893 3349 1893
797 15693 4110
15779 20286 18705
23578 23904 23578
18810 23904 21810
1883 18315 7055
463 1523 1523
17951 19661 22364
3588 21777 21777
2908 16436 2908
11005 22691 16975
384 9776 14859
8881 16052 3899
17285 23904 17285
13652 18445 14340
16362 20857 5380
3909 11073 4481
16431 16517 16431
13991 22444 14225
2496 16356 6311
14034 16752 23983
9143 10296 372
752 19176 513
20927 23904 20927
5634 13143 5634
17717 17850 17717
3193 23904 3193
16628 23417 17547
16589 21717 21717
17628 23904 7146
22103 22651 22597
23335 23904 23335
6793 18281 7364
8148 19043 20937
16836 21387 10314
5862 23904 23228
7769 10367 7769
