12000 11999
10414 11099 1
5357 10147 10414
1646 8342 10147
4394 6496 8342
4545 10752 4394
6692 11207 10752
302 5300 6692
5892 6529 302
2294 5517 5892
2108 3621 2294
173 4659 3621
4357 4839 173
794 5325 4839
8965 9378 5325
660 10763 9378
5176 6582 10763
2320 7142 6582
1072 11010 2320
6946 9721 11010
4769 7891 9721
6713 10999 7891
1969 9576 10999
3077 4503 1969
8771 9173 3077
4317 6393 9173
7579 8647 4317
1061 4521 8647
4567 7287 1061
1076 6903 4567
6175 10767 1076
8289 11793 6175
7222 8843 11793
2156 2350 8843
4621 8852 2156
1631 11209 8852
10258 11639 11209
1570 4017 10258
631 4576 4017
4184 4699 631
2598 9924 4699
9896 11743 2598
9279 11335 11743
5193 6752 11335
3005 10921 5193
1317 9588 3005
3371 9988 9588
3648 3873 3371
1640 5980 3873
4019 8780 1640
10906 10933 8780
1067 2652 10906
1048 1991 2652
2148 3973 1048
6999 8427 2148
1545 9758 6999
7277 7787 9758
6616 11717 7277
2232 8292 6616
456 3231 2232
4696 8492 456
6086 9676 4696
1284 2405 9676
4273 5365 2405
3583 3721 4273
2376 11676 3583
37 8954 11676
2023 8153 8954
1176 5925 2023
3447 8706 1176
3394 3430 8706
1106 5339 3430
1285 11014 1106
1726 11221 11014
1459 11619 1726
1414 8649 1459
234 8579 1414
510 11160 8579
5483 11998 510
4116 4828 11998
2788 6716 4116
620 832 2788
5486 10398 620
3275 4367 10398
325 1270 3275
7396 10015 325
2384 10110 10015
3671 5409 10110
3511 6584 3671
960 9886 6584
5592 5780 960
6835 7315 5592
8337 11019 7315
1801 2818 11019
2514 7618 2818
2089 5116 7618
317 1444 2089
1439 2282 1444
2356 9441 1439
6198 8502 9441
1667 11877 6198
5825 8036 1667
7889 10305 8036
6779 10028 10305
2822 11949 6779
981 5796 2822
5637 6684 981
10058 11879 5637
1499 7316 10058
503 8851 7316
3565 5402 8851
128 2887 3565
9222 9799 2887
9946 10608 9799
4994 5307 10608
4948 11824 5307
3584 4678 4948
5915 10565 4678
2071 7757 5915
5448 8252 7757
3801 10156 5448
4808 8300 10156
7089 8517 4808
6886 9082 8517
1663 5204 6886
3696 5971 1663
459 6077 5971
504 7653 6077
9882 10201 504
2323 3375 9882
1943 9752 2323
3136 6906 1943
7199 9822 3136
3124 7705 7199
1944 7167 3124
2758 8690 7167
3693 7722 2758
3454 6184 3693
2981 6941 3454
3997 4547 6941
822 3151 4547
1710 9102 822
1724 3273 9102
1055 1794 1724
824 3969 1055
2331 5222 824
2440 3694 2331
5536 7349 2440
2475 7739 5536
2302 6490 2475
4353 10016 6490
6141 11720 10016
6146 10412 11720
5916 11618 10412
2447 9796 11618
2991 9682 9796
3730 4345 2991
7236 10430 4345
2033 5220 10430
77 2743 5220
3501 3912 77
1455 6989 3912
5480 10459 6989
3955 5754 5480
2679 7853 5754
1899 10244 7853
2090 9417 10244
7768 8042 2090
5719 6099 7768
1787 5234 6099
1183 4645 1787
5782 7403 4645
4141 5416 7403
55 2660 4141
3080 3827 55
783 4849 3827
10246 10257 783
6268 7213 10257
3334 9552 6268
1089 1843 3334
3464 11412 1843
4477 4610 11412
2016 9783 4610
4804 7870 2016
1406 4336 4804
3711 3802 4336
867 7680 3802
6091 10800 7680
2131 3277 10800
8777 9872 3277
3050 6116 9872
3570 8504 3050
3635 5826 3570
4813 9766 3635
4446 9479 4813
884 2237 4446
9324 11783 884
6309 10596 11783
5161 8138 10596
2308 7507 5161
513 9299 7507
420 1315 9299
9065 10432 420
1562 2272 10432
2245 11244 1562
4540 10222 11244
2365 11427 10222
855 6358 11427
7414 10191 855
675 6957 10191
4888 5801 675
1707 4472 5801
2065 7868 1707
1815 5446 7868
3892 5761 1815
6223 6632 5761
2160 3869 6632
2999 7216 2160
4134 10859 7216
6570 7466 10859
3137 9257 6570
381 5628 3137
3662 9403 381
21 5499 3662
6812 8952 21
1399 11169 6812
9218 10945 1399
4938 8046 9218
5165 7091 8046
1813 8152 7091
2952 5969 1813
9454 10684 2952
1309 9618 10684
2726 3732 1309
118 490 2726
4439 9094 490
795 5947 9094
849 7290 5947
2809 11276 849
8663 11327 2809
8488 9732 11327
1789 10661 9732
4121 10154 10661
1762 4504 4121
698 10173 4504
6356 9547 698
1342 11536 9547
1196 2915 1342
3177 9845 1196
4881 7977 3177
6053 8755 7977
11097 11920 8755
2677 11589 11920
8212 9035 11589
1798 11635 8212
2165 4998 11635
3304 6521 2165
1127 3672 3304
3505 10355 3672
3463 7838 10355
3353 10762 7838
866 6891 10762
3358 10545 866
6551 8584 10545
4143 7834 6551
6226 7118 4143
9776 10593 7118
1612 9259 10593
66 9877 1612
104 8352 9877
9413 11866 104
1215 3816 11866
8949 9507 1215
6476 6545 9507
7542 8376 6545
9209 11499 7542
4247 9069 11499
6560 11404 9069
5313 5832 11404
2116 4785 5832
391 6936 2116
7434 8911 391
3235 6738 7434
399 573 6738
8795 11203 399
770 3075 11203
196 7366 770
3606 9122 196
8480 11204 9122
9349 11555 8480
9858 10017 9349
651 9394 10017
4185 4563 651
2493 10601 4185
7442 8867 10601
2589 7930 8867
6860 10910 7930
5174 10214 6860
4330 4636 10214
1216 5445 4330
1916 8515 5445
3072 10311 1916
5308 9782 3072
7041 7948 5308
7400 11107 7041
1049 3737 11107
3123 7383 1049
2476 5305 7383
3057 5164 5305
7474 9801 5164
101 8056 7474
2740 4415 101
1166 2984 4415
7484 9537 1166
1555 7527 7484
1344 7441 1555
3438 9118 7441
519 4213 3438
3971 9666 519
2970 10978 9666
5104 11726 2970
5735 9482 11726
1357 11823 5735
4895 6450 11823
3826 8808 4895
10281 10413 3826
1806 9079 10413
5362 9425 9079
481 2195 5362
2879 9533 2195
226 1754 2879
6278 11432 226
3809 10808 11432
1624 8551 3809
3947 4280 1624
1740 6422 3947
7040 8627 1740
4235 8573 8627
1645 8398 4235
8717 9735 1645
2547 4444 8717
90 9742 2547
8797 8905 90
647 11805 8797
1550 1949 647
523 3428 1550
4500 9874 3428
5169 9583 9874
3549 5629 5169
9084 9623 3549
1390 8782 9623
1858 2722 8782
4788 6106 1858
1634 8607 4788
3935 10487 1634
7765 11025 3935
5228 7109 7765
