75000 100000
22393 30853 28441
22393 51037 69858
22705 24718 8208
5895 22393 5895
22393 25466 25466
18746 57291 63331
10784 49228 46727
22393 52611 52611
3157 49664 7514
18294 22393 18294
18737 20359 778
22393 52123 3424
22393 60097 60097
22393 40853 14415
13046 22393 13046
22393 44660 43027
22393 31953 72453
32479 32543 53206
20810 22393 20810
22393 73831 14199
7117 22393 50697
15557 52182 29981
17695 39055 21687
22393 56749 56749
1815 22393 45756
16159 56713 60507
59 5636 52643
22393 26725 26725
38072 49501 38677
21251 22393 55625
22393 57529 72831
26681 73937 19393
16026 57551 10535
46837 53612 33947
12428 65607 13459
22393 71072 22504
22393 50952 70288
22393 29744 29744
42248 63874 25207
22393 71471 36889
9016 71390 6713
7537 22393 7537
64448 69522 30263
21897 53476 36740
22393 29778 29778
17178 52360 73506
12066 22393 22119
22393 30285 30285
37292 73984 44494
14943 22393 65834
12025 52323 72957
11435 57322 13629
20239 22393 69070
57704 59417 31117
22393 73527 59907
22393 24994 11411
22393 59152 59152
22393 31096 31096
22393 44735 44735
15509 22393 15509
5287 44089 6978
22393 53586 53586
22393 35382 35382
31510 40378 71961
22393 43568 43568
21170 22393 21170
2500 22393 2500
22393 54817 54817
22393 46314 30221
31950 47283 8167
22393 46235 35153
22393 48457 21516
22393 52069 30804
10851 22393 26945
22393 39662 39662
20744 22393 20744
149 42484 15093
22393 53483 57372
22393 24995 68334
22393 44638 44638
22393 45747 23159
22393 69897 21712
22393 39778 39778
2324 19234 31831
29097 64718 20217
22393 38913 38913
22393 73550 61911
22393 45621 45621
47819 56455 37178
22393 54768 27276
22393 55346 37718
15016 22393 27563
14984 23901 569
22393 56318 20768
65596 71669 19695
22393 36201 28894
10846 22393 72714
603 22393 603
34527 61211 72508
54330 56486 69201
14960 50114 20125
15695 22393 15695
22393 33317 45794
1865 21721 15813
22393 63503 63503
18468 22393 69275
22393 27666 74298
19403 22393 72620
17855 22393 74308
16509 73067 58358
20590 22393 38222
13282 32669 11578
37357 53486 1958
16144 22393 36169
22393 29839 29839
22393 33412 6143
8327 58521 39226
22393 51267 67129
17340 32532 19926
10336 14571 5987
12057 41393 2614
10302 69777 41179
22393 51850 16501
22393 41667 41667
31512 67380 52064
22393 63850 63850
6024 61682 55611
22393 62126 62126
30680 59081 38059
22393 71085 71085
22503 70941 56200
22393 73979 22702
22393 25754 25754
22393 24828 40690
13152 22393 38527
22393 47244 47244
22393 56106 57021
22393 58763 58763
22393 32779 10175
22393 63712 63712
1187 22393 1187
7545 61830 28307
43610 61155 74464
7518 22393 7518
22393 74944 16821
22393 32520 32520
22393 32515 32515
22393 66875 730
22393 40728 40728
22393 48462 67619
21046 37269 60567
20668 52860 72221
22393 65874 65874
25930 50601 27391
7768 41300 48620
436 22393 57608
22393 73581 45532
22393 31384 52501
15857 22393 67950
7333 22393 7333
8781 41902 59526
25838 51073 11718
12451 22393 12451
22393 39424 39424
11613 22393 4397
19725 22393 15953
22393 49402 59229
12087 22393 31752
11020 22393 11020
8090 22393 38924
22393 51311 28179
22393 68947 68947
6647 7293 46107
5407 22393 3961
22393 45821 2536
4240 22393 49759
19090 22566 33461
26477 60980 8570
52788 71371 58917
22393 73129 73129
22393 36508 18036
22393 35618 35618
9530 22393 9530
6077 22393 33948
13714 73841 58266
22393 56345 56345
22393 47441 23721
57191 59291 47875
22393 55819 55819
22393 42754 25527
1730 29716 32995
58675 59449 17965
22393 35574 61479
22393 54287 68502
22393 72847 32840
60677 71492 47452
56404 60939 70518
22393 37442 37442
16197 25967 54250
22393 57288 57288
21206 42008 25425
12546 22393 12546
22393 48814 30457
22393 67018 716
21392 22393 65273
17363 24646 19804
22393 70914 70914
22393 48586 10812
21035 22393 3009
22393 64231 63410
22393 43146 43146
22393 66883 51423
9425 22393 74
10530 22393 10530
22393 69966 26473
22393 41134 43907
22393 28344 13066
22393 37064 37064
22393 25194 27179
22393 66189 58734
37582 62544 4081
22393 27024 47857
22393 29924 29924
2805 19975 64546
3736 50750 71184
22393 63676 63676
22393 40368 40368
22393 50076 72018
22178 22393 55566
22393 59201 59201
22393 61730 61730
22393 38595 48513
22393 64554 11354
56393 59313 10129
22393 63151 22285
26365 54063 43989
54070 67826 37871
15268 22393 7077
1794 46950 58055
22393 73594 73594
22393 45258 60965
11015 35685 35879
14364 22393 14364
2467 22393 2467
68642 69043 17614
22393 24697 24697
22393 53199 63089
22393 27608 8302
6577 40918 25741
39593 62119 50430
22393 57708 57708
22393 61154 61154
7300 8950 33578
26084 37681 73630
22393 46248 60251
22393 35628 64318
22393 56302 9638
46566 60480 49993
7519 9630 4301
21306 39567 29323
37424 72467 69774
9932 24328 24937
22393 39431 21139
22393 71138 71138
22393 61648 73959
22393 31914 31914
6030 17228 16937
36579 43910 31761
2924 9428 45072
22393 46615 8721
28675 63437 4056
14631 22393 14631
22393 24042 7080
19611 22393 39902
11329 16588 30334
25195 25538 27117
36616 45385 39071
22393 66333 66333
7305 22393 7305
21732 22393 21732
53124 63250 45735
7713 22393 7713
20765 59631 11325
8714 22393 8714
11415 22393 25342
1345 23431 55523
1192 60874 18548
33250 45232 44033
10156 21646 58864
54584 73435 26804
15450 39736 27292
22393 46175 32070
21782 74388 54640
22393 27928 27928
22393 73173 70775
22393 67955 62086
11728 22393 11728
2100 25918 26941
31999 72630 74173
14513 50669 39490
17230 40657 12209
19629 25768 38493
13053 22393 13053
43002 67165 13965
22393 35425 23532
22393 49780 49780
2115 22393 52368
22393 49929 56054
22393 71225 71225
22393 64220 61476
19204 22393 19204
22393 60916 68608
12813 22393 12813
22393 41163 41163
22393 39959 39959
21192 58484 5691
27833 39831 2048
22393 58927 2976
17936 71471 36889
22393 55437 55437
12550 22393 46526
22393 57702 57702
20611 63510 67319
35791 47158 18100
22393 45042 6229
4902 50672 3764
22393 53909 30637
21942 22393 64738
22393 24639 60290
9673 73531 1008
2920 18401 41835
20740 22393 20740
42318 64045 57019
22393 48719 21263
22393 28032 58013
22393 55475 50659
20674 22393 20674
6400 33332 26728
22393 50799 50799
12884 45119 48900
22393 35940 19332
22393 27006 59080
32502 33457 22634
22393 62511 14219
3808 20541 56467
22393 54307 29764
16848 22393 16848
15409 22393 14290
22393 61856 61856
21019 22393 61632
22393 53493 38662
17384 70283 17433
25127 41369 1462
15033 22393 38217
17969 35864 63246
22393 57584 53698
22393 74447 53840
10346 22393 10346
25490 57541 70070
746 15430 20059
22393 56902 56902
48550 64748 69980
61030 71470 24114
37356 40049 63731
22393 49306 41060
17805 22393 17805
12211 22393 18557
22393 58105 53418
3375 10033 49225
22393 51886 51886
22393 22923 22923
16157 22393 70136
22393 66834 7846
13788 35695 60997
61484 71025 68952
9107 22393 9107
27302 35038 63431
48104 63051 46731
15444 23787 24027
22393 24565 68963
12188 22393 12188
4955 15907 37645
18885 69041 54462
11908 22393 11908
24303 58763 35617
22393 33385 20610
31466 43635 5374
2079 39056 51234
73437 74237 294
22393 64159 64159
22393 55237 55237
22393 37114 37114
8369 18234 14375
22393 46114 65404
22393 24682 24682
18462 22393 18462
13739 43023 68240
19730 33440 727
22393 60423 49656
33773 65588 37751
16137 30567 28896
22393 53994 53994
12009 55033 32255
38186 71929 73875
19762 22393 5455
22393 66127 8101
22393 71051 52984
22393 66649 48710
22393 35538 7841
22393 56350 12980
24079 69507 38363
22393 40789 40789
22393 23559 40793
22393 34350 34350
18639 22393 18639
22961 37061 64257
22393 51592 35907
22393 46666 35334
22393 47467 69824
27690 70712 13110
15832 22393 15832
22393 22931 58509
11836 40643 4742
10565 56154 31285
22393 33277 68850
22393 33662 52702
22393 61845 61845
12120 59737 25047
22393 64769 64769
25586 58724 61566
22393 66415 20117
52774 61213 48194
18304 26515 11337
22393 41185 31946
1280 47204 12638
26220 58855 20548
22393 70564 9312
22478 47351 70106
10319 22393 10319
66759 68379 29638
22393 69062 69062
355 22393 355
3797 22393 3797
5889 49552 46529
2247 22393 26944
22393 29341 33714
12131 49526 6622
22393 71650 71650
9644 21742 54494
3106 22393 53117
15609 22393 59576
53369 54320 50550
18501 71128 13708
22393 36902 36902
20065 22393 20065
11323 22393 11323
2366 22393 2366
22393 32267 32267
39183 63902 50905
37588 56760 3210
4442 74247 72587
16078 22393 16078
22393 39017 6677
8910 71860 47244
2448 22393 6926
22393 23199 41942
25419 71590 69093
5306 22393 37444
22393 56028 20607
22393 49958 49958
15329 24304 36322
15670 42268 35928
40009 48753 68791
40219 57999 30240
22393 50785 14954
22393 43445 13793
8284 22393 64510
20422 48881 1580
13540 22393 13540
22393 61656 61656
22393 59142 59142
20074 37377 60655
22393 68321 54120
12881 22393 33421
22393 41900 41900
22393 69483 65033
22393 73683 73683
1497 3152 38066
22393 52340 47187
72660 74919 52869
17473 22393 17473
4893 59997 70098
13449 22393 13449
22393 71595 62766
22393 28680 28680
22393 62110 50347
4074 22393 4074
22393 29900 29900
14040 22393 59715
36848 45568 14995
22393 43115 73547
22393 53536 53536
22393 46354 40072
22393 52613 8485
22393 24275 24275
10691 22393 10691
8296 22393 31233
22393 39547 61576
22393 56625 56625
38011 40506 5882
22393 48609 48609
22393 74416 18078
22393 25232 25232
35319 47034 51374
1557 31719 42005
51532 66259 38919
18250 22393 54313
22393 73872 2405
22393 35702 35702
22393 36941 36941
28417 32770 42449
61239 74164 11353
22393 62900 62900
22393 37971 38250
2499 22393 55262
22393 62586 34108
50168 66274 63103
40361 45876 41523
13377 19644 31461
16201 37896 73352
16873 19536 25291
20609 22393 41642
22393 38632 1939
33993 69080 25043
22393 28439 39624
22393 67712 587
22393 62845 62845
22393 48094 55261
6631 22393 16115
22393 39077 39077
22393 58148 58148
27854 41981 892
19076 22393 19076
22393 58025 39077
7070 43256 37705
22393 26099 60260
13472 22393 57699
22393 46431 46431
22393 34346 65196
22393 69344 69344
22393 67718 44500
15934 22393 67141
57892 74085 53000
44279 47482 5946
4368 22393 4368
10146 10542 48475
22393 71848 71848
13439 22393 42713
7173 27760 51574
22393 58785 48919
1203 22393 1203
50499 56470 42802
58937 64261 60356
21640 22393 21640
14322 22393 14322
9294 48714 32805
22393 41101 41101
31149 31293 58720
19812 22393 19812
22393 46770 71786
10350 42509 16859
42249 57676 46482
22393 54289 20629
22393 34482 34482
22393 49057 64764
11804 22393 11804
19110 22393 19110
14503 31441 15454
22393 70687 70687
22393 74196 74196
22393 46867 46867
22393 67725 67725
47745 55742 5118
12553 22393 12553
67113 73594 57927
22393 65864 10663
12092 22393 12092
22393 37247 37247
20934 22393 20934
22393 31027 208
22393 24301 44463
