1024 39657
688 1012 830
76 597 76
327 938 81
237 325 310
471 531 84
176 753 247
619 673 204
649 1016 1016
318 678 639
596 891 596
191 774 209
265 694 536
156 712 712
400 632 373
367 573 795
245 753 245
1 526 1
623 1016 1016
295 671 295
437 832 298
545 1003 781
599 778 916
280 985 21
259 406 643
379 613 212
266 747 712
80 914 296
530 906 764
294 678 903
427 763 291
751 859 247
642 885 885
438 532 921
759 954 535
561 808 655
732 815 732
664 678 245
403 522 403
98 789 649
334 725 790
457 998 457
331 456 405
97 421 860
224 513 415
160 682 397
777 811 777
100 365 455
101 337 101
24 476 24
547 768 547
316 338 310
253 519 588
71 1017 71
4 645 4
404 724 721
21 916 21
154 324 324
101 718 718
360 853 853
296 369 962
770 995 757
802 991 161
375 403 403
704 710 732
54 919 97
320 382 382
813 825 634
226 768 968
193 472 565
86 333 340
522 729 522
301 535 141
100 846 746
115 212 212
379 677 677
425 1016 1016
82 950 389
178 933 552
13 793 175
189 341 320
26 751 247
741 911 957
263 341 385
326 436 209
651 943 959
404 483 198
206 939 270
223 705 108
46 695 474
817 871 853
45 638 45
91 120 677
210 678 581
271 380 352
738 863 298
29 420 420
515 848 344
164 185 175
678 877 4
22 587 809
556 692 949
370 546 790
59 675 235
413 463 329
108 238 108
161 566 161
101 918 101
626 646 830
327 530 764
748 801 801
81 465 81
425 785 101
35 541 387
224 775 141
406 554 554
8 790 790
162 237 310
123 796 796
498 528 331
881 909 834
107 678 795
760 904 339
520 822 406
333 623 340
91 778 677
624 649 649
345 655 655
459 677 677
203 339 203
129 488 488
96 385 96
365 385 455
141 512 141
77 669 77
402 503 623
101 469 101
977 1011 732
356 921 921
556 601 162
392 685 461
141 700 141
39 126 126
504 1007 314
582 810 810
387 471 387
584 649 649
203 546 203
435 518 538
119 838 885
251 824 915
253 846 746
164 731 649
84 321 84
167 420 420
160 509 793
40 55 915
599 721 916
424 449 409
382 799 382
293 654 293
567 982 777
58 325 379
373 796 373
215 630 915
253 678 746
387 936 643
195 592 522
573 895 895
339 525 339
143 204 204
16 592 796
585 836 474
84 241 84
265 916 916
803 859 803
305 537 492
542 933 853
98 220 134
829 842 382
773 932 932
401 834 834
71 781 71
196 699 141
632 873 198
27 523 209
17 185 895
678 805 405
180 210 581
462 911 84
849 879 1000
535 954 535
206 227 270
660 795 795
259 390 898
14 643 643
572 930 778
304 403 403
428 855 428
81 228 81
261 573 795
678 1016 1016
208 796 373
178 970 722
699 872 319
795 888 795
150 655 655
43 589 860
461 783 461
430 738 339
320 688 320
207 710 732
15 611 554
413 687 329
46 617 971
858 860 860
909 981 834
281 808 161
260 348 71
498 843 331
76 371 588
192 669 97
351 681 126
142 295 295
288 884 406
405 487 405
739 774 410
623 750 474
702 915 915
479 620 245
544 764 764
677 855 677
289 635 415
148 162 339
230 530 764
417 872 139
426 479 139
111 1003 712
145 841 841
350 848 350
40 63 915
264 654 1000
622 714 295
419 823 649
831 871 553
537 815 634
895 901 895
1 575 1
60 773 350
199 751 203
216 537 841
607 754 350
447 626 270
303 385 455
260 387 414
250 997 161
247 746 247
225 954 76
286 978 643
223 678 108
297 650 420
482 803 803
266 289 266
333 641 340
493 965 397
268 679 457
279 381 921
166 861 379
63 833 746
548 807 962
622 940 96
203 742 203
352 716 81
206 553 553
149 313 488
79 209 209
432 649 293
432 756 777
656 822 461
977 1024 732
257 521 1
33 326 839
637 640 860
494 872 839
371 678 588
449 792 409
42 124 957
771 803 803
41 649 649
532 921 921
310 593 310
20 722 722
37 936 409
420 916 916
487 898 898
226 384 885
107 339 795
655 877 655
138 329 329
288 632 198
435 752 538
23 800 925
350 616 350
872 1018 380
71 929 71
351 427 291
250 385 924
620 811 245
146 924 924
574 863 712
133 464 538
213 474 474
566 788 924
789 903 649
398 895 895
7 94 591
116 483 736
84 443 885
632 643 643
679 910 722
51 856 655
686 722 722
87 877 4
251 954 781
1 710 1
272 1004 596
100 1023 415
235 360 235
410 978 410
166 495 379
377 577 547
295 806 295
783 803 803
414 465 414
624 824 915
208 949 373
218 781 778
179 838 971
279 822 921
351 678 291
29 657 477
105 678 201
557 877 4
464 706 538
32 48 77
705 945 108
344 379 379
271 369 962
488 602 488
550 825 420
419 435 538
48 730 81
770 852 21
647 935 319
664 995 757
177 832 266
30 106 106
395 568 898
162 792 162
430 787 339
374 670 801
693 1001 839
441 941 860
8 84 403
56 693 839
556 797 547
264 504 410
247 409 247
206 532 921
477 583 477
121 442 461
266 742 266
801 873 801
22 621 809
747 766 712
200 581 405
545 942 350
678 751 247
810 898 898
269 856 856
339 900 834
358 840 795
127 971 971
308 712 712
691 826 101
450 899 856
139 791 293
164 444 554
392 623 270
828 923 537
608 987 474
362 709 895
82 430 389
345 915 915
403 525 403
85 206 270
300 736 736
314 418 621
375 572 795
167 679 547
75 901 320
945 975 856
301 416 141
35 154 1014
315 412 98
271 753 162
67 159 777
438 609 721
4 542 4
365 965 455
585 912 373
694 790 790
770 892 757
444 720 298
151 311 420
87 435 45
71 1008 329
598 812 352
92 606 293
749 920 971
655 660 655
408 562 718
450 925 925
261 1015 776
216 929 841
340 669 340
298 416 298
433 610 958
96 618 96
392 834 834
404 870 380
867 910 722
493 554 554
37 69 898
266 852 266
121 685 461
71 921 921
197 777 777
702 758 247
452 536 536
284 422 175
283 703 295
159 461 461
735 781 595
176 340 340
595 959 959
595 624 90
35 358 958
790 801 790
605 821 925
575 676 134
245 379 379
409 676 409
175 483 175
257 675 139
406 822 406
601 678 781
191 898 898
202 626 809
112 350 350
520 584 623
118 446 932
638 733 639
377 731 547
299 346 235
837 997 161
729 1013 856
491 621 621
796 875 796
435 483 538
158 806 96
273 966 903
571 796 796
133 678 327
803 827 803
436 474 474
341 483 198
617 965 617
107 777 795
282 741 387
171 368 535
109 587 757
590 992 590
104 775 903
415 628 415
560 759 535
194 238 690
548 927 962
830 890 830
259 328 643
732 910 732
612 655 655
426 629 736
334 998 790
329 465 329
889 968 968
497 614 379
366 1007 830
351 618 92
64 947 553
490 944 586
182 757 757
323 823 634
17 922 895
289 1023 415
267 783 803
126 515 126
186 631 915
182 764 764
55 939 958
555 678 830
803 834 834
70 255 329
484 962 962
295 693 295
422 856 856
70 995 757
312 669 169
692 949 949
95 182 803
522 822 522
138 414 414
15 647 554
44 818 71
885 924 924
895 1011 895
3 858 1
45 483 45
909 1017 834
247 360 247
15 444 554
31 205 856
501 801 801
678 844 71
80 415 415
810 841 810
394 588 588
715 930 690
657 789 477
68 489 382
874 942 350
212 728 212
479 678 406
622 678 96
348 483 71
298 642 298
7 655 655
359 624 126
538 839 839
614 724 721
88 252 1
404 749 971
850 880 4
521 882 1
821 852 21
723 797 547
588 774 410
488 1001 488
4 118 4
241 642 90
48 393 397
887 929 648
276 554 554
25 798 295
147 925 925
658 871 853
479 863 298
182 567 340
639 944 639
431 722 722
340 738 340
898 1010 898
15 147 108
570 817 509
597 974 331
843 868 329
320 982 320
121 898 898
265 474 474
330 917 924
323 913 634
809 986 207
133 235 327
645 776 776
84 369 84
54 459 639
457 845 24
525 616 1000
228 765 537
81 658 81
78 812 92
181 458 373
80 678 296
895 995 895
137 598 959
718 1018 718
114 430 477
213 670 801
64 333 553
266 269 266
433 689 777
107 289 415
504 587 952
343 641 581
413 873 329
556 581 581
29 575 29
472 674 565
533 535 535
169 1014 169
655 1021 655
326 351 291
377 541 547
220 519 588
11 43 916
374 493 801
457 479 457
423 488 488
308 821 212
774 884 410
678 1007 314
108 516 108
738 904 339
472 474 474
58 363 379
89 962 962
120 555 830
180 839 839
35 41 387
209 488 488
62 531 428
248 687 295
187 382 382
6 601 45
684 925 925
57 979 106
275 589 860
960 1017 270
415 810 810
246 676 134
352 850 4
565 1013 856
180 287 925
693 926 839
711 796 1016
205 964 856
72 532 921
341 723 30
131 655 722
152 769 718
94 721 721
472 839 839
546 776 776
159 799 777
520 935 746
404 603 949
712 989 712
602 980 677
27 461 461
276 595 595
49 981 320
266 606 266
229 748 162
236 975 856
11 1017 897
330 654 1000
621 819 621
32 85 77
906 1016 1016
522 752 522
350 543 350
183 469 104
336 435 538
234 783 24
381 613 212
490 856 856
814 987 84
658 670 801
99 568 898
204 952 204
45 934 45
167 563 547
843 913 213
718 872 718
222 263 810
390 615 898
162 293 293
833 955 320
174 730 81
163 666 382
54 357 397
145 503 29
268 868 329
274 594 860
36 129 810
382 1018 382
209 790 790
411 1019 536
324 807 324
610 614 958
497 586 379
48 564 564
360 681 126
462 766 712
468 921 921
809 1019 809
328 509 496
385 806 96
94 635 591
965 1003 314
198 403 403
125 452 841
79 424 554
350 960 350
266 652 266
418 925 925
594 860 860
344 981 344
621 964 621
688 929 648
80 616 1000
232 999 126
99 813 634
500 828 903
107 439 795
655 678 655
176 843 247
25 842 295
397 822 406
331 712 712
632 966 381
295 776 295
452 678 552
173 484 968
24 1008 24
141 906 141
79 678 554
13 564 175
196 678 141
777 876 777
803 931 803
330 360 331
403 695 403
302 325 201
154 945 958
308 948 212
480 1021 962
89 156 596
364 634 634
868 985 21
323 553 553
526 713 921
617 846 617
50 860 860
181 833 373
237 438 310
24 625 21
448 715 344
589 637 860
220 1016 1016
621 863 621
176 702 247
174 952 952
233 648 952
140 586 621
640 803 803
70 409 588
377 786 547
338 796 796
497 983 379
773 820 169
631 639 639
379 678 379
16 164 648
4 632 4
954 961 564
681 925 925
389 634 389
329 862 329
329 989 329
644 732 732
707 867 722
229 440 162
126 944 126
45 767 45
411 454 793
15 547 547
462 814 84
658 746 746
479 1001 245
338 912 310
214 737 350
115 678 379
440 595 564
