32768 32767
5599 27649 27649
5599 9238 9238
5599 22518 22518
7413 11257 22051
1895 5599 1895
5599 15460 15460
5599 27773 27773
27770 29814 11044
5599 21761 21761
3186 23667 13423
2079 5599 2079
5599 21797 21797
9590 16934 7504
5599 28792 28792
3363 13603 11911
5599 14457 14457
5599 18660 18660
5599 7214 7214
5599 32362 32362
5599 9677 9677
640 27795 18642
18632 24212 4809
10453 15226 14865
5599 15708 15708
1353 18227 4147
12239 14783 3259
2733 25706 14930
22742 30914 4140
5598 5599 5598
2425 18987 26095
5599 11985 11985
5599 22983 22983
5599 27242 27242
5871 18379 9336
16455 23077 7896
5599 17037 17037
3707 5599 3707
5599 12232 12232
5599 28249 28249
6325 14537 13462
1837 4221 32132
7739 27598 10309
20121 31507 16064
5599 10868 10868
17035 31690 12866
13506 23316 15960
5599 22318 22318
5599 19379 19379
5599 31792 31792
16028 29925 30156
2433 5599 2433
5599 6040 6040
15548 22256 15070
19120 24493 15953
5599 17920 17920
13642 18490 7149
9319 31577 10195
5599 16228 16228
12991 25994 22173
21697 28136 27152
6732 30143 3506
19411 21072 5349
5599 18311 18311
14190 20399 19783
4526 5599 4526
25571 32664 25169
11040 29879 28444
2092 5825 18712
3649 5599 3649
2086 11074 8563
20532 24132 2631
5599 21227 21227
2118 26688 11788
5599 16902 16902
8956 12771 7035
5599 22670 22670
5599 22328 22328
4989 13400 17885
5327 5599 5327
18985 31736 148
5599 18270 18270
5599 11426 11426
5599 17624 17624
3784 5599 3784
5599 11193 11193
5599 21282 21282
5599 30389 30389
3464 14897 12973
2314 5599 2314
5599 29119 29119
5599 21367 21367
4331 18604 32298
16406 27574 6986
21700 31099 446
8654 25493 13869
5599 5657 5657
4530 32518 25685
16284 21165 17209
13945 30035 22317
5599 31132 31132
22254 24798 32126
5599 31548 31548
5599 23321 23321
878 23860 20417
10334 20938 28375
5599 25169 25169
379 14603 2650
3713 5612 28089
5599 31172 31172
13986 31472 3492
15596 24859 19049
5599 30858 30858
9998 16487 17621
5599 11899 11899
5599 27955 27955
20878 24421 5664
5599 14193 14193
5256 14268 5327
5599 13057 13057
22082 26088 4102
5599 9646 9646
530 18185 21260
5599 12800 12800
5599 11186 11186
502 3132 21899
5599 13324 13324
5599 32042 32042
763 5599 763
5599 8464 8464
1292 5599 1292
5599 15011 15011
6962 29605 2954
6960 19982 30717
9941 10073 11186
3247 12638 9402
5599 18090 18090
17233 21405 24326
5384 24535 32703
5599 27900 27900
13265 23052 17535
5599 29886 29886
18767 32467 23798
28044 30917 24061
5599 5770 5770
5599 21714 21714
21998 29020 10644
1089 25081 30303
5599 14124 14124
8399 18399 31469
3644 17741 15623
5716 12601 8090
5599 22295 22295
5599 15670 15670
16600 16799 20446
4577 28689 3307
5599 24355 24355
5599 26879 26879
5599 15822 15822
6621 26383 4113
16818 24179 30343
12 5599 12
6245 18750 17779
1832 21551 21781
23842 24525 5038
5599 22365 22365
5599 12316 12316
7900 27611 9733
3260 5599 3260
7273 19353 3534
5599 12417 12417
5599 11286 11286
5599 6814 6814
929 17891 3780
11075 17311 6378
7599 22803 31213
741 5599 741
5599 18001 18001
5599 18671 18671
16836 28813 14381
5599 29593 29593
10007 11859 13061
25846 31759 8596
15539 15842 26109
5599 28772 28772
5599 25769 25769
5925 11475 18709
5599 9609 9609
5599 6810 6810
5599 11050 11050
5599 30364 30364
5656 17569 28335
18012 22122 26217
7193 20994 21104
5599 25536 25536
5599 29259 29259
15064 23082 18277
11117 21945 1574
5599 8609 8609
4813 5599 4813
7315 27685 31345
3063 28332 19146
13305 29423 3890
7128 7485 17805
5599 25432 25432
5599 9998 9998
5599 29020 29020
5367 19615 14803
5599 21947 21947
5599 21370 21370
14139 28037 24993
10017 23058 32059
5050 5599 5050
5599 7034 7034
4298 5599 4298
5599 6815 6815
5599 29416 29416
5599 18325 18325
6983 7780 8913
5599 13483 13483
5599 21874 21874
6854 29583 10031
5599 30217 30217
15284 16859 9452
3924 26064 13459
5599 26844 26844
5599 28224 28224
5599 13264 13264
8192 30282 28584
5599 5670 5670
5599 18409 18409
7947 23528 18404
10865 31407 27362
3655 31405 6293
5599 27346 27346
5599 19218 19218
5599 5924 5924
12268 28217 14090
29133 31651 5257
5599 20836 20836
8233 9929 21659
5599 26340 26340
21422 24141 4830
3313 5599 3313
1004 26365 10663
5509 5599 5509
12205 13068 4182
17749 19042 24132
3168 20268 32204
23232 26654 6402
1065 5440 3934
5599 13434 13434
3076 5599 3076
27642 30690 344
2724 5599 2724
5599 24598 24598
5599 20114 20114
26278 27322 29977
5599 18014 18014
5599 6690 6690
21903 23327 15842
18818 25580 12473
5599 18706 18706
5599 14893 14893
5187 5599 5187
27822 32675 21622
14325 16779 25561
5202 20633 26226
5599 5910 5910
22129 30055 5794
7010 9608 16841
5599 12748 12748
5599 19208 19208
18338 30635 11371
5599 31682 31682
5599 14890 14890
18358 20833 17030
9438 24309 24338
330 5599 330
5599 31014 31014
15893 17585 18082
5599 15072 15072
1161 24035 711
560 5599 560
3315 28359 1016
5573 5599 5573
11669 28147 11899
2299 10869 13641
5599 29981 29981
2632 31915 15182
5599 7109 7109
5088 30969 180
5599 9321 9321
2584 11100 11103
5599 23511 23511
5599 7118 7118
5599 11420 11420
19002 26822 335
5599 17056 17056
18791 23071 14070
3398 25881 28458
4619 9173 3588
21759 28478 26880
2027 16413 16923
2534 29259 17474
3773 14251 15156
8949 11791 4526
8548 9353 2042
5599 20744 20744
5599 27658 27658
5599 21129 21129
11213 23149 13013
1596 7308 13843
15486 22443 6586
20639 24191 5096
5599 12289 12289
5599 8671 8671
5599 24408 24408
12823 25839 12847
5599 26224 26224
599 32611 1486
26867 29935 4528
10098 19987 16065
5599 11497 11497
7037 9737 784
13646 14081 7119
5722 29429 11065
5599 29129 29129
15266 16695 20993
5599 17437 17437
17241 22994 27859
5599 21988 21988
5599 26064 26064
16003 32323 26336
6204 19299 7098
5599 28326 28326
20834 28637 14012
24972 26699 28121
5599 28953 28953
5599 29317 29317
5599 32590 32590
22375 25868 19310
15869 26668 2349
4499 5454 12027
2021 20215 25015
1002 5599 1002
5599 23029 23029
5599 29914 29914
3256 5599 3256
11538 24517 15431
5599 8395 8395
5599 19362 19362
1362 24997 13722
5599 29815 29815
5599 5635 5635
5599 22615 22615
5599 32072 32072
8828 26021 20451
5599 22103 22103
15658 21963 7232
74 17548 2813
5101 5599 5101
10266 18444 26464
5599 26371 26371
