64 1612
33 43 2
6 26 6
48 54 6
3 62 3
32 47 2
6 13 6
49 61 3
4 50 1
2 22 2
24 54 6
19 31 1
26 53 26
30 56 7
50 61 3
20 44 5
37 39 9
10 37 2
43 57 1
25 35 1
51 63 3
43 53 1
5 35 2
10 29 1
11 50 1
28 54 3
9 25 1
16 63 1
35 57 1
21 27 1
44 64 2
4 21 2
1 29 1
26 34 1
25 60 3
27 45 1
50 59 3
15 23 1
58 59 29
3 21 1
8 15 1
8 45 2
4 58 1
59 62 7
21 60 1
12 16 1
37 43 2
25 38 1
28 32 1
8 59 1
15 59 7
8 20 2
16 47 2
40 60 1
30 61 30
2 33 2
25 44 1
35 55 1
14 49 3
4 28 1
8 64 8
25 30 3
39 40 2
34 62 1
41 42 10
22 60 1
39 50 1
9 62 1
31 36 1
50 64 1
22 29 1
5 15 1
17 58 1
9 63 1
48 53 6
47 64 2
8 56 1
6 58 3
5 39 2
5 49 1
43 56 1
22 57 1
27 37 1
38 54 1
16 24 1
47 54 1
39 54 1
13 38 1
58 63 7
49 56 3
9 45 2
40 59 1
26 46 1
4 26 1
34 38 4
12 62 3
55 62 3
14 58 14
3 26 3
1 63 1
18 64 4
18 20 2
42 62 1
6 64 1
22 51 1
21 31 1
19 63 1
3 48 3
50 60 3
4 18 4
14 28 14
1 46 1
1 59 1
21 46 5
13 55 13
33 36 4
11 36 2
30 57 7
15 35 1
37 50 1
18 32 4
2 4 2
7 47 1
7 15 7
21 42 21
23 34 2
23 47 23
19 29 1
46 52 1
18 46 2
46 58 1
6 7 3
10 32 2
22 28 1
12 63 3
17 37 4
43 47 5
4 45 2
51 53 6
32 60 1
1 4 1
52 64 1
15 17 1
38 62 1
26 54 13
1 36 1
1 47 1
15 16 1
29 49 3
55 60 3
49 62 3
33 42 2
9 48 1
52 57 3
26 62 3
24 42 1
32 50 1
27 40 1
4 17 4
7 30 7
7 63 7
32 64 32
39 42 2
40 49 1
5 24 1
8 10 2
1 41 1
1 11 1
41 55 1
29 62 7
11 23 11
2 35 2
16 33 16
43 44 5
8 18 4
10 23 5
41 53 1
30 38 1
17 27 1
11 48 1
5 41 5
3 19 1
9 16 4
12 45 1
35 42 2
1 32 1
4 41 2
36 44 2
12 18 1
20 21 10
12 47 1
31 45 1
26 61 3
31 44 1
15 63 15
5 43 5
30 41 1
2 8 2
35 48 1
1 57 1
13 47 1
3 23 1
24 49 24
39 55 1
28 56 28
44 61 1
49 55 6
7 56 7
46 47 23
7 32 1
24 32 1
17 60 1
15 50 3
20 43 10
27 31 3
32 38 4
29 53 3
34 46 2
10 16 2
10 26 1
19 26 1
16 56 1
45 50 1
48 52 6
2 14 1
3 36 1
41 45 5
17 40 2
16 39 4
14 18 1
17 64 8
20 40 20
42 55 1
31 41 1
13 43 1
3 29 3
25 63 3
8 23 2
8 29 1
18 52 1
3 59 3
14 53 3
35 38 4
14 44 1
40 62 1
26 39 1
12 14 3
48 50 12
41 46 5
8 32 8
33 41 2
7 23 1
23 27 1
2 16 2
25 54 6
23 25 1
10 20 10
11 44 11
14 32 1
27 55 27
6 18 1
5 53 1
5 58 1
8 44 2
13 51 6
14 16 1
37 51 1
13 62 3
1 38 1
57 61 7
25 45 1
26 55 13
5 17 2
2 63 1
25 49 12
29 61 7
21 63 1
19 22 2
3 32 1
52 59 3
24 33 1
16 28 1
16 22 2
36 42 2
36 37 18
22 38 2
13 14 3
35 44 2
9 13 1
11 62 1
14 51 3
1 39 1
55 59 3
22 23 11
38 47 2
4 63 1
30 51 3
5 11 5
2 12 1
9 36 9
34 39 4
10 47 5
13 50 6
3 35 1
6 51 6
12 31 3
14 45 1
58 62 7
34 64 8
15 51 3
30 58 7
45 58 1
5 55 1
8 49 1
17 62 1
18 40 2
6 39 1
21 38 2
45 57 1
16 21 2
6 27 6
9 11 2
57 60 7
41 60 1
58 60 7
48 51 12
21 54 1
3 13 3
39 64 4
23 52 1
35 47 2
37 56 1
26 40 1
8 35 8
43 45 5
20 64 2
20 37 2
1 56 1
15 54 3
11 40 5
26 27 13
15 55 3
6 20 1
29 52 3
38 56 1
56 58 14
15 43 1
53 61 3
47 63 1
11 16 2
29 51 3
27 30 3
23 46 23
4 38 4
18 43 2
31 60 15
25 48 12
29 37 1
19 43 2
3 49 3
1 18 1
11 52 1
4 22 2
19 38 19
10 48 1
6 14 3
19 20 2
18 27 1
26 31 3
18 62 1
37 61 1
26 32 1
18 57 1
8 36 4
46 49 1
5 61 1
4 48 1
19 46 2
29 48 3
8 58 1
33 62 1
3 9 1
34 35 17
41 51 1
30 31 15
38 60 1
8 48 1
31 52 3
1 48 1
39 57 1
33 44 2
1 62 1
17 25 1
27 64 1
7 31 7
14 60 7
2 5 2
36 56 1
21 51 1
27 28 3
12 13 6
8 51 1
2 40 2
19 61 1
16 32 16
15 64 1
4 10 2
22 30 1
46 62 1
19 53 1
20 41 20
14 42 1
11 57 1
12 54 6
13 32 1
28 52 3
3 44 1
17 29 1
34 59 1
11 20 5
12 58 3
25 27 6
46 50 1
17 47 2
3 15 3
1 43 1
3 45 1
10 11 5
2 10 2
17 30 1
49 58 3
28 55 3
14 48 3
35 64 8
42 50 1
17 46 2
55 58 3
48 49 24
25 36 1
45 49 1
9 33 4
3 42 1
54 61 3
2 38 2
17 32 8
27 43 1
47 61 1
24 57 3
18 22 2
4 39 4
43 55 1
45 46 11
7 14 7
38 61 1
36 48 1
13 40 1
13 53 13
40 55 1
56 59 14
43 46 5
25 43 1
31 49 3
10 45 5
5 8 2
6 50 6
20 25 1
44 49 1
26 36 1
29 42 1
34 37 4
35 52 1
8 57 1
11 39 2
33 39 4
3 7 3
38 64 4
45 52 1
60 63 15
26 58 3
10 51 1
23 42 5
16 34 8
16 27 1
10 17 2
2 45 2
20 27 1
20 35 2
8 52 1
10 53 1
4 55 1
12 46 1
11 14 1
21 43 21
3 58 3
2 19 2
18 28 1
2 36 2
21 61 1
31 50 3
5 30 1
3 12 3
19 28 1
2 62 1
38 52 1
16 17 8
9 32 4
11 25 1
7 44 1
14 31 7
15 60 15
18 34 4
17 19 4
13 49 6
28 31 7
21 35 2
4 7 1
35 40 2
53 62 3
28 38 1
38 57 1
48 62 3
25 55 6
3 8 1
11 31 1
12 30 3
27 41 1
28 59 14
34 50 1
57 58 14
3 50 3
31 48 3
27 49 6
34 55 1
1 19 1
20 38 2
9 44 2
10 21 10
18 42 2
24 53 6
