1024 59324
469 1009 1
782 1009 310
445 1009 324
990 1009 156
788 1009 856
754 1009 993
559 1009 98
474 1009 818
230 1009 69
20 1009 717
811 1009 314
715 1009 196
179 1009 132
105 1009 202
344 1009 245
948 1009 971
838 1009 778
204 1009 602
182 1009 108
253 1009 396
994 1009 563
944 1009 84
759 1009 883
390 1009 134
352 1009 11
380 1009 37
455 1009 114
797 1009 775
264 1009 224
389 1009 463
260 1009 517
222 1009 678
1007 1009 829
801 1009 342
468 1009 185
16 1009 295
981 1009 873
967 1009 749
975 1009 999
882 1009 497
1009 1015 397
621 1009 663
630 1009 187
645 1009 370
144 1009 864
657 1009 833
914 1009 415
789 1009 407
285 1009 194
746 1009 737
954 1009 164
694 1009 675
383 1009 248
825 1009 514
765 1009 489
786 1009 419
446 1009 772
235 1009 573
88 1009 162
997 1009 939
796 1009 676
956 1009 849
280 1009 3
623 1009 438
756 1009 308
668 1009 259
60 1009 758
871 1009 955
456 1009 985
647 1009 391
437 1009 505
472 1009 584
631 1009 284
86 1009 23
739 1009 217
898 1009 672
249 1009 968
486 1009 729
330 1009 31
1009 1012 820
140 1009 366
979 1009 1023
976 1009 691
381 1009 8
806 1009 1005
589 1009 518
327 1009 1017
692 1009 50
946 1009 534
908 1009 150
266 1009 328
919 1009 54
307 1009 542
457 1009 930
840 1009 653
97 1009 556
842 1009 293
70 1009 915
168 1009 273
762 1009 427
491 1009 238
992 1009 525
189 1009 961
349 1009 35
136 1009 362
77 1009 539
928 1009 466
368 1009 494
608 1009 718
814 1009 671
870 1009 299
619 1009 787
460 1009 13
186 1009 333
660 1009 680
918 1009 790
163 1009 637
535 1009 436
12 1009 869
569 1009 743
459 1009 962
378 1009 592
122 1009 100
763 1009 27
521 1009 268
323 1009 228
458 1009 425
36 1009 809
410 1009 902
978 1009 687
177 1009 551
205 1009 258
116 1009 506
485 1009 10
473 1009 110
271 1009 135
197 1009 965
837 1009 5
78 1009 846
784 1009 263
709 1009 667
382 1009 916
213 1009 554
72 1009 367
522 1009 557
757 1009 171
118 1009 395
745 1009 635
854 1009 987
654 1009 413
712 1009 562
306 1009 52
527 1009 192
66 1009 785
699 1009 375
279 1009 832
81 1009 347
932 1009 641
404 1009 909
431 1009 938
646 1009 167
120 1009 625
146 1009 29
414 1009 133
434 1009 142
847 1009 1006
6 1009 355
388 1009 960
63 1009 364
92 1009 644
958 1009 393
1009 1019 972
316 1009 560
824 1009 940
964 1009 360
287 1009 643
957 1009 508
816 1009 924
901 1009 795
632 1009 885
862 1009 30
926 1009 970
541 1009 461
242 1009 199
128 1009 55
827 1009 174
240 1009 2
125 1009 607
219 1009 103
