1024 100000
89 105 89
42 589 42
380 383 380
74 446 74
66 712 66
55 616 55
59 829 59
47 296 47
5 847 5
59 707 59
84 137 84
736 737 736
12 463 12
31 931 31
72 809 72
72 829 72
80 832 80
864 895 864
52 69 52
27 317 27
58 401 58
70 619 70
503 520 503
33 303 33
76 572 76
22 938 22
35 626 35
33 458 33
83 110 83
80 621 80
57 84 57
49 556 49
6 66 6
1 849 1
6 395 6
78 879 78
33 929 33
79 444 79
66 455 66
54 84 54
67 442 67
60 490 60
51 981 51
26 850 26
12 154 12
44 419 44
361 366 361
12 799 12
653 670 653
84 239 84
115 371 115
128 384 128
80 205 80
42 620 42
52 924 52
9 383 9
2 424 2
74 278 74
84 471 84
21 314 21
657 785 657
76 586 76
35 689 35
16 397 16
843 875 843
18 125 18
10 863 10
13 369 13
49 943 49
26 195 26
84 980 84
40 645 40
3 961 3
27 156 27
83 955 83
9 209 9
788 796 788
60 484 60
64 83 64
85 384 85
12 685 12
41 197 41
5 560 5
9 902 9
4 712 4
63 349 63
47 354 47
54 57 54
767 778 767
29 735 29
19 802 19
63 414 63
66 529 66
38 874 38
275 292 275
122 138 122
32 661 32
40 583 40
22 957 22
54 393 54
32 1007 32
39 814 39
23 383 23
10 937 10
68 146 68
11 1022 11
715 719 715
15 371 15
25 360 25
52 472 52
45 287 45
959 970 959
67 205 67
6 515 6
538 542 538
880 883 880
8 242 8
36 695 36
416 480 416
9 965 9
82 277 82
52 273 52
55 1009 55
475 731 475
26 370 26
51 598 51
69 188 69
1 808 1
86 816 86
21 303 21
23 461 23
23 833 23
20 768 20
61 807 61
79 379 79
59 886 59
74 327 74
39 110 39
30 1008 30
68 690 68
9 907 9
29 908 29
61 250 61
83 713 83
52 808 52
39 314 39
40 159 40
291 419 291
2 402 2
65 509 65
51 327 51
10 650 10
70 285 70
67 700 67
4 146 4
46 58 46
83 350 83
40 981 40
79 850 79
37 728 37
70 417 70
84 681 84
60 608 60
12 896 12
9 336 9
36 473 36
82 210 82
85 275 85
31 981 31
471 535 471
39 798 39
77 975 77
63 585 63
30 107 30
711 742 711
68 882 68
72 345 72
73 891 73
569 696 569
13 200 13
72 615 72
10 988 10
19 378 19
71 687 71
61 561 61
1 961 1
86 360 86
80 827 80
75 507 75
16 942 16
15 782 15
18 482 18
71 484 71
70 625 70
4 136 4
72 654 72
79 610 79
80 1013 80
38 234 38
74 798 74
805 837 805
6 34 6
63 372 63
97 104 97
5 219 5
818 946 818
78 987 78
4 574 4
704 705 704
15 75 15
54 73 54
25 848 25
65 599 65
68 486 68
40 161 40
55 438 55
40 1013 40
41 258 41
56 896 56
55 541 55
11 622 11
80 663 80
753 760 753
34 1018 34
39 671 39
14 191 14
67 583 67
2 357 2
45 499 45
39 948 39
13 605 13
318 445 318
67 667 67
13 703 13
15 739 15
10 63 10
50 741 50
4 70 4
71 178 71
85 823 85
63 930 63
50 469 50
71 606 71
28 399 28
39 611 39
54 210 54
78 718 78
35 469 35
50 55 50
20 449 20
50 700 50
904 905 904
402 914 402
69 232 69
55 333 55
83 535 83
50 774 50
83 718 83
68 557 68
61 880 61
27 184 27
57 905 57
81 1019 81
11 275 11
42 462 42
653 717 653
630 631 630
576 608 576
71 295 71
53 681 53
833 844 833
36 491 36
82 232 82
33 655 33
67 253 67
16 764 16
51 704 51
69 786 69
483 485 483
763 771 763
68 169 68
775 792 775
14 582 14
24 105 24
63 877 63
26 123 26
75 380 75
681 809 681
68 838 68
71 602 71
74 116 74
448 455 448
27 363 27
82 635 82
44 665 44
61 691 61
4 953 4
6 334 6
36 492 36
273 278 273
12 327 12
13 411 13
39 54 39
79 363 79
75 649 75
2 590 2
48 989 48
45 530 45
266 778 266
50 940 50
116 147 116
19 818 19
528 535 528
27 850 27
52 325 52
53 343 53
85 820 85
23 262 23
81 574 81
79 868 79
665 792 665
307 309 307
21 611 21
24 520 24
42 186 42
68 695 68
49 847 49
49 574 49
56 398 56
38 547 38
142 159 142
36 556 36
86 124 86
2 293 2
52 630 52
67 999 67
9 77 9
256 320 256
3 653 3
52 778 52
83 447 83
82 856 82
8 853 8
69 942 69
3 989 3
259 261 259
68 907 68
283 287 283
11 71 11
82 487 82
69 278 69
19 58 19
59 975 59
49 592 49
31 836 31
8 962 8
46 623 46
30 753 30
50 439 50
880 885 880
2 918 2
49 53 49
787 914 787
41 343 41
4 654 4
33 768 33
11 15 11
7 995 7
80 173 80
80 324 80
40 726 40
33 428 33
2 900 2
33 336 33
4 880 4
45 50 45
470 471 470
354 386 354
37 165 37
169 170 169
327 583 327
74 333 74
32 180 32
59 670 59
49 991 49
567 599 567
47 566 47
86 734 86
252 284 252
78 1002 78
21 360 21
49 757 49
139 266 139
35 44 35
9 224 9
35 386 35
45 749 45
60 725 60
76 451 76
64 589 64
807 815 807
40 364 40
45 671 45
411 415 411
10 698 10
66 740 66
74 637 74
3 1005 3
57 238 57
60 167 60
32 411 32
82 111 82
49 378 49
32 520 32
289 417 289
62 415 62
8 819 8
166 198 166
19 301 19
37 1015 37
654 910 654
18 259 18
56 123 56
77 939 77
85 261 85
26 609 26
68 657 68
394 399 394
401 418 401
893 895 893
84 150 84
51 500 51
26 126 26
58 165 58
65 930 65
234 297 234
26 872 26
67 221 67
37 572 37
33 289 33
60 407 60
58 720 58
140 144 140
68 647 68
11 1007 11
7 129 7
20 533 20
73 360 73
66 453 66
81 617 81
70 884 70
523 526 523
11 695 11
724 726 724
776 777 776
25 836 25
392 396 392
10 447 10
39 78 39
77 669 77
80 268 80
50 489 50
80 932 80
137 168 137
79 999 79
80 117 80
79 976 79
77 952 77
45 308 45
764 769 764
83 247 83
68 781 68
63 789 63
49 578 49
