32768 16383
303 31523 23161
8916 20541 17594
1747 9991 13661
11726 32680 23895
2497 13652 26951
4656 18026 19348
22808 30852 26701
23560 31406 8565
4331 12538 27956
13375 16267 12885
19546 27369 24012
4902 27515 27842
11992 28384 13341
9418 23889 11898
10972 22272 22526
5399 31495 21765
18596 30825 7367
3616 10293 5757
13743 25166 21013
17471 30670 19368
939 32240 26037
13314 21160 7502
1637 8318 23789
5183 13191 32685
18154 31643 30943
2902 17618 1757
8786 9535 21247
13365 29456 1594
4876 16998 31779
25 30737 3772
23594 23705 25572
1699 2874 20017
2251 2345 12158
19453 25518 12197
7007 7411 29518
4042 31977 23332
16327 22089 22001
21021 27246 17440
1662 28393 17496
13816 31718 5397
14816 24562 7617
13553 16951 28344
9938 11121 9274
20214 22164 21994
9331 23887 30944
4249 16818 643
15050 27526 25840
20836 27341 20646
15710 24449 3201
2892 23331 4805
15245 22267 32416
4590 31653 29980
264 23120 19301
5313 31633 8954
8862 11016 28290
13230 15717 17508
28626 31100 6189
13740 20282 29648
6551 13762 22316
17122 21005 25173
16835 27787 20299
4426 18044 16269
20749 27813 3146
24595 28491 10892
6680 20096 27633
1649 16922 20232
29035 30095 18002
2811 23921 21570
2952 26437 30446
13432 23063 16578
11019 28387 9779
8582 26479 19783
4880 10964 6909
17660 31414 15998
9472 19676 23783
33 12906 7552
21509 32179 14060
2898 13181 24287
14057 27236 20689
1560 11312 18105
10415 15315 13524
4563 14847 12079
1007 26484 17609
16823 26719 24775
7769 26270 25479
19688 26229 23317
24339 32730 29403
402 7882 4749
23279 27792 4417
8154 23251 2609
11681 28888 29572
5124 20215 6337
4170 32004 13984
7608 14209 2233
23363 30601 3210
20288 29824 9530
2010 8827 14108
4592 14748 29821
578 4278 1485
10910 17859 25467
7334 23238 31312
15209 19997 10391
16770 24240 11945
4594 14422 19204
5586 14803 23739
715 23153 2366
5723 19217 16313
12687 28331 25393
17459 23271 9752
9628 11885 24777
23147 31922 8317
641 1938 11829
7874 27844 326
17585 23445 13926
5822 10445 15953
3361 13597 16977
6710 15641 8366
19110 22366 15239
8534 11552 11397
10362 12706 4502
20114 27766 4455
1650 27965 26942
16391 19468 11358
26996 32255 2614
1178 31194 10610
8668 28606 7000
7756 26468 18292
13534 25025 14449
3813 26913 31517
13876 28998 13360
23465 30606 8845
418 31052 20923
6480 19063 7829
3438 21399 18014
15147 27952 32590
5528 8327 6802
1759 2490 6962
19008 31481 17819
14134 16058 15268
19961 23890 27192
7783 32158 27177
7849 22628 29598
14583 20670 28014
12503 27096 26805
15748 31746 5467
1142 14985 8385
6735 28644 21390
13342 14838 8057
23834 32427 26814
2862 10209 26793
2961 9788 12387
7649 25475 32724
17693 21504 7718
2052 24091 24579
5933 24380 2680
12429 32219 28021
9840 17253 18025
23992 27936 21961
30845 32221 15139
11264 23406 5797
25392 27428 19827
13703 31469 19784
3191 21286 2856
16775 25754 12373
25073 26776 18079
4256 23443 26756
1879 24447 14925
5076 21217 3681
10686 27655 27558
19910 20362 5689
3678 21670 12510
1811 31840 14382
24670 30794 13557
19288 30242 28003
21713 28085 1292
16340 28930 30775
2318 27669 12907
18244 26929 4093
3614 30517 20576
2700 20523 4571
14691 17254 12517
1745 19005 6492
7868 20751 23048
3730 16585 4011
2702 19975 31236
2605 28017 26925
3713 14909 26633
6982 32001 16779
1144 26594 21161
9336 13400 7168
22531 26900 13647
1504 3059 12586
4068 21746 10085
840 25061 21976
2256 26476 29382
15428 24542 26257
5212 15534 4955
8296 30319 19720
2409 23795 25304
14046 14381 7869
1777 23856 25789
1433 19530 24470
17573 24255 29131
22392 26544 22529
16753 21879 27427
1534 22685 2922
223 16766 31582
12128 17839 13985
7414 11578 14530
5176 17450 18909
8745 25154 1387
22135 30740 13245
13967 14256 13879
4836 9937 13815
6506 13306 32569
11058 26499 14242
4825 9700 23877
22148 28671 4442
13933 14198 32054
1897 12147 9832
20204 31153 17007
28112 29623 21050
3907 15457 16860
6429 25184 24790
6132 15072 10320
15794 23732 23662
2935 25216 9147
14269 30491 8000
5711 17334 13514
10216 19254 6400
21608 32713 27416
7178 11464 22094
13900 21454 12856
1619 20690 22466
14111 26751 30014
1369 14593 17758
12001 29591 6292
8293 20244 29324
17229 27760 932
662 18126 23874
5521 7786 277
3839 22564 12769
10052 13102 860
2779 20183 7611
14900 32236 24447
4730 8520 12096
22630 26933 9079
1043 3093 21832
5810 7357 9059
11409 19789 4305
5576 8643 22360
12228 28620 9488
12477 22299 13471
12968 16867 8572
4204 19300 28156
19301 27732 19576
8456 27331 26673
26171 31605 9545
26854 29953 24183
2948 22625 15028
2791 13655 4752
22300 28673 3115
11479 15912 26867
26111 30827 3898
17864 24606 26449
6720 20530 6792
21477 31440 3233
873 8671 11639
12326 29365 9405
9679 12922 16908
6637 13101 10924
6394 10192 16792
20237 30108 9115
11053 28308 5174
3658 8282 19883
10179 32516 32261
9286 12873 6019
12302 14917 7947
