64 1901
2 3 1
4 5 2
6 7 4
8 9 6
10 11 8
12 13 10
14 15 12
16 17 14
18 19 16
20 21 18
22 23 20
24 25 22
26 27 24
28 29 26
30 31 28
32 33 30
34 35 32
36 37 34
38 39 36
40 41 38
42 43 40
44 45 42
46 47 44
48 49 46
50 51 48
52 53 50
54 55 52
56 57 54
58 59 56
60 61 58
62 63 60
3 64 1
5 64 2
7 64 4
9 64 6
11 64 8
13 64 10
15 64 12
17 64 14
19 64 16
21 64 18
23 64 20
25 64 22
27 64 24
29 64 26
31 64 28
33 64 30
35 64 32
37 64 34
39 64 36
41 64 38
43 64 40
45 64 42
47 64 44
49 64 46
51 64 48
53 64 50
55 64 52
57 64 54
59 64 56
61 64 58
63 64 60
1 64 1
2 64 2
4 64 4
6 64 6
8 64 8
10 64 10
12 64 12
14 64 14
16 64 16
18 64 18
20 64 20
22 64 22
24 64 24
26 64 26
28 64 28
30 64 30
32 64 32
34 64 34
36 64 36
38 64 38
40 64 40
42 64 42
44 64 44
46 64 46
48 64 48
50 64 50
52 64 52
54 64 54
56 64 56
58 64 58
60 64 60
62 64 62
24 49 24
4 60 4
7 32 4
15 48 12
18 28 18
57 60 54
24 30 24
57 62 54
38 41 38
24 27 24
26 50 26
25 56 22
21 28 18
21 49 18
13 14 10
3 54 1
39 40 36
48 63 48
17 47 14
31 63 28
7 59 4
36 44 36
12 40 12
14 21 14
20 40 20
7 21 4
41 43 38
36 54 36
29 32 26
15 35 12
29 49 26
31 37 28
21 34 18
37 39 34
33 53 30
40 44 40
36 47 36
34 38 34
23 44 20
1 2 1
19 54 16
45 46 42
25 49 22
19 43 16
13 57 10
4 48 4
2 12 2
39 54 36
8 51 8
3 53 1
8 13 8
6 24 6
22 29 22
11 32 8
5 52 2
1 6 1
47 59 44
15 53 12
12 37 12
13 39 10
35 43 32
29 48 26
6 38 6
12 18 12
4 41 4
43 56 40
4 21 4
3 9 1
33 41 30
19 22 16
24 32 24
11 41 8
35 56 32
16 54 16
3 15 1
12 14 12
53 63 50
57 59 54
3 11 1
13 49 10
39 45 36
7 48 4
52 63 52
55 57 52
4 10 4
37 47 34
39 53 36
7 50 4
8 48 8
21 39 18
37 41 34
11 61 8
47 50 44
9 63 6
23 39 20
11 20 8
28 63 28
41 58 38
41 48 38
2 24 2
43 51 40
24 28 24
9 30 6
33 43 30
11 56 8
20 61 20
2 9 2
59 62 56
3 59 1
17 40 14
38 44 38
14 60 14
21 63 18
47 56 44
58 62 58
4 29 4
1 60 1
55 60 52
12 63 12
6 33 6
7 33 4
40 58 40
54 58 54
23 25 20
16 42 16
17 28 14
61 62 58
25 39 22
46 48 46
15 29 12
33 47 30
37 50 34
32 36 32
47 58 44
10 13 10
4 17 4
55 63 52
53 54 50
11 46 8
37 42 34
46 56 46
3 30 1
11 54 8
2 11 2
55 56 52
23 31 20
31 39 28
4 8 4
7 54 4
3 62 1
15 38 12
16 24 16
53 59 50
11 57 8
13 36 10
42 62 42
20 57 20
38 53 38
3 23 1
45 53 42
37 59 34
3 49 1
7 63 4
3 31 1
44 59 44
42 50 42
38 51 38
7 60 4
41 63 38
21 44 18
20 43 20
1 5 1
35 46 32
2 61 2
6 9 6
24 61 24
14 47 14
7 46 4
9 59 6
23 58 20
33 49 30
17 50 14
56 62 56
32 50 32
3 57 1
7 11 4
25 57 22
35 57 32
5 27 2
5 28 2
22 44 22
51 53 48
28 51 28
43 59 40
27 44 24
16 49 16
18 59 18
7 28 4
11 35 8
43 50 40
14 25 14
2 5 2
15 52 12
35 51 32
3 39 1
9 49 6
39 49 36
10 58 10
15 45 12
29 57 26
44 48 44
19 50 16
3 47 1
34 57 34
18 23 18
10 59 10
9 12 6
38 43 38
29 35 26
12 16 12
2 4 2
2 21 2
9 35 6
51 58 48
15 57 12
11 47 8
3 36 1
6 18 6
9 62 6
34 63 34
36 43 36
9 23 6
23 50 20
30 48 30
57 58 54
23 30 20
13 17 10
14 38 14
10 22 10
49 60 46
51 61 48
45 60 42
31 35 28
18 49 18
53 60 50
40 60 40
27 50 24
40 48 40
17 36 14
2 18 2
21 62 18
39 57 36
4 9 4
44 62 44
12 33 12
29 44 26
49 51 46
4 36 4
6 48 6
3 22 1
31 52 28
