16384 100000
10752 12410 8680
13174 14797 11439
11735 15995 1816
7574 12608 10152
8910 13687 13687
10636 14418 13161
11945 14410 14410
7133 9273 15364
5642 11662 11662
9112 10821 4431
201 7390 7390
9947 12971 12971
2265 15153 15153
11975 12905 1355
6142 8998 16001
9382 14563 14672
10286 15923 10286
10436 15478 8938
10631 14686 10631
3075 6453 16010
2956 9155 2956
4506 15500 15500
8098 12753 12753
5556 5842 4365
2193 2826 417
409 12273 163
7650 13119 29
3772 4329 4329
613 2133 2133
7672 10821 10482
1841 7185 7185
5693 11476 11704
8347 14246 11191
1492 1985 9425
1711 2311 9967
3987 8197 3987
9211 10821 2299
5275 10821 5275
6118 15693 11116
1473 10821 1473
5028 15647 5028
2806 4852 4684
7618 12097 7618
4814 6456 8731
7868 13955 7868
1918 10147 3792
654 14821 793
8721 10821 8721
9172 12252 12252
10026 12726 12726
528 5215 262
6554 14764 16118
607 1085 879
3115 6491 327
10821 12645 9070
3049 5923 3112
3585 13266 5650
3542 12757 12757
2325 6212 2325
9559 13567 7248
5049 7173 10183
1842 14459 2685
1466 8661 3567
8960 12088 9694
668 10821 86
6761 11991 8747
6437 7204 7204
14568 16088 10179
1095 8515 4501
1812 4141 1128
7024 15502 8324
5360 11339 8725
9418 14648 14648
10821 12218 16383
12976 15932 5490
169 14779 14779
725 13654 3844
1009 2081 2081
1195 15954 11830
3135 3505 3505
2112 6662 6662
2367 4937 12821
1272 12041 6154
7931 12111 1304
7746 9959 9429
12008 13500 12768
353 3910 3662
7259 14271 7259
1277 7038 7038
7518 11884 12861
12717 13945 12859
6421 10161 2865
3300 16033 11834
1589 10241 8275
68 12990 12990
2778 15167 7966
8680 10233 7892
10821 15769 744
15977 16123 138
1997 5780 8388
3354 14295 13038
8987 10821 7920
8084 10821 4676
1965 10821 8546
10821 14966 7997
3908 13003 2773
6203 15387 16077
11859 14759 11216
124 14413 124
7331 7756 12224
562 9186 6876
4281 8082 8082
15225 15402 7173
14984 15806 8732
5632 11499 13753
6193 6794 5086
201 2057 201
5099 13789 3957
12511 14787 13874
1298 13892 9621
8338 12787 4071
9120 9242 10472
6445 15762 15762
9984 11902 15533
4973 10821 12892
6525 10821 10386
1364 9991 14533
4480 10821 11894
12722 12842 12842
2169 4469 2169
2476 6041 16327
8193 10953 8193
5378 5433 5378
562 14442 14893
4327 7665 1703
5425 13221 9235
3605 5352 13731
261 1659 9530
3017 9248 597
1930 2261 4628
1817 2265 1817
5013 5231 2474
4274 14036 5473
9764 11334 321
6585 7264 7264
9713 11800 9713
12109 12892 12990
1563 3432 10408
4532 11710 4293
4440 6645 4440
12670 13780 5245
14891 15123 6863
11604 16080 8188
9208 14334 8448
6818 10821 6818
6252 10821 6252
4043 7856 12371
448 11051 1982
6422 10821 7950
1435 15487 3732
759 4364 4364
5982 11167 4373
13672 15158 6908
4935 16064 3759
4971 14309 14309
5528 11230 16298
7795 8011 2476
3482 10821 2466
6712 14157 14157
2 10821 3083
5649 7880 7880
1953 10045 8692
1519 13365 363
4086 8514 5270
12439 15331 15065
7049 12312 12842
821 3269 6448
1675 11686 1675
671 9025 671
4477 13100 4477
8757 12022 4216
4283 10821 5533
533 15541 2886
6606 10628 12850
838 5534 5534
1880 3210 9757
233 10073 7209
1349 10821 9954
8669 12144 7020
9772 10821 11048
10683 15808 10683
4067 14402 15121
11737 13733 1931
7499 8071 2308
1695 8919 8919
145 5447 10801
8654 14632 6549
3372 7918 13008
10191 13087 13087
6423 14913 8461
5389 8135 2939
3691 11549 9324
8626 10821 8626
10604 10821 14306
1875 2547 15825
6540 8013 6540
1326 3818 3818
689 3985 1073
3711 10821 10053
496 3349 3349
4574 9611 4574
829 12024 12024
5974 13567 5974
5978 10821 14948
3552 10821 13190
14408 15307 15319
1114 10439 201
4288 5338 5338
1052 10706 8299
9563 15786 14474
7078 10821 1248
10669 13064 4998
11581 15835 1602
13580 14322 13580
2664 9375 2970
5125 7645 11428
5520 11065 9087
1885 3889 14759
10821 13408 5024
5740 14610 5740
7448 7535 11894
1220 15508 15508
1729 8671 14948
4289 8730 4616
14507 15820 11091
7445 12279 12245
3327 10821 5867
915 15001 15001
2310 8099 13758
8864 12084 1664
10821 14902 13270
4025 13722 9647
10762 15107 2155
4250 6451 6451
11173 16164 10053
2220 5490 5490
9187 11924 2417
9016 12614 14473
15604 16346 15604
1957 7905 7905
1157 6587 11139
9814 10821 14779
859 11686 1059
6718 8916 13654
7766 14703 10328
10006 15848 10006
701 10821 8576
12967 15953 15953
1427 14640 4877
5218 9138 13693
692 12270 10876
1322 3291 8491
15505 15942 13426
1841 4317 4317
4442 11141 11141
163 7949 163
287 10409 10409
7023 7992 5874
11726 13032 10064
1855 3205 4003
6916 12874 6916
1365 2520 11922
4192 14546 6643
1049 3888 10497
8065 15494 8065
10821 10829 14411
7125 10821 188
10331 10821 7053
74 6202 10043
2963 10939 14894
6771 8988 13708
6960 9841 6960
7281 11529 13814
4325 13392 4325
6919 12715 8855
419 5726 2914
6777 8372 64
10571 10629 5986
2124 10821 2353
4324 12154 12154
7267 11762 13771
375 844 14351
9206 10688 2956
2338 10968 10968
10821 15605 10004
7700 8568 15485
9546 10825 3050
3858 6020 9434
7432 13837 13837
10821 12436 12436
441 5729 15863
3271 4434 5420
15262 15316 15316
6369 9945 11679
6080 12935 6080
2617 11424 2617
10272 14621 909
10821 13820 13682
3482 8333 4225
10821 12430 3630
2646 10821 680
6044 15953 588
87 9100 3994
14201 15712 14201
10821 11053 16116
10821 10898 10898
7842 15868 7842
1089 13236 11356
4173 6718 15483
8996 13722 9647
2558 15734 2558
4363 9547 12115
9418 10821 2619
1542 6187 13021
4162 5351 5351
2657 10821 2657
10821 15591 15591
9333 10821 9531
5475 9765 5475
693 5042 9940
6933 9866 12171
2073 15847 3196
12624 14518 10601
7913 9827 10703
2740 4146 2360
1750 7213 12586
382 5218 5218
10821 11218 11593
1718 7561 7561
4920 15068 12004
4093 14509 14509
4402 5747 4843
2949 10598 10598
10821 11060 9202
3260 6792 6792
5381 14861 8904
9587 10821 4562
5465 8880 3635
1777 13066 13066
532 5339 5248
6297 10821 5105
9402 12800 3396
340 8832 10108
7612 15016 7612
2309 10821 12555
7319 10821 14385
12161 12430 3630
10821 16167 16167
3317 4385 3317
10821 13708 13708
14955 15038 7366
10821 13260 2610
7802 13295 5658
10625 10821 9942
6061 6471 7744
6811 16289 6385
30 7534 13145
5226 12560 3000
2863 9337 7029
2814 9480 11063
402 16036 15271
11347 15219 8177
10663 11331 14815
5095 10821 3447
3823 9847 3823
8660 13859 6531
6 12445 673
13818 13831 5918
5563 14979 5563
4041 8251 3726
3371 11965 8103
390 6340 13687
282 8500 11959
2796 12651 14465
4866 14475 15927
39 10821 1587
10821 15139 13474
7814 12868 5482
3821 10821 622
14135 15712 14135
58 4709 3761
10655 13542 11401
9750 15041 16321
1095 9109 9109
3448 11221 212
454 15953 15953
356 11825 7536
2356 4621 10540
4814 9980 9980
13719 15869 13719
242 10937 3573
11896 12507 15286
3076 6360 8199
8993 9116 5307
8224 10719 9488
3624 9430 1377
4406 12832 3998
12578 12914 10667
5382 10642 9185
12510 15502 12060
1027 14885 11905
10362 15036 3573
1905 12980 4984
6888 16091 15178
7809 8463 1730
2286 2481 3717
12239 14921 12239
5297 6189 5297
12054 14203 15449
835 8372 5116
2848 10821 2848
10667 15270 10667
4462 6427 4462
965 3499 5218
5935 11567 5167
1072 4486 8471
4937 6825 4822
12262 12561 4468
2094 10262 14863
10184 11593 11593
2571 10821 3248
3463 10953 4303
2831 4256 2831
13474 13932 13474
1576 1997 1997
10497 14898 10497
6519 14496 14496
5468 10821 7960
618 5012 6730
3885 13170 13170
9427 14484 9427
4650 7965 3312
7129 7153 12665
7968 10011 11400
1309 10821 1309
3097 10460 4026
5816 10480 4427
1538 8446 12676
9745 15108 13970
4020 10821 12963
2875 3111 15500
11161 14093 3175
4272 10821 4544
1448 8290 9924
19 11746 13811
7921 14830 9383
11577 13608 8907
4149 9631 9631
1696 12452 9158
10875 15193 11113
6476 12525 4524
1333 15639 1977
1332 3721 16082
2490 15586 8871
7780 11906 10098
811 7969 8471
6764 10844 10103
2951 10784 15650
5614 15456 3023
8633 13992 13554
1010 12838 1010
3792 13846 15094
2251 4187 3782
10058 13177 13177
2267 3523 3523
6125 16363 8651
10335 15545 6052
6635 12249 8764
290 2569 4680
11000 13872 16103
2987 5928 3980
779 9303 9303
339 10821 4523
8413 12455 8015
553 16143 10495
4859 6378 3550
2567 16309 16309
7803 11399 11399
6064 14661 4236
274 11381 7033
7873 14251 15689
5504 10435 5504
5411 12916 12916
2996 6971 16059
2951 3992 3992
5642 7070 10742
2375 4172 11736
8051 14665 12657
7062 10821 1542
