1024 27392
609 785 1
66 807 1
1 273 1
518 528 528
399 718 1
277 782 881
663 962 528
9 449 430
162 358 358
850 967 1
673 930 859
113 932 215
462 587 796
385 856 1
513 577 1
604 643 933
286 362 1
329 701 528
46 643 933
57 266 1
27 144 173
13 471 471
793 1018 793
261 857 857
298 794 1
270 319 6
136 472 1
505 857 1
413 776 1
268 791 1
365 997 1
536 952 639
883 935 1
220 670 641
700 995 743
747 794 430
46 214 933
154 537 793
1 576 1
234 279 234
119 507 689
644 896 1
14 446 528
725 978 231
684 819 1
272 974 974
544 826 1
180 641 1
107 964 430
296 591 1
41 863 1
347 582 1
555 649 1
256 584 881
414 937 1
102 743 1
362 889 362
434 892 703
841 896 41
81 303 1
318 991 1
436 829 436
401 705 6
365 427 1
17 536 1
554 1021 1
236 907 743
373 939 1
84 277 1
40 171 1
345 474 1
113 302 1
67 75 1
40 949 1
83 247 57
123 414 1
796 984 1
206 626 974
125 864 528
122 773 122
426 570 1
265 451 451
430 1010 430
53 551 430
418 880 48
674 892 430
82 458 746
53 955 639
460 647 1
799 957 1
342 468 329
56 435 694
221 590 723
813 961 1
203 317 329
431 919 430
375 867 769
447 928 928
845 1021 409
63 837 580
350 487 1
866 1013 1
418 769 769
459 682 227
584 952 881
632 803 1
372 555 1
650 870 1
144 643 933
44 485 836
430 526 430
346 503 430
1 306 1
582 757 424
430 784 430
286 704 430
231 655 143
1 810 1
397 989 1
263 439 430
442 801 580
1 28 1
370 780 1
907 908 1
384 419 1
308 783 1
242 631 430
750 1001 528
816 854 854
190 541 862
356 1022 585
374 819 374
3 934 1
504 785 1
593 780 430
152 483 1
848 867 1
273 325 526
221 779 723
69 531 143
315 450 32
239 648 1
188 874 1
503 971 526
448 879 1
308 638 638
417 931 417
897 905 881
806 1012 1
255 759 1
145 430 430
167 797 419
204 720 430
28 79 1
174 836 852
393 769 769
283 942 1
708 886 1
528 881 528
542 806 854
869 1007 1007
1 846 1
846 893 1
313 687 1
88 958 546
1 288 1
234 636 234
20 692 430
23 870 1
18 525 1
640 752 1
392 806 392
438 793 793
5 113 1
223 303 251
556 606 760
141 547 1
310 830 25
359 414 847
84 1008 1
15 125 57
384 538 641
26 184 184
873 931 1
622 999 1
73 93 928
662 743 743
410 538 430
559 971 430
669 794 234
252 351 944
200 846 1
49 381 1
291 998 430
452 473 1
583 717 1
13 152 1
407 947 1
415 901 1
121 694 1
28 300 28
274 490 143
496 631 430
265 444 451
1 601 1
74 498 1
528 933 528
509 558 343
13 720 1
81 199 1
398 686 430
506 877 1
446 484 234
72 342 430
406 485 1
29 761 430
676 955 1
168 228 1
137 893 893
778 977 1
139 724 143
138 512 313
766 829 766
140 682 1
175 927 430
301 851 419
632 960 767
410 723 723
27 482 430
215 1021 1
948 1007 1
119 700 689
471 907 831
16 847 16
307 882 132
41 896 41
321 725 928
558 1023 1
339 500 971
465 726 75
452 457 1
263 561 528
198 640 198
14 416 1
132 524 132
412 563 1
618 696 793
626 927 787
496 922 1
343 955 1
193 466 1
94 854 854
259 999 316
825 878 1
495 947 947
152 424 1
32 59 32
782 861 1
51 139 143
478 609 451
118 764 737
641 794 641
494 977 1
338 922 1
762 1013 762
315 971 1
456 488 528
322 833 1
835 972 1
634 986 1
84 786 830
235 610 1
308 634 803
265 639 451
95 967 511
600 697 430
41 291 430
58 643 643
131 697 131
385 890 1
513 977 413
301 504 1
438 455 793
789 991 1
132 929 132
475 594 1
908 981 793
169 261 1
115 211 48
36 240 1
391 753 1
36 148 1
455 558 558
106 994 1
815 948 1
128 326 1
188 933 1
23 417 430
107 290 1
735 867 1
200 1022 430
36 636 1
681 702 766
689 895 743
821 902 1
292 430 430
92 393 1
115 710 1
336 793 793
80 632 767
13 61 743
168 552 143
490 617 143
1 568 1
446 994 1
559 619 6
196 832 1
500 596 971
156 674 410
49 252 944
409 952 409
388 908 1
88 163 743
4 884 1
1 25 1
163 963 1
204 965 6
116 226 1
210 916 471
538 732 528
788 902 438
98 602 430
236 961 743
443 777 1
721 847 1
143 532 143
748 854 1
194 487 1
410 927 410
811 909 1
282 931 1
592 995 1
636 669 669
309 781 528
393 416 227
620 793 793
241 513 1
624 849 1
731 778 1
386 528 528
163 463 1
53 430 430
122 699 528
66 149 854
528 842 430
430 643 430
1 371 1
943 970 1
17 1007 1
573 607 1
119 692 1
192 878 1
567 823 1
266 854 1
240 609 1
212 289 289
77 852 852
653 903 760
309 746 528
78 721 836
51 617 51
237 978 1
41 488 488
69 130 1
906 1001 670
580 870 1
105 840 840
932 965 1
501 584 528
115 963 1
577 913 1
190 621 928
347 515 48
29 983 528
176 188 188
571 870 793
350 758 1
533 753 852
131 536 430
59 819 1
110 590 1
782 885 1
551 728 131
256 874 424
613 714 1
237 917 1
193 976 1
19 551 430
591 739 1
391 628 1
218 806 789
21 584 430
431 497 430
360 682 1
675 770 1
273 898 526
151 698 132
297 951 297
166 378 528
25 637 132
595 790 859
137 963 1
452 837 580
216 1007 1
511 638 1
221 553 842
312 721 852
396 967 967
1 660 1
357 783 16
505 794 528
312 909 430
505 753 852
39 954 1
354 633 1
328 535 430
426 730 831
74 245 1
82 304 1
522 874 1
272 971 430
1 202 1
97 590 580
185 912 1
650 750 1
358 866 852
788 875 1
403 929 1
427 764 1
907 950 1
98 309 472
122 912 122
290 749 1
63 422 1
351 588 1
187 505 535
353 378 430
398 431 974
96 828 1
413 473 1
408 877 290
274 912 1
295 495 1
604 859 430
369 760 430
409 839 528
305 947 947
585 976 580
472 798 122
115 661 115
79 811 1
10 608 793
550 571 1
520 622 1
73 934 124
723 910 430
273 892 933
535 703 703
48 936 48
1 872 1
123 199 528
457 494 1
424 905 424
430 834 430
346 746 430
168 759 297
209 743 743
114 414 114
963 1003 292
273 346 430
136 624 1
306 548 1
225 908 1
37 503 528
269 788 1
174 312 852
478 528 528
206 674 974
625 904 1
167 920 1
381 409 1
728 979 728
430 619 430
392 657 1
208 310 1
813 914 430
256 533 528
42 226 132
114 359 114
483 502 793
324 815 1
553 742 430
662 800 1
638 852 852
736 998 1
370 692 1
384 645 528
407 649 430
596 843 1
638 884 430
653 723 723
1 78 1
765 898 430
48 484 1
209 936 1
54 528 430
1 48 1
350 686 430
679 888 143
553 835 1
185 984 114
325 687 526
1 731 1
533 825 430
580 660 580
401 997 1
638 691 852
505 605 145
34 907 831
255 480 480
168 411 1
383 543 543
499 523 1
203 663 329
433 689 689
350 894 72
353 612 410
381 788 1
629 809 1
393 446 1
402 716 528
591 854 854
210 375 1
179 621 1
58 124 1
221 746 430
857 911 1
66 376 1
323 382 1
343 907 1
1 455 1
734 980 1
324 941 1
674 1012 387
233 629 723
262 850 964
139 572 1
1 551 1
323 852 852
376 723 1
380 485 1
48 144 1
130 934 1
476 536 430
357 866 1
31 437 430
47 878 1
118 465 75
555 601 1
679 897 1
629 752 1
604 702 528
398 1015 580
295 349 743
193 585 1
143 774 1
321 541 862
272 353 974
57 280 57
174 839 852
283 401 6
592 601 430
41 427 1
29 155 430
680 911 1
96 577 28
278 545 1
403 577 403
9 52 488
549 887 1
14 972 1
70 430 430
500 501 358
258 387 430
35 92 689
612 703 430
371 467 131
1 439 1
3 624 1
285 520 670
566 858 1
1014 1023 1
736 785 1
146 167 419
159 806 1
542 879 1
296 508 689
1 666 1
549 696 1
139 856 793
641 821 641
1 607 1
110 610 1
637 682 48
18 326 1
474 730 1
1 200 1
30 939 580
177 364 1
45 153 153
250 945 723
9 284 430
122 962 122
882 1000 1
10 533 1
166 919 122
543 951 1
518 852 852
6 729 292
61 471 743
502 751 1
36 575 1
637 664 1
79 327 438
1 816 1
239 711 1
388 622 25
126 259 1
376 896 1
326 745 1
280 312 528
482 850 964
38 619 430
87 701 701
526 528 528
417 973 430
732 803 803
394 655 877
246 555 893
1 100 1
62 143 1
1 650 1
37 247 57
899 979 131
297 691 1
412 550 1
219 986 1
26 676 1
273 782 528
8 882 1
99 946 528
255 658 114
125 755 1
610 817 1
1 182 1
80 280 1
614 852 852
877 1019 343
432 753 1
365 860 424
336 732 1
548 719 1
3 295 743
50 518 836
682 726 1
247 593 430
60 860 1
883 943 858
132 917 1
560 696 762
69 176 69
833 843 1
418 562 1
366 645 323
334 913 57
832 900 48
36 457 1
279 836 528
486 693 145
137 390 984
482 1008 1
37 879 430
164 1004 430
164 272 430
308 320 1
437 852 852
323 604 852
226 812 1
859 988 859
689 700 689
6 580 580
177 984 499
292 1022 292
425 843 1
797 945 1
117 793 793
138 230 769
491 849 928
140 381 140
57 962 57
8 448 573
106 455 143
188 901 69
219 348 1
663 829 528
692 982 600
172 589 172
1 716 1
128 408 1
1 916 1
565 889 1
1 349 1
260 565 1
118 320 737
141 603 1
675 951 1
349 443 349
339 905 528
298 985 1
419 851 419
527 788 793
666 796 1
306 320 75
230 611 1
79 110 1
430 905 430
103 1009 438
342 818 430
364 1009 1
546 601 1
469 620 928
80 108 1
1 71 1
14 528 528
505 827 535
