stage,mode,n,seed,shuffle_labels,shuffle_queries,gen_ok,solver_rc,timed_out,val_ok,sec,rss_kb,case_dir
caterpillar_focus,caterpillar_rect_dense,1024,1,0,0,1,0,0,1,1.820724,554032,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/ac3_caterpillar_focus_lreuse0_state0/runs/caterpillar_focus/caterpillar_rect_dense/n1024/seed1_L0_Q0
caterpillar_focus,caterpillar_rect_dense,1024,1,0,1,1,0,0,1,1.801552,556704,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/ac3_caterpillar_focus_lreuse0_state0/runs/caterpillar_focus/caterpillar_rect_dense/n1024/seed1_L0_Q1
caterpillar_focus,caterpillar_rect_dense,1024,1,1,0,1,0,0,1,1.854464,556672,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/ac3_caterpillar_focus_lreuse0_state0/runs/caterpillar_focus/caterpillar_rect_dense/n1024/seed1_L1_Q0
caterpillar_focus,caterpillar_rect_dense,1024,1,1,1,1,0,0,1,1.811998,556784,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/ac3_caterpillar_focus_lreuse0_state0/runs/caterpillar_focus/caterpillar_rect_dense/n1024/seed1_L1_Q1
caterpillar_focus,caterpillar_rect_dense,1024,2,0,0,1,0,0,1,1.992011,615296,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/ac3_caterpillar_focus_lreuse0_state0/runs/caterpillar_focus/caterpillar_rect_dense/n1024/seed2_L0_Q0
caterpillar_focus,caterpillar_rect_dense,1024,2,0,1,1,0,0,1,1.983296,617968,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/ac3_caterpillar_focus_lreuse0_state0/runs/caterpillar_focus/caterpillar_rect_dense/n1024/seed2_L0_Q1
caterpillar_focus,caterpillar_rect_dense,1024,2,1,0,1,0,1,0,,,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/ac3_caterpillar_focus_lreuse0_state0/runs/caterpillar_focus/caterpillar_rect_dense/n1024/seed2_L1_Q0
caterpillar_focus,caterpillar_rect_dense,1024,2,1,1,1,0,0,1,1.998327,622704,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/ac3_caterpillar_focus_lreuse0_state0/runs/caterpillar_focus/caterpillar_rect_dense/n1024/seed2_L1_Q1
caterpillar_focus,caterpillar_rect_dense,1024,3,0,0,1,0,0,1,1.757513,513264,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/ac3_caterpillar_focus_lreuse0_state0/runs/caterpillar_focus/caterpillar_rect_dense/n1024/seed3_L0_Q0
caterpillar_focus,caterpillar_rect_dense,1024,3,0,1,1,0,0,1,1.738361,510544,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/ac3_caterpillar_focus_lreuse0_state0/runs/caterpillar_focus/caterpillar_rect_dense/n1024/seed3_L0_Q1
caterpillar_focus,caterpillar_rect_dense,1024,3,1,0,1,0,0,1,1.742623,510896,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/ac3_caterpillar_focus_lreuse0_state0/runs/caterpillar_focus/caterpillar_rect_dense/n1024/seed3_L1_Q0
caterpillar_focus,caterpillar_rect_dense,1024,3,1,1,1,0,0,1,1.774824,510928,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/ac3_caterpillar_focus_lreuse0_state0/runs/caterpillar_focus/caterpillar_rect_dense/n1024/seed3_L1_Q1
caterpillar_focus,caterpillar_rect_dense,1024,4,0,0,1,0,0,1,1.827167,551184,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/ac3_caterpillar_focus_lreuse0_state0/runs/caterpillar_focus/caterpillar_rect_dense/n1024/seed4_L0_Q0
caterpillar_focus,caterpillar_rect_dense,1024,4,0,1,1,0,0,1,1.801936,550960,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/ac3_caterpillar_focus_lreuse0_state0/runs/caterpillar_focus/caterpillar_rect_dense/n1024/seed4_L0_Q1
