stage,mode,n,seed,shuffle_labels,shuffle_queries,gen_ok,solver_rc,timed_out,val_ok,sec,rss_kb,case_dir
caterpillar_focus,caterpillar_rect_dense,1024,1,0,0,1,0,0,1,2.007662,556752,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/ac3_caterpillar_focus_lreuse0_write0/runs/caterpillar_focus/caterpillar_rect_dense/n1024/seed1_L0_Q0
caterpillar_focus,caterpillar_rect_dense,1024,1,0,1,1,0,0,1,1.999574,557568,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/ac3_caterpillar_focus_lreuse0_write0/runs/caterpillar_focus/caterpillar_rect_dense/n1024/seed1_L0_Q1
caterpillar_focus,caterpillar_rect_dense,1024,1,1,0,1,0,0,1,1.918480,553984,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/ac3_caterpillar_focus_lreuse0_write0/runs/caterpillar_focus/caterpillar_rect_dense/n1024/seed1_L1_Q0
caterpillar_focus,caterpillar_rect_dense,1024,1,1,1,1,0,0,1,1.848869,556656,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/ac3_caterpillar_focus_lreuse0_write0/runs/caterpillar_focus/caterpillar_rect_dense/n1024/seed1_L1_Q1
caterpillar_focus,caterpillar_rect_dense,1024,2,0,0,1,0,0,1,1.966766,615472,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/ac3_caterpillar_focus_lreuse0_write0/runs/caterpillar_focus/caterpillar_rect_dense/n1024/seed2_L0_Q0
caterpillar_focus,caterpillar_rect_dense,1024,2,0,1,1,-9,1,0,,,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/ac3_caterpillar_focus_lreuse0_write0/runs/caterpillar_focus/caterpillar_rect_dense/n1024/seed2_L0_Q1
caterpillar_focus,caterpillar_rect_dense,1024,2,1,0,1,-9,1,0,,,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/ac3_caterpillar_focus_lreuse0_write0/runs/caterpillar_focus/caterpillar_rect_dense/n1024/seed2_L1_Q0
caterpillar_focus,caterpillar_rect_dense,1024,2,1,1,1,-9,1,0,,,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/ac3_caterpillar_focus_lreuse0_write0/runs/caterpillar_focus/caterpillar_rect_dense/n1024/seed2_L1_Q1
caterpillar_focus,caterpillar_rect_dense,1024,3,0,0,1,-9,1,0,,,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/ac3_caterpillar_focus_lreuse0_write0/runs/caterpillar_focus/caterpillar_rect_dense/n1024/seed3_L0_Q0
caterpillar_focus,caterpillar_rect_dense,1024,3,0,1,1,-9,1,0,,,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/ac3_caterpillar_focus_lreuse0_write0/runs/caterpillar_focus/caterpillar_rect_dense/n1024/seed3_L0_Q1
