1024 60006
176 396 768
357 639 1024
235 321 123
122 212 212
20 930 930
194 786 52
23 554 654
4 300 4
240 999 415
66 631 66
193 1012 417
798 920 816
61 129 607
469 976 535
630 673 955
1 522 1
96 896 371
82 265 413
724 863 224
29 711 588
32 633 1011
506 662 853
59 640 137
284 396 849
170 618 618
208 586 586
379 557 557
30 361 640
509 843 509
505 506 653
646 834 823
568 602 602
116 613 722
311 331 331
308 877 308
146 794 794
581 640 326
42 937 916
530 892 892
547 699 19
306 509 306
461 527 459
584 830 98
632 701 636
79 400 400
120 494 1007
222 748 330
220 935 327
89 750 750
22 591 8
42 338 916
176 330 330
99 223 793
229 665 229
17 1000 258
487 948 263
304 660 386
311 348 844
334 563 334
517 561 762
225 807 750
200 527 459
329 363 329
625 660 386
183 630 974
527 796 459
217 772 217
21 712 273
321 592 321
239 899 239
340 834 939
139 581 326
712 1012 273
830 984 867
94 790 790
112 804 112
93 982 471
16 426 16
436 772 303
366 632 366
555 766 555
17 180 884
85 679 85
33 58 239
582 812 1002
588 654 654
182 926 250
61 105 105
606 735 606
321 361 321
218 782 972
367 874 190
3 399 614
27 751 751
209 222 411
464 682 893
5 926 250
865 928 238
395 941 395
112 396 112
277 740 740
313 970 455
222 941 941
76 327 76
790 1007 1007
36 153 153
165 818 1
218 392 516
6 42 916
700 1022 1022
491 769 659
584 769 544
355 880 817
462 841 557
44 328 483
812 857 21
184 485 675
163 568 357
401 905 635
40 82 40
130 132 132
226 715 715
399 1009 709
307 490 307
744 988 890
31 403 305
92 131 131
416 545 545
434 555 555
445 772 627
225 695 225
190 319 319
64 104 602
176 863 224
390 871 81
880 1002 817
176 706 173
249 823 823
442 751 751
176 886 921
439 899 565
28 726 434
264 336 264
470 645 518
220 817 327
75 861 943
116 980 116
297 518 818
51 397 51
408 826 930
774 916 916
463 731 186
648 977 721
75 853 853
686 959 150
256 711 670
520 638 203
431 967 275
119 577 322
421 722 318
17 759 258
689 995 689
119 648 721
78 698 78
490 841 12
306 907 306
106 223 106
554 840 654
502 794 794
237 938 595
710 796 710
218 572 972
678 928 678
103 625 625
741 869 869
718 1015 713
293 324 501
230 960 149
806 982 806
378 926 85
782 841 557
282 673 282
265 634 438
119 975 322
976 1016 1016
518 716 719
51 903 51
259 261 259
44 785 785
205 679 349
133 703 352
131 261 131
442 713 429
244 682 893
90 293 596
483 622 483
407 661 407
50 961 311
162 457 321
333 411 333
185 909 185
675 949 675
418 1008 801
582 1019 728
628 868 868
38 118 859
732 866 866
47 467 47
128 391 882
375 873 375
132 513 866
220 581 326
206 423 264
100 236 125
569 728 569
309 702 309
630 784 955
273 539 273
223 398 727
639 792 1024
407 1015 407
311 441 441
379 577 888
83 584 461
498 656 393
307 819 323
63 399 215
182 337 606
344 798 435
9 995 403
146 377 373
9 836 836
600 810 447
131 521 131
98 905 635
589 1015 713
185 969 167
111 830 959
723 999 225
724 1020 1020
41 938 143
219 483 483
472 590 368
3 808 808
432 995 533
401 537 610
849 1023 60
67 738 738
554 986 78
89 891 271
528 954 198
326 836 326
211 648 721
74 111 346
270 411 411
116 914 914
183 458 255
131 629 131
379 647 888
135 400 555
255 490 255
259 589 259
282 607 282
816 990 990
621 954 198
847 976 664
22 490 12
11 962 11
200 370 370
317 826 930
167 678 678
528 601 542
225 302 225
311 944 311
127 793 793
505 810 810
102 252 102
326 606 326
53 933 1003
190 560 190
131 147 131
410 531 410
8 964 915
170 409 170
244 1014 244
535 664 535
764 807 750
72 409 113
670 727 727
220 328 483
118 401 859
302 710 710
537 584 98
51 930 930
355 785 785
122 604 688
78 537 78
377 888 373
451 995 451
317 369 917
45 854 383
542 982 471
129 388 375
712 801 801
37 952 37
356 424 45
205 449 449
714 917 917
1 740 1
580 686 150
227 527 459
98 551 618
3 522 522
4 308 4
101 962 652
340 888 888
440 740 740
94 97 94
116 556 116
307 645 307
648 659 721
467 988 890
102 804 102
449 618 618
415 969 415
178 605 106
371 461 461
198 613 198
142 474 677
311 726 311
221 756 221
137 723 225
263 649 263
688 749 688
100 324 501
372 900 770
183 694 974
332 518 700
734 745 908
246 692 673
268 967 589
186 495 186
11 941 11
111 644 270
172 485 675
302 1016 1016
363 826 930
706 885 173
95 213 67
639 754 754
727 898 727
768 951 340
152 929 929
748 813 330
216 544 216
808 823 823
149 169 149
816 848 816
353 718 430
104 924 602
14 910 737
109 176 109
54 570 966
135 626 555
70 560 395
448 827 130
361 992 1020
170 266 170
172 176 172
209 596 411
105 707 105
22 943 931
447 1011 447
325 965 572
188 713 738
176 321 321
460 521 272
239 385 1016
176 606 606
376 482 482
303 981 303
132 487 88
188 364 738
86 267 304
80 577 80
305 643 381
710 993 560
248 880 817
132 465 132
442 517 429
312 354 312
779 976 664
578 814 710
527 655 459
400 482 400
276 842 625
390 394 370
247 798 843
306 379 306
80 814 80
396 573 796
260 262 262
250 361 640
847 968 968
183 410 410
265 388 413
44 391 882
761 926 250
113 551 618
136 595 595
151 916 916
217 928 217
32 983 1011
319 974 319
5 760 343
510 767 152
346 422 346
251 994 251
21 329 329
62 724 62
760 860 343
76 82 76
302 532 276
448 883 130
267 348 844
17 834 939
53 842 625
603 881 603
454 761 160
807 820 329
582 901 65
77 1024 319
458 669 255
44 955 955
376 982 471
454 472 368
360 852 852
450 603 450
245 1000 404
83 554 654
306 587 306
813 957 43
402 678 402
299 333 333
180 259 259
92 335 335
127 415 415
254 729 526
595 1006 92
2 205 205
520 808 808
710 970 455
35 433 35
234 778 362
187 799 200
774 802 806
515 594 515
595 690 595
189 723 225
682 801 801
145 324 463
162 431 321
293 347 262
263 982 263
368 968 368
38 488 488
166 600 447
190 849 190
260 889 289
422 959 204
75 877 943
439 521 222
425 570 966
628 861 582
36 244 244
652 1000 652
380 937 1014
580 968 968
322 921 921
138 143 143
150 180 884
825 854 383
351 775 351
230 518 354
409 558 558
527 808 808
539 662 508
475 995 715
299 538 299
123 413 123
437 721 721
214 806 806
70 870 611
784 917 917
295 442 429
220 602 602
492 653 492
834 879 939
162 361 321
102 628 102
451 952 451
69 231 56
102 167 102
545 773 680
265 733 413
205 343 343
504 842 625
284 418 801
190 516 516
60 965 60
278 907 907
242 1008 548
596 915 915
280 588 588
406 602 602
993 1000 560
562 615 562
112 955 112
399 758 940
303 1017 303
598 903 164
164 733 164
84 246 673
292 832 786
415 689 415
587 933 587
42 744 916
718 848 980
662 720 829
382 628 582
182 237 595
695 794 785
487 889 88
84 844 844
119 967 589
584 951 98
147 599 410
376 924 376
319 740 740
276 538 538
666 976 664
154 658 669
507 788 952
75 504 943
158 745 158
259 639 259
52 680 680
512 1005 408
78 227 78
381 402 402
147 258 174
704 797 519
401 797 519
176 738 738
293 796 596
422 629 204
151 946 105
522 679 522
83 983 461
200 374 374
313 427 507
333 646 823
612 789 616
531 820 329
290 707 764
148 462 465
591 967 8
27 474 638
130 305 130
429 699 429
437 774 806
44 650 486
79 992 1020
208 292 208
475 788 715
529 761 335
540 715 715
787 805 355
723 920 225
434 974 434
498 867 867
583 731 186
560 784 141
387 546 133
327 662 853
81 269 81
156 266 579
626 967 317
126 987 923
146 823 823
792 798 435
291 611 611
457 650 486
55 250 366
7 616 616
202 787 355
1 626 1
214 486 914
372 491 49
299 599 299
51 326 326
82 579 579
515 926 515
376 552 552
3 489 110
16 176 16
519 903 903
343 448 343
76 142 76
430 829 829
300 855 855
287 520 203
651 836 651
737 984 867
34 472 368
755 779 755
450 553 450
285 373 444
603 677 677
385 835 869
333 452 333
356 625 625
444 607 607
39 957 39
224 577 224
944 956 941
98 405 821
65 515 515
688 942 688
732 795 968
357 640 640
606 909 606
311 368 368
123 618 123
70 111 395
442 987 429
8 69 56
959 979 979
367 898 978
52 273 273
220 636 327
270 765 808
194 975 52
545 990 990
303 562 303
509 851 661
274 502 338
349 982 349
141 513 866
171 707 64
875 924 261
833 987 294
315 763 124
148 575 575
318 577 318
310 774 806
235 758 123
34 176 193
674 1012 417
597 670 597
8 932 8
658 1019 669
176 284 849
184 629 575
332 497 700
603 843 843
740 906 740
586 727 727
278 318 318
128 161 161
223 273 273
97 475 715
14 189 800
260 581 326
328 831 483
449 477 477
810 841 810
491 676 659
733 907 927
404 481 1017
532 899 276
3 885 41
230 240 354
36 464 1022
392 629 516
190 600 447
823 883 823
176 736 736
94 137 94
510 674 47
759 982 471
13 238 238
201 950 409
38 678 678
184 277 575
164 389 164
805 977 868
301 944 493
174 266 174
567 759 100
54 253 116
219 663 91
132 314 4
661 699 19
583 894 307
225 982 225
568 717 756
439 914 914
11 791 11
183 306 974
228 989 906
704 870 611
223 808 808
75 394 370
266 576 16
135 319 319
142 576 16
127 1008 548
485 679 675
879 944 666
3 328 483
899 1003 565
188 895 738
676 766 729
274 882 564
401 909 292
149 406 783
218 1008 548
273 732 273
771 886 790
578 1005 408
71 438 438
310 885 41
516 581 326
426 788 426
176 763 451
645 780 780
647 808 808
251 883 251
354 766 729
107 916 916
258 450 450
495 994 858
377 696 597
866 1012 866
262 556 262
167 216 216
765 829 808
767 775 504
467 656 393
15 990 990
202 789 553
156 778 579
251 418 801
86 663 443
543 790 790
431 440 440
278 526 526
645 846 376
50 725 913
367 613 722
824 955 66
881 896 707
299 481 1017
141 811 708
131 900 131
935 977 868
110 534 110
246 602 602
