4096 100000
1471 4032 4032
648 1094 2713
987 2410 142
2213 2320 2320
780 2983 1957
387 3960 3960
157 518 157
788 3688 788
657 2031 1045
3685 3954 3638
2707 3033 3033
716 2838 2838
2597 2702 2681
1422 3317 2363
1259 1388 1259
1894 2786 3225
697 3461 697
2431 2867 286
2856 3431 2856
255 292 292
2106 3424 1054
968 3124 3920
395 763 505
2515 3207 651
1312 1800 1312
1332 3902 1713
2130 2867 1849
1102 1505 1505
184 2827 2557
2094 3590 4014
2405 3904 2405
1957 2836 1957
1197 1270 2454
487 2867 81
2867 3748 4079
691 2355 3559
102 1993 3406
422 1514 2673
450 469 4084
1324 1418 630
277 1716 650
364 1519 1539
1269 2309 694
2054 3014 2660
22 1290 1335
3138 3904 3904
46 300 46
3159 4069 395
3065 3379 3379
192 2043 2043
1156 4036 860
3058 3272 3058
596 3807 3807
1380 2867 1881
2881 2886 1849
1715 3767 2428
397 2977 2977
242 1491 242
1376 1942 1376
602 2137 690
1267 4021 1564
2970 3559 3559
311 1524 311
2305 3295 2036
3 3922 3
690 3074 690
21 3613 1329
2946 3790 2946
3755 3871 3755
1957 3826 1957
1330 3856 3856
3625 3925 3625
94 3831 3831
119 2156 119
1854 2476 3005
1883 2744 1883
2606 3168 3984
1957 3714 3714
542 1849 25
2794 3627 3627
1070 1942 1070
1386 2810 2810
805 2645 2962
74 3739 74
189 2496 189
1020 1972 3634
1524 1586 3095
75 2254 2254
1451 3902 1947
1958 3791 3791
374 3147 374
2269 3844 3084
699 2791 624
833 3051 708
66 1269 2120
725 1201 2148
2644 4094 4094
1872 2404 1872
773 808 773
2400 3584 2511
2361 3306 2361
494 3739 3739
1687 2472 1463
637 2281 2966
785 1617 2912
1002 2892 1455
844 1495 844
494 780 494
244 3092 244
1246 2867 744
82 3819 3913
2867 3220 3664
1557 3013 46
1281 1432 2895
1459 3405 3405
213 2285 2285
1055 2015 1055
1778 3904 3904
227 3669 227
592 3527 3527
1873 2142 1873
2867 3152 3727
2984 3244 3904
1285 3615 3386
2907 3950 3058
1095 2785 3025
589 1425 1425
1360 2733 3116
695 869 695
2229 3486 1245
1349 2446 3688
1323 2055 113
1567 2659 1284
679 1740 3178
2351 2371 2349
3005 4057 3005
2053 2458 2458
489 2478 489
1652 2886 1652
1794 3113 2819
772 1475 772
623 1740 3178
951 954 1883
3181 3440 2080
3322 3806 1905
424 1953 3678
3207 3904 3904
225 470 225
81 1936 81
1069 1491 3991
1473 3825 1473
2867 3524 630
22 2803 769
347 3680 3680
604 1474 1474
2604 3984 965
436 3911 248
1788 2776 394
225 2315 2315
675 2380 3005
2488 2628 2488
560 3044 901
3506 3803 3506
470 2718 548
2158 3667 2158
191 2448 826
1199 1480 3282
456 1607 3653
2078 2627 3101
628 1244 1234
518 2977 3367
1335 3242 3242
764 2253 2328
95 2578 3834
1739 4066 1739
374 1259 374
153 549 3175
5 1868 3822
1197 1290 1002
1809 3038 3110
48 448 134
1855 3423 3423
376 3599 376
2013 4061 2085
208 2435 2628
1074 1672 1016
3294 3428 3294
2231 2842 3562
16 2650 329
1240 2208 3822
1744 3866 3461
2867 3103 1835
333 856 893
1329 2919 1329
1627 2348 3527
74 1211 74
81 3200 81
2952 3243 2952
2056 2675 2716
742 2599 2599
1098 2570 140
1909 3339 3645
970 2795 1043
2588 3122 2336
2948 3595 4014
1700 2828 2557
853 1499 853
1724 4047 1724
1003 3706 1003
2379 2513 3672
826 2479 2479
1441 3906 3283
2385 3248 830
1234 2839 1234
965 1458 965
1917 2799 1568
1803 2092 839
2013 4018 4018
2557 3477 2557
2792 4020 1258
1744 3500 3461
2773 3213 1531
2247 3469 3469
1338 2738 3057
2409 2741 2176
2672 3598 2672
492 1624 3224
1389 2010 2526
1263 1558 1017
1168 2908 3672
1641 2494 3816
1369 3804 1369
2052 2265 1574
2620 3038 1993
147 1607 2632
1295 2254 2254
1344 1574 1344
2607 2796 928
2803 3904 3904
281 463 463
2453 3973 3973
432 829 2913
820 1045 1045
869 1815 1339
573 2867 3302
1646 3515 1646
2659 3140 3140
1310 3921 3921
2867 3574 3574
1274 1849 199
1449 1914 3714
1271 3188 3961
4060 4093 145
2867 2915 1455
2119 2528 3755
197 1328 3239
893 2236 893
1878 2867 3553
745 2740 1307
1059 2704 2390
1535 2478 3309
353 3915 242
2362 3915 242
324 525 3960
381 2978 2036
5 2293 3622
2867 3042 1756
1041 1958 2632
1652 3019 1652
1703 4076 1703
2919 4044 2673
1292 3531 1719
1380 3743 1881
1451 3110 3110
1070 2657 1070
504 982 3930
1139 1818 1818
34 2299 3061
832 1513 832
788 857 788
2863 4067 499
2577 3656 2577
142 368 142
1867 2785 1867
2700 2989 2989
1115 3571 3571
809 2236 2488
1523 1914 1523
61 595 662
2397 4079 4079
1417 3793 1818
710 798 798
1650 3574 1885
344 1574 1574
3402 3596 3402
52 1553 3958
386 1025 4069
52 835 1883
1574 3193 1574
3757 4036 284
2753 3003 1833
1815 1924 3536
398 2669 2669
2527 2942 2527
3035 3354 275
128 2196 3751
669 1753 832
1556 2478 3309
703 3469 703
2213 2605 2605
3414 3542 3542
259 337 259
1482 2552 248
2624 4020 1677
1851 2239 771
2305 3382 744
2754 3609 3061
989 3213 3728
1890 3343 3343
2096 3913 3913
2028 2205 3169
2750 3061 3061
2549 2830 2549
639 3316 2109
1224 4032 4032
2942 3221 362
948 3391 3391
1359 1946 1080
1903 2976 1903
1409 3724 1576
1140 1150 3447
797 1707 2223
381 1968 2036
784 4002 531
458 901 458
2151 3402 3402
1032 2832 2832
652 3257 1914
2115 3931 3931
3122 3988 3988
2209 4061 2085
1023 2761 2761
897 1844 3719
562 2002 2002
1227 2041 2041
1863 3170 504
1974 2151 2998
1338 2303 2303
1365 1514 411
859 3822 3822
758 2235 3560
2785 3763 3763
1939 3172 2026
718 3448 718
2155 3943 3058
381 801 801
1104 3169 1104
891 1177 3719
1420 3369 3319
286 2167 286
1301 2922 1301
94 2867 2740
2599 3843 2599
128 341 3751
826 3277 826
74 269 74
368 1958 2390
