stage,mode,n,seed,shuffle_labels,shuffle_queries,gen_ok,solver_rc,timed_out,val_ok,sec,rss_kb,case_dir
ac3_repro,caterpillar_rect_dense,1024,1,0,0,1,0,0,1,1.786629,557648,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/ac3_repro_current/rerun/runs/ac3_repro/caterpillar_rect_dense/n1024/seed1_L0_Q0
ac3_repro,caterpillar_rect_dense,1024,1,0,1,1,0,0,1,1.792777,558224,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/ac3_repro_current/rerun/runs/ac3_repro/caterpillar_rect_dense/n1024/seed1_L0_Q1
ac3_repro,caterpillar_rect_dense,1024,1,1,0,1,0,0,1,1.801075,556624,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/ac3_repro_current/rerun/runs/ac3_repro/caterpillar_rect_dense/n1024/seed1_L1_Q0
ac3_repro,caterpillar_rect_dense,1024,1,1,1,1,0,0,1,1.806289,558224,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/ac3_repro_current/rerun/runs/ac3_repro/caterpillar_rect_dense/n1024/seed1_L1_Q1
ac3_repro,caterpillar_rect_dense,1024,2,0,0,1,0,0,1,1.972683,614880,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/ac3_repro_current/rerun/runs/ac3_repro/caterpillar_rect_dense/n1024/seed2_L0_Q0
ac3_repro,caterpillar_rect_dense,1024,2,0,1,1,0,0,1,1.988791,618704,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/ac3_repro_current/rerun/runs/ac3_repro/caterpillar_rect_dense/n1024/seed2_L0_Q1
ac3_repro,caterpillar_rect_dense,1024,2,1,0,1,0,0,1,1.978779,624064,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/ac3_repro_current/rerun/runs/ac3_repro/caterpillar_rect_dense/n1024/seed2_L1_Q0
ac3_repro,caterpillar_rect_dense,1024,2,1,1,1,0,0,1,1.995179,623168,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/ac3_repro_current/rerun/runs/ac3_repro/caterpillar_rect_dense/n1024/seed2_L1_Q1
ac3_repro,caterpillar_rect_dense,1024,3,0,0,1,0,0,1,1.742168,514288,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/ac3_repro_current/rerun/runs/ac3_repro/caterpillar_rect_dense/n1024/seed3_L0_Q0
ac3_repro,caterpillar_rect_dense,1024,3,0,1,1,0,0,1,1.740027,514656,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/ac3_repro_current/rerun/runs/ac3_repro/caterpillar_rect_dense/n1024/seed3_L0_Q1
ac3_repro,caterpillar_rect_dense,1024,3,1,0,1,0,0,1,1.739209,514752,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/ac3_repro_current/rerun/runs/ac3_repro/caterpillar_rect_dense/n1024/seed3_L1_Q0
ac3_repro,caterpillar_rect_dense,1024,3,1,1,1,0,0,1,1.740855,513824,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/ac3_repro_current/rerun/runs/ac3_repro/caterpillar_rect_dense/n1024/seed3_L1_Q1
ac3_repro,caterpillar_rect_dense,1024,4,0,0,1,0,0,1,1.807202,552064,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/ac3_repro_current/rerun/runs/ac3_repro/caterpillar_rect_dense/n1024/seed4_L0_Q0
ac3_repro,caterpillar_rect_dense,1024,4,0,1,1,0,0,1,1.830805,551552,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/ac3_repro_current/rerun/runs/ac3_repro/caterpillar_rect_dense/n1024/seed4_L0_Q1
ac3_repro,caterpillar_rect_dense,1024,4,1,0,1,0,0,1,1.822570,551664,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/ac3_repro_current/rerun/runs/ac3_repro/caterpillar_rect_dense/n1024/seed4_L1_Q0
ac3_repro,caterpillar_rect_dense,1024,4,1,1,1,0,0,1,1.816835,552032,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/ac3_repro_current/rerun/runs/ac3_repro/caterpillar_rect_dense/n1024/seed4_L1_Q1
ac3_repro,caterpillar_rect_dense,1024,5,0,0,1,0,0,1,1.787003,527312,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/ac3_repro_current/rerun/runs/ac3_repro/caterpillar_rect_dense/n1024/seed5_L0_Q0
ac3_repro,caterpillar_rect_dense,1024,5,0,1,1,0,0,1,1.758903,528896,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/ac3_repro_current/rerun/runs/ac3_repro/caterpillar_rect_dense/n1024/seed5_L0_Q1
ac3_repro,caterpillar_rect_dense,1024,5,1,0,1,0,0,1,1.753585,527296,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/ac3_repro_current/rerun/runs/ac3_repro/caterpillar_rect_dense/n1024/seed5_L1_Q0
ac3_repro,caterpillar_rect_dense,1024,5,1,1,1,0,0,1,1.759648,527856,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/ac3_repro_current/rerun/runs/ac3_repro/caterpillar_rect_dense/n1024/seed5_L1_Q1
