stage,mode,n,seed,shuffle_labels,shuffle_queries,gen_ok,solver_rc,timed_out,val_ok,sec,rss_kb,case_dir
ac3_repro,caterpillar_rect_dense,1024,1,0,0,1,0,0,1,1.844311,557184,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/ac3_repro_current/run/runs/ac3_repro/caterpillar_rect_dense/n1024/seed1_L0_Q0
ac3_repro,caterpillar_rect_dense,1024,1,0,1,1,0,0,1,1.823241,557744,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/ac3_repro_current/run/runs/ac3_repro/caterpillar_rect_dense/n1024/seed1_L0_Q1
ac3_repro,caterpillar_rect_dense,1024,1,1,0,1,0,0,1,1.861739,557744,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/ac3_repro_current/run/runs/ac3_repro/caterpillar_rect_dense/n1024/seed1_L1_Q0
ac3_repro,caterpillar_rect_dense,1024,1,1,1,1,0,0,1,1.824672,557744,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/ac3_repro_current/run/runs/ac3_repro/caterpillar_rect_dense/n1024/seed1_L1_Q1
ac3_repro,caterpillar_rect_dense,1024,2,0,0,1,0,0,1,2.009106,617904,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/ac3_repro_current/run/runs/ac3_repro/caterpillar_rect_dense/n1024/seed2_L0_Q0
ac3_repro,caterpillar_rect_dense,1024,2,0,1,1,-9,1,0,,,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/ac3_repro_current/run/runs/ac3_repro/caterpillar_rect_dense/n1024/seed2_L0_Q1
ac3_repro,caterpillar_rect_dense,1024,2,1,0,1,0,0,1,2.006799,622688,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/ac3_repro_current/run/runs/ac3_repro/caterpillar_rect_dense/n1024/seed2_L1_Q0
ac3_repro,caterpillar_rect_dense,1024,2,1,1,1,-9,1,0,,,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/ac3_repro_current/run/runs/ac3_repro/caterpillar_rect_dense/n1024/seed2_L1_Q1
ac3_repro,caterpillar_rect_dense,1024,3,0,0,1,0,0,1,1.789797,513616,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/ac3_repro_current/run/runs/ac3_repro/caterpillar_rect_dense/n1024/seed3_L0_Q0
ac3_repro,caterpillar_rect_dense,1024,3,0,1,1,0,0,1,1.787588,512944,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/ac3_repro_current/run/runs/ac3_repro/caterpillar_rect_dense/n1024/seed3_L0_Q1
ac3_repro,caterpillar_rect_dense,1024,3,1,0,1,0,0,1,1.766937,513808,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/ac3_repro_current/run/runs/ac3_repro/caterpillar_rect_dense/n1024/seed3_L1_Q0
ac3_repro,caterpillar_rect_dense,1024,3,1,1,1,0,0,1,1.796966,515088,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/ac3_repro_current/run/runs/ac3_repro/caterpillar_rect_dense/n1024/seed3_L1_Q1
ac3_repro,caterpillar_rect_dense,1024,4,0,0,1,0,0,1,1.902436,552112,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/ac3_repro_current/run/runs/ac3_repro/caterpillar_rect_dense/n1024/seed4_L0_Q0
ac3_repro,caterpillar_rect_dense,1024,4,0,1,1,0,0,1,1.908596,551776,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/ac3_repro_current/run/runs/ac3_repro/caterpillar_rect_dense/n1024/seed4_L0_Q1
ac3_repro,caterpillar_rect_dense,1024,4,1,0,1,0,0,1,1.896229,551520,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/ac3_repro_current/run/runs/ac3_repro/caterpillar_rect_dense/n1024/seed4_L1_Q0
ac3_repro,caterpillar_rect_dense,1024,4,1,1,1,0,0,1,1.884225,552752,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/ac3_repro_current/run/runs/ac3_repro/caterpillar_rect_dense/n1024/seed4_L1_Q1
ac3_repro,caterpillar_rect_dense,1024,5,0,0,1,0,0,1,1.774625,528704,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/ac3_repro_current/run/runs/ac3_repro/caterpillar_rect_dense/n1024/seed5_L0_Q0
ac3_repro,caterpillar_rect_dense,1024,5,0,1,1,0,0,1,1.792788,528592,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/ac3_repro_current/run/runs/ac3_repro/caterpillar_rect_dense/n1024/seed5_L0_Q1
ac3_repro,caterpillar_rect_dense,1024,5,1,0,1,0,0,1,1.775316,528608,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/ac3_repro_current/run/runs/ac3_repro/caterpillar_rect_dense/n1024/seed5_L1_Q0
ac3_repro,caterpillar_rect_dense,1024,5,1,1,1,-9,1,0,,,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/ac3_repro_current/run/runs/ac3_repro/caterpillar_rect_dense/n1024/seed5_L1_Q1
