99999 100000
13558 26211 45205
29049 83648 3025
12133 82961 68444
59252 61826 45539
9652 94554 62048
52797 73355 52797
59147 87404 87404
30148 34053 34053
2115 52149 30019
23986 88048 23986
19589 39609 19589
41822 62719 22211
32287 89086 22004
3110 40292 75414
28552 60991 24573
13348 34238 16058
51876 81441 81441
41066 98660 81929
46727 68698 65227
35214 38025 23971
26135 34836 17391
32675 53935 1
12916 35841 38754
41528 51479 19076
848 64031 75234
13705 65683 5147
51835 54420 51835
8835 19634 15919
739 21402 75414
48370 68771 68771
1 36418 1
18547 55112 1
37388 44799 236
4035 99187 60854
56076 69772 697
3463 75684 59503
11267 32142 32142
59129 85241 75414
5904 20452 75414
12485 61957 48013
44793 75954 43763
6879 99257 23986
56095 68570 75414
46659 46779 46779
4186 92404 17136
22520 89533 22520
47187 88838 87623
33379 96297 48819
21100 24379 36145
8803 80812 75414
37445 37823 67605
62414 64879 25729
43755 63404 94891
4981 51977 17391
47259 53110 47259
57844 68278 30545
1137 6690 62415
1856 54470 23623
53583 99089 53583
13738 40154 85723
44043 84340 88086
14404 75414 75414
19901 75663 75663
10829 70628 80727
10997 18533 58880
9800 95434 29924
39898 45463 22435
18894 70954 61144
9606 19110 19110
54098 71812 35222
36009 41603 36009
15638 57431 55909
29173 55374 64593
53273 67745 75122
68816 93914 93914
21790 46628 88873
18300 73907 38291
93934 94824 23986
34085 66191 1
7880 95306 17109
59679 80561 67180
11779 50178 40770
26657 47827 3213
57376 89734 49173
65418 94845 42219
13257 85921 42596
10910 29677 29677
91613 98246 28872
19311 43865 82447
638 3840 23986
29598 43595 46231
84862 98596 7683
20653 50796 20653
38922 58401 17391
73239 86510 94613
30979 46587 15480
25970 93548 1
13588 42386 3376
88283 95207 75414
23070 47781 427
1 63028 1
17391 66468 17391
62900 97500 1
48369 88293 85238
13873 59065 95735
58320 87869 86782
74283 95959 31236
37389 94175 32379
5026 56855 5026
36471 57114 57114
28722 46277 46277
11487 21594 88710
15937 73481 15937
62791 81162 37923
23963 97882 62068
27514 48294 6920
77352 95061 13253
69193 74407 19490
35799 71223 56671
33177 52421 51004
41042 70359 70359
12568 23986 23986
2225 73971 19979
48110 91260 26610
17391 64736 17391
21435 33303 20646
24460 61430 24460
11479 79154 39577
7404 85048 75414
72417 94734 23986
1 94500 1
15994 62128 62128
36982 47332 8832
17391 57012 17391
5026 78129 5026
16725 38403 82177
19956 80893 88280
9202 99392 1
9765 15201 15201
14372 37413 59836
53811 83391 98752
4959 96707 87560
64812 95215 8558
45968 93382 1
50639 85871 85871
12290 53784 39031
20982 25569 68747
52297 81798 75798
16341 31065 85377
51355 54611 1
93712 99195 19149
14521 53967 35996
29231 71786 9902
1 37043 1
17445 38717 27266
6452 48071 53450
23986 46897 23986
60621 77588 84752
32797 66142 1
36125 45194 66667
4767 19508 45606
7934 32573 43763
64709 81719 47542
63428 89992 55826
13306 62687 92766
46691 89145 46691
59261 76982 27269
3170 36862 68452
25368 48972 89477
22277 47593 40782
5026 75968 5026
1574 33964 17391
63828 85285 85285
11708 96405 11708
27241 91902 15440
7473 97286 97286
50628 98293 98293
19195 22225 1
58174 71267 6676
13779 40506 20142
15747 35332 15747
25759 72707 60449
7616 34658 67563
18928 51402 82373
55776 61583 8517
42952 93476 35009
7804 71430 23986
30948 56060 23986
6660 99320 1
25187 41771 65310
14592 64355 91915
7029 33373 89607
31868 82893 17391
18249 72429 79703
65235 68753 7662
17069 70599 53198
16471 81549 80591
37418 63934 49782
38297 46045 9710
12229 44637 55468
30023 58023 39279
11548 18468 89828
12177 63354 23986
50438 81317 57275
26712 95771 54791
23803 49565 62042
14655 37988 1
63780 93383 96235
70938 97846 5327
5446 85058 21242
53597 62671 49463
8759 69253 27145
23986 82184 23986
8673 37190 75414
20940 81949 33746
71410 95959 1
17110 53547 14588
59311 66766 1
43340 92503 52596
13601 81727 17391
22184 72835 67502
1594 57167 57167
64565 73038 30000
15871 60578 60163
31452 58535 52979
82770 83809 37042
1320 17391 17391
46306 54531 32536
53471 84183 67588
9171 99886 23986
59040 62486 61473
49167 93782 75288
47380 64193 23986
54931 94822 36805
35906 55129 75668
49794 79506 28231
566 29478 566
30251 90501 1693
17498 82561 91184
23986 78331 23986
1 88304 1
23349 41021 48404
46786 57313 46786
26203 96119 91403
31716 79938 31716
44326 50200 52613
19626 75414 75414
6227 58147 18453
11874 65770 12715
73166 97978 23986
6195 13700 13700
50479 87354 39467
95413 99101 87505
58832 79804 43769
10972 36902 75414
63031 90171 63031
42724 46691 46691
61376 77893 77893
94319 98912 43763
27189 65535 27189
23986 76094 23986
41115 71352 71352
7926 84611 7926
5557 63083 48205
89666 90447 89666
65039 89490 99502
9397 47039 52631
3501 20501 45411
27410 89666 89666
3910 43376 45664
22469 43299 20264
6334 32531 6334
9107 87205 87205
20517 25671 23986
50441 98626 98626
38046 94295 60396
23986 75208 23986
3420 49206 9906
72185 75198 56816
95246 98658 39456
25123 82961 68444
21573 51491 93989
20265 80972 34697
2785 43034 1
3463 75401 96345
29776 67751 28721
90223 99392 33737
36388 62820 21071
1 26903 1
25664 62976 62976
34774 88062 17391
29096 46542 76044
60813 68484 60813
17391 77853 17391
8680 14536 8680
41372 98990 8195
48037 86342 74064
10983 49521 54356
33672 42884 67938
4672 86838 99917
5133 71614 42447
52851 57031 28979
54267 70318 11013
1490 4514 1490
1360 83958 1360
2539 90899 56771
2165 14117 75822
20832 69670 26991
69777 98115 22936
27993 91947 91947
10174 28711 42598
75191 77800 45813
10334 94933 50556
75486 76621 23986
17086 40891 62308
31244 38569 75414
66336 98803 23986
42381 56839 75414
1324 10314 1
46691 47401 46691
44964 57991 17485
59531 83563 68777
7173 85669 98266
5183 82625 1
9540 41374 39922
24935 54473 3658
41646 46251 11175
9276 84873 1
65593 86889 1
6521 68419 37285
57970 88593 98372
78625 82688 48073
7123 24206 7123
26030 65194 172
49695 74745 17391
8853 29314 75414
48380 86423 64405
26713 33571 99865
10139 12601 76907
52748 93413 15283
1465 37385 77835
11853 28591 75414
748 90584 84071
36004 53137 54351
45697 67211 83174
41411 80216 92889
28061 38140 1
49070 73586 64585
16175 23366 74529
53867 70986 1
14195 47326 84959
34078 80773 10740
9291 89926 23986
43588 75414 75414
2456 69862 69862
1864 59073 41592
5811 32029 32029
13961 48513 19331
38446 56753 25942
26277 57833 29967
38162 52516 40439
67435 87840 15321
17994 23653 7413
48360 57558 46691
8709 22416 66558
15075 30776 54642
23528 33978 26200
81647 82216 37986
76903 90250 60393
80695 99374 65829
