4096 100000
1767 3306 2933
2805 3285 606
633 2482 2077
1681 3933 1681
1993 2594 108
2629 3808 3544
591 2717 591
907 2987 907
29 2599 2599
2581 3327 96
675 2044 722
1247 1842 2133
617 1949 1677
2577 3037 3037
1549 3860 3860
102 1579 1590
142 1044 142
371 451 2210
1263 2525 2470
955 2874 2874
2672 3121 868
1625 3724 2540
703 1270 703
2337 2988 452
4059 4074 4074
1513 3244 3244
26 807 911
1234 3947 1234
1068 4056 2258
44 2617 858
472 1332 472
788 1989 788
805 3923 2259
827 3188 1647
2034 3050 2034
708 1721 708
23 1742 2581
1406 1445 1779
701 2295 2295
2025 3208 2378
3285 3323 3840
1988 2950 3568
2666 2858 3096
543 2956 2956
1455 1646 1455
686 3379 3253
3157 4041 1545
1026 1530 143
318 2961 165
567 2191 2191
2337 3375 676
108 1542 108
1285 2570 449
2288 2897 2897
340 1122 2294
1388 1584 3715
732 1793 1793
1747 3244 3244
1721 3030 2811
420 3902 420
1019 1895 970
525 3220 3220
1078 1388 2880
1364 3373 3373
877 2320 1833
1885 2491 708
2839 3494 1628
1185 1863 2426
2346 2763 2346
1344 1904 1344
1148 1205 2984
1248 2924 1248
1205 2537 2984
279 3780 3608
3414 3874 3874
342 1965 3385
615 806 2954
134 3662 3660
2751 3039 1248
789 2680 789
1835 2104 2104
531 2537 1623
1780 2287 2340
1511 1635 1310
2852 3159 2852
3030 4086 594
1316 1385 1385
494 516 494
134 755 1579
195 3868 2370
773 2618 773
1056 3704 1056
2025 3445 2378
2956 3833 2956
861 1446 1446
207 2982 58
1093 1323 2456
4011 4019 3304
77 1070 1070
852 3652 462
3114 3213 1653
648 3934 3934
1849 3851 3851
1719 2124 2612
2112 2841 2112
1483 2667 1483
228 2497 228
2633 3745 243
806 3631 2954
26 2875 2875
465 1772 1772
1133 2134 1423
32 3516 3016
1173 3230 3527
1228 3660 3660
2080 3226 3226
231 2933 1838
972 1568 1293
1213 2795 1213
2908 3754 1446
2503 3499 1113
432 1160 870
1606 3962 226
2139 2677 468
839 3071 839
579 3877 3877
1461 3608 1461
1019 2065 1938
391 2437 1352
1611 3984 3566
402 3621 2991
389 3894 2635
1141 1703 1141
1217 2351 1617
413 2981 691
625 1907 625
1932 2055 1888
1912 3501 3991
2855 3711 3711
536 1998 57
2193 3887 1413
370 1427 2224
1064 3451 1449
131 2311 660
1392 1504 3934
2698 3007 2691
2572 3509 905
1481 2210 1481
3574 3628 3710
704 1913 1913
578 3819 1706
1030 1411 3014
2494 3553 2039
124 1702 2168
898 2452 1804
302 1453 3120
1033 3555 2386
210 2660 2921
816 3796 1955
1068 2718 3523
