1024 27968
15 951 732
168 278 1
564 877 1
3 633 3
877 976 882
847 935 1
245 308 732
445 915 834
1 999 1
249 881 732
468 882 882
51 600 51
130 160 130
303 322 559
322 962 559
649 991 3
262 417 382
171 326 732
82 307 307
515 797 3
834 899 834
426 1010 860
156 368 1
618 887 834
430 803 521
22 200 1
91 594 1
168 835 1
324 506 506
76 898 898
90 108 834
431 467 1
335 342 1
388 522 521
555 628 1
920 968 532
193 716 834
148 732 732
9 632 1
242 752 242
363 710 834
223 834 834
817 846 846
123 386 1
141 849 521
508 662 882
227 310 1
320 759 1
173 593 832
83 508 1
635 645 1
433 812 1
901 966 3
497 662 1
34 344 3
666 1023 521
643 897 1
461 886 461
12 948 1
351 807 250
14 882 882
156 234 103
507 543 1
245 260 732
426 506 506
37 790 1
217 501 1
79 314 1
3 481 3
911 923 1
1 910 1
53 648 53
133 247 1
226 958 334
775 776 1
230 296 551
22 64 882
242 940 1
530 833 834
334 891 3
631 639 732
30 179 1
243 369 3
695 965 1
1 80 1
568 951 568
535 968 1
496 765 976
351 975 732
322 673 732
230 510 732
364 576 732
1 985 1
256 375 521
103 575 103
56 996 1
603 847 1
386 456 1
510 623 1
223 348 1
873 926 1
3 888 3
283 637 637
194 272 1
265 968 977
404 802 802
45 867 867
20 732 732
146 721 713
419 686 1
494 872 3
464 767 1
440 540 1
909 1013 521
249 926 1
217 521 521
506 745 506
95 405 405
175 632 1
225 556 1
151 843 1
236 825 1
527 889 1
26 565 1
673 808 1
248 261 1
2 876 900
94 459 1
65 469 532
308 995 1
244 860 860
763 886 834
103 288 103
160 383 1022
203 916 307
102 834 834
304 855 304
127 147 1
19 463 3
402 495 1
310 781 295
488 579 488
252 460 252
706 878 685
159 732 732
470 984 1
3 649 3
70 925 710
42 528 732
1 900 1
592 662 1
155 946 155
545 697 685
187 369 521
339 836 1
135 981 521
194 842 732
166 220 1
134 315 633
189 637 3
494 830 732
318 831 461
421 1007 1
379 896 732
55 660 834
192 267 155
732 881 732
307 812 307
21 243 1
624 785 1
616 834 834
380 394 3
721 913 867
950 1015 1
107 399 1
566 851 307
838 863 834
612 850 1
176 364 732
399 556 506
163 618 3
139 255 1
181 901 3
63 562 252
362 377 362
213 754 1
102 864 1
1 592 1
53 571 1
97 683 423
362 986 1
6 726 202
356 734 1
230 531 551
346 911 1
229 735 3
122 215 1
570 625 732
213 915 1
46 892 816
741 896 1
143 574 1
207 1017 207
7 16 381
316 427 1
592 865 1
472 521 521
138 930 521
184 570 732
759 993 53
337 712 1
279 982 1
17 541 3
43 184 732
182 641 3
548 778 82
44 584 1
162 860 860
341 734 161
203 967 1
155 727 155
271 468 1
224 369 521
110 812 977
483 509 521
3 489 3
37 129 834
987 1014 898
605 980 1
134 913 252
299 709 732
491 1024 714
315 900 521
369 521 521
18 334 3
385 1010 985
344 892 816
161 792 1
439 882 882
413 924 1
484 732 732
229 288 701
436 543 1
641 962 732
502 764 847
315 497 732
334 694 3
507 709 1
582 745 1
433 965 441
607 830 1
311 677 970
70 608 608
426 452 1
230 900 900
243 694 3
74 348 977
251 845 382
141 448 252
66 520 842
190 535 252
732 951 732
508 720 1
371 390 390
84 696 847
201 521 521
713 858 1
414 458 1
742 752 248
297 491 714
392 990 900
219 673 3
1 168 1
667 701 3
293 675 1
292 908 1
265 933 1
546 866 307
735 914 3
172 698 1
723 887 1
529 623 976
290 797 3
590 732 732
170 844 580
269 833 155
431 753 155
976 1018 882
490 848 1
326 676 1
91 795 1
642 775 1
289 727 155
131 754 131
494 1016 802
599 795 450
20 367 3
607 882 882
819 930 732
117 775 202
685 697 685
89 294 1
390 851 1
771 773 1
147 456 362
195 816 816
513 521 521
146 867 867
239 467 1
763 850 1
36 682 3
407 668 3
566 956 1
334 783 1
155 963 155
222 879 1
316 843 1
486 820 882
175 277 637
154 857 287
691 902 3
454 492 970
575 756 1
663 938 1
237 252 252
58 524 1
99 857 287
538 986 1
579 803 488
3 887 3
66 141 732
89 340 126
415 795 3
318 780 461
155 664 3
519 917 917
301 855 1
311 417 1
80 880 1
145 624 1
371 721 1
239 853 1
421 986 1
230 719 481
264 875 1
580 888 580
211 1007 126
274 358 703
191 264 882
229 234 103
510 975 656
522 715 363
311 318 1
618 834 834
575 851 1
329 617 1
