32768 100000
13127 20440 25631
11642 14082 30962
5232 5599 5232
2090 16988 16988
30391 30991 30391
22686 30745 11316
21785 29055 5032
9324 10854 9324
5599 15460 15460
1155 27342 27342
5599 14463 14463
7701 12747 12747
9400 27498 27498
5599 26323 1632
1191 23258 23258
25670 29462 25670
5599 16541 27443
289 22466 20097
2361 30105 30105
5159 23371 5159
5599 29239 15463
5599 20741 20741
5599 5665 5665
7148 26903 7400
5599 23071 14070
5599 28044 28044
4971 29737 31376
3227 5626 13217
5599 11448 11448
14581 30065 21006
21486 21860 21486
3770 24779 27576
502 3132 21899
1924 23862 2314
19460 31327 4572
5599 11476 9234
18725 23293 23293
552 15132 23835
12634 22255 11166
1925 17630 8344
5599 21769 21769
30418 32527 30418
5599 16134 16134
5599 23240 23240
26643 28255 13889
19191 25402 32136
1822 5599 596
12428 21975 1615
5599 30629 30629
18050 18440 18050
5599 10747 10747
9995 19545 8241
25613 28203 29042
12913 12983 2625
5599 17540 22611
5599 27902 15620
13086 27068 29650
23641 26490 23641
5300 7862 5300
1798 18200 1798
8946 9212 22797
16026 28865 16026
5880 29840 10234
1672 5599 15253
1572 2261 3896
27304 27857 27304
11090 16988 16988
18218 31892 18385
11502 29838 1781
5599 23577 23577
10812 16893 13900
5599 10099 27782
5599 28469 11820
5599 7165 26939
10308 19926 32528
19851 27026 15896
5599 29985 29985
3888 28372 3888
20013 22992 5675
10321 15390 21871
6372 25565 25565
5599 7818 3987
13046 22286 9531
126 6316 26666
5599 19004 19004
8966 10310 32220
5599 20128 31329
23700 25364 28208
2181 5599 2181
4299 19228 2049
4842 24188 24188
5599 26647 21507
5599 13927 13927
11690 15104 11690
5599 6939 6939
5482 5599 18893
9681 19523 19523
339 17085 13441
3859 5599 30489
5599 27913 27913
5599 7827 7827
6719 24076 6719
17496 21677 32531
5599 28276 26257
467 30778 30159
12241 22298 18661
4184 18372 27827
17845 28474 11196
2571 10531 31203
5300 16739 24548
5599 15153 25218
26884 27024 3171
4197 5599 4197
1245 12492 12492
5542 22123 9030
5599 8293 19241
5599 20104 20104
11638 19983 13362
6771 9920 27752
5599 30838 30838
2463 5599 16813
23945 28638 21652
15247 20876 5442
23464 31420 22544
5599 10385 10385
10360 24982 10360
4268 5599 4268
5460 14431 13180
1790 5599 1790
19770 27436 19770
5599 7154 31905
2088 5599 10625
12356 27118 6504
1990 21098 1990
7732 12066 28267
998 9757 12062
12724 25426 31731
8410 10230 22793
5599 9309 32385
14331 28220 14331
26342 31685 26342
5517 21973 3109
5599 11974 11974
1537 4629 31900
600 6753 600
6119 11103 19057
2560 10371 5549
19836 24520 19836
24067 25704 9538
5599 18034 24256
3109 5599 3109
16984 21480 3531
2464 9414 9414
5599 24324 24324
5599 10929 10929
22179 26312 19934
15044 21767 28269
8486 28094 12122
6970 19061 19061
2519 32725 32725
5599 25867 25867
5599 23877 23877
7923 29762 26705
8233 23262 21659
5599 17300 14384
21379 23531 12040
11935 27038 27038
18425 32146 1633
4158 4772 4158
9470 27102 26139
24551 31468 26028
15004 25209 15004
8231 32569 32053
4912 26419 18476
12938 19781 5436
12796 14266 3011
5599 31864 26035
5599 25995 25995
21642 25200 10678
4451 9854 9486
5599 8747 31833
3265 6345 6345
21257 24415 28192
28158 31090 28158
6343 11227 24058
9480 16581 21229
18248 32027 32027
10946 31494 28257
8774 23853 23853
4606 24418 24676
7492 32202 2336
19440 32476 13424
1638 5599 3386
5599 32147 16891
5599 23991 13494
5599 7678 4734
29085 30920 32446
6398 7245 28072
5599 24285 24285
7887 9914 14408
5599 18040 18040
8384 12089 8384
7227 18016 21076
11617 24418 22995
5989 13091 13694
5599 27498 27498
11789 25646 11789
9575 11339 20043
986 24958 684
29467 30739 29467
12765 27207 27207
5599 23061 8146
15202 28535 28535
1539 27446 27446
69 5599 14602
3335 5599 17193
16266 31721 31721
1180 18418 9573
16340 17246 4623
20594 32288 4449
269 5599 26173
4506 9429 4506
11808 26465 14738
1615 15518 1276
5599 25344 25344
26926 32276 26466
6519 14808 6519
5599 24334 7868
5599 8336 19131
4175 22212 22212
9497 19978 4960
24464 27189 12411
5599 27265 28677
22142 29074 20619
2380 2387 12497
17008 23119 30632
6197 25740 21149
4999 5599 937
5599 9437 9437
11191 21903 6979
17292 26969 19624
5599 8087 8087
5244 32316 5244
20142 20659 24771
1738 16798 21086
8304 29664 28582
8348 31688 9597
9901 18014 18014
1081 31823 9638
1990 31039 471
1848 26736 1848
6228 28142 21233
2386 19217 10035
6813 7422 15150
1792 4194 14971
14661 19823 25494
483 4407 483
1688 22315 4417
5599 11493 23667
974 14175 10855
5599 20412 20412
5599 15817 15817
9678 18279 9678
22719 31774 1230
3940 31210 31210
5186 27115 20716
6664 10078 3728
2262 5599 22103
5599 31164 7126
22010 22800 22800
1852 5599 1852
3179 22083 22083
22505 27355 11841
4141 30598 4141
5599 31082 31082
1252 6233 30078
5599 23618 23618
22754 28304 22754
6675 17682 12829
18259 24580 24580
4997 26382 25033
3590 5102 11193
1292 5599 1292
7205 11436 376
1014 4958 1400
12142 20648 16011
10912 13934 12133
5599 29537 24650
14867 27897 23961
2365 26419 18476
5599 21160 21160
21520 32560 23631
213 3046 13736
25329 28875 7029
6103 32142 3435
5599 22879 4939
3069 15186 15186
5599 24186 24186
5599 24016 11037
5599 12836 12836
3620 5599 3620
5599 32550 25509
8739 24526 16329
5599 11440 7948
5599 16998 10856
14720 22320 11733
8219 15059 8219
5599 30094 15983
13251 31295 13251
5599 7247 7221
65 26648 65
18001 25988 18001
2912 11464 6087
3098 29082 22722
5103 8753 14831
5599 25323 25323
5276 5599 5276
5599 28207 6877
9341 24385 28993
7339 28643 28643
3288 5698 12895
6144 22112 22112
5599 31605 31605
5599 25347 25347
17842 27251 17842
5599 10381 10381
3496 18826 3496
5599 7030 23970
5599 25471 12326
5599 8254 8254
1479 6411 3663
222 7071 7071
14190 20399 19783
5599 13885 18810
5599 30707 5809
838 1042 1042
18522 27982 27982
2642 3883 7387
24052 26739 9431
27481 31943 13022
5599 5952 30287
5599 20628 4658
4198 5599 4198
11906 27482 11906
5599 31486 31486
5599 22695 31265
1829 17631 26892
5599 10295 13960
14063 24616 28285
146 4918 12206
5599 23879 8148
18195 24883 13647
1139 3736 31362
2215 3911 17447
11589 21958 27393
5599 22641 26291
8482 25934 2719
8724 9107 1249
5599 31529 31529
437 28003 10937
25936 26226 25936
2546 5145 12588
5599 16737 8823
566 17951 21362
5599 30895 18392
6590 22078 23528
5599 16185 396
1907 10604 10604
5599 25801 25801
20234 30361 15056
17270 29019 29023
5599 5873 26547
8990 32401 8990
5599 29530 29530
5599 25132 25132
24685 27511 30154
10791 24006 19647
1933 27657 15801
9299 17134 23726
541 8093 32016
25848 26467 1048
5599 12859 12859
5599 5908 24503
25125 25234 15237
4446 5599 4446
5599 12578 5769
5599 29163 29163
5599 19923 16356
6956 27877 5816
5850 25820 32163
24910 29259 24910
5262 21132 5262
26292 31730 16988
3633 31563 21113
295 12114 12141
2591 30991 17177
5599 13084 13084
5599 30012 30012
18087 27414 23613
8117 19895 12494
26544 28770 4653
5725 18236 5725
26053 26624 29985
5599 30961 30961
4853 15223 22895
5599 17286 20070
20139 29080 29080
5204 18198 24703
17941 18385 17941
30497 31466 22653
1694 21315 11648
19559 27429 19559
14273 29300 11934
1714 2455 32376
6994 28833 7708
5599 24729 24729
13348 31708 31708
461 18728 6626
14899 26269 26269
2384 5599 2384
2210 15430 13668
5599 25550 14871
13784 24205 1478
5599 32680 32680
8547 29914 17595
5331 6082 22926
13702 22246 12278
3707 5599 3707
2723 28124 32480
6374 16071 27371
5599 32374 19604
5599 16564 16564
5599 27715 27715
5599 14264 28129
18806 28101 25969
5599 31327 31327
5599 5968 13975
5599 29473 29473
458 25756 20819
5599 10565 10565
10860 21283 12266
21080 22861 27147
3211 13782 24989
5599 24962 12337
5599 31259 205
2038 24467 17852
6338 18341 17921
13258 18724 31680
19516 27345 28078
6504 6560 6504
5599 10337 7577
5599 5741 10280
584 23681 17547
8509 22504 19608
6851 26147 6851
20796 32092 10430
3532 30797 3532
2633 25925 4009
4529 14639 4486
5006 5599 5006
14523 21806 20166
100 21922 15259
5599 6844 12771
7191 9044 4567
11090 24880 11090
1636 5293 5293
5599 13977 13977
1379 5599 12633
3678 19207 16886
4583 31477 31477
6334 9194 13299
23668 29398 14455
10987 16720 32555
8705 30904 10088
3250 15776 13908
14879 15443 28395
2743 14121 2743
3891 5599 3891
11218 23790 10696
9880 21387 13450
8242 25567 25567
11311 30230 20059
13436 26284 12457
25464 27057 27057
6087 6118 6087
5599 6170 23290
4308 6805 16357
5599 15588 17245
2869 17098 31679
5599 32276 32276
27293 32487 30202
5599 7180 7180
5726 23525 6305
4836 26541 4836
18512 28452 18512
7042 14908 7042
18499 20571 20571
21634 28453 30251
