stage,mode,n,seed,shuffle_labels,shuffle_queries,gen_ok,solver_rc,timed_out,val_ok,sec,rss_kb,case_dir
correctness_smoke,comb_rect_dense,128,1,0,0,1,0,0,1,0.415084,8672,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/boj3s_gate/retry_loop/ac6_formal_run1/runs/correctness_smoke/comb_rect_dense/n128/seed1_L0_Q0
correctness_smoke,comb_rect_dense,128,1,0,1,1,0,0,1,0.048341,8656,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/boj3s_gate/retry_loop/ac6_formal_run1/runs/correctness_smoke/comb_rect_dense/n128/seed1_L0_Q1
correctness_smoke,comb_rect_dense,128,1,1,0,1,0,0,1,0.074337,10608,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/boj3s_gate/retry_loop/ac6_formal_run1/runs/correctness_smoke/comb_rect_dense/n128/seed1_L1_Q0
correctness_smoke,comb_rect_dense,128,1,1,1,1,0,0,1,0.072875,10768,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/boj3s_gate/retry_loop/ac6_formal_run1/runs/correctness_smoke/comb_rect_dense/n128/seed1_L1_Q1
correctness_smoke,comb_rect_dense,128,2,0,0,1,0,0,1,0.045953,8032,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/boj3s_gate/retry_loop/ac6_formal_run1/runs/correctness_smoke/comb_rect_dense/n128/seed2_L0_Q0
correctness_smoke,comb_rect_dense,128,2,0,1,1,0,0,1,0.044781,8064,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/boj3s_gate/retry_loop/ac6_formal_run1/runs/correctness_smoke/comb_rect_dense/n128/seed2_L0_Q1
correctness_smoke,comb_rect_dense,128,2,1,0,1,0,0,1,0.057047,8768,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/boj3s_gate/retry_loop/ac6_formal_run1/runs/correctness_smoke/comb_rect_dense/n128/seed2_L1_Q0
correctness_smoke,comb_rect_dense,128,2,1,1,1,0,0,1,0.049840,8880,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/boj3s_gate/retry_loop/ac6_formal_run1/runs/correctness_smoke/comb_rect_dense/n128/seed2_L1_Q1
correctness_smoke,comb_rect_dense,128,3,0,0,1,0,0,1,0.046422,8016,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/boj3s_gate/retry_loop/ac6_formal_run1/runs/correctness_smoke/comb_rect_dense/n128/seed3_L0_Q0
correctness_smoke,comb_rect_dense,128,3,0,1,1,0,0,1,0.047057,8016,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/boj3s_gate/retry_loop/ac6_formal_run1/runs/correctness_smoke/comb_rect_dense/n128/seed3_L0_Q1
