75000 100000
11479 69088 22655
20124 22393 20124
22393 29887 5125
17293 26674 68325
19977 42623 61151
22393 45455 38077
22393 30206 60203
57205 69042 58959
22393 22981 17213
47534 57196 57196
22393 48931 45235
36234 56725 74824
10539 51364 60331
22393 66376 66376
5414 42498 42498
4876 52931 4876
14100 22393 14100
22393 36949 67379
17520 67218 66992
5484 74152 9591
22393 33299 33299
18518 22393 34831
22393 46236 29146
38739 74716 38739
12346 22393 12346
22393 41704 10978
14823 22393 39404
30519 49717 11089
22393 26475 9944
21952 66124 66124
42496 64601 35317
7717 22393 1202
22393 37771 37156
7152 22393 833
22393 23092 10898
22393 35404 35404
12841 34145 74582
33625 73293 35868
22393 74523 9963
22393 55511 55511
22393 32994 60461
15681 19131 61447
22393 32210 3329
22393 61585 26633
28005 40575 28005
22393 63548 110
22393 28828 28828
28546 59073 57674
22393 29964 70655
22393 74016 74016
1579 22393 30231
7920 22393 73897
41445 42727 15518
22393 68719 38825
22393 32254 32254
5352 22393 5352
15867 58275 44705
15503 54369 66999
22928 31690 35038
13391 59174 13391
4364 22393 32086
19668 27278 27396
3620 41645 10480
22393 64492 74783
32501 36724 32501
45035 46497 46497
17505 64735 25906
47612 52118 62631
51829 61426 52601
22393 73381 37772
22393 38608 38608
22393 52145 52145
22393 59356 59356
6465 22393 6465
28101 64936 5991
2752 39420 7766
22393 28516 56504
12644 66997 53220
22393 39599 39599
5485 38865 38865
14991 35840 14991
15870 22393 15870
1809 60796 45851
22393 67257 71839
22393 48177 63871
4392 39513 73481
9787 22393 9787
662 45032 59600
21086 22393 69951
47703 73731 48288
52785 56920 65864
22393 46707 46707
22393 26887 28869
14251 51121 68306
21046 22393 3383
22393 61434 61434
21677 38711 38711
57736 71503 56749
22282 22393 64312
21136 22393 14801
22393 65648 26498
20169 31408 20169
15646 18631 8806
22393 72321 17655
34814 48406 41547
22393 22967 22967
34789 67603 58872
32535 48787 53735
20742 34520 34520
12702 22393 47876
22393 63863 63863
22393 60385 11371
22393 71985 57857
5443 36431 32012
43730 50876 43730
15956 22393 15956
22393 37841 36035
22393 24745 24745
22393 35015 692
4160 22393 22048
22393 45352 5748
9494 22393 24948
22393 23980 23980
50636 74102 47572
22393 26075 52794
7728 62906 74281
13598 22393 35670
25983 62152 15656
1422 22393 6766
27021 48749 49764
15442 22393 48135
21626 22393 21626
29101 42421 50544
38339 43262 56550
8709 61571 10839
1050 55623 67374
26601 30074 7993
9696 15956 15956
22393 59025 59025
22396 54872 13859
58893 65777 65777
22393 50385 5718
22393 73425 12302
7007 43984 2177
13573 71728 26239
65845 73545 69602
7239 44423 63254
10170 16141 10170
27730 42673 27356
22393 55695 55695
1210 22393 28206
22393 50380 7462
1930 58979 13033
22393 54983 69361
22393 33592 50624
22393 27351 27351
12111 15705 30294
2435 72707 34579
9407 39264 6772
5443 66464 36060
18536 22393 41499
17243 22393 8150
17370 66893 10824
14721 50205 50205
22393 56226 56226
13336 50375 26222
24857 27845 24857
22393 29153 29153
21785 61780 61780
2366 42134 42134
50807 67589 24844
17913 46520 45310
1072 22393 22836
22393 47200 47200
19098 31199 19098
763 58587 52865
22393 40956 59128
19525 22393 69525
20056 22393 12947
558 24281 24281
17418 22393 17418
40880 43369 67255
62654 74481 74481
31351 55087 56514
22393 30674 38495
25937 42753 71659
37285 49039 49039
9715 22393 60130
5174 17033 17033
22393 52809 52809
10528 22393 73945
22393 45302 66562
22393 48492 48492
22393 32380 32380
22393 61973 61973
1100 22393 68457
13102 22393 46239
10555 34266 34266
1541 22393 45661
2111 30198 30198
676 22393 69087
42177 70527 70527
44329 48386 45792
24128 69722 15657
1505 74224 5853
22393 53348 37902
11423 71364 11423
31826 45674 6955
48676 62571 5642
39339 57261 39339
39335 45140 49290
22393 55725 55725
48817 71846 41302
22077 39525 59196
1081 22393 1081
22393 32735 32735
18173 22393 18173
19766 20848 18841
21590 29634 17151
19207 34305 31599
14482 22393 71718
1695 53467 41010
92 30614 30614
22393 59945 18988
22393 30984 31023
4174 50654 50654
5350 26828 5350
22393 25769 25769
22393 37172 37172
8898 37143 11223
52907 56656 52907
12749 71007 71007
1080 22393 1080
7110 22393 36509
16069 22393 16069
5220 22393 65999
22393 53767 761
22393 41331 41331
22393 25414 61457
12886 60971 12886
34902 58071 58071
22393 74508 936
1617 34459 49068
41830 64498 64498
22393 72966 36574
30506 32174 30506
4911 26142 4911
10870 58153 56835
22393 33221 30780
807 22393 28970
47713 69049 34893
46772 46804 46993
22393 39687 47482
22393 56720 688
15567 22393 15567
18178 32400 43577
39233 61720 39233
22393 46473 43312
8036 22393 1242
15003 22393 39214
22393 31706 11091
3956 22393 41309
4463 71906 22433
12184 38623 37597
16058 58009 58009
18509 35266 44447
7324 22393 14955
22393 62241 16006
6689 22393 18546
55713 61323 3829
22393 51600 61658
25771 34909 9354
53701 71154 25452
22393 26446 26446
22393 34799 7890
22393 30477 64158
22393 32579 47636
541 29687 1610
20075 57449 35887
5145 52689 5145
9923 22393 20745
2741 25576 48104
22393 43478 47105
21892 38723 52367
22393 63288 63288
22393 65172 29476
8020 22393 50696
6621 22393 60640
22393 33917 30965
22393 34030 19803
22393 59412 242
25089 65660 19337
22393 62782 32034
14897 35791 17807
38454 46954 30359
22393 54819 54819
19329 51065 19329
22393 47175 64793
18220 22393 46655
22393 45953 471
20205 22393 33388
22393 38841 67500
9165 67482 29986
22393 47471 53731
22393 52161 52161
15058 22238 32228
47340 67047 47340
22393 46771 46771
9637 58930 48112
11942 22393 11942
41470 63938 11783
6788 40902 6788
8281 17952 58027
47316 68350 21826
2514 3133 2514
22393 28267 46712
22393 63974 66477
22393 25730 25730
22393 51644 55779
45018 72648 46165
2886 35095 2886
14389 30800 30800
22393 44759 51725
22393 51510 13589
38553 67301 43888
3867 22393 51777
54989 68225 65566
22393 39202 39202
22393 74518 74518
18986 22393 31102
22393 49020 67744
33522 70794 53904
12704 22393 22660
22393 74522 74522
22393 63031 63031
7245 11323 37477
18445 72349 33530
22393 25175 32098
659 62425 62425
22393 55661 57764
22393 72002 72002
22393 32101 32101
11772 22393 41746
8812 37000 14010
22393 69544 17164
22393 64419 64419
25442 33729 33729
18547 22393 18547
17903 49135 49135
29514 35936 68682
7791 22393 7791
19156 22393 15781
22393 60556 5144
12429 14189 2212
22393 31702 71129
11113 22393 11113
2104 44481 23479
42125 44879 44879
22393 57740 29015
20234 22393 54014
59900 73953 62334
22393 49897 14280
22393 61818 22290
22393 30015 31003
22393 27945 27945
27081 34272 59879
22393 31740 31740
32330 71175 71175
22393 46450 38775
29367 71069 72917
43495 66653 66653
22393 66305 66305
22393 55565 55565
22393 36308 70116
16265 22393 203
42065 44484 7903
7992 22393 73286
22393 73096 63209
22393 52006 67030
47518 70241 47518
22553 36452 52431
6867 22393 16644
3504 22393 52899
1381 69708 61195
22393 72108 58962
22393 66967 66967
22393 32470 35094
22393 24707 70479
17027 22393 13923
20310 73277 27495
22025 30512 22025
37733 71166 71166
1599 22393 30436
43880 54638 43880
47739 71800 47818
8310 36534 40658
22393 49260 23062
22393 74245 66595
22393 30007 30007
22393 38103 14670
22393 54541 21443
15996 41177 30397
22393 24130 12207
22393 34864 34409
18906 44779 51465
22393 55032 55032
24689 66487 73611
55533 63052 15771
59925 73696 59925
28257 52419 22689
14607 22393 41626
55971 67219 41754
22393 30138 30138
1001 46438 1001
42547 43841 42547
22393 29683 51481
1094 48612 39302
54171 70438 70438
1667 56620 15632
17462 22393 32526
51611 54290 50236
22393 71411 71411
22393 24878 4416
22393 32142 16316
44348 56749 56749
33532 42441 27133
35914 47345 7484
