75000 100000
11227 22509 66114
34303 54187 43540
33409 35032 72812
23027 37536 55371
37536 66159 36331
37536 52268 21890
37536 52611 12343
13190 37536 50493
5490 56140 63725
37536 72896 21776
37536 59347 37997
31150 61919 1053
1374 12929 71222
27688 70784 73089
9382 37536 22746
29919 37536 19482
25546 37536 32083
18114 23049 43309
8154 12599 70878
11210 42257 8240
37536 69236 6385
31612 37536 55071
69713 74397 38935
39846 67429 56830
37536 55586 21680
19955 57203 27294
20769 37269 51180
65283 73114 71953
35305 37536 2495
14362 37536 33826
9475 37536 47125
16388 37536 58524
14093 32923 30534
21306 36933 34964
67548 69525 56784
37536 49737 25987
23470 39240 13293
37536 52835 30400
37536 55579 8544
37536 72171 16084
22947 37536 31957
37536 43202 22861
34351 37536 17132
36685 66294 46906
6350 46073 51203
30159 37477 28537
7693 59250 4309
966 30822 16674
38574 71746 37848
23608 37536 73160
29994 68795 264
60171 64601 11748
27716 37536 14022
2245 47412 23924
37536 56265 1243
26311 72619 8664
44148 46624 69624
37536 57861 60859
37536 56600 31074
17113 64389 8260
24912 35524 2496
14121 37536 50542
18763 38898 47543
7381 23180 16474
3733 11781 15935
48412 61767 3245
47249 51345 17957
18854 32550 23120
37536 49845 44897
13097 41404 34607
27063 37536 3150
38630 71895 464
15337 16848 43035
30798 31125 24059
1365 37536 69419
27489 45738 22057
58726 73803 53540
37536 48106 18546
37536 59858 40633
37536 62397 16798
37015 74918 9977
23222 41203 60009
49827 73919 61008
37289 57063 56313
11830 41268 22759
37536 66789 16349
37536 41699 57838
53980 56325 28906
16567 53482 71066
12518 18481 22581
40002 54099 71108
9731 37536 70045
37536 66263 3781
18981 71089 702
44765 74624 21720
26416 28638 46362
51580 70146 30611
3825 54977 13151
2824 20628 1004
37255 37536 39109
55787 67235 38661
6145 51168 33373
6179 48312 13706
7200 18569 10982
37536 69532 5487
17213 43982 69632
1127 48691 29351
3621 34755 14022
1984 60737 36592
37536 54482 8166
5767 64673 3749
21079 63876 46110
33532 37536 74594
5618 15501 45593
15280 51778 17107
38964 54646 40625
54440 54520 54596
49865 57073 33211
18837 51999 11494
72308 74866 16000
29659 37536 12945
37536 67859 69417
37536 41153 30379
39587 43862 62794
55903 58140 40240
34549 37536 21988
32875 37536 54784
14564 43511 25664
37536 47862 71479
2048 46688 24666
14401 20103 7282
9613 42831 73110
9496 68736 67496
37536 68376 41936
10382 37536 72554
20845 37536 43364
34448 37536 43565
35589 54683 73644
17940 61826 70312
37070 37536 17661
33821 56313 24025
20694 25395 68348
22354 37536 31021
37536 48640 16787
37536 73506 31814
60252 63834 19724
23326 59997 18969
26371 67096 17983
45365 69150 44547
37536 44944 36030
19337 37536 10104
14969 25850 43520
10855 37536 55802
7457 37536 51568
587 40045 32578
3430 30288 28201
3910 37536 16411
7184 73904 38487
37536 53297 51135
52809 68701 53562
22276 37536 6653
34476 37536 59950
37536 48999 18865
49409 72755 66880
5376 11315 18887
5367 24750 16666
5417 72078 72375
27606 37536 67496
3795 22077 31121
34451 40820 42009
19261 21189 70307
23051 37536 21216
37536 39960 36070
35837 59992 46288
22794 46895 37854
31632 37536 29963
34806 37536 34388
24693 37536 62848
14153 27646 74047
17505 34349 72899
37536 62251 3644
22383 31795 40199
56998 62017 14414
37536 40071 13458
13905 37536 16127
47723 57718 55846
17547 37536 1707
35892 37536 36473
37536 58900 52357
26058 29837 9642
44550 48274 39596
2495 29149 49600
15727 37536 29221
19853 37536 53031
20361 71573 49647
37536 48773 29581
37536 72816 70473
37536 48042 9567
39443 42029 68404
12564 37536 63449
48529 50381 53789
20360 51049 29372
37536 72521 69180
14099 33173 22914
12206 41485 35194
12378 63205 934
37536 71470 70155
33349 63032 51990
40427 48111 13823
25668 73268 73983
28514 37536 2647
17535 21922 46660
37536 67723 2594
8303 37536 45302
737 18969 52830
22488 37536 68450
36086 60833 24121
33305 39266 54064
37536 70633 54970
37536 39043 16477
23370 29526 15797
37536 45624 16060
19490 33389 69910
21710 34187 61030
15941 41152 8232
30062 65534 63202
12196 37536 22544
20644 73498 57516
60257 70619 23281
9171 58003 27690
13043 20018 42679
3933 46469 71130
7297 37536 61967
9670 46120 59320
26572 39871 19229
6632 7535 57752
37536 51420 63900
42455 54704 55821
34390 37536 58597
578 37536 8344
37536 46152 43309
37536 63797 2005
37536 53690 41551
39114 47567 66925
20029 42518 48427
34872 37536 30921
37536 60755 25604
2499 36296 74360
14957 20197 74956
48856 63291 50462
37536 68006 20584
18906 26028 57991
1086 7000 42554
32798 37536 19301
37536 40121 68252
37536 59248 28149
37536 62292 31831
37536 56694 57999
20480 37536 38868
28313 37536 9678
27725 72462 30600
7892 37536 73219
37536 58224 12944
7752 72993 31280
