512 14267
333 483 333
330 483 504
450 463 226
379 435 435
59 274 254
64 282 64
41 207 278
132 152 402
61 500 1
1 44 1
115 221 1
75 501 265
61 473 421
38 468 106
26 319 372
303 372 372
278 377 278
36 440 1
8 318 355
374 440 333
115 117 1
30 140 1
42 206 151
294 490 294
253 460 96
12 95 1
339 407 1
297 491 1
147 492 2
320 373 1
302 476 1
26 396 265
77 483 1
83 271 333
303 325 1
309 328 106
144 379 106
64 261 333
73 392 1
139 328 1
66 303 1
102 443 443
340 422 333
105 510 1
125 305 1
269 383 464
289 460 289
49 74 1
46 274 1
115 193 333
90 353 401
64 193 182
91 97 243
1 358 1
14 250 314
403 468 1
270 375 1
69 364 106
21 269 464
427 468 278
64 168 168
391 496 278
288 494 1
71 117 266
149 437 149
12 460 52
18 95 1
220 445 307
19 428 262
187 383 1
60 135 278
164 181 1
224 422 422
162 371 1
41 509 106
293 454 1
192 402 1
374 426 333
116 195 195
144 321 112
168 469 168
124 508 1
195 251 1
113 457 467
106 264 106
22 257 2
245 304 1
35 202 1
209 353 1
112 264 112
117 474 141
316 382 464
24 329 168
10 113 168
20 252 1
278 309 278
307 461 333
271 347 140
412 500 467
11 329 195
127 461 461
294 485 443
168 292 168
30 191 302
296 337 324
247 333 333
128 395 55
59 88 55
64 145 333
103 337 270
86 87 86
76 425 373
131 303 372
164 221 1
119 151 1
385 400 1
214 228 512
149 461 461
200 420 1
16 288 1
112 488 112
24 232 1
231 429 1
26 263 265
82 501 278
90 378 278
177 280 278
32 387 259
25 419 237
54 449 1
90 401 401
106 485 1
22 386 262
186 376 106
91 419 333
98 502 333
12 64 333
208 386 363
401 498 1
458 499 112
20 71 1
66 457 195
66 343 1
306 393 278
479 488 416
116 342 178
168 218 168
123 324 1
247 435 1
158 278 1
106 448 106
258 502 1
109 309 1
193 243 333
43 255 1
294 327 333
18 204 347
325 454 454
195 411 195
302 372 302
139 360 140
68 423 333
172 473 389
217 430 112
19 374 1
106 308 1
269 413 1
289 340 461
202 422 333
23 84 464
184 397 1
298 367 278
21 181 1
81 476 476
43 421 421
1 430 1
104 333 333
143 221 226
33 501 324
324 422 1
155 373 461
86 242 86
10 333 333
421 468 278
199 453 168
200 467 467
320 440 1
325 464 464
1 109 1
270 473 270
262 391 278
96 297 1
231 234 243
89 171 182
125 277 125
45 209 333
117 314 112
204 504 333
109 425 504
9 138 151
112 474 112
11 422 168
257 300 278
136 153 1
105 258 1
218 333 333
265 318 265
362 492 401
108 381 421
240 315 1
220 478 307
352 441 1
314 496 314
160 413 344
242 445 1
67 258 401
63 285 278
166 440 84
169 342 1
138 282 333
121 512 1
32 79 333
285 353 429
142 370 333
463 472 278
50 165 1
101 370 101
225 317 278
151 384 1
106 444 1
230 314 1
142 348 1
48 499 278
81 333 333
64 98 79
230 375 230
147 165 1
1 305 1
208 259 1
177 414 414
371 468 1
267 489 476
220 467 467
126 301 24
55 494 333
202 460 289
250 474 112
41 401 106
194 490 55
45 263 1
165 500 333
34 137 35
222 483 1
59 333 333
216 400 1
333 506 333
9 445 333
107 209 1
63 105 1
106 109 1
70 127 333
152 417 333
16 21 151
1 150 1
210 346 332
258 280 106
52 278 1
410 436 106
229 240 1
3 239 278
24 103 1
269 323 1
211 467 1
7 312 324
180 463 421
93 407 52
61 374 1
33 510 324
13 440 1
173 425 326
202 246 333
76 505 1
185 505 7
230 504 504
35 313 35
124 336 476
68 343 1
128 168 168
214 512 512
1 377 1
434 490 443
53 429 429
1 473 1
198 328 328
123 157 1
220 462 333
1 333 1
327 394 333
127 347 333
1 462 1
70 217 1
299 418 195
76 359 333
228 246 333
94 283 270
111 167 1
46 258 363
311 457 1
195 326 333
213 225 393
129 484 1
260 298 324
193 331 1
146 313 1
137 362 35
417 478 333
29 292 1
25 491 237
25 387 333
491 500 178
158 347 168
181 240 1
301 359 294
264 512 1
106 376 106
11 227 1
122 276 1
241 281 1
312 475 1
29 200 1
73 109 73
17 435 106
187 512 1
2 491 1
134 136 265
38 408 311
227 511 1
329 417 333
49 333 333
95 391 332
34 404 313
33 163 324
32 293 1
15 355 355
222 482 315
126 475 294
209 486 168
11 162 1
1 318 1
261 286 268
276 279 1
200 458 1
71 141 141
75 439 324
319 324 324
80 91 476
141 367 141
115 279 1
255 334 1
246 440 333
350 365 1
396 400 400
267 386 1
113 179 467
79 246 182
147 274 1
221 445 1
283 343 421
142 461 461
117 184 112
447 480 1
44 283 1
309 410 106
361 377 1
275 405 5
179 491 178
149 189 1
264 345 106
112 447 106
373 439 1
256 297 1
21 132 333
223 376 1
67 161 106
184 228 1
91 464 461
31 112 112
254 361 254
148 426 1
340 482 1
363 371 1
81 127 512
195 447 1
67 359 1
16 115 504
300 318 355
326 462 151
80 424 512
61 306 421
157 288 86
277 400 1
204 330 333
109 277 151
39 434 55
103 331 278
305 433 1
159 310 1
61 288 463
29 232 429
245 465 333
16 340 326
419 486 168
112 333 1
1 276 1
39 495 168
304 435 436
278 398 278
411 450 1
94 103 484
368 423 333
70 148 1
138 458 1
182 337 1
181 278 278
346 450 332
50 68 1
47 118 1
126 137 1
122 143 324
73 467 333
98 490 168
244 383 1
184 196 1
72 461 1
245 442 168
237 426 333
68 382 464
8 136 248
235 306 278
85 103 1
273 422 443
178 183 195
106 304 106
86 324 324
12 84 461
260 315 265
315 493 1
272 280 278
139 432 168
364 484 278
353 447 447
164 424 259
20 204 55
28 409 151
22 112 106
489 502 512
472 485 1
214 234 511
295 387 1
52 188 52
143 407 1
19 436 401
275 278 278
57 227 278
43 73 1
82 329 1
345 425 1
9 117 1
160 344 344
171 180 1
172 186 278
242 505 87
63 505 7
8 50 324
241 284 1
10 27 254
480 507 1
337 502 1
109 256 461
151 444 151
301 413 1
157 505 7
6 323 334
182 193 182
39 140 140
144 160 141
362 500 1
109 333 333
228 344 1
47 299 168
60 137 35
106 133 106
8 160 278
6 116 1
85 336 333
130 167 1
298 368 1
166 269 166
86 275 278
338 495 89
365 449 400
2 36 2
27 139 27
44 260 1
304 424 1
5 346 278
44 281 24
89 369 168
17 328 328
22 393 22
113 356 1
202 255 52
396 463 324
103 358 484
129 276 333
233 415 233
24 469 443
189 475 1
428 493 1
130 283 270
172 251 180
205 276 1
282 283 1
419 457 178
220 265 1
428 455 106
16 206 504
4 475 475
296 501 400
142 149 149
96 206 461
307 318 1
301 326 333
331 413 141
225 309 262
62 68 125
50 345 278
415 444 73
13 317 278
68 196 151
158 412 101
10 308 284
29 502 1
376 502 1
2 278 278
35 471 278
92 253 341
138 454 454
434 453 485
400 483 1
278 408 278
423 475 443
7 400 324
360 439 1
124 243 243
258 401 401
1 73 1
167 283 1
261 487 1
215 309 262
454 464 464
56 159 56
165 231 149
263 272 334
66 354 354
396 451 1
20 203 168
2 243 1
55 106 1
261 297 1
269 368 461
37 209 354
22 259 1
43 334 324
57 150 57
76 155 461
153 218 333
125 168 333
61 111 421
401 482 278
168 508 1
190 506 1
110 418 1
8 269 1
165 351 149
153 351 52
469 491 168
51 419 333
102 354 168
108 203 1
347 395 140
62 156 125
120 191 278
65 348 314
144 474 328
97 99 333
41 56 278
409 415 73
37 193 89
1 383 1
267 382 461
138 274 333
11 200 178
29 489 1
436 453 1
94 448 278
149 188 52
169 268 1
183 246 246
56 256 1
248 509 278
89 148 1
106 159 278
55 119 1
44 273 294
8 420 355
151 162 1
225 322 401
153 271 333
64 132 79
1 492 1
161 287 278
6 265 265
326 340 326
54 407 52
252 296 400
196 454 151
42 464 464
401 508 401
29 140 1
180 270 270
181 508 278
36 472 401
285 461 1
86 440 1
1 108 1
210 505 86
160 390 106
38 512 1
390 406 1
159 239 56
82 379 429
308 350 385
156 382 464
215 386 262
216 486 385
12 422 333
372 510 372
25 179 178
1 122 1
337 466 270
123 395 55
21 316 454
16 151 151
3 355 278
77 435 436
462 498 84
208 270 278
139 160 1
19 148 401
257 468 262
81 164 512
11 374 195
84 380 1
293 456 324
125 480 125
168 371 168
172 337 180
53 235 429
79 333 333
461 489 461
419 502 333
219 361 385
102 485 422
42 480 464
188 400 1
171 406 195
239 317 421
218 498 333
285 405 106
63 250 278
319 376 278
146 152 79
1 208 1
141 160 141
52 69 1
303 348 278
419 440 333
242 463 86
111 160 278
107 430 314
157 317 7
49 233 461
160 408 311
132 193 182
224 347 55
185 209 1
268 316 464
442 498 333
277 292 333
147 345 2
318 319 302
170 262 106
5 491 1
232 487 487
291 457 1
363 487 401
1 413 1
137 278 278
154 267 333
122 315 315
173 325 151
20 107 1
33 157 33
84 425 151
46 90 208
13 165 1
211 427 324
316 458 1
166 333 333
211 489 1
13 479 314
109 438 461
121 215 278
52 335 52
38 344 410
73 167 151
130 203 1
316 454 454
63 111 421
327 382 461
19 280 106
63 185 175
56 439 389
118 196 1
56 309 278
239 481 324
79 240 195
90 218 1
266 315 278
62 128 333
1 380 1
140 178 168
169 240 1
45 494 461
214 227 1
316 413 1
238 264 1
54 236 149
54 149 149
145 175 1
78 147 106
31 457 1
116 206 333
247 368 243
154 486 55
295 349 184
223 483 73
251 421 421
225 387 1
91 247 476
184 485 1
139 496 1
329 374 182
403 502 512
7 100 86
326 415 504
36 146 1
320 436 106
233 313 1
195 329 195
387 461 461
180 339 270
3 499 106
164 438 259
96 473 1
365 471 471
372 409 1
4 211 1
35 148 429
127 276 512
307 475 168
223 400 1
327 467 333
161 295 184
76 100 1
115 425 504
134 211 315
72 293 471
460 510 1
19 90 208
372 399 1
