512 14267
3 496 3
496 509 31
171 337 42
69 138 69
207 401 25
223 446 223
145 332 2
440 442 110
213 342 1
1 196 1
339 499 1
183 189 11
331 342 10
132 304 4
185 375 46
46 92 46
2 87 2
121 260 1
379 382 47
121 441 3
308 499 1
51 374 1
485 500 15
49 99 49
466 470 58
168 238 1
162 464 1
309 431 1
129 130 32
127 303 1
23 57 1
362 375 11
274 496 1
410 504 3
92 492 1
39 266 4
138 319 4
223 481 3
62 291 1
39 413 1
92 217 1
24 192 24
48 510 3
208 368 1
61 73 1
480 488 30
117 470 117
134 462 1
265 401 1
435 499 3
140 267 8
223 435 27
460 471 14
1 81 1
288 299 18
132 229 1
20 506 1
273 305 4
480 495 30
132 320 2
6 223 6
302 338 2
232 343 1
155 308 77
59 236 59
238 470 29
168 412 1
210 417 52
64 264 16
172 488 1
143 358 2
383 452 1
48 387 48
314 409 1
145 261 4
123 365 1
110 283 1
242 441 3
13 214 13
300 319 9
6 390 6
68 463 1
13 335 1
416 424 26
4 157 4
65 128 32
136 205 1
35 469 1
140 439 1
9 157 9
156 308 19
486 493 30
98 219 6
404 416 6
198 364 1
2 266 2
7 52 3
103 410 51
213 420 26
219 430 13
7 448 7
49 97 24
6 218 6
374 378 23
167 363 5
3 457 3
102 397 12
195 207 12
223 507 3
161 167 20
21 174 21
508 511 127
92 187 46
339 452 1
15 376 1
45 50 1
453 459 28
7 59 7
106 188 1
343 505 1
9 147 9
98 278 1
17 237 1
356 375 11
183 282 2
267 322 2
146 372 2
227 450 56
215 428 107
239 361 1
8 267 8
4 97 1
65 268 16
144 259 4
215 460 3
112 221 3
223 238 3
66 268 33
8 482 1
290 312 9
155 198 1
217 424 13
170 217 1
80 131 2
72 147 36
214 425 53
6 220 6
5 394 1
69 457 1
2 423 1
4 158 4
67 112 1
249 266 1
14 435 3
330 474 1
49 231 3
412 414 103
123 492 123
13 111 13
23 46 23
411 413 51
385 491 3
331 333 41
159 295 9
264 441 1
4 406 1
307 480 1
117 510 7
48 469 3
60 245 30
37 451 1
311 334 2
383 495 1
57 458 57
10 330 10
1 295 1
3 241 3
85 339 42
173 183 5
5 48 1
127 234 7
21 348 21
3 404 3
10 132 2
389 419 6
26 106 26
121 303 1
30 492 30
1 249 1
20 331 20
16 338 2
58 309 1
237 454 14
108 445 27
61 247 61
439 489 3
18 308 9
31 414 3
249 508 31
246 501 15
9 156 9
48 430 6
128 381 2
380 467 1
67 208 1
3 220 3
11 379 11
129 284 8
163 175 10
22 422 1
210 418 52
226 298 1
18 302 18
306 307 153
348 417 1
67 275 8
272 344 2
121 240 60
353 425 1
246 446 3
28 360 1
55 450 3
140 272 17
421 477 3
171 279 2
324 476 1
105 421 105
262 350 2
15 341 1
4 498 1
18 253 1
292 477 1
290 370 2
3 458 3
221 223 55
253 506 253
130 476 1
1 73 1
56 66 1
93 372 93
