512 13484
316 426 1
97 449 1
72 157 278
157 300 278
150 486 333
448 486 333
276 496 106
115 422 106
61 219 324
193 219 324
471 481 168
271 432 168
194 360 461
194 199 461
162 511 401
146 373 401
105 171 112
105 306 112
166 347 421
166 260 421
38 428 55
145 158 195
302 502 195
342 418 243
355 388 243
203 423 151
41 371 262
371 485 262
397 484 429
50 148 429
51 386 314
74 386 314
193 464 141
56 135 270
10 511 270
61 281 86
288 415 315
476 497 315
139 152 302
139 308 302
191 367 443
367 449 443
273 420 254
162 463 254
273 352 467
211 466 467
163 286 182
87 343 182
174 296 512
251 296 512
167 331 52
365 396 504
93 230 504
146 317 2
158 438 436
438 502 436
137 230 35
84 409 35
378 485 416
136 328 184
402 468 311
332 468 311
234 284 484
167 234 484
307 505 389
238 505 389
49 97 7
322 370 334
44 472 334
111 283 400
338 381 372
116 494 355
239 501 422
369 501 422
451 472 294
220 229 294
81 140 385
445 483 385
156 171 307
10 246 178
4 361 354
132 143 79
4 350 259
69 85 96
406 433 149
233 406 149
62 491 73
40 410 73
430 469 326
63 203 428
126 427 428
24 498 22
322 405 22
179 450 208
442 453 258
78 172 435
327 330 447
147 330 447
161 206 479
83 104 107
101 503 266
62 343 266
267 507 31
3 244 31
189 393 5
45 134 306
43 399 358
17 29 358
417 470 180
21 211 332
224 434 175
20 379 377
53 432 481
432 441 481
64 228 507
64 368 507
36 65 471
80 229 303
229 370 303
80 164 414
76 478 248
60 463 485
345 455 395
272 455 395
188 353 237
109 231 89
283 480 411
123 173 502
123 309 502
205 366 336
8 255 276
183 448 289
42 271 440
250 472 454
374 472 454
95 309 196
30 131 196
81 117 257
14 407 147
100 212 304
150 413 487
11 68 280
11 215 280
36 500 133
131 290 13
103 495 170
103 232 170
473 510 339
110 473 339
424 506 337
49 424 337
34 158 108
158 509 108
249 263 122
169 224 102
128 199 154
335 360 154
9 242 88
18 210 216
27 124 361
153 403 388
396 458 59
209 292 59
192 300 394
93 292 394
241 460 419
300 489 292
390 396 98
47 177 437
104 177 437
215 434 12
39 162 167
25 78 277
115 130 58
365 409 446
94 397 120
382 465 46
204 408 452
82 119 67
174 282 362
202 433 235
113 397 279
299 397 279
286 491 114
16 431 349
431 450 349
47 269 6
48 191 263
152 308 72
442 444 70
49 76 506
1 18 1
342 403 243
190 497 315
5 111 400
485 497 315
245 418 106
225 481 1
23 143 278
299 310 279
218 435 1
39 397 429
1 424 1
300 458 59
261 445 1
321 416 401
15 141 324
52 71 324
50 218 429
70 429 429
113 299 279
94 310 120
127 316 333
69 481 168
142 252 1
177 416 1
6 83 107
51 485 106
267 340 31
103 347 401
228 267 31
41 262 262
141 219 324
53 441 481
106 305 106
155 317 2
281 359 86
222 309 196
63 427 428
270 324 324
1 323 1
84 241 35
185 202 235
113 310 279
1 104 1
106 295 106
24 44 334
154 248 461
378 463 416
136 401 324
28 173 106
30 309 196
1 448 1
130 383 58
37 41 262
137 446 35
123 195 195
104 269 437
145 308 72
317 455 1
69 148 324
248 424 248
178 214 401
93 192 394
66 123 278
119 218 1
222 290 13
145 237 106
349 356 208
39 288 315
329 510 401
1 406 1
164 329 1
408 455 395
1 400 1
39 284 484
278 383 278
65 133 471
110 508 324
172 325 1
100 485 106
214 324 324
13 319 502
1 151 1
311 430 311
204 272 452
285 429 429
391 424 248
106 501 106
81 212 106
32 85 512
149 167 106
423 427 151
1 502 1
153 327 447
329 429 429
55 267 55
1 432 1
21 287 1
394 458 59
97 210 7
151 228 55
1 9 1
278 349 278
278 425 278
55 250 1
175 182 182
298 379 377
292 490 504
259 434 354
251 280 1
36 106 106
218 278 278
102 280 175
325 472 1
8 19 106
409 410 1
65 197 471
144 435 443
139 145 302
234 452 1
212 478 1
255 271 440
55 359 1
80 251 1
112 387 112
79 419 278
160 285 467
199 337 461
115 383 58
218 324 324
124 501 1
178 324 324
32 380 168
1 217 1
12 287 280
23 96 278
304 331 106
1 355 1
289 400 1
156 281 1
172 249 122
1 62 1
1 187 1
142 171 1
120 242 401
40 82 67
8 106 106
45 105 112
297 379 379
345 395 395
106 233 106
198 217 182
10 30 106
2 457 401
1 79 1
58 256 355
349 468 106
65 282 168
291 346 324
84 376 35
223 387 1
61 188 324
294 333 333
86 359 86
39 500 324
391 398 248
169 212 1
30 290 196
189 283 5
233 433 149
1 259 1
6 371 1
156 205 112
1 198 1
81 483 385
153 256 243
86 441 324
6 104 437
68 318 1
67 119 67
68 391 1
53 106 106
88 339 270
190 351 1
29 399 358
61 262 324
79 453 278
171 180 1
162 468 254
151 281 1
184 207 184
209 396 98
