75000 100000
8930 72387 28954
3829 15106 69782
38604 74187 70112
3829 9444 42835
3829 27964 59784
3829 36858 69180
3829 53125 62163
3829 30551 71115
404 40131 1826
3829 32257 58897
3829 48516 61138
16237 51592 23644
10634 19416 35129
4961 36666 48165
24 3829 73292
3829 49258 40828
3829 41505 47273
1483 72879 27545
46913 66628 13899
19071 64617 45998
3829 23044 74847
3829 43354 22688
47245 60939 30781
9246 72484 58795
583 3829 34255
55810 69837 311
10689 21021 66089
20462 71330 18001
3829 10877 63082
3829 62994 22130
3829 8375 56192
3829 74342 72535
34470 42344 10602
2491 58521 7373
31883 63200 38783
3829 39290 53944
10479 31034 25363
3829 32293 17399
3829 43934 52021
3829 58774 14802
3829 40117 69467
3829 43116 3580
3829 18378 10807
27516 70255 6797
11516 28132 65955
3829 73298 66247
45746 47034 66409
6050 55472 50161
28451 58164 11711
3829 32422 38384
21631 65104 17813
36428 54135 2146
3829 32601 70413
3829 11519 68884
3829 73507 55865
5829 60688 20341
22851 61255 44681
3829 61867 8526
3829 58872 33402
2459 22842 26018
34326 37384 13491
3829 11078 23135
9981 36912 21263
3075 52454 55688
40009 43058 62122
32997 48753 38290
31179 68954 10958
982 31341 57645
3829 18815 36870
57293 64910 63298
3829 11681 5963
43799 57489 25567
33588 53390 11321
53984 71214 69197
3829 20319 10227
32256 49494 47621
31967 53821 13481
3829 9020 61658
3829 42772 48687
3829 44567 31305
47535 70601 27777
3829 73456 15526
34911 57961 18027
24219 44483 27898
36795 41282 27340
3829 42720 16538
1385 3829 45630
48561 66522 54376
15504 56767 9553
46037 60559 42207
30979 60005 16789
3829 66900 72260
3829 47215 35060
24186 33369 16527
37360 59237 66831
10106 26490 31995
24017 48399 38977
4499 10322 22855
4931 47784 12076
564 3829 58378
66574 68885 35402
9273 67282 55376
17249 55763 65461
1305 63253 19345
3829 20089 55079
42263 69310 23628
14715 32852 35994
5961 18797 54744
14991 67959 27125
3829 22807 12910
3829 15645 74100
16945 26322 36168
3829 33692 74971
312 44780 38780
59881 67930 58627
33131 69478 74779
49579 55493 15896
18257 62771 33384
2353 54470 28950
14245 67083 17684
3829 37114 44558
3829 40728 34961
3829 28396 2517
12117 66751 214
30293 33910 11672
3829 33051 44539
3829 60160 66894
59379 68648 26553
3829 52085 14458
57411 59189 52884
20056 45037 74250
28670 46113 42852
17969 27471 63460
3829 68665 70897
3829 71570 22063
3829 71374 59982
3829 45379 53618
8155 69537 37828
25319 50022 19721
3829 73133 24920
7498 44624 56811
5195 55439 64262
3829 18819 12352
3829 28033 31372
3829 43170 10026
63372 64605 71719
3829 31170 50277
36819 43451 989
29793 61778 64603
3829 10418 56093
3829 21999 35176
48354 66467 16334
3829 28092 53286
3829 12242 24185
