128 2858
12 86 1
73 117 1
1 39 1
93 101 102
61 63 1
64 73 1
39 105 1
74 76 1
46 79 1
107 124 124
60 113 1
53 118 70
29 98 29
49 127 113
90 92 16
72 125 28
90 102 1
61 120 51
85 102 1
2 127 29
18 124 1
11 66 1
19 82 1
66 77 77
50 99 29
56 61 56
29 47 29
14 106 113
91 113 1
8 18 102
10 103 29
64 110 1
13 116 29
4 20 28
79 108 1
104 124 1
28 93 93
48 107 1
39 70 1
102 126 102
15 88 88
17 83 1
78 101 51
42 115 102
1 69 1
25 123 57
26 128 124
14 41 102
74 102 102
2 117 1
72 77 28
18 125 28
57 107 57
31 118 51
19 76 16
10 72 29
44 87 101
22 117 1
33 64 109
21 29 29
1 41 1
29 127 29
14 99 102
83 110 110
38 68 29
58 127 127
46 93 102
29 77 29
28 122 29
57 67 124
47 111 51
11 12 11
90 104 16
39 59 1
87 102 102
75 96 121
30 77 102
65 87 1
103 121 113
66 123 1
63 112 16
47 59 51
54 125 29
84 86 70
38 71 29
22 111 120
79 88 1
74 126 113
1 10 1
44 94 1
1 107 1
33 52 109
74 99 102
4 105 51
89 96 102
45 63 16
5 100 102
9 20 121
16 38 1
91 124 124
119 126 51
21 61 113
47 96 51
13 74 29
98 119 51
58 66 113
41 111 51
2 40 1
53 55 1
95 124 1
19 68 1
32 53 1
66 76 1
51 86 51
44 78 51
15 21 51
18 39 1
26 122 1
40 100 1
17 73 1
1 60 1
82 106 113
100 107 1
39 81 16
36 44 101
18 73 1
26 49 1
16 80 1
5 124 1
80 112 1
4 120 51
69 113 29
61 89 102
87 122 29
7 45 7
107 128 124
47 100 51
51 125 51
73 115 1
86 102 51
16 73 1
21 113 113
70 72 51
28 100 113
91 97 124
51 113 51
14 32 1
97 122 1
6 58 51
22 119 51
121 127 113
51 61 51
46 114 1
7 35 1
63 90 16
73 103 1
37 93 1
80 116 28
34 123 1
70 114 1
29 119 29
53 90 1
28 118 51
18 96 121
32 73 1
5 64 109
67 84 1
105 118 51
17 59 1
8 31 102
82 107 1
18 101 102
93 114 1
11 117 1
35 115 1
41 87 102
3 110 124
42 118 51
17 26 1
17 112 16
28 123 1
85 107 26
47 64 51
73 77 1
28 81 1
8 51 51
114 115 1
9 71 121
69 80 29
27 103 113
1 6 1
15 65 1
69 94 1
30 69 29
55 110 67
66 102 102
67 83 67
35 43 1
4 29 29
58 117 1
38 109 29
93 102 102
28 42 28
3 26 57
23 71 56
12 102 1
47 99 51
81 95 81
99 120 51
123 124 124
112 116 1
65 70 1
2 119 29
38 100 29
1 89 1
14 20 28
48 92 1
88 119 88
1 9 1
37 102 1
33 46 102
20 41 102
1 24 1
23 51 51
47 103 51
73 96 1
117 121 1
16 105 1
4 18 72
12 48 1
87 106 102
49 70 51
21 103 127
14 85 1
79 94 1
41 112 1
83 97 67
1 79 1
121 126 113
17 84 1
53 86 6
54 110 1
9 23 121
24 87 101
29 88 29
15 47 51
14 116 28
116 121 121
94 106 1
14 71 49
58 82 127
46 122 29
59 98 51
94 110 67
95 112 16
45 62 1
44 72 102
32 46 1
55 97 114
60 84 1
49 100 113
20 98 51
46 125 102
26 123 57
26 107 26
67 114 67
110 124 124
103 106 113
9 125 121
12 124 1
43 79 1
18 108 1
31 112 1
93 125 93
26 28 1
19 63 19
7 86 1
71 96 121
21 36 102
85 90 1
51 94 1
27 126 113
85 114 124
23 28 56
40 56 1
82 127 127
21 92 1
97 110 67
10 122 29
56 103 113
6 120 120
35 79 1
95 115 1
87 115 101
34 54 1
27 100 100
16 35 1
40 101 1
52 73 1
110 128 124
18 71 72
5 113 102
23 91 1
8 69 29
65 105 1
71 93 93
102 106 102
23 30 102
73 91 1
64 87 109
28 31 102
106 125 113
42 106 113
30 41 102
37 61 1
103 120 51
45 73 1
5 109 109
21 72 113
14 47 51
29 101 29
28 116 28
39 76 7
109 116 102
43 48 102
58 59 102
97 107 124
77 122 29
51 82 51
64 74 102
1 5 1
24 64 109
88 93 51
75 78 51
23 102 102
62 110 1
85 124 124
13 56 29
45 90 16
70 89 51
34 65 1
6 116 51
6 21 51
4 107 1
85 127 1
1 44 1
8 41 102
34 35 1
1 63 1
64 89 102
4 48 102
4 75 28
50 53 29
2 54 54
88 117 1
36 106 102
91 128 124
54 92 1
49 51 51
26 53 1
13 121 29
45 118 1
89 104 1
1 2 1
40 122 1
30 33 109
118 120 70
61 116 28
17 113 1
3 124 124
51 58 51
8 49 102
50 127 29
34 77 1
37 123 57
50 82 29
79 104 16
59 102 102
26 91 57
21 114 1
32 103 1
29 115 29
43 101 102
40 120 1
3 91 57
39 83 1
30 122 29
6 15 51
20 87 102
53 124 1
10 77 29
10 79 1
2 23 29
55 102 1
40 55 1
17 104 16
8 46 102
73 94 1
22 76 1
3 83 124
21 71 113
1 65 1
87 89 102
93 96 121
29 36 29
33 59 36
3 17 1
1 86 1
31 122 29
49 114 1
85 123 57
8 80 102
6 67 1
1 110 1
2 112 1
69 102 29
82 103 127
41 79 1
28 45 1
103 111 51
34 64 1
97 115 1
92 98 1
20 122 29
32 117 1
18 113 113
56 82 113
75 82 113
54 99 29
91 112 1
98 112 1
24 62 1
92 127 1
93 115 102
18 47 51
92 117 16
22 94 1
14 122 29
17 50 1
77 97 1
36 119 51
42 116 75
36 86 51
44 50 29
13 48 29
43 59 102
121 125 121
7 39 7
57 128 124
1 47 1
62 73 1
25 55 124
11 126 1
66 93 93
35 37 1
49 74 113
2 79 1
27 127 113
46 82 102
13 26 1
18 116 28
86 119 51
73 128 1
76 118 1
52 102 102
43 51 51
7 120 1
6 10 29
36 58 102
55 95 1
9 108 1
15 89 51
21 56 113
9 77 121
19 40 16
29 59 29
61 97 1
103 123 1
72 79 1
18 83 1
46 95 1
45 106 1
25 114 124
19 104 16
21 102 102
96 118 51
21 118 51
82 93 113
54 61 29
12 97 1
74 101 102
7 76 7
28 67 1
73 121 1
16 111 1
26 125 1
45 88 1
92 113 1
86 93 51
16 90 16
65 104 1
10 25 1
35 51 1
38 50 54
87 111 51
18 86 51
63 108 1
36 115 36
111 120 120
55 79 1
10 26 1
13 72 29
94 128 124
2 91 1
33 53 51
18 62 1
11 84 1
51 120 51
7 32 1
24 58 102
108 114 1
24 52 109
61 118 51
48 52 109
2 121 29
17 81 81
76 117 16
4 58 113
31 117 1
27 52 102
62 98 1
51 64 51
86 106 51
47 78 51
68 118 51
111 127 51
80 127 113
113 121 113
41 80 102
50 85 1
25 64 1
58 105 51
14 42 28
36 59 36
26 68 1
8 84 51
26 37 26
42 73 1
8 107 1
7 123 1
46 77 102
66 106 113
72 121 121
55 122 1
5 84 51
82 89 102
50 115 29
22 53 120
22 34 1
19 39 16
50 122 29
77 80 28
6 27 51
39 78 1
7 79 16
86 118 70
114 123 124
75 101 102
16 17 16
29 113 29
32 83 110
6 61 51
25 124 124
49 118 51
66 116 28
54 101 29
102 116 102
21 27 113
29 72 29
96 97 1
33 43 102
15 46 51
9 86 51
40 98 1
15 98 51
51 53 51
82 85 1
21 126 126
33 115 36
20 69 29
16 40 16
103 109 102
52 55 1
28 80 28
57 125 1
34 105 1
47 70 51
36 66 102
38 48 29
77 84 51
20 77 28
1 118 1
22 93 51
100 113 113
61 127 113
85 110 124
6 18 51
67 115 1
92 102 1
48 101 101
30 48 109
59 63 1
80 103 113
37 94 124
31 47 51
12 78 1
21 81 1
6 125 51
27 50 29
87 90 1
69 125 29
23 123 1
55 123 124
84 99 51
37 60 124
3 88 1
2 24 29
51 99 51
56 67 1
90 98 1
85 128 124
47 114 1
35 73 1
10 78 29
17 67 1
98 105 51
26 32 124
22 102 51
2 90 1
24 44 44
116 124 1
51 87 51
24 103 102
8 60 1
39 90 16
80 83 1
18 106 113
27 109 102
27 35 1
37 41 1
23 29 29
42 113 113
38 69 29
34 66 1
16 88 1
4 92 1
61 115 102
65 69 1
25 94 124
1 120 1
55 94 114
48 51 51
83 128 124
28 117 1
92 109 1
33 80 102
99 103 102
54 68 29
43 74 102
23 116 56
14 23 56
57 62 1
20 86 51
12 45 1
46 47 51
70 105 51
46 83 1
7 90 16
74 103 113
12 95 1
78 88 88
7 48 1
21 32 1
41 55 1
1 91 1
46 107 1
51 124 1
69 72 29
5 61 102
85 112 1
65 71 1
30 76 1
23 86 51
40 79 40
12 100 1
31 124 1
68 119 51
10 71 29
5 126 102
37 128 124
3 101 1
45 116 1
28 29 29
35 104 1
85 86 1
27 82 113
31 115 101
77 98 51
43 102 102
72 117 1
14 69 29
5 26 1
10 120 29
31 127 102
2 31 29
1 108 1
14 90 1
40 104 16
68 101 102
81 91 1
60 110 67
20 113 113
1 8 1
81 94 1
31 37 1
55 105 1
37 110 124
19 102 1
17 49 1
32 118 1
27 29 29
27 94 1
15 17 1
7 12 1
45 110 1
66 114 1
44 70 51
21 85 1
61 103 113
78 117 1
1 16 1
1 52 1
16 29 1
76 83 1
6 69 29
45 76 7
2 73 1
58 118 51
55 83 67
97 124 124
83 114 67
12 62 62
13 90 1
54 55 1
81 104 16
15 78 88
9 68 102
9 97 1
34 95 1
61 77 28
44 48 101
45 99 1
70 84 70
38 123 1
29 103 29
36 79 1
19 91 1
18 26 1
59 71 102
42 75 75
68 102 102
33 127 102
96 101 102
53 64 51
95 100 1
19 80 1
29 50 29
63 101 1
23 85 1
9 72 121
100 102 102
105 119 88
1 48 1
69 122 69
11 102 1
7 62 1
16 37 1
2 69 29
16 123 1
5 86 51
55 115 1
56 83 1
20 125 28
15 87 51
9 118 51
57 105 1
24 53 51
56 113 113
66 82 113
34 126 1
81 124 1
11 34 11
10 83 1
32 50 1
72 93 93
37 62 1
44 89 102
43 77 102
9 42 121
86 88 51
81 109 1
34 93 1
30 109 109
50 78 29
22 42 51
119 125 51
29 30 29
80 93 93
37 59 1
58 102 102
43 68 102
3 25 57
36 109 109
4 113 113
51 109 51
77 125 125
1 33 1
57 99 1
3 45 1
85 97 124
78 99 51
86 124 1
12 25 1
13 23 29
23 42 56
32 60 67
71 125 28
3 49 1
14 74 113
48 122 29
98 111 70
41 84 51
19 34 1
61 104 1
23 113 113
19 42 1
93 111 51
38 59 29
28 75 28
12 108 1
51 83 1
42 125 28
38 95 1
49 96 121
1 14 1
15 36 51
51 84 51
15 53 51
8 93 102
60 114 114
57 87 1
9 49 121
120 124 1
20 56 56
18 69 29
47 123 1
28 66 28
1 31 1
114 124 124
16 53 1
27 113 113
13 113 29
14 112 1
8 29 29
108 113 1
43 125 102
25 61 1
1 22 1
11 115 1
11 127 1
22 118 70
10 43 29
38 65 1
45 104 16
17 122 1
28 69 29
18 21 113
98 120 70
92 121 1
79 123 1
54 74 29
79 115 1
5 33 109
64 76 1
18 67 1
24 30 109
41 117 1
63 81 81
4 60 1
47 57 1
1 112 1
66 83 1
2 87 29
94 117 1
64 77 102
4 81 1
22 120 120
95 111 1
34 47 1
24 82 102
21 38 29
76 90 16
57 127 1
44 98 51
47 58 51
110 125 1
24 46 102
33 97 1
67 98 1
53 120 120
82 102 102
66 117 1
53 88 51
50 124 1
36 111 51
2 72 29
29 87 29
60 83 67
73 124 1
47 118 51
34 120 1
59 68 102
80 105 51
63 122 1
13 54 29
47 93 51
1 83 1
67 128 124
124 128 124
44 109 109
105 126 51
1 74 1
40 83 1
109 124 1
35 123 1
