16384 100000
11953 14659 2199
4302 7105 14385
11953 14938 14938
10611 15727 15727
3554 8106 3859
549 2480 549
58 11777 14478
6917 15474 10385
3475 4776 5425
747 10392 747
4906 7438 6935
1533 11953 15349
10552 13448 13448
1669 13865 15674
2537 9229 13053
7297 9726 6206
213 13884 13884
7343 7998 14229
5616 8342 8342
10560 12160 14924
3810 12212 11557
4972 7689 4972
765 9998 12507
6395 6583 6395
11668 12613 1116
10825 15583 15583
3012 11227 1210
6622 14507 14507
4767 11358 4696
11852 16325 16325
12031 14077 14077
4650 11613 1616
3163 4611 5223
3328 16213 16035
1905 16258 14453
8140 9680 10090
9034 13460 7695
751 3727 3727
2890 9563 8164
8809 11223 8809
1176 1258 1176
4308 13817 1847
4641 12430 14251
8901 14222 11569
7739 14278 7739
1191 11416 10698
11953 15350 15350
9359 15533 7097
2108 16123 2108
2503 7892 2503
7862 11953 3054
10676 11953 15412
2378 9048 2378
5159 11716 10118
8423 9414 902
3899 5763 14439
12730 13610 12730
927 15879 8296
5330 13975 5330
7271 16294 15385
4755 11953 4277
10136 10802 11199
2637 5359 3382
2221 5857 11794
6950 11953 10475
3642 6365 13476
2650 12648 13749
3799 12518 15779
9508 16128 2791
926 15922 11095
4867 11004 5490
6974 14029 8857
9759 13017 7453
9060 9919 6459
1955 6351 3831
1855 9145 15154
1743 11953 6241
610 12880 6872
12839 14871 8859
5847 14784 208
6335 9011 6006
7410 12405 159
4241 6944 241
4584 12246 12246
11515 13329 7349
2398 9146 9146
1632 8134 13875
9384 11953 9384
5539 9017 7162
6745 10279 9448
3695 4037 4037
7772 8347 7772
6035 10123 14187
9154 13206 8777
5676 15348 3174
7954 11953 12674
1469 8216 10630
622 15914 12776
10972 11019 11019
10786 11501 3246
1300 7434 1300
1447 5687 1447
6144 14819 6144
3268 14384 9403
3568 15500 13893
1212 4167 14723
11219 11953 2688
5456 6184 8947
619 7385 10491
1500 2341 7246
2237 2468 2237
345 7601 7601
2680 15332 15332
6068 14822 4319
11953 13715 14644
11953 13476 13476
2540 7682 2540
5559 8123 5559
2564 11953 12127
714 13295 714
6580 12588 12588
5569 13892 9721
1128 13368 9228
6021 11953 6021
2499 6805 6750
12529 13784 905
568 14380 12167
3124 5783 7414
3940 10127 1196
5831 11411 11089
6829 8721 13441
7954 8670 8670
10124 12534 1230
6036 10271 2606
4650 16293 4650
2895 10801 2267
9741 16163 16163
1933 10553 6638
9609 10288 1106
1722 10897 3299
1539 15364 8749
2245 3859 2245
8147 15825 5057
3101 13077 8701
32 14583 9878
1713 12364 2362
7520 10414 14761
4993 11953 11787
8113 12299 8435
12653 12851 13690
12783 13934 16279
3797 14743 14743
3064 8999 3470
4153 15219 15219
10226 14438 1642
1096 8080 8080
413 11170 7748
9572 13356 16066
2191 2342 2342
7284 11381 13674
6572 14872 6572
2090 3604 3604
6917 11144 10385
10119 15031 16361
3995 12121 15845
2492 7908 4543
100 11953 16307
8222 10616 4160
5507 7497 7497
11953 14076 8537
13136 13362 14155
14730 16181 16181
7452 13434 7452
2568 2599 3085
9660 11449 2420
8494 9544 9544
919 933 15185
3395 15429 11196
5237 6290 4708
12726 16052 16052
2663 6142 2663
6211 11825 13904
6099 11655 6099
905 12611 905
1961 13329 7349
9592 10209 16253
2377 7076 7076
387 6756 13584
6656 16353 8264
5897 8097 8097
7865 9517 9517
534 12885 15935
3455 7055 7055
4570 10461 15670
6875 12913 497
5049 12084 12084
748 14253 4067
3544 14712 14247
1037 12989 12989
9684 14943 9684
11953 12832 10944
1176 10444 1176
3095 5383 3594
3129 11953 3129
6926 10746 7109
1071 11953 12052
7447 11163 8561
5539 10544 12962
530 11953 11155
4378 15688 4378
8905 11939 10198
10700 15547 15547
3689 4565 3689
1899 10536 1899
1389 4511 4511
7025 10916 3127
10740 14226 9487
11759 12640 11524
1765 2050 13503
11670 14285 5589
7130 12003 12003
8513 11062 8513
4485 11953 4485
8683 10556 7858
1131 16122 6786
4202 16367 13075
10180 14029 8857
10749 15716 10749
5447 13323 3000
9708 13708 13708
14162 15252 14162
2446 5774 15498
4754 12808 4754
334 3298 3298
12833 14087 7830
10029 12341 15315
5753 9132 10524
13869 15606 1685
1608 15340 10452
8753 12745 2396
1981 9876 8960
9703 10810 9378
2194 7947 9044
11813 11903 920
196 7138 13720
9456 9807 9807
14533 14742 15714
3758 7730 7730
11953 13300 13300
1671 15907 15907
3500 6031 3763
5836 11953 14785
11418 11953 11418
923 2973 2973
230 3003 8528
6888 15612 8653
341 10813 7699
3962 11619 11619
9741 16345 13544
10835 11293 10835
2167 15468 1220
9865 13856 13856
1865 4561 11836
6135 10633 6135
98 6606 6606
11953 13990 2449
11953 12882 12017
701 11953 4097
4685 12043 14082
6213 12429 13671
1524 11359 12831
1553 10995 9119
2291 4558 4558
1208 5128 5821
10978 14161 8818
7064 15637 12023
2654 5160 2654
5357 10430 5357
11953 16228 11915
11953 15866 9095
12668 14672 2686
12921 13643 11534
4407 15008 15008
5956 7123 9540
6927 9958 9958
6460 13675 4582
8296 13272 8296
9747 11953 11636
2547 6210 2547
5001 11782 774
3098 3830 3830
11953 16314 16314
559 3131 13550
8953 10504 4391
9797 10415 385
7312 16009 16338
3921 8125 3921
4170 13569 16127
2913 12191 2913
8572 11953 8572
6461 16216 9087
7940 14688 14688
14431 14995 11404
3993 7910 7910
2739 3080 2739
4399 5635 990
