1024 28654
540 614 540
538 627 627
58 241 901
351 705 705
1 878 1
909 992 992
319 667 1
850 961 961
6 170 818
36 398 1
792 893 880
264 292 113
714 985 627
1 433 1
693 991 991
414 540 540
8 231 812
249 570 818
198 324 1
372 540 540
420 471 1
248 735 656
609 968 609
679 799 799
212 815 656
396 792 818
204 424 818
537 935 116
293 529 849
427 485 818
72 692 540
456 698 818
540 1018 540
146 894 146
599 758 439
31 507 818
48 533 627
306 370 146
448 596 1013
61 663 527
610 709 749
58 701 1
467 879 619
542 780 818
454 675 1
87 224 1
146 580 146
1 329 1
458 997 458
475 586 656
87 536 818
197 485 917
387 877 548
732 783 799
434 923 185
529 973 973
111 773 656
408 609 627
253 288 495
318 463 419
143 408 656
329 934 1
151 560 627
567 818 818
720 882 818
123 240 540
268 544 1
745 749 818
211 382 656
46 573 1
133 569 656
55 602 627
931 1013 665
48 569 656
200 270 540
341 540 540
97 722 627
25 181 1
323 979 627
361 848 656
62 487 540
187 267 581
635 735 656
324 425 469
297 754 540
54 130 130
844 954 818
110 619 619
545 755 540
282 401 540
490 1006 490
81 201 868
730 846 627
173 792 540
730 818 818
63 326 495
641 880 880
901 959 1
300 355 627
772 936 772
322 354 627
434 663 1
108 625 818
446 451 1020
789 880 880
327 540 540
412 511 627
484 489 94
627 691 627
65 558 941
377 972 818
614 691 688
820 1015 1015
284 290 96
627 921 627
554 621 1013
148 181 627
118 653 96
32 694 627
725 780 818
47 836 818
217 384 498
230 666 818
102 778 540
825 1008 1
168 939 939
122 776 818
144 190 818
269 530 530
427 946 818
559 627 627
249 868 656
71 977 540
317 838 1
111 913 818
183 222 993
79 211 332
162 716 540
453 986 327
154 627 627
303 559 559
622 670 251
288 570 495
350 436 530
205 587 587
527 957 527
131 681 1
459 832 540
283 752 1
192 799 799
677 860 122
233 288 818
109 955 221
657 841 841
462 540 540
304 858 638
394 514 627
63 196 94
579 827 540
27 303 799
626 1007 184
142 196 818
177 458 581
122 830 627
181 796 1
16 998 627
640 890 818
269 872 1
165 845 849
204 760 818
5 380 1
564 719 627
713 738 818
47 646 495
341 956 136
21 122 627
553 660 818
681 787 1
788 872 1
687 738 818
1 802 1
109 440 126
389 674 389
174 998 174
454 893 818
138 387 1
734 831 581
635 914 818
288 456 495
292 666 627
711 929 818
39 664 627
384 498 498
538 754 540
667 846 818
190 811 811
6 821 818
65 328 818
627 999 627
347 615 540
761 944 1
308 547 901
275 396 818
691 977 688
766 1009 293
641 792 880
227 818 818
209 621 1013
72 217 498
924 991 1
741 999 540
581 957 581
658 981 1
194 461 1000
847 907 818
98 515 122
453 790 790
123 789 818
256 823 540
647 729 146
458 831 458
259 826 540
183 764 953
19 656 1
122 692 540
332 601 627
196 770 818
5 811 1
409 728 1
64 359 1
351 387 1
113 627 627
812 950 812
356 959 818
584 1001 548
180 792 880
269 539 540
377 814 818
171 311 828
8 172 614
293 886 627
210 701 540
627 953 627
522 706 522
711 994 880
900 956 390
51 82 540
686 816 818
275 703 818
445 894 445
1 767 1
79 163 1
91 688 1
108 594 849
368 1020 540
152 412 973
540 974 540
232 638 1
489 495 495
627 683 627
658 673 627
6 686 822
643 850 1
411 486 818
766 972 293
145 746 145
256 761 1
293 519 818
85 616 1
467 797 619
817 818 818
141 747 665
31 329 1
617 697 495
167 602 540
366 445 445
456 489 497
582 855 495
104 174 656
461 712 1000
729 740 540
379 519 818
631 809 987
532 818 818
18 701 627
249 537 249
348 540 540
165 683 705
760 937 688
566 757 1
279 299 763
218 307 627
104 410 1
299 981 1
256 744 390
718 1008 319
260 698 698
504 975 504
533 794 595
15 464 818
540 949 540
225 916 818
800 951 1
576 934 665
404 642 672
130 624 1
568 625 818
1 140 1
327 637 637
150 288 1
602 860 122
165 798 818
818 838 818
21 953 1000
232 798 1
428 587 587
192 862 656
688 1003 818
10 741 540
109 962 109
330 569 627
68 205 879
102 991 1
187 352 1
390 940 390
494 554 818
368 931 665
212 300 174
577 928 184
175 931 665
540 591 540
175 361 175
33 905 1
740 769 1
288 1013 818
74 965 540
251 359 1
115 580 540
195 586 627
92 475 331
627 766 627
942 972 412
909 983 103
554 839 818
12 264 818
73 677 540
194 324 249
622 702 251
656 845 627
199 942 42
154 1022 656
30 385 490
276 631 818
129 231 540
449 914 540
425 799 799
600 686 818
896 965 627
172 818 818
455 681 1
396 428 627
436 451 530
116 730 627
116 237 772
464 699 818
598 962 1
71 823 208
331 627 627
524 528 1
147 323 1
31 802 720
30 607 490
310 1024 540
584 649 1
249 825 656
939 990 1
401 587 540
158 173 540
85 435 435
204 385 818
72 818 818
43 679 818
560 985 799
104 889 1
263 369 1
636 1019 627
427 494 497
330 674 389
143 954 818
255 818 818
866 878 614
71 971 540
547 970 1
361 988 665
39 76 540
102 903 495
146 263 1
40 200 497
716 762 1
468 882 882
1 915 1
489 593 1
468 724 818
584 830 1
678 974 818
299 923 185
184 853 665
20 812 812
207 358 1
282 905 1
273 839 1015
448 907 799
103 211 627
57 427 540
29 354 885
233 554 587
339 529 849
848 862 656
284 351 627
217 786 818
385 594 627
99 228 1015
451 903 540
156 731 665
246 761 1
4 725 627
404 1020 540
966 1002 818
818 832 818
14 618 627
483 848 818
341 968 818
98 302 987
445 587 540
198 408 1
449 462 445
818 836 818
1 814 1
397 451 1020
713 1021 540
518 742 627
88 691 627
218 812 812
70 656 656
60 225 818
105 814 818
142 802 818
200 378 497
652 723 818
324 612 116
280 867 627
707 722 725
559 1018 818
86 571 1
773 1009 627
169 243 1
98 950 627
80 880 880
392 606 818
274 780 1
584 788 1
568 900 1015
391 813 45
6 590 822
444 707 540
86 407 818
321 1007 665
113 742 941
113 860 122
383 554 1
115 272 818
186 530 530
156 248 665
218 231 342
381 707 818
540 710 540
287 330 1
574 965 574
7 119 1
139 924 540
429 692 540
233 448 587
176 692 1
164 1015 818
857 954 155
1 625 1
129 418 540
50 321 96
397 522 540
171 521 656
27 586 799
78 536 941
192 664 627
101 790 627
216 223 627
257 818 818
587 815 587
103 992 103
197 410 1
346 800 818
350 545 763
244 665 665
9 269 540
18 918 627
259 295 540
603 639 1
232 296 458
2 452 1
215 598 1
346 495 495
395 646 495
410 889 458
647 706 522
207 313 1
447 962 1
50 988 96
291 836 1
406 921 627
12 528 390
51 145 1
756 826 439
342 870 627
484 972 818
694 756 439
180 235 818
939 961 627
64 864 864
551 859 941
130 678 130
159 458 1
107 520 818
723 993 993
526 678 1
49 258 1
426 689 540
7 21 818
1 1019 1
87 117 390
618 818 818
63 661 1
133 901 1
243 818 818
128 159 540
73 239 540
9 975 818
307 601 627
132 213 615
13 932 627
736 981 1
287 636 1
272 851 828
76 742 540
247 269 540
973 976 627
43 758 818
128 178 251
1 159 1
237 557 656
75 769 75
116 656 656
649 915 818
337 715 818
156 184 184
1 752 1
41 441 1
38 775 1
864 960 818
277 992 1
353 680 818
20 714 412
117 793 1015
529 979 627
1 72 1
214 648 818
113 826 113
59 409 818
801 897 540
314 766 627
213 530 530
599 627 627
110 797 596
1 826 1
406 791 1
677 991 1
636 968 614
712 944 656
128 375 251
242 947 527
82 313 1
811 907 818
182 390 1
627 699 627
129 606 540
252 409 652
286 497 497
151 214 627
468 924 540
207 382 930
102 473 818
291 726 1
236 966 818
780 801 540
647 984 1
212 252 818
365 933 249
229 887 1
510 898 818
111 818 818
480 738 750
627 897 627
296 356 1
719 762 1
433 575 146
292 703 818
770 920 770
211 304 627
146 208 146
871 960 880
471 852 530
100 795 587
496 1017 376
117 510 818
757 1015 1015
310 903 652
653 801 540
282 683 705
542 848 656
146 546 540
546 818 818
180 789 491
747 981 1
365 1013 656
524 593 126
455 497 497
592 740 627
312 898 627
242 798 1
324 656 656
177 523 1
673 867 627
877 905 548
868 1015 818
158 319 1
494 951 1
116 690 772
354 933 249
57 86 540
818 1015 818
238 267 1
1 483 1
468 964 627
70 903 818
890 950 812
81 736 868
368 452 665
588 937 614
354 405 331
812 986 627
243 953 772
170 725 725
266 554 818
205 372 627
137 398 249
174 554 656
799 911 799
627 756 627
243 828 828
325 909 627
395 818 818
708 792 818
456 802 818
166 599 439
437 490 490
77 330 389
119 996 1
157 835 818
5 651 458
304 845 627
478 806 251
399 775 1
480 649 52
863 904 656
124 332 665
630 719 627
841 847 1
253 984 1
88 314 627
174 945 174
431 708 627
453 925 818
1 516 1
6 783 818
1 214 1
100 233 587
257 722 627
454 793 818
656 918 656
286 494 822
388 745 822
33 642 540
305 429 818
320 608 458
348 534 251
152 954 818
539 856 1
44 98 627
281 735 864
464 828 818
769 806 1
174 829 174
479 564 627
200 836 818
109 127 1
901 914 1
541 543 1
270 853 540
373 493 627
207 612 249
29 913 818
1 759 1
477 492 849
82 170 540
557 799 799
369 941 941
113 292 113
504 699 818
507 790 627
320 651 458
683 981 1
304 627 627
22 185 540
750 850 818
228 645 1
162 210 1020
17 58 901
150 581 1
508 794 818
128 691 627
623 909 818
295 348 587
127 496 882
389 673 627
729 849 540
716 954 155
456 806 818
630 673 673
213 763 615
540 966 540
145 1015 1
632 813 419
61 989 527
298 435 818
13 1006 627
680 716 680
133 748 656
69 848 818
458 651 458
40 499 497
256 273 917
1 919 1
481 818 818
133 523 523
505 629 390
595 794 595
195 599 113
581 728 581
540 850 540
363 527 527
659 987 627
587 600 818
216 996 174
196 296 1
425 486 818
42 845 293
399 799 799
146 318 146
129 473 540
166 326 818
414 859 627
580 814 540
124 257 799
732 799 799
587 976 656
10 339 973
57 741 540
146 240 146
178 540 540
285 796 488
4 507 627
282 339 849
174 319 1
758 964 627
237 925 818
742 978 627
928 943 818
339 849 849
519 725 818
390 485 390
398 714 627
393 682 627
914 975 504
137 277 1
89 539 882
47 335 540
564 858 882
188 369 113
406 970 772
525 818 818
818 949 818
414 966 818
110 458 1
457 656 1
447 892 185
108 812 812
62 330 389
519 1006 818
43 495 495
274 428 1
174 231 627
200 863 818
25 974 1
784 863 910
121 463 540
527 865 527
339 534 627
412 577 627
272 396 627
324 949 627
3 513 656
590 646 495
330 808 389
190 492 818
403 763 540
79 554 665
662 716 818
424 791 1
256 520 818
58 308 901
748 802 818
71 628 45
263 896 1
302 821 987
569 683 627
418 818 818
355 818 818
25 630 1
162 255 540
478 959 627
446 684 540
100 843 818
361 468 627
200 436 540
635 798 818
83 496 627
287 526 287
821 842 627
818 954 818
