8192 100000
584 5977 584
1257 8187 7530
882 5977 259
1135 4934 4934
2579 4862 3538
1988 5065 2037
759 2343 3644
5749 7100 6672
447 3265 4824
1828 4834 558
6676 7487 6676
2014 3271 3083
1182 5112 1501
313 4886 313
294 3138 294
96 3198 96
2207 5453 5946
3615 6012 4770
4159 7420 8047
5467 6273 5467
2773 6638 6638
2359 5789 5789
4659 5006 4659
609 5272 5272
3912 7800 3904
442 3041 3041
1902 4971 1902
6159 7358 6159
1183 4115 1828
119 3249 2200
4489 6227 6227
3238 7442 3238
4682 8075 3459
1663 7717 7717
477 2844 3456
1555 4921 4921
4440 5398 6701
4197 6405 7348
2091 6742 2091
956 4270 3321
780 6089 6652
1192 2010 71
2216 4856 2216
4702 7865 7865
5729 6873 2907
1979 6908 1979
589 5977 3342
6847 7878 7878
1191 1984 1191
1197 1471 1635
5977 6893 6893
5977 7302 7302
1784 6604 6604
2407 3970 2455
4504 7611 4504
4120 7163 7163
447 3477 447
267 6359 267
802 4635 4635
1310 6688 2802
5977 6336 6336
2648 5068 2648
1000 7029 1587
7265 7547 3916
24 5977 24
4692 5736 1346
2198 4448 1716
6113 8083 2476
5097 6190 5259
2736 5957 5957
1729 3658 3658
263 1050 263
846 1740 846
62 5655 1399
954 1787 1843
3744 7494 3744
1369 5219 4015
343 2489 1379
224 5626 5626
4702 7219 4702
1031 4663 4663
1199 6852 6852
4019 4834 7693
3278 5430 3312
1044 4318 4318
3103 3966 238
817 2457 6740
5949 5977 7739
3422 7246 7246
1413 5990 1413
1944 2379 4403
1904 2748 1904
2127 7065 2921
2920 6424 775
249 1255 5290
5617 5977 5617
2322 3520 3520
4117 7866 5200
4015 5266 7809
3055 3908 3055
4046 5821 7565
823 6710 7326
5877 7616 5877
859 5270 2239
2124 4267 4267
2224 4555 6535
1155 8074 5583
2606 7557 5460
7935 7939 7939
299 588 299
6377 7322 7763
4758 4949 4758
4069 7987 7987
2271 3860 3860
635 3009 4308
1098 5977 7362
2821 7311 7311
835 2617 2628
2949 5977 2949
884 2531 2531
4084 7434 6013
652 1465 314
1036 6776 6776
170 5977 3670
982 4256 4364
1259 7933 4106
2093 3204 2093
3480 5762 3480
216 1156 1156
5185 6754 6754
3079 6890 6890
4018 6599 6599
1336 2241 3413
150 6145 6145
5021 6047 6047
3658 3733 3658
2511 3805 2511
1754 6156 7627
1800 3884 1031
1932 5142 1932
677 2317 7157
6511 7859 7859
3958 7499 4873
918 1169 1169
2900 7407 824
458 7024 2946
2141 4168 5749
5977 7669 7669
1096 7668 1096
2248 4608 4608
2197 7763 7763
3201 3648 2988
2204 6432 4037
2998 4064 2998
1097 7959 6555
3725 4444 4891
43 4225 2521
6438 7609 753
3066 7621 1900
6177 6914 6914
2696 6493 3563
6206 6936 6206
2878 3916 7747
2311 7278 6543
2418 3263 98
1433 1880 1433
5977 7395 7395
1081 2622 2876
1559 2317 1559
1461 5977 1461
2822 5054 2822
3419 6320 373
3702 7296 3702
387 6453 6453
4389 6270 7517
1856 7472 2217
3645 6961 3645
2037 5645 2037
4826 6410 6350
7407 8095 7160
1033 7032 1033
2650 5309 5309
3315 3602 3315
1720 6877 4553
3026 4190 3026
5737 6705 3619
4211 5434 6019
1129 2440 4380
3415 6528 3415
907 1808 885
4194 7009 7009
4555 6166 6166
1280 2414 2414
1577 8103 3595
491 1862 5482
2961 7995 2961
3487 7451 5923
770 928 770
4262 4929 3996
1658 5596 1658
5977 7019 7019
907 4870 885
1679 4720 5909
2290 5977 3387
2786 5152 5152
178 5977 178
979 4070 267
3524 3650 2466
5328 6056 1458
747 2482 747
3439 5500 5500
3963 6493 7642
735 2710 4792
2535 5550 6232
1470 3065 2066
195 7749 7749
2298 2350 4864
1268 5014 3044
4886 7827 4886
4740 6112 6112
4785 6284 4785
538 3030 3366
5977 6325 8075
6909 7130 7340
3055 6231 6231
2676 3874 673
5251 8054 649
2324 4690 1823
2821 6981 2821
3491 7862 5744
3224 4841 2260
575 1336 4583
1312 6958 4705
578 2347 1804
3471 3579 3579
798 5869 6402
442 6888 6153
2441 2650 6290
5518 6197 6197
3843 4485 8191
879 5960 6211
4978 7732 8080
4418 7540 4916
2118 4460 4460
1115 4525 1941
7497 7616 908
2293 7877 7877
269 2839 2839
3830 5977 766
6958 7425 4705
1227 2306 1227
5413 6407 1088
5977 7393 6969
4900 6397 4900
2004 2586 2586
6493 6844 4369
2011 2627 2627
3617 5617 5617
146 2694 11
466 1630 7164
210 5003 8004
231 6612 6612
239 3024 1448
3521 5518 287
4733 6407 6407
1727 5977 1727
1494 2702 5815
1559 5977 1559
4479 5050 7860
5467 7379 5986
936 2154 5512
1678 5881 5881
817 4956 6740
3053 4558 6679
3287 3503 3287
2096 3424 2096
5025 6166 5025
763 2525 1816
2890 3319 3098
1520 4853 2321
4627 7033 7033
638 7728 4744
4889 5921 2323
3275 6816 5350
180 4732 7443
1395 2823 6891
6818 7510 6818
1718 5977 1718
1967 5146 1967
722 6751 7636
6600 8192 6600
5977 6129 3921
2559 5581 6477
6315 6854 108
47 6367 6367
4048 4114 5039
249 4673 5290
408 727 408
6383 7806 2401
3355 5977 7445
2163 5844 4573
1712 7586 1688
249 5164 5290
2356 3183 4810
1059 7635 4928
4086 5662 5962
640 3828 640
2352 4598 2352
2241 5977 3413
2346 8039 3755
1320 7954 3494
2662 7551 7551
5977 6751 4569
2071 3547 5134
2388 4232 3892
2906 3136 2906
2070 4447 4447
4415 5534 929
1713 3753 1930
3147 7403 5387
1220 6933 4701
7034 7430 5446
1963 6818 6818
1370 4086 1370
3464 5334 6317
1928 2067 7391
2453 4464 2453
416 4133 4133
990 4122 1490
6221 6622 6622
239 7889 1448
5863 7432 5863
6798 8016 6798
137 5802 7016
108 3937 3937
2788 3874 6995
922 4220 4220
3568 5977 3568
5305 6795 384
784 3054 6648
2518 5019 987
1251 5660 738
3067 4547 6257
6406 7737 7737
1414 5415 2397
4406 7866 6632
3190 4376 3190
2271 7508 7598
4468 7435 3847
1646 5796 4018
288 3545 3545
668 7826 6953
5366 7463 2704
3892 5843 3892
601 6270 7449
1863 2146 1863
487 2617 3740
1685 2402 2402
2195 5031 304
5029 5977 3053
7793 7914 8170
1584 3034 7506
158 194 158
4120 6971 2265
1568 5123 1568
3888 3920 99
6009 6466 7241
5027 8153 7073
3120 7416 213
6268 7197 8131
2979 5946 1847
1038 1345 1345
3592 4351 2627
462 1296 5789
3456 6990 6990
4215 5977 3852
719 1683 2355
5977 6131 6131
2109 5977 2109
3035 5325 3617
3377 5977 2475
1446 4695 6362
285 1132 3937
3666 6829 6829
1595 4390 7916
745 5977 745
2993 6245 2139
5243 5358 426
4460 5977 4460
4054 4660 4660
1322 7050 6381
4814 5619 5619
6360 7168 3731
2281 6806 1342
491 1762 1762
1083 6630 1083
310 5997 6488
1760 3154 2299
2958 7181 2958
1843 6248 1843
190 491 8130
3228 6271 3228
3758 4217 3758
1103 1461 3503
4448 6416 6416
1175 1862 7365
2923 4851 4851
2635 7670 2523
4544 6448 4544
1003 7489 7489
2174 4890 1090
1947 2588 6681
2383 7831 7831
1512 3628 1512
660 5977 660
2547 4779 7473
966 3633 966
5110 5977 5110
2293 2456 5958
3079 5587 6782
4640 5977 5522
1638 1875 1638
1598 7721 4955
4953 5189 3657
821 2127 821
5647 7991 7991
4548 8086 2405
4341 5977 1222
3652 7612 2975
397 1728 6503
437 895 437
2786 5470 4647
1457 6265 6268
1609 6637 1609
6045 7856 2843
759 2668 5819
513 7666 513
5264 5652 5264
527 3674 5170
5977 7236 7236
2229 3264 4492
5589 7949 5589
2105 3159 265
2914 6234 6988
6843 7102 7102
3040 7446 3040
7458 7751 5735
4258 7931 1194
1466 5557 6018
1245 3496 1245
208 4931 208
2804 5977 4892
93 6427 6427
6603 7339 4638
1161 4964 1864
168 3876 1902
1276 3683 6810
861 3502 784
4052 7713 7427
2932 6810 2932
2711 4287 2592
2041 6445 4097
6324 7482 6901
4191 8134 3584
486 3053 486
72 4256 72
6806 7498 4753
2631 5613 2631
210 1108 8004
3033 5977 7896
2609 2854 537
4006 5031 1764
1201 4848 4848
4194 6193 6193
29 5683 5683
91 8063 91
1450 1569 1450
5547 8092 5547
3539 6549 5879
4996 5977 7536
2966 3717 7769
6425 7151 7151
2131 2196 2196
800 7220 1048
973 5755 6959
2498 4609 2113
3146 4064 1599
4076 5977 4076
4175 6879 6879
3601 4600 3601
3590 5393 809
252 3272 252
612 1839 3028
1738 4642 3207
1619 4245 6253
1471 7173 1635
