32768 100000
800 1585 24946
16946 19255 2945
13456 18283 11633
6147 12601 6147
15385 32309 29742
3968 30738 3968
25709 28817 29535
4795 27484 4795
23904 24559 6976
3443 30437 13979
4184 8107 24214
2845 19864 8924
9733 23904 2733
3077 23904 3077
22307 23116 31918
20280 22392 30483
12076 28480 28480
24766 25933 23093
1889 29649 20005
15192 23904 15192
13754 14763 8697
18135 24709 4019
18939 21320 23398
17752 30058 5981
7771 27003 27003
15826 23904 15826
3126 21301 24081
14831 27027 14831
7725 17320 7725
5308 16566 5308
18518 18663 17554
6508 14347 5125
23904 26363 5534
23790 23904 26865
11449 23904 8342
13505 28278 28278
7638 23904 7638
11557 20490 19547
3961 16410 10598
10095 19478 19478
11020 15393 18594
11230 15699 6038
12347 24972 14219
798 23904 798
21722 23904 22041
485 11635 7340
11255 18743 28894
23904 25803 10906
23206 28228 22651
23308 32489 23895
2002 16095 15646
27556 31903 26114
27313 30930 12673
15226 15722 12801
4585 20228 20228
23904 27028 8360
23904 29483 16497
8630 31923 8438
11688 19089 21202
16389 23904 16389
6560 16959 5904
17956 21447 32510
14963 19455 27820
9038 23904 22708
8422 9895 29972
23486 23904 23486
3900 23904 481
23904 25290 8323
522 13743 22927
14064 23904 14064
30085 31833 30085
14192 25213 14192
7971 23904 20195
15213 23904 15213
3885 8031 8031
2162 23904 25332
2834 17647 4853
28330 31153 28192
6302 11824 10739
24497 26357 24497
23904 28747 7064
16980 29160 27482
21780 23904 31237
23904 31964 1514
11263 23904 11264
20610 30737 30737
7415 22077 1263
3343 21053 6568
1422 27968 2678
185 23904 185
23904 29825 29825
18392 24862 24862
5600 16065 21512
4800 31693 28290
17106 31847 29924
5370 25817 6325
18810 23904 18810
2998 24873 32552
23904 32621 32621
10370 32410 32410
11251 23904 11251
3178 14865 15743
21661 23904 21661
18414 23904 20436
12089 15606 12089
1568 23904 20416
3251 29008 29219
23904 26677 6070
23904 27712 27712
2151 14000 2151
2892 13247 13546
5946 7991 473
7512 12572 12572
12460 23904 6239
12100 23445 8298
18760 21190 594
23564 23904 17887
1994 8970 30491
9159 16832 7213
16557 23904 32093
13035 19534 19534
26054 28123 32126
23798 25327 4137
9578 19128 22936
23852 23904 23852
6027 12905 7240
12443 15674 27464
23904 29847 24300
4692 8291 8291
2567 23904 2567
12415 23904 12415
15154 23904 15154
2924 23904 2924
7095 28434 26936
21524 21790 21524
5720 15844 5720
5158 21144 21144
1941 24640 12777
